gender,name,other,specifier,size
man,sandler,statsministern,,14
man,risberg,,,14
man,pettersson,,helsingborg,14
man,petersson,,ronneby,14
,per unckel,statsrådet,,14
,paul lestander,,,14
man,nilsson,,norrköping,14
man,netzeén,statsrådet,,14
man,mogaård,,,14
woman,lidman-frostens,,,14
woman,leweéen-eliasso,,,14
man,jönsson,,gärds,14
man,hjälmar nilsson,,,14
man,hansson,,vännäsby,14
man,gyllenswärd,statsrådet,,14
man,franzeén,,träkumla,14
man,eriksson,,toftered,14
man,ekström,,björkvik,14
man,bror petrén,,,14
,birgitta sellén,talman,,14
,andres kung,,,14
,amanda grönlund,,,14
man,wennqvist,,,13
man,vollrath tham,,,13
,thorsten larsson,talmannen,,13
man,svensson,,göteborg,13
,stina andersson,,,13
woman,sjöqvist,,,13
man,pettersson,,malmö,13
man,petersson,,nybro,13
man,olsson,,kullenbergstorp,13
,märta stenevi,,,13
,marianne andersson,statsrådet,,13
,margareta persson,statsrådet,,13
,lena adelsohn lil-jeroth,,,13
,larz johansson,statsrådet,,13
man,larsson,,öskeviksby,13
man,krögel,,,13
man,krigel,,,13
,kerstin sandborg,,,13
man,karlsson,,olofström,13
,jörn svensson,statsrådet,,13
man,jonsson,,skutskär,13
man,hansson,,hönö,13
,gullan lindblad,statsrådet,,13
,gudrun schyman,utrikesministern,,13
,gudrun schyman,statsrådet,,13
man,g- lund,talmannen,,13
,carl,,,13
man,björek,,kristianstad,13
,billy eriksson,,,13
man,andersson,,örträsk,13
,anders dahlgren,talmannen,,13
man,welin,,,12
man,volrath tham,,,12
,viola claesson,statsrådet,,12
,thage peterson,industriministern,,12
,reynoldh fu-rustrand,,,12
man,pettersson,,örebro,12
man,persson,,,12
,per gahrton,statsrådet,,12
man,olsson,,,12
,nic grönvall,statsrådet,,12
man,leander,,,12
,krister skånberg,industriministern,,12
,kent carlsson,utrikesministern,,12
,holger bergman,,,12
man,hermansson,,norrköping,12
man,bengtsson,,,12
woman,andre vice,talmannen,,12
man,andersson,,brämhult,12
,allan ekström,,,12
man,äkerberg,,,11
man,wiikman,,,11
man,wenner fors,,,11
man,wehtie,,,11
,sten andersson,statsrådet,malmö,11
woman,möller,,,11
man,libeck,,,11
,lena hjelm-wallén,statsrådet,,11
,kerstin ekman,statsrådet,,11
man,johansson,,kullersta,11
man,hansén,statsrådet,,11
,hans göran,justitieministern,,11
man,gustaf iwar anderson,,,11
,erling bager,,,11
woman,eriksson,,ängelholm,11
man,eriksson,,sandby,11
man,eriesson,,kinna,11
man,chefen,,,11
,börje hörnlund,industriministern,,11
,bonnie bernström,,,11
,berith eriksson,utrikesministern,,11
,berith eriksson,statsrådet,,11
man,bergman,,nyköping,11
man,beck,,,11
,ann-marie fager-ström,,,11
man,tamm,statsrådet,,10
man,sö,,,10
man,strandberg,statsrådet,,10
man,skårman,statsrådet,,10
man,regnéell,,,10
man,oskarson,,halmstad,10
man,olsson,,kollungeröd,10
man,olhede,,,10
woman,nilsson,,,10
,marianne carlström,,,10
man,lind,,,10
,karl erik olsson,,,10
,karin israelsson,statsrådet,,10
,jörn svensson,industriministern,,10
man,jonsson,,järvsand,10
,john andersson,industriministern,,10
man,isaksson,,,10
,ingela mårtensson,statsrådet,,10
man,höubinette,,,10
man,hammarskjöld,statsrådet,,10
,göte jonsson,statsrådet,,10
woman,fr,,,10
,daniel tarschys,statsrådet,,10
,barbro westerholm,statsrådet,,10
woman,backberger,,,10
woman,andersson,,kumla,10
,anders castberger,,,10
,viola claesson,kommunikationsministern,,9
woman,thiring,,,9
man,strömberg,,botkyrka,9
,stina eliasson,,,9
man,persson,,tandö,9
,paul lestander,statsrådet,,9
woman,odhnoff,statsrådet,,9
man,ny quist,,,9
man,nordberg,,,9
,kenth skårvik,statsrådet,,9
,jan jennehag,,,9
,ingemar eliasson,statsrådet,,9
,ingela thale,,,9
man,hilding,,,9
man,heöman,,,9
man,hagaård,,,9
,hadar cars,utrikesministern,,9
,göthe knutson,justitieministern,,9
,eva zetterberg,talman,,9
,eva zetterberg,socialministern,,9
,bertil måbrink,statsrådet,,9
,bengt niska,,,9
man,axel andersson,,,9
,anita bråkenhielm,utrikesministern,,9
man,andersson,,leabo,9
man,andersson,,surahammar,9
man,vilhelm erik carlsson,,,8
,unckel,,,8
,tjänstgörande ålderspresidenten,,,8
,tage magnusson,talmannen,,8
,sören norrby,,,8
,sten svensson,statsrådet,,8
man,sehlyter,statsrådet,,8
man,ragnar persson,,,8
,per bolund,,,8
,oswald söderqvist,statsministern,,8
man,olsson,talmannen,,8
,margö ingvardsson,statsrådet,,8
,margareta viklund,statsrådet,,8
,lars weinehall,,,8
,lars leijonborg,statsrådet,,8
man,kungl,talmannen,,8
man,kröugel,,,8
man,kriigel,,,8
,kjell-olof feldt,finansminister,,8
,karin ahrland,utrikesministern,,8
man,jönsson,,,8
man,jonsson,,alingsås,8
man,jonsson,,haverö,8
,johan pehrson,,,8
man,johan eric ericson,,,8
,jan björklund,,,8
,ingrid diesen,,,8
,ingela andersson,,,8
,ingegärd fr,,,8
man,hamrin,,,8
,gunnel jonäng,statsrådet,,8
,gunnar hökmark,statsrådet,,8
man,franzeén,,,8
woman,frankel,,,8
man,forts,,,8
,ewy möller,,,8
,evert svensson,,,8
,eva hjelmström,statsrådet,,8
,ella johnsson,,,8
man,ekenstam,,,8
,cecilia nilsson wigström,,,8
,blenda littmarck,statsrådet,,8
man,berg,,,8
,barbro nilsson,,,8
,anneli särnblad stoors,,,8
man,andersson,,munkaljungby,8
,alf svensson,statsrådet,,8
man,,statsministern,,8
woman,,,,8
man,örn,statsrådet,,7
,åke gillström,statsrådet,,7
woman,wallerius,,,7
,stina andersson,statsrådet,,7
man,severin,,stockholm,7
man,schött,statsrådet,,7
man,ribbing,statsrådet,,7
,ragnhild pohanka,utrikesministern,,7
,per stenmarck,kommunikationsministern,,7
,olof palme,statsministern,,7
,olle wästberg,statsrådet,stockholm,7
man,oblin,,,7
man,nordborg,,,7
,nils carlshamere,,,7
,maria wetter-strand,,,7
,margareta winberg,statsrådet,,7
,margareta viklund,justitieministern,,7
man,lundquist,,,7
man,lindhagen,talman,,7
man,lidgard,statsrådet,,7
,karl-anders petersson,,,7
,karin nordlander,statsrådet,,7
man,johansson,,arkösund,7
man,johansson,,djursnäs,7
man,johansson,,norrfors,7
man,johansson,,väby,7
man,jag,talman,,7
,iv ar nordberg,industriminister,,7
man,hz,,,7
man,hjälmar nilson,statsrådet,,7
man,gustafsson,,bodgla,7
,gunnar hökmark,utrikesministern,,7
,gunnar hökmark,industriministern,,7
man,gomeér,,,7
man,franzén,,,7
man,ernst svenson,,,7
man,eriksson,talmannen,,7
man,erik andersson,,,7
,claes stockhaus,,,7
,carl g nilson,,,7
,birgitta hambraeus,statsrådet,,7
,birgit henriksson,justitieministern,,7
,barbro sandberg,statsrådet,,7
,anita bråkenhielm,statsrådet,,7
,anders ljunggren,,,7
,anders,,,7
man,ör,statsrådet,,6
,åsa domelij,,,6
,yngve wernersson,,,6
,ylva annerstedt,statsrådet,,6
man,wirmark,,,6
man,wahrendoreff,,,6
,ulla-britt hag-ström,,,6
,ulla orring,statsrådet,,6
man,tågmark,,,6
,tore nilsson,statsrådet,,6
man,thyleén,,,6
man,svanström,statsrådet,,6
,susann torgerson,,,6
,stig genitz,,,6
man,sköld kungl,statsrådet,,6
man,ringa by,,,6
man,rimaås,,,6
man,petreén,,,6
,per stenmarck,statsrådet,,6
,oswald söderqvist,utrikesministern,,6
man,olsson,,asarum,6
man,olsson,,timrå,6
man,nyman,statsrådet,,6
man,möller kungl,statsrådet,,6
,mona sahlin,,,6
man,meijer,,,6
,margot wallström,statsrådet,,6
,margot håkansson,statsrådet,,6
,margaretha,utrikesministern,,6
,maj-inger klingvall,,,6
man,lä,,,6
man,lithan,,,6
,linnea hörlén,,,6
man,liibeck,,,6
,lennart fridén,justitieministern,,6
man,larsson,,karlskoga,6
man,larsson,,karlstad,6
,lars werner,statsministern,,6
man,karlsson,,stockholm,6
man,jonsson,,,6
man,johan olsson,statsrådet,,6
man,isacson,statsrådet,,6
,iris mårtensson,statsrådet,,6
,hugo bergdahl,,,6
man,hastad,,,6
man,hans,statsministern,,6
man,hamm,statsrådet,,6
,hadar cars,statsrådet,,6
,gunnel liljegren,statsrådet,,6
,gudrun schyman,socialministern,,6
man,fjellman,,,6
,filip fridolfsson,,,6
,eva zetterberg,justitieministern,,6
man,elldin,,,6
man,ekvall,,,6
,eivor nilson,,,6
man,carl eriesson,,,6
,börje stensson,statsrådet,,6
,bonnie bernström,statsrådet,,6
,birgitta rydle,statsrådet,,6
,birgitta dahl,socialministern,,6
,berndt ekholm,utrikesministern,,6
man,beckman,,,6
man,anneras,,,6
,ålderspresident krister,,,5
,åke polstam,,,5
man,äström,,,5
man,wåaåg,,,5
man,woblin,,,5
,wiggo komstedt,statsrådet,,5
man,weijine,,,5
man,wehtije,,,5
man,wallmark,statsrådet,,5
,viola furubjelke,utrikesministern,,5
man,ven,,,5
man,un,statsrådet,,5
,tore claeson,statsrådet,,5
man,tobeé,,,5
man,sveningsson,statsrådet,,5
,sigvard persson,,,5
man,sigfrid,,,5
woman,segerstedt wiberg,statsrådet,,5
,rune torwald,statsrådet,,5
,rune carlstein,industriministern,borås,5
,roy ottosson,kommunikationsministern,,5
,rolf l nilsson,,,5
man,richa rdson,,,5
man,rb,,,5
man,pettersson,,köping,5
,per-ola eriksson,,,5
,per westerberg,industriministern,,5
,per arne aglert,,,5
,paul lestander,industriministern,,5
,ove eriksson,statsrådet,,5
man,olsson,,högby,5
man,oisson,,gävle,5
man,näsgård,statsrådet,,5
man,nordqvist,,,5
man,nilssoni landeryd,,,5
man,nilsson,,visby,5
,nils berndtson,statsrådet,,5
man,månssoni hagaström,,,5
,märta fredrikson,kommunministern,,5
,my persson,socialministern,,5
,martin olsson,statsrådet,,5
,margit jonsson,,,5
,margareta fogelberg,statsrådet,,5
man,maj kungl,statsrådet,,5
woman,lundbeck,,,5
man,lindkvist,,halmstad,5
,linda andersson,,,5
,lennart pettersson,statsrådet,,5
,lennart dale us,,,5
,lena sommestad,statsrådet,,5
,lars norberg,industriministern,,5
,lars ernestam,statsrådet,,5
woman,lantz,utbildningsministern,,5
man,l- ström,talmannen,,5
man,kungl maj,statsrådet,,5
man,kungl,talman,,5
man,kriägel,,,5
man,kristensson,,,5
,karin thomé,,,5
,john andersson,statsrådet,,5
woman,johansson,,hovmantorp,5
woman,johansson,,uddevalla,5
man,johansson,,,5
man,johan nilsson,,,5
,jens eriksson,statsrådet,,5
,jan andersson,socialministern,,5
man,jacobsson,,sala,5
,ingvar carlsson,statsrådet,,5
,inger koch,utrikesministern,,5
,ines uusmann,,,5
,hugo hegeland,statsrådet,,5
,hans nyhage,statsrådet,,5
man,hallagaård,,,5
,görel bohlin,statsrådet,,5
,gunnel jonäng,utrikesministern,,5
,gunnar olsson,industriministern,,5
,gunnar hökmark,justitieministern,,5
man,grebaäck,,,5
man,gottfrid karlsson,,,5
man,förste vice,,,5
man,förste,,,5
,frida berglund,statsrådet,,5
,filip fridolfsson,statsrådet,,5
,ewa hedkvist,statsrådet,,5
,eva hedkvist petersen,,,5
man,ernst hjalmar nilsson,,,5
,erik olsson,,,5
man,eriesson,,åtvidaberg,5
,emma löfdahl landberg,,,5
man,edward larsson,,,5
man,ed,,,5
woman,diesen,statsrådet,,5
man,dahlén,statsrådet,,5
man,chefen,statsrådet,,5
man,carl gustaf,,,5
,björn samuelson,statsrådet,,5
,björn molin,statsrådet,,5
man,björk,statsrådet,,5
man,björek,,jönköping,5
,birgit friggebo,,,5
,berit larsson,,,5
,beatrice ask,,,5
man,be,statsrådet,,5
man,anneraås,,,5
man,andréasson,,falkenberg,5
man,andersson,,hyssna,5
man,andersson,,storegården,5
man,almryd,,,5
,ålderspresident tuve,,,4
,ålderspresident per,,,4
woman,äsbrink,,,4
man,ängström,,,4
man,wåag,,,4
man,wå åg,,,4
man,william ohlsson,,,4
man,wilhelm björek,,,4
man,wiklund,,byske,4
man,wethje,,,4
man,werner,statsrådet,,4
man,weinehall,,,4
man,wagusson,,,4
man,vougt kungl,statsrådet,,4
,vivianne gerdin,,,4
,ulla pettersson,justitieministern,,4
,torsten karlsson,industriministern,motala,4
,torkel lindahl,industriministern,,4
woman,thäring,,,4
man,thorsten larsson,statsrådet,,4
woman,thiäring,,,4
woman,thiiring,,,4
,thage peterson,statsministern,,4
man,söderbom,,,4
man,svenungsson,statsrådet,,4
,sven henricsson,kommunikationsministern,,4
,sven henricsson,industriministern,,4
,sture korpås,utrikesministern,,4
,sten andersson,socialministern,malmö,4
,sigrid bolkéus,justitieministern,,4
man,ry,,,4
,rune gustavsson,statsrådet,,4
,rosa östh,statsrådet,,4
,raul bluöcher,,,4
,pierre schori,utrikesministern,,4
man,petterson,,,4
,per stenmarck,justitieministern,,4
man,oskar erikson,,,4
man,ordet,talmannen,,4
man,olssoni kullenbergstorp,,,4
man,olsson,,hov,4
man,nothin,statsrådet,,4
man,norling,,,4
man,nordstrandeh,,,4
man,norberg,,,4
man,nilssoni tånga,,,4
,nils berndtson,industriministern,,4
,nic grönvall,justitieministern,,4
,nic grönvall,industriministern,,4
man,netzeén,,,4
,mårten werner,statsrådet,,4
,maud olofsson,,,4
,mats odell,,,4
man,marks,ministern,,4
,marie nordström,,,4
,marianne samuelsson,utrikesministern,,4
,margareta viklund,utrikesministern,,4
,margareta persson,justitieministern,,4
,margareta mörck,statsrådet,,4
,margareta israelsson,socialministern,,4
man,magnusson,,,4
man,lybeck,statsrådet,,4
man,lin,,,4
,lilly hansson,industriministern,hörnefors,4
,lennart rohdin,utrikesministern,,4
,lennart brunander,industriministern,,4
,lennart andersson,statsrådet,,4
,lena öhrsvik,industriministern,,4
,leif carlsson,,,4
man,larssoni västerås,,,4
man,larsson,,julita,4
woman,lantz,socialministern,,4
,lahja exner,statsrådet,,4
woman,kristensson,justitieministern,,4
man,korpaås,,,4
,knut wachtmeister,statsrådet,,4
,karl gustaf,justitieministern,,4
man,kaijser,statsrådet,,4
man,jordbruksdeparte,statsrådet,,4
man,jonsson,,alsen,4
man,jonsson,,husum,4
,johansson,statsrådet,,4
man,johansson,,södertälje,4
,jan bergqvist,statsrådet,,4
,ingrid hemmingsson,statsrådet,,4
,ingegerd sahlström,justitieministern,,4
,ingbritt irhammar,utrikesministern,,4
woman,hörléen,,,4
woman,hävik,,,4
man,hägelmark,,,4
,hugo bergdahl,statsrådet,,4
man,holmbäack,,,4
,herr,,,4
man,hasselrot,statsrådet,,4
man,hansson,,örebro,4
,hans göran,utrikesministern,turkiet,4
