wiki_id,name,party,url,party_abbrev
Q4969616,Gerda Nilsson,Vänsterpartiet,http://www.wikidata.org/entity/Q4969616,V
Q5553974,Andreas Andersson,Moderaterna,http://www.wikidata.org/entity/Q5553974,M
Q6175872,Otto Silfverbrand,Moderaterna,http://www.wikidata.org/entity/Q6175872,M
Q6192045,Erik Strandh,Liberalerna,http://www.wikidata.org/entity/Q6192045,L
Q6194224,Manne Ståhl,Liberalerna,http://www.wikidata.org/entity/Q6194224,L
Q6196632,Johan Rudolf Sundström,Centerpartiet,http://www.wikidata.org/entity/Q6196632,C
Q6197814,Gustaf Svedman,Moderaterna,http://www.wikidata.org/entity/Q6197814,M
Q6198588,Hjalmar Svensson,Centerpartiet,http://www.wikidata.org/entity/Q6198588,C
Q6198941,Nils Svensson i Långelanda,Moderaterna,http://www.wikidata.org/entity/Q6198941,M
Q6199190,Sven Svensson,Moderaterna,http://www.wikidata.org/entity/Q6199190,M
Q6205950,Carl Gustav Tengström,Liberalerna,http://www.wikidata.org/entity/Q6205950,L
Q6210134,Bengt-Olof Thylén,Moderaterna,http://www.wikidata.org/entity/Q6210134,M
Q6213695,Oscar Tornegård,Centerpartiet,http://www.wikidata.org/entity/Q6213695,C
Q6220738,Birger Utbult,Liberalerna,http://www.wikidata.org/entity/Q6220738,L
Q6224947,Sven Vigelsbo,Centerpartiet,http://www.wikidata.org/entity/Q6224947,C
Q6241396,Olof Wiklund,Socialdemokraterna,http://www.wikidata.org/entity/Q6241396,S
Q6244843,Karl Wirsell,Moderaterna,http://www.wikidata.org/entity/Q6244843,M
Q6258118,Carl Östlund,Moderaterna,http://www.wikidata.org/entity/Q6258118,M
Q6306988,Claes Lindskog,Moderaterna,http://www.wikidata.org/entity/Q6306988,M
Q10540434,Johan Wallin,Socialdemokraterna,http://www.wikidata.org/entity/Q10540434,S
Q18237084,Nils Adler,Socialdemokraterna,http://www.wikidata.org/entity/Q18237084,S
Q19365487,Fredrik Sandwall,Moderaterna,http://www.wikidata.org/entity/Q19365487,M
Q5579064,Johannes Blidfors,Socialdemokraterna,http://www.wikidata.org/entity/Q5579064,S
Q6203671,Hugo Tamm,Moderaterna,http://www.wikidata.org/entity/Q6203671,M
Q6255649,Sten Åkesson,Liberalerna,http://www.wikidata.org/entity/Q6255649,L
Q16008322,Torsten Andersson,Centerpartiet,http://www.wikidata.org/entity/Q16008322,C
Q19976882,Ernst Olsson,Centerpartiet,http://www.wikidata.org/entity/Q19976882,C
Q6043976,Mats Pertoft,Miljöpartiet,http://www.wikidata.org/entity/Q6043976,MP
Q6045525,Per Petersson,Moderaterna,http://www.wikidata.org/entity/Q6045525,M
Q6063807,Ola Rask,Socialdemokraterna,http://www.wikidata.org/entity/Q6063807,S
Q6073114,Jonas Ringqvist,Socialdemokraterna,http://www.wikidata.org/entity/Q6073114,S
Q6079824,Per Rosengren,Vänsterpartiet,http://www.wikidata.org/entity/Q6079824,V
Q6090670,Björn Samuelson,Vänsterpartiet,http://www.wikidata.org/entity/Q6090670,V
Q6189743,Gösta Sterne,Liberalerna,http://www.wikidata.org/entity/Q6189743,L
Q6190751,Michael Stjernström,Kristdemokraterna,http://www.wikidata.org/entity/Q6190751,KD
Q6192550,Per-Olof Strindberg,Moderaterna,http://www.wikidata.org/entity/Q6192550,M
Q6197480,Ivan Svanström,Centerpartiet,http://www.wikidata.org/entity/Q6197480,C
Q6199088,Per-Olof Svensson,Socialdemokraterna,http://www.wikidata.org/entity/Q6199088,S
Q6202605,Lars-Ingvar Sörenson,Socialdemokraterna,http://www.wikidata.org/entity/Q6202605,S
