url	year	note
https://betalab.kb.se/prot-1948--fk--10#1-59	1948	
https://betalab.kb.se/prot-1948-höst-ak--34#1-111	1948	
https://betalab.kb.se/prot-1948--fk--23#1-36	1948	
https://betalab.kb.se/prot-1948--ak--2#1-30	1948	
https://betalab.kb.se/prot-1949--ak--5#1-45	1949	
https://betalab.kb.se/prot-1949--fk--20#1-39	1949	
https://betalab.kb.se/prot-1949--fk--14#1-26	1949	
https://betalab.kb.se/prot-1949--fk--17#1-23	1949	
https://betalab.kb.se/prot-1949--fk--2#1-59	1949	
https://betalab.kb.se/prot-1950--ak--2#1-12	1950	
https://betalab.kb.se/prot-1950-höst-ak--26#1-81	1950	
https://betalab.kb.se/prot-1950--fk--9#1-41	1950	
https://betalab.kb.se/prot-1950--fk--18#1-112	1950	
https://betalab.kb.se/prot-1950-höst-ak--31#1-2	1950	
https://betalab.kb.se/prot-1951--ak--10#1-51	1951	
https://betalab.kb.se/prot-1951--ak--25#1-4	1951	
https://betalab.kb.se/prot-1951--fk--8#1-32	1951	
https://betalab.kb.se/prot-1951--ak--2#1-54	1951	
https://betalab.kb.se/prot-1951--fk--12#1-1	1951	
https://betalab.kb.se/prot-1952--ak--7#1-24	1952	
https://betalab.kb.se/prot-1952--ak--3#1-2	1952	
https://betalab.kb.se/prot-1952-höst-ak--26#1-20	1952	
https://betalab.kb.se/prot-1952--fk--23#1-63	1952	
https://betalab.kb.se/prot-1952--ak--14#1-37	1952	
https://betalab.kb.se/prot-1953-höst-fk--32#1-98	1953	
https://betalab.kb.se/prot-1953-höst-ak--32#1-91	1953	
https://betalab.kb.se/prot-1953--ak--9#1-55	1953	
https://betalab.kb.se/prot-1953--ak--2#1-227	1953	
https://betalab.kb.se/prot-1953--ak--19#1-39	1953	
https://betalab.kb.se/prot-1954--fk--21#1-73	1954	
https://betalab.kb.se/prot-1954--ak--7#1-41	1954	
https://betalab.kb.se/prot-1954--ak--20#1-153	1954	
https://betalab.kb.se/prot-1954--fk--16#1-59	1954	
https://betalab.kb.se/prot-1954-höst-ak--26#1-1	1954	
https://betalab.kb.se/prot-1955--ak--7#1-68	1955	
https://betalab.kb.se/prot-1955--ak--8#1-81	1955	
https://betalab.kb.se/prot-1955--ak--15#1-50	1955	
https://betalab.kb.se/prot-1955--fk--18#1-41	1955	
https://betalab.kb.se/prot-1955--fk--17#1-17	1955	
https://betalab.kb.se/prot-1956--ak--17#1-208	1956	
https://betalab.kb.se/prot-1956--ak--20#1-72	1956	
https://betalab.kb.se/prot-1956--ak--16#1-12	1956	
https://betalab.kb.se/prot-1956-höst-ak--30#1-15	1956	
https://betalab.kb.se/prot-1956--fk--3#1-6	1956	
https://betalab.kb.se/prot-1957--ak--2#1-269	1957	
https://betalab.kb.se/prot-1957--ak--11#1-31	1957	
https://betalab.kb.se/prot-1957-höst-ak--30#1-69	1957	
https://betalab.kb.se/prot-1957--fk--7#1-20	1957	
https://betalab.kb.se/prot-1957--ak--19#1-84	1957	
https://betalab.kb.se/prot-1958-b-ak--13#1-168	1958	
https://betalab.kb.se/prot-1958-b-ak--7#1-94	1958	
https://betalab.kb.se/prot-1958-a-fk--17#1-22	1958	
https://betalab.kb.se/prot-1958-a-fk--18#1-33	1958	
https://betalab.kb.se/prot-1958-b-ak--7#1-66	1958	
https://betalab.kb.se/prot-1959--ak--15#1-121	1959	
https://betalab.kb.se/prot-1959--fk--12#1-35	1959	
https://betalab.kb.se/prot-1959--ak--21#1-31	1959	
https://betalab.kb.se/prot-1959--fk--15#1-43	1959	
https://betalab.kb.se/prot-1959--ak--8#1-59	1959	
https://betalab.kb.se/prot-1960--ak--14#1-197	1960	
https://betalab.kb.se/prot-1960--ak--15#1-88	1960	
https://betalab.kb.se/prot-1960--fk--15#1-80	1960	
https://betalab.kb.se/prot-1960--fk--12#1-101	1960	
https://betalab.kb.se/prot-1960--ak--12#1-113	1960	
https://betalab.kb.se/prot-1961--ak--18#1-6	1961	
https://betalab.kb.se/prot-1961--ak--8#1-18	1961	
https://betalab.kb.se/prot-1961--fk--22#1-42	1961	
https://betalab.kb.se/prot-1961--ak--25#1-128	1961	
https://betalab.kb.se/prot-1961--fk--14#1-85	1961	
https://betalab.kb.se/prot-1962--fk--8#1-45	1962	
https://betalab.kb.se/prot-1962--ak--11#1-29	1962	
https://betalab.kb.se/prot-1962--ak--16#1-38	1962	
https://betalab.kb.se/prot-1962--ak--11#1-6	1962	tricky intro (note/seg/intro)
https://betalab.kb.se/prot-1962-höst-ak--32#1-108	1962	
https://betalab.kb.se/prot-1963--fk--10#1-31	1963	
https://betalab.kb.se/prot-1963--fk--14#1-100	1963	
https://betalab.kb.se/prot-1963-höst-ak--36#1-61	1963	
https://betalab.kb.se/prot-1963--fk--24#1-134	1963	
https://betalab.kb.se/prot-1963--ak--21#1-96	1963	
https://betalab.kb.se/prot-1964-höst-ak--37#1-76	1964	
https://betalab.kb.se/prot-1964--ak--13#1-80	1964	
https://betalab.kb.se/prot-1964-höst-ak--41#1-111	1964	
https://betalab.kb.se/prot-1964-höst-fk--32#1-10	1964	
https://betalab.kb.se/prot-1964--fk--18#1-2	1964	
https://betalab.kb.se/prot-1965--ak--22#1-5	1965	
https://betalab.kb.se/prot-1965--ak--14#1-144	1965	
https://betalab.kb.se/prot-1965-höst-ak--37#1-15	1965	
https://betalab.kb.se/prot-1965--fk--24#1-23	1965	
https://betalab.kb.se/prot-1965-höst-ak--41#1-161	1965	
https://betalab.kb.se/prot-1966-höst-ak--30#1-22	1966	
https://betalab.kb.se/prot-1966--ak--12#1-131	1966	
https://betalab.kb.se/prot-1966-höst-ak--39#1-178	1966	
https://betalab.kb.se/prot-1966--fk--26#1-37	1966	
https://betalab.kb.se/prot-1966--fk--3#1-47	1966	
https://betalab.kb.se/prot-1967--fk--28#1-55	1967	
https://betalab.kb.se/prot-1967--ak--18#1-33	1967	
https://betalab.kb.se/prot-1967--ak--12#1-52	1967	
https://betalab.kb.se/prot-1967--fk--4#1-4	1967	
https://betalab.kb.se/prot-1967--fk--34#1-11	1967	
https://betalab.kb.se/prot-1968--ak--22#1-38	1968	
https://betalab.kb.se/prot-1968--fk--22#1-122	1968	
https://betalab.kb.se/prot-1968--ak--30#1-88	1968	
https://betalab.kb.se/prot-1968--ak--27#1-200	1968	
https://betalab.kb.se/prot-1968--ak--21#1-73	1968	
https://betalab.kb.se/prot-1969--ak--20#1-56	1969	
https://betalab.kb.se/prot-1969--ak--21#1-48	1969	
https://betalab.kb.se/prot-1969--fk--5#1-56	1969	
https://betalab.kb.se/prot-1969--fk--19#1-70	1969	
https://betalab.kb.se/prot-1969-höst-fk--41#1-88	1969	
https://betalab.kb.se/prot-1970-höst-fk--39#1-45	1970	
https://betalab.kb.se/prot-1970--ak--31#1-23	1970	
https://betalab.kb.se/prot-1970--fk--30#1-65	1970	
https://betalab.kb.se/prot-1970--ak--21#1-39	1970	
https://betalab.kb.se/prot-1970--ak--11#1-82	1970	
https://betalab.kb.se/prot-1971--58#1-31	1971	
https://betalab.kb.se/prot-1971--146#1-45	1971	
https://betalab.kb.se/prot-1971--120#1-33	1971	
https://betalab.kb.se/prot-1971--143#1-101	1971	
https://betalab.kb.se/prot-1971--108#1-27	1971	tricky intro
https://betalab.kb.se/prot-1972--95#1-13	1972	
https://betalab.kb.se/prot-1972--85#1-2	1972	dead link
https://betalab.kb.se/prot-1972--95#1-67	1972	
https://betalab.kb.se/prot-1972--68#1-46	1972	
https://betalab.kb.se/prot-1972--114#1-26	1972	missed "För Stockholm..."
https://betalab.kb.se/prot-1973--110#1-50	1973	crazy overlapping
https://betalab.kb.se/prot-1973--105#1-17	1973	
https://betalab.kb.se/prot-1973--100#1-36	1973	
https://betalab.kb.se/prot-1973--142#1-35	1973	
https://betalab.kb.se/prot-1973--140#1-24	1973	
https://betalab.kb.se/prot-1974--71#1-4	1974	
https://betalab.kb.se/prot-1974--141#1-30	1974	
https://betalab.kb.se/prot-1974--115#1-4	1974	broken
https://betalab.kb.se/prot-1974--5#1-11	1974	
https://betalab.kb.se/prot-1974--109#1-59	1974	
https://betalab.kb.se/prot-197576--92#1-31	1975	
https://betalab.kb.se/prot-1975--89#1-101	1975	
https://betalab.kb.se/prot-197576--122#1-17	1975	
https://betalab.kb.se/prot-1975--15#1-36	1975	
https://betalab.kb.se/prot-1975--31#1-12	1975	
https://betalab.kb.se/prot-197677--108#1-21	1976	
https://betalab.kb.se/prot-197677--131#1-6	1976	
https://betalab.kb.se/prot-197677--28#1-54	1976	
https://betalab.kb.se/prot-197677--133#1-3	1976	
https://betalab.kb.se/prot-197677--137#1-6	1976	
https://betalab.kb.se/prot-197778--143#1-93	1977	
https://betalab.kb.se/prot-197778--98#1-26	1977	
https://betalab.kb.se/prot-197778--54#1-24	1977	
https://betalab.kb.se/prot-197778--108#1-6	1977	
https://betalab.kb.se/prot-197778--111#1-21	1977	
https://betalab.kb.se/prot-197879--104#1-20	1978	
https://betalab.kb.se/prot-197879--39#1-11	1978	
https://betalab.kb.se/prot-197879--29#1-64	1978	sent in questions (intro?note?seg?)
https://betalab.kb.se/prot-197879--171#1-26	1978	
https://betalab.kb.se/prot-197879--90#1-36	1978	
https://betalab.kb.se/prot-197980--112#1-64	1979	
https://betalab.kb.se/prot-197980--94#1-121	1979	
https://betalab.kb.se/prot-197980--42#1-36	1979	
https://betalab.kb.se/prot-197980--49#1-102	1979	
https://betalab.kb.se/prot-197980--94#1-42	1979	
https://betalab.kb.se/prot-198081--48#1-16	1980	
https://betalab.kb.se/prot-198081--86#1-10	1980	
https://betalab.kb.se/prot-198081--6#1-11	1980	
https://betalab.kb.se/prot-198081--88#1-17	1980	
https://betalab.kb.se/prot-198081--68#1-13	1980	
https://betalab.kb.se/prot-198182--6#1-25	1981	
https://betalab.kb.se/prot-198182--7#1-75	1981	
https://betalab.kb.se/prot-198182--53#1-67	1981	
https://betalab.kb.se/prot-198182--145#1-87	1981	
https://betalab.kb.se/prot-198182--73#1-30	1981	
https://betalab.kb.se/prot-198283--93#1-93	1982	
https://betalab.kb.se/prot-198283--56#1-1	1982	
https://betalab.kb.se/prot-198283--159#1-60	1982	
https://betalab.kb.se/prot-198283--163#1-82	1982	
https://betalab.kb.se/prot-198283--46#1-16	1982	
https://betalab.kb.se/prot-198384--24#1-11	1983	test
https://betalab.kb.se/prot-198384--118#1-6	1983	
https://betalab.kb.se/prot-198384--54#1-2	1983	broken
https://betalab.kb.se/prot-198384--144#1-66	1983	
https://betalab.kb.se/prot-198384--153#1-48	1983	
https://betalab.kb.se/prot-198485--138#1-2	1984	broken
https://betalab.kb.se/prot-198485--148#1-59	1984	
https://betalab.kb.se/prot-198485--76#1-80	1984	
https://betalab.kb.se/prot-198485--108#1-8	1984	
https://betalab.kb.se/prot-198485--131#1-46	1984	
https://betalab.kb.se/prot-198586--59#1-12	1985	
https://betalab.kb.se/prot-198586--150#1-72	1985	
https://betalab.kb.se/prot-198586--100#1-53	1985	
https://betalab.kb.se/prot-198586--156#1-32	1985	
https://betalab.kb.se/prot-198586--162#1-66	1985	
https://betalab.kb.se/prot-198687--90#1-30	1986	
https://betalab.kb.se/prot-198687--50#1-38	1986	
https://betalab.kb.se/prot-198687--113#1-77	1986	
https://betalab.kb.se/prot-198687--83#1-16	1986	sent in questions (intro?note?seg?)
https://betalab.kb.se/prot-198687--64#1-86	1986	
https://betalab.kb.se/prot-198788--95#1-98	1987	
https://betalab.kb.se/prot-198788--124#1-55	1987	
https://betalab.kb.se/prot-198788--115#1-39	1987	
https://betalab.kb.se/prot-198788--114#1-117	1987	broken
https://betalab.kb.se/prot-198788--99#1-156	1987	
https://betalab.kb.se/prot-198889--63#1-58	1988	test
https://betalab.kb.se/prot-198889--100#1-39	1988	
https://betalab.kb.se/prot-198889--60#1-119	1988	
https://betalab.kb.se/prot-198889--104#1-89	1988	
https://betalab.kb.se/prot-198889--89#1-26	1988	
https://betalab.kb.se/prot-198990--44#1-66	1989	
https://betalab.kb.se/prot-198990--32#1-11	1989	
https://betalab.kb.se/prot-198990--135#1-59	1989	
https://betalab.kb.se/prot-198990--115#1-13	1989	
https://betalab.kb.se/prot-198990--35#1-164	1989	
