year,v0.10.0,v0.12.0,v0.13.0,v0.13.1,v0.14.0
1912,3230.0,3230.0,3230.0,3230.0,3230.0
1913,3476.0,3476.0,3476.0,3476.0,3476.0
1914,2978.0,2978.0,2978.0,2978.0,2978.0
1915,2726.0,2726.0,2726.0,2726.0,2726.0
1916,2694.0,2694.0,2694.0,2694.0,2694.0
1917,3653.0,3653.0,3653.0,3653.0,3653.0
1918,3858.0,3858.0,3858.0,3858.0,3858.0
1919,4278.0,4278.0,4278.0,4278.0,4278.0
1920,4765.0,4765.0,4765.0,4765.0,4765.0
1921,5015.0,5015.0,5015.0,5015.0,5015.0
1922,3862.0,3862.0,3862.0,3862.0,3862.0
1923,3514.0,3514.0,3514.0,3514.0,3514.0
1924,3743.0,3743.0,3743.0,3743.0,3743.0
1925,3661.0,3661.0,3661.0,3661.0,3661.0
1926,4109.0,4109.0,4109.0,4109.0,4109.0
1927,4089.0,4089.0,4089.0,4089.0,4089.0
1928,4360.0,4360.0,4360.0,4360.0,4360.0
1929,4217.0,4217.0,4217.0,4217.0,4217.0
1930,4891.0,4891.0,4891.0,4891.0,4891.0
1931,4021.0,4021.0,4021.0,4021.0,4021.0
1932,4968.0,4968.0,4968.0,4968.0,4968.0
1933,4474.0,4474.0,4474.0,4474.0,4474.0
1934,4302.0,4302.0,4302.0,4302.0,4302.0
1935,3510.0,3510.0,3510.0,3510.0,3510.0
1936,4435.0,4435.0,4435.0,4435.0,4435.0
1937,3571.0,3571.0,3571.0,3571.0,3571.0
1938,3278.0,3278.0,3278.0,3278.0,3278.0
1939,4394.0,4394.0,4394.0,4394.0,4394.0
1940,3496.0,3496.0,3496.0,3496.0,3496.0
1941,3186.0,3186.0,3186.0,3186.0,3186.0
1942,3485.0,3485.0,3485.0,3485.0,3485.0
1943,3599.0,3599.0,3599.0,3599.0,3599.0
1944,3601.0,3601.0,3601.0,3601.0,3601.0
1945,4845.0,4845.0,4845.0,4845.0,4845.0
1946,4626.0,4626.0,4626.0,4626.0,4626.0
1947,3493.0,3493.0,3493.0,3493.0,3493.0
1948,4986.0,4986.0,4986.0,4986.0,4986.0
1949,3935.0,3935.0,3935.0,3935.0,3935.0
1950,4358.0,4358.0,4358.0,4358.0,4358.0
1951,4970.0,4970.0,4970.0,4970.0,4970.0
1952,4745.0,4745.0,4745.0,4745.0,4745.0
1953,4455.0,4455.0,4455.0,4455.0,4455.0
1954,5223.0,5223.0,5223.0,5223.0,5223.0
1955,5017.0,5017.0,5017.0,5017.0,5017.0
1956,5581.0,5581.0,5581.0,5581.0,5581.0
1957,5112.0,5112.0,5112.0,5112.0,5112.0
1958,5494.0,5494.0,5494.0,5494.0,5494.0
1959,5568.0,5568.0,5568.0,5568.0,5568.0
1960,6023.0,6023.0,6023.0,6023.0,6023.0
1961,5206.0,5206.0,5206.0,5206.0,5206.0
1962,5632.0,5632.0,5632.0,5632.0,5632.0
1963,6013.0,6013.0,6013.0,6013.0,6013.0
1964,7366.0,7366.0,7366.0,7366.0,7366.0
1965,7116.0,7116.0,7116.0,7116.0,7116.0
1966,7619.0,7619.0,7619.0,7619.0,7619.0
1967,9099.0,9099.0,9099.0,9099.0,9099.0
1968,8477.0,8477.0,8477.0,8477.0,8477.0
1969,8853.0,8853.0,8853.0,8853.0,8853.0
1970,8751.0,8751.0,8751.0,8751.0,8751.0
1971,7555.0,7555.0,7555.0,7555.0,7555.0
1972,8069.0,8069.0,8069.0,8069.0,8069.0
1973,7657.0,7657.0,7657.0,7657.0,7657.0
1974,6927.0,6927.0,6927.0,6927.0,6927.0
1975,10987.0,10987.0,10987.0,10987.0,10987.0
1976,4358.0,4358.0,4358.0,4358.0,4358.0
1977,7597.0,7597.0,7597.0,7597.0,7597.0
1978,10335.0,10335.0,10335.0,10335.0,10335.0
1979,10131.0,10131.0,10131.0,10131.0,10131.0
1980,9165.0,9165.0,9165.0,9165.0,9165.0
1981,10155.0,10152.0,10152.0,10152.0,10152.0
1982,10013.0,10012.0,10012.0,10012.0,10012.0
1983,10924.0,10922.0,10922.0,10922.0,10922.0
1984,10712.0,10712.0,10712.0,10712.0,10712.0
1985,10469.0,10468.0,10468.0,10468.0,10468.0
1986,10716.0,10715.0,10715.0,10715.0,10715.0
1987,10798.0,10798.0,10798.0,10798.0,10798.0
1988,11669.0,11668.0,11668.0,11668.0,11668.0
1989,12930.0,12929.0,12929.0,12929.0,12929.0
1990,13692.0,12076.0,12076.0,12076.0,12076.0
1991,15012.0,13161.0,13161.0,13161.0,13161.0
1992,16232.0,13956.0,13956.0,13956.0,13956.0
1993,14845.0,13056.0,13056.0,13056.0,13056.0
1994,13000.0,11358.0,11358.0,11358.0,11358.0
1995,12357.0,10302.0,10302.0,10302.0,10302.0
1996,13094.0,12890.0,12890.0,12890.0,12890.0
1997,13495.0,13355.0,13355.0,13355.0,13355.0
1998,13571.0,12507.0,12507.0,12507.0,12507.0
1999,15173.0,13527.0,13527.0,13527.0,13527.0
2000,15965.0,14347.0,14347.0,14347.0,14347.0
2001,15368.0,13819.0,13819.0,13819.0,13819.0
2002,14213.0,12787.0,12787.0,12787.0,12787.0
2003,13631.0,13631.0,13631.0,13631.0,13631.0
2004,15999.0,15999.0,15999.0,15999.0,15999.0
2005,13957.0,13957.0,13957.0,13957.0,13957.0
2006,14161.0,14161.0,14161.0,14161.0,14161.0
2007,16042.0,16042.0,16042.0,16042.0,16042.0
2008,13944.0,13944.0,13944.0,13944.0,13944.0
2009,12070.0,12070.0,12070.0,12070.0,12070.0
2010,11506.0,11506.0,11506.0,11506.0,11506.0
2011,11600.0,11600.0,11600.0,11600.0,11600.0
2012,12167.0,12167.0,12167.0,12167.0,12167.0
2013,14189.0,14189.0,14189.0,14189.0,14189.0
2014,26039.0,13033.0,13033.0,13033.0,13033.0
2015,27562.0,13791.0,13791.0,13791.0,13791.0
2016,25444.0,12728.0,12728.0,12728.0,12728.0
2017,24953.0,12486.0,12486.0,12486.0,12486.0
2018,18786.0,9402.0,9402.0,9402.0,9402.0
2019,20918.0,10466.0,10466.0,10466.0,10466.0
2020,30418.0,15217.0,15217.0,15217.0,15217.0
2021,19162.0,12232.0,12232.0,12232.0,12232.0
2022,,,,,
