wiki_id,name
Q5744409,Sixten von Friesen
Q5748259,Olof Fåhræus
Q5786333,Raoul Hamilton
Q5938123,Liss Olof Larsson
Q707581,Ingemund Bengtsson
Q1375199,Per Westerberg
Q6195774,Gustaf Sundelin
Q6223681,Axel Vennersten
Q6240991,Olof Wijk den yngre
Q16649624,Viktor Larsson
Q5547641,Ludvig Teodor Almqvist
Q5618809,Robert De la Gardie den äldre
Q5628179,Pehr von Ehrenheim
Q6085615,Gustaf Ryding
Q6199757,Axel Swartling
Q6201372,August Sävström
Q6255176,Lars Åkerhielm den yngre
Q52964,Gustaf Åkerhielm
Q52951,Arvid Posse
Q53286,Christian Lundeberg
Q53292,Karl Staaff
Q263366,Gösta Bohman
Q376484,Gunnar Helén
Q444747,Maria Wetterstrand
Q450368,Lisbeth Grönfeldt Bergman
Q514209,Gunnar Hedlund
Q514593,Inger Segelström
Q2021126,Olof Johansson
Q3363827,Carina Ohlsson
Q3370162,Peter Hultqvist
Q3373142,Marie Nordén
Q4946778,Barbro Engman
Q4948781,Vivianne Franzén
Q4949486,Margareta Gard
Q4951500,Inger Gustafsson
Q4952005,Caroline Hagström
Q4952607,Ing-Marie Hansson
Q4953078,Gertrud Hedberg
Q4953330,Chris Heister
Q4953319,Kerstin Heinemann
Q4953552,Ingrid Hemmingsson
Q4954609,Mary Holmqvist
Q4956996,Inga-Britt Johansson
Q4957539,Eva Julin
Q4957716,Marianne Jönsson
Q4958448,Kerstin Keen
Q4958729,Marianne Kierkemann
Q4959972,Julia Kronlid
Q4961181,Ulla-Britta Larsson
Q4962331,Helena Lindahl
Q4964220,Marianne Lundqvist
Q4964571,Berit Löfstedt
Q4968944,Laila Naraghi
Q4969559,Anna-Lisa Nilsson
Q4969654,Karin Nilsson
Q4970289,Hagar Normark
Q4972535,Kristina Persson
Q4972645,Désirée Pethrus
Q6009605,Anders Nilsson
Q6161344,Lennart Pettersson
Q5908653,Stefan Kihlberg
Q5910434,Martin Kinnunen
Q5927536,Kenneth Kvist
Q5938913,Thorsten Larsson
Q5945618,Sören Lekberg
Q5953825,Niclas Lindberg
Q5954984,Göran Lindell
Q5955199,Lars Lindén
Q5958748,Olle Lindström
Q5965908,John Lundberg
Q5966830,Fredrik Lundh Sammeli
Q5967964,Sten Lundström
Q5969402,Pehr Löfgreen
Q5969761,Anders Lönnberg
Q5976015,Eric Marcusson
Q6010314,Gunnar Nilsson
Q5991041,Björn Molin
Q5995156,Holger Mossberg
Q6000869,Birger Möller
Q6011783,Rolf K. Nilsson
Q6017415,Sören Norrby
Q6032157,Ingemar Vänerlöv
Q6043789,Sven Gunnar Persson
Q6046795,Georg Pettersson
Q6067751,Arne Remgård
Q6079361,Mikael Rosén
Q6089393,Sven H. Salén
Q6091566,Olle Sandahl
Q6093311,Mikael Sandström
Q6146893,Gunnar Lange
Q5885967,Erik Johansson
Q5886301,Hilding Johansson
Q5777864,Lars Gustafsson
Q5747727,Reynoldh Furustrand
Q5756351,Mats Gerdau
Q5768681,Per Erik Granström
Q5768911,Ulf Grape
Q5774706,Nic Grönvall
Q5779628,Johnny Gylling
Q5782782,Karl Hagström
Q5785982,Carl B. Hamilton
Q5786495,Bo Hammar
Q5786657,Sven Hammarberg
Q5788984,Bertil Hansson
Q5789491,Nils G. Hansson
Q5807932,Lars Hjälmered
Q5816436,Johan Hultberg
Q5817672,Bengt Hurtig
Q5863281,Arne Gadd
Q5881540,Bo G. Jenevall
Q5889525,John Johnsson
Q5890277,Bertil Jonasson
Q5902061,Ronny Karlsson
Q19724763,Erik Andersson
Q18244376,Jonas Millard
Q18244660,Emma Nohrén
Q18246207,Jimmy Ståhl
Q18246550,Christina Tapper Östberg
Q18246818,Marco Venegas
Q18274557,Roger Hedlund
Q18452054,Marianne Fundahn
Q18692956,Rickard Persson
Q21531339,Per-Arne Håkansson
Q21561352,Carina Grönhagen
Q21567755,Ing-Britt Nygren
Q21567830,Lennart Bolander
Q21578741,Wivi-Anne Radesjö
Q21614462,Rosa-Lill Wåhlstedt
Q21733204,Margareta Viklund
Q21759275,Hans Rosengren
Q26305112,Joar Forssell
Q28125366,Jenny Bengtsson
Q29784015,Björn Rubenson
Q30035676,Linus Sköld
Q57168719,Louise Meijer
Q57168740,Ciczie Weidby
Q57168752,Lorena Delgado Varas
Q57168756,Hanna Gunnarsson
Q57168837,Carina Ödebrink
Q62287348,Jimmy Loord
Q64404514,Malin Danielsson
Q65130310,Helena Storckenfeldt
Q72922068,Markus Selin
Q74566289,Daniel Andersson
Q71055616,Thomas Morell
Q71137014,Linda Lindberg
Q71143822,Mikael Strandman
Q71453214,Caroline Nordengrip
Q97012521,Gunnar Johansson
Q98555891,Ingrid Andersson
Q96323475,Jari Puustinen
Q96323621,David Perez
Q96323985,Elin Gustafsson
Q96324202,Sara Heikkinen Breitholtz
Q96775409,Sture Korpås
Q96980120,Karl Hallgren
Q96980907,John Magnusson
Q96982951,Allan Gustafsson
Q96983571,Göte Peterson
Q97029523,Inger Ingvar-Svensson
Q97461191,Christina Flink
Q97772216,Sedat Dogru
Q97850978,Anne-Marie Wallouch
Q97971237,Jan-Olof Ragnarsson
Q98271395,Gunvor Norberg
Q98271535,Stig Genitz
Q98271639,Bengt Nording
Q98538739,Lars Ljungberg
Q98538756,Anne-Marie Gustafsson
Q98539283,Billy Eriksson
Q98556529,Kerstin Jordan
Q98668735,Carin Nygren
Q98937482,Mats Karlsson
Q98937885,Lennart Bodén
Q99419541,Eva Marcusdotter
Q99527006,Malin Höglund
Q107419934,Elisabeth Andersson
Q107485113,Ethel Duvskog
Q4956970,Eva Johansson
Q4935815,Ingrid Andersson
Q4935938,Ulla Andersson
Q4935945,Yvonne Andersson
Q4936035,Margareta Andrén
Q4940303,Helena Bouveng
Q4941925,Emma Carlsson Löfdahl
Q4942986,Viola Claesson
Q4944235,Linnéa Darell
Q4944988,Åsa Domeij
Q4945656,Annika Eclund
Q4945706,Lotta Edholm
Q4946795,Cecilia Engström
Q4946821,Marie Engström
Q4947061,Nancy Eriksson
Q4947360,Lahja Exner
Q4948778,Mia Franzén
Q4949761,Kerstin Gellerman
Q4952231,Pia Hallström
Q4952392,Ingrid Hammarberg
Q4955040,Anna-Brita Hulth
Q4955459,Christina Höj Larsen
Q4955842,Ingbritt Irhammar
Q4956659,Renée Jeryd
Q4956893,Anna Johansson
Q4957065,Marie-Ann Johansson
Q4958102,Annelie Karlsson
Q4958997,Margareta B. Kjellin
Q4959099,Lena Klevenås
Q4961647,Maria Leissner
Q4962466,Teres Lindberg
Q4963441,Eva Lohman
Q4963562,Karla López
Q4965523,Ragnwi Marcelind
Q4966432,Lisa Mattson
Q5553885,Anders Andersson
Q4973713,Margareta Pålsson
Q4975896,Rosita Runegrund
Q4976132,Gunvor Ryding
Q4976383,Ingegerd Saarinen
Q4979996,Kerstin-Maria Stalín
Q4980077,Karin Starrin
Q4981243,Britta Sundin
Q4982713,Mildred Thulin
Q4988501,Ingegärd Frænkel
Q4989817,Inger Strömbom
Q4990084,Gunilla Wahlén
Q4990161,Gunvor Wallin
Q4990215,Meeri Wasberg
Q4990303,Alwa Wennerlund
Q4990984,Boriana Åberg
Q5555243,Lars Andersson
Q5125017,Claes Västerteg
Q5388443,Erik A. Eriksson
Q5544145,Bengt Ahlquist
Q5555011,John Andersson
Q5556070,Sven G. Andersson
Q5559631,Sture Arnesson
Q5562548,Nils Fredrik Aurelius
Q5563661,Jan Backman
Q5578317,Leif Björnlod
Q5581337,Per Bolund
Q5588228,Lennart Brunander
Q5602918,Leif Carlson
Q5605493,Mikael Cederbratt
Q5616216,Bengt Dalström
Q6169540,Fredrik Schulte
Q6171719,Martin Segerstedt
Q6175674,Sven-Gösta Signell
Q6178341,Karl Gustaf Sjödin
Q6178849,Anders Sjölund
Q6179083,Sven-Erik Sjöstrand
Q6186253,Harry Staaf
Q6187608,Lars-Arne Staxäng
Q6190700,Håkan Stjernlöf
Q6193321,Håkan Strömberg
Q6196274,Tage Sundkvist
Q6197506,Stefan Svanström
Q6198076,Lars Svensk
Q6198732,Karl-Gösta Svenson
Q6204688,Magnus Taube
Q6209093,Olle Thorell
Q6210385,Brivio Thörner
Q6212168,Erik Tobé
Q6213461,Bo Toresson
Q6229070,Göte Wahlström
Q6234203,Lars Wegendal
Q6244944,Carlinge Wisberg
Q6255521,Anders Åkesson
Q6255984,Göran Åstrand
Q6256695,Conny Öhman
Q10578332,Mathias Sundin
Q16596188,Christina Rogestam
Q18202365,Ida Drougge
Q18202412,Johanna Haraldsson
Q18202405,Lena Emilsson
Q18237283,Lisbeth Sundén Andersson
Q18238692,Janine Alm Ericson
Q18242665,Emma Hult
Q18243244,Maj Karlsson
Q18245374,Daniel Riazat
Q6009898,Bo Nilsson
Q5938612,Roland Larsson
Q5887280,Ola Johansson
Q5889482,Ingvar Johnsson
Q5892646,Gösta Josefsson
Q5895841,Eric Jönsson
Q5901520,Ingvar Karlsson
Q5923238,Valter Kristenson
Q5923998,Bengt Kronblad
Q5928457,Emil Källström
Q5929222,Björn Körlof
Q5935536,Kenneth Lantz
Q5935863,Tage Larfors
Q5937667,Herbert Larsson
Q5937997,Lars Larsson i Lotorp
Q5938586,Rikard Larsson
Q5948576,Karl-Axel Levin
Q5952656,Johan Linander
Q5963514,Gustav Lorentzon
Q5969341,Bertil Löfberg
Q5969317,Petter Löberg
Q5969883,Johan Lönnroth
Q5971917,Arne Magnusson
Q5998644,Valter Mutt
Q6001307,Yngve Möller
Q6011391,Nils Oskar Nilsson
Q6015874,Kaj Nordquist
Q6016190,Kjell Nordström
Q6020275,Yngve Nyquist
Q6025320,Joakim Ollén
Q470630,Peter Eriksson
Q4967237,Lena Micko
Q4970788,Camilla Odhnoff
Q5615474,Hans Dahlgren
Q4946204,Anna Ekström
Q3372917,Mikael Damberg
Q3375050,Anders Ygeman
Q4787806,Ardalan Shekarabi
Q241208,Isabella Lövin
Q3431836,Lena Hallengren
Q4970111,Eva Nordmark
Q23916255,Åsa Lindhagen
Q24018140,Amanda Lind
Q18243775,Ann Linde
Q4935873,Magdalena Andersson
Q4980750,Annika Strandhäll
Q23915324,Lina Axelsson Kihlblom
Q6241556,Gabriel Wikström
Q3373058,Matilda Ernkrans
Q109828321,Jeanette Gustafsdotter
Q4725739,Alice Bah Kuhnke
Q18177071,Åsa Regnér
Q19977122,Per Olsson Fridh
Q53701,Axel Pehrsson-Bramstorp
Q3369258,Ylva Johansson
Q4609816,Sven-Erik Bucht
Q4953463,Helene Hellmark Knutsson
Q5711551,Tomas Eneroth
Q18176335,Aida Hadzialic
Q64524335,Märta Stenevi
Q67207189,Anna Hallberg
Q5624774,Bino Drummond
Q5650744,Hans Stenberg
Q5707657,Sven Ekström
Q5708858,Lennart Eliasson
Q5713444,Eric Enlund
Q5714566,Björn Ericson
Q5716662,John Eriksson i Bäckmora
Q5716747,Karl Erik Eriksson
Q6257968,Ivar Österström
Q6026474,Anders Olsson i Mora
Q4895712,Bertil von Friesen
Q6180020,Martin Skoglund
Q271230,Åsa Romson
Q5604541,Leif Cassel
Q5971892,Otto Magnusson
Q6151901,Oscar Malmborg
Q2740012,Stefan Löfven
Q5882484,Ola Jeppsson
Q5570408,Sven Bengtsson
Q6011618,Per Nilsson i Bonarp
Q6173314,Torgil von Seth
Q5603515,Oscar Carlström
Q5972050,Karl Magnusson i Skövde
Q52968,Erik Gustaf Boström
Q53294,Arvid Lindman
Q52950,Louis de Geer den äldre
Q53300,Hjalmar Hammarskjöld
Q53713,Olof Palme
Q53305,Carl Swartz
Q52969,Fredrik von Otter
Q53310,Nils Edén
Q52972,Johan Ramstedt
Q53733,Ola Ullsten
Q53642,Carl Gustaf Ekman
Q52920,Fredrik Reinfeldt
Q53628,Oscar von Sydow
Q53660,Per Albin Hansson
Q52958,Robert Themptander
Q53620,Hjalmar Branting
Q53637,Rickard Sandler
Q53721,Thorbjörn Fälldin
Q52956,Carl Johan Thyselius
Q52960,Gillis Bildt
Q53633,Ernst Trygger
Q53626,Louis de Geer den yngre
Q53650,Felix Hamrin
Q21821412,Gunnar Ström
Q18245930,Linda Westerlund Snecker
Q18451082,Ida Karkiainen
Q19977216,Anders Schröder
Q21544232,Anders Berglöv
Q21561342,Petra Gardos
Q21567760,Marianne Nilsson
Q21567799,Ewy Möller
Q21578771,Erik Janson
Q21578777,Larry Söder
Q21578753,Roger Lamell
Q21694214,Magda Ayoub
Q21694243,Sven-Erik Alkemark
Q21717744,Jörgen Persson
Q21731260,Sven Munke
Q27299991,Pål Jonson
Q28125320,Per Sundgren
Q30000205,Ulrika Heindorff
Q30000308,Rene Francis
Q30000515,Monica Tedestam Berglöw
Q42712344,Josefin Malmqvist
Q50353159,David Lindvall
Q50353165,Eva-Lena Gustavsson
Q52677515,Ulla Jacobsson
Q56706633,Joakim Sandell
Q57168729,Helena Gellerman
Q57168842,Heléne Björklund
Q57232743,Marie Axelsson
Q59418273,Maria Nilsson
Q62287028,Björn Petersson
Q64898527,Hannes Beckman
Q66733203,Helén Andersson
Q70586981,Marie-Louise Hänel Sandström
Q70611350,Jon Thorbjörnson
Q70621742,Alireza Akhondi
Q70731884,Lars Thomsson
Q70906950,Yasmine Eriksson
Q71133291,Ann-Christine From Utterstedt
Q71545861,Jörgen Grubb
Q96983715,Mats Olsson
Q97013026,Erik Johansson
Q96678365,Harald Hjalmarsson
Q96678492,Stina Larsson
Q96774944,Sune Olsson
Q96983283,Per Stjernström
Q97012492,Sven-Olov Träff
Q97013183,Gunde Raneskog
Q97030392,Per-Axel Nilsson
Q97061977,Sune Johansson
Q97064907,Karl Björzén
Q97971273,Christina Raud
Q97971265,Eva Thede
Q98271064,Ulf Sivertun
Q98271301,Loui Bernal
Q98271441,Sven-Olof Nordlund
Q98271474,Ingeborg Hartelius
Q98271531,Svante Allgullander
Q98317372,Ulla-Britt Carlsson
Q98447460,Johan Lagerfelt
Q5554920,Johan Andersson
Q5555345,Lennart Andersson
Q4969533,Helena Nilsson Lannegren
Q4970068,Karin Nordlander
Q4970743,Marta Obminska
Q4970890,Britt Olauson
Q4971112,Elvy Olsson
Q4971402,Berit Oscarsson
Q4972634,Jenny Petersson
Q4973156,Ragnhild Pohanka
Q4975858,Liisa Rulander
Q4975999,Yvonne Ruwaida
Q4976340,Catarina Rönnung
Q4976504,Ingegerd Sahlström
Q4976788,Barbro Sandberg
Q4976716,Marianne Samuelsson
Q4979095,Ingrid Skeppstedt
Q4981268,Gudrun Sundström
Q4983135,Susann Torgerson
Q4984603,Seija Viitamäki-Carlsson
Q4990157,Gunhild Wallin
Q4990382,Aina Westin
Q4990351,Ulla Wester
Q5109205,Christer Winbäck
Q5388484,Erik Bengtzboe
Q5388596,Erik Glimnér
Q6042676,Bertil Persson
Q6198768,Lars Svensson
Q6043377,Mats Persson
Q6026206,Bengt Harding Olson
Q6027916,Rolf Olsson
Q6037205,Runar Patriksson
Q6039678,Johan Pehrson
Q6043655,Peter Persson
Q6043823,Sven Yngve Persson
Q6046583,Alf Pettersson
Q6090662,Björn Samuelson
Q6092482,Mats Sander
Q6157349,Hans Nordgren
Q6172463,Anders Sellström
Q6186607,Tasso Stafilidis
Q6190897,Claes Stockhaus
Q6191909,Thomas Strand
Q6198714,Jörn Svensson
Q6201875,Willy Söderdahl
Q6207818,Göran Thingwall
Q6221732,Paavo Vallius
Q6232261,Jörgen Warborn
Q6235935,Alf Wennerfors
Q6236977,H.G. Wessberg
Q6254715,Martin Ådahl
Q6255767,Lars Ångström
Q6333913,Lennart Thörnlund
Q6340523,Carl-Johan Wilson
Q6343965,Olle Östrand
Q12006677,Tomas Nilsson
Q16594543,Cecilia Dalman Eek
Q18202339,Teresa Carvalho
Q491206,Anders Nordin
Q1663473,Ingvar Svensson
Q308217,Abdirizak Waberi
Q352831,Bert Karlsson
Q378195,Hans Rothenberg
Q455820,Margaretha af Ugglas
Q513301,Fredrick Federley
Q517921,Marianne Berg
Q2156636,Johnny Munkhammar
Q3357513,William Petzäll
Q3358771,Per Svedberg
Q3363842,Christer Adelsbo
Q3373040,Maryam Yazdanfar
Q3374622,Eva-Lena Jansson
Q99363899,Jonas Wikström
Q99373629,Annica Jonsson
Q98556536,Turid Ström
Q98668723,Bengt Wernerdal
Q99541757,Anne-Li Sjölund
Q99909932,Diana Laitinen Carlsson
Q104214592,Emma Ahlström Köster
Q104215746,Kristin Oretorp
Q104215872,Anna-Karin Nylund
Q105371172,Magnus Stuart
Q105604453,Katarina Olofsson
Q108420017,Malin Björk
Q108525852,Sofia Amloh
Q5783838,David Hall
Q953952,Sven Andersson
Q5716548,Herman Eriksson
Q206619,Charlotte Cederschiöld
Q152437,Alva Myrdal
Q3376192,Krister Wickman
Q4710223,Albert Forslund
Q4949040,Heléne Fritzon
Q6017016,Bengt Norling
Q6250583,Bertil Zachrisson
Q5561426,Sven Aspling
Q5989925,Sven Moberg
Q2130664,Lennart Geijer
Q4979119,Karolina Skog
Q5777713,Hans Gustafsson
Q2345137,Eric Holmqvist
Q4970543,Hildur Nygren
Q5950208,Carl Lidbom
Q6192576,Gerhard Strindlund
Q5959211,John Lingman
Q4353489,Karl Gustaf Westman
Q5887636,Rune B. Johansson
Q5723045,Bijan Fahimi
Q5901848,Mattias Karlsson
Q5737622,Johan Forssell
Q5740956,Oscar Franzén
Q5743490,Carl Frick
Q5770090,Åke Green
Q5777943,Nils-Eric Gustafsson
Q5778140,Wilhelm Gustafsson
Q5778281,Bengt Gustavsson
Q5782706,Hans Hagnell
Q5796375,Lennart Hedquist
Q5809040,Gustaf Hoffstedt
Q5814651,Erik Hovhammar
Q5819783,Lars Härneman
Q5820937,Ivar Högström
Q5886752,Kenneth Johansson
Q5887855,Sven Johansson
Q5888467,Anders Johnson
Q5891144,Gustaf Jonnergård
Q5896499,Björn Kaaling
Q5898640,Ismail Kamil
Q5907951,Reza Khelili Dylami
Q5930707,Per Lager
Q6019543,Jan Nygren
Q6209474,Fredrik Vilhelm Thorsson
Q490785,Anders Björck
Q1780585,Gun Hellsvik
Q4931118,Bo Könberg
Q4953085,Anna Hedborg
Q5583208,Curt Boström
Q4916267,Birgit Friggebo
Q5626648,Göran Persson
Q5556063,Sven Andersson i Billingsfors
Q5556973,Michael Anefur
Q5561846,Metin Ataseven
Q5562416,Gillis Augustsson
Q5577484,Gunnar Björk
Q5577506,Kaj Björk
Q5579360,Lennart Blom
Q5582047,Karl Boo
Q5596953,Lars Bergstig
Q5605672,Sebastian Cederschiöld
Q5608191,Alexander Chrisopoulos
Q5615362,Bertil Dahlén
Q5616258,Jakop Dalunde
Q5618990,Gunnar Ericsson
Q5619091,Gunnar Nilsson
Q5627199,Erik Edin
Q5717777,Christer Erlandsson
Q5731042,Thomas Finnborg
Q5737254,Bo Forslund
Q5740872,Ivar Franzén
Q5741003,Tommy Franzén
Q5742656,Lennart Fremling
Q5743823,Filip Fridolfsson
Q4938512,Frida Berglund
Q4935882,Margareta Andersson
Q3375059,Ann-Christin Ahlberg
Q3375500,Ann Arleklo
Q3495183,Anne Ludvigsson
Q3845415,Krister Örnfjäder
Q4349165,Elina Linna
Q4355921,Luciano Astudillo
Q4356431,Nina Lundström
Q4393097,Rolf Rämgård
Q4767537,Anna Tenje
Q4768958,Anneli Särnblad
Q4794565,Arne Geijer
Q4916289,Birgitta Ahlqvist
Q4933653,Maria Abrahamsson
Q4933925,Berit Adolfsson
Q4934607,Karin Ahrland
Q4937060,Christina Axelsson
Q4937942,Cinnika Beiming
Q4938296,Heli Berg
Q18245020,Magnus Persson
Q21529003,Karin Jeppsson
Q18202407,Emilia Töyrä
Q18202362,Maria Malmer Stenergard
Q18238731,Mikael Eskilandersson
Q18238847,Runar Filper
Q18243181,Patrik Jönsson
Q18243330,Per Klarberg
Q18335061,Maria Weimer
Q18454922,Pernilla Stålhammar
Q19977344,Christina Örnebjär
Q30000498,Patrik Engström
Q21558210,Lars Biörck
Q21558212,Kristina Knöös-Franzén
Q21567800,Ingemar Konradsson
Q21578743,Britta Hammarbacken
Q21614203,Sylvia Pettersson
Q21733290,Marianne Karlsson
Q21745498,Kent Lundgren
Q24701062,Mathias Tegnér
Q27750419,Christian Carlsson
Q30000444,Petra Ekerum
Q30035679,Lars Püss
Q30035703,Eva Wallin
Q30035704,Faradj Koliev
Q50353170,Hamza Demir
Q54006296,Karl Längberg
Q54365866,Mikael Peterson
Q57168695,Marléne Lund Kopparklint
Q57168710,Anna Sibinska
Q57168773,Elin Segerlind
Q59269310,Ann-Sofie Alm
Q60732958,Viktor Wärnick
Q70407251,Mikael Damsgaard
Q70407841,Staffan Eklöf
Q70886056,Clara Aranda
Q70912742,Bo Broman
Q71131688,Ludvig Aspling
Q71137237,Amanda Palmstierna
Q71546781,Per Söderlund
Q96775449,Gösta Karlsson
Q96309435,Eva Öhbom Ekdahl
Q96324261,Lolo Lindström
Q96982420,Alfred Håkansson
Q97013061,Britt Wigenfeldt
Q97013076,Ulla Ekelund
Q97029691,Sven Erik Nordin
Q97040428,Eva Hjelmström
Q316519,Jerzy Einhorn
Q432059,Lars-Ivar Ericson
Q438397,Thomas Hammarberg
Q714508,Håkan Juholt
Q724410,Gabriel Romanus
Q897282,Kristina Axén Olin
Q1593545,Olof Lavesson
Q1976379,Anders Wijkman
Q2990882,Carina Moberg
Q3358804,Kerstin Engle
Q3359406,Christer Engelhardt
Q4938749,Christina Berlin
Q4941081,Anita Bråkenhielm
Q4946359,Anna Eliasson
Q4946536,Ingegerd Elm
Q4948766,Sonja Fransson
Q4949277,Viola Furubjelke
Q4949502,Maria Gardfjell
Q4951850,Susanna Haby
Q4954312,Ulla Hoffmann
Q4955284,Siri Häggmark
Q4955378,Doris Håvik
Q4955495,Linnea Hörlén
Q4957018,Kersti Johansson
Q4957112,Wiwi-Anne Johansson
Q4957570,Ellen Juntti
Q4958180,Sonia Karlsson
Q4959886,Kerstin Kristiansson Karlstedt
Q4962191,Annika Lillemets
Q4962481,Gullan Lindblad
Q4964320,Agneta Luttropp
Q4967270,Maggi Mikaelsson
Q4969234,Cecilia Nettelbrandt
Q4969913,Elise Norberg
Q4969993,Margareta E. Nordenvall
Q4970650,Elizabeth Nyström
Q4970993,Eva Olofsson
Q4972566,Siw Persson
Q4972727,Christina Pettersson
Q944795,Alf Svensson
Q179493,Bertil Ohlin
Q1777531,Christian Günther
Q1555406,Gustaf Henning Andersson
Q5556673,Georg Andrén
Q1807154,Erik Palmstierna
Q5555093,Jörgen Andersson
Q5623378,Fritiof Domö
Q6168210,Karl Schlyter
Q817241,Bengt Westerberg
Q1830351,Per Unckel
Q4891887,Berit Andnor
Q4961658,Britta Lejon
