role,government,wiki_id,start,end
Sveriges skolminister,Regeringen Carlsson III,Q3369258,1994-10-07,1998-10-06
Sveriges utrikesminister,Regeringen Palme II,Q4098206,1982-10-08,1985-10-17
Sveriges ecklesiastikminister,Regeringen Branting III,Q6027656,1924-10-18,1926-06-07
Sveriges EU-minister,Regeringen Carl Bildt,Q5622212,1991-10-04,1994-10-07
Sveriges näringsminister,Regeringen Carlsson III,Q5555093,1996-02-05,1996-03-22
Sveriges ecklesiastikminister,Regeringen Hansson III,Q5563972,1939-12-13,1944-12-15
Sveriges konsumentminister,Regeringen Carl Bildt,Q4944305,1991-10-04,1994-10-07
Sveriges justitieminister,Regeringen Branting III,Q6018174,1924-01-01,1926-01-01
Sveriges socialminister,Regeringen Carlsson III,Q4982419,1994-10-07,1996-03-22
Sveriges samordningsminister,Regeringen Carlsson III,Q6019543,1994-10-07,1996-03-22
Sveriges socialminister,Regeringen Hansson III,Q4570928,1939-12-13,1951-10-01
Sveriges folkhushållningsminister,Regeringen Hansson III,Q3373681,1941-03-07,1947-05-24
Sveriges jordbruksminister,Regeringen Carlsson III,Q3430022,1994-10-07,1996-03-22
Sveriges jämställdhetsminister,Regeringen Carl Bildt,Q817241,1993-01-15,1994-10-07
Sveriges utrikesminister,Regeringen Branting III,Q298317,1924-10-18,1926-06-07
Sveriges miljöminister,Regeringen Carl Bildt,Q2021126,1991-10-04,1994-06-16
Sveriges handelsminister,Regeringen Hansson III,Q5716548,1941-03-07,1944-09-30
Sveriges minister för nordiskt samarbete,Regeringen Carl Bildt,Q5005171,1994-06-16,1994-10-07
konsultativt statsråd,Regeringen Hansson III,Q5572966,1939-12-13,1943-08-30
Sveriges skatteminister,Regeringen Carl Bildt,Q2448370,1991-10-04,1994-10-07
Sveriges energiminister,Regeringen Carlsson III,Q5555093,1994-10-07,1996-03-22
Sveriges civilminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22
Sveriges sjukvårdsminister,Regeringen Carl Bildt,Q4931118,1991-10-04,1994-10-07
Sveriges miljöminister,Regeringen Carlsson III,Q208591,1994-10-07,1998-10-07
Sveriges biståndsminister,Regeringen Palme II,Q460919,1985-10-17,1991-10-04
Sveriges kommunikationsminister,Regeringen Carlsson III,Q4984124,1994-10-07,1998-10-07
Sveriges arbetsrättsminister,Regeringen Carlsson III,Q5579495,1994-10-07,1996-03-22
Sveriges kommunikationsminister,Regeringen Palme II,Q5583208,1982-01-01,1985-01-01
Sveriges utbildningsminister,Regeringen Carlsson III,Q6206776,1994-10-07,1998-10-06
Sveriges näringsminister,Regeringen Carl Bildt,Q1375199,1991-10-04,1994-10-07
Sveriges biståndsminister,Regeringen Carlsson III,Q3386964,1994-10-07,1999-06-11
Sveriges bostadsminister,Regeringen Carlsson III,Q5555093,1994-10-07,1996-03-21
Sveriges utrikesminister,Regeringen Carlsson III,Q460919,1994-10-07,1998-10-07
Sveriges justitieminister,Regeringen Hansson III,Q4353489,1936-09-28,1943-08-30
Sveriges justitieminister,Regeringen Carlsson III,Q291648,1994-10-07,2000-09-21
Sveriges socialförsäkringsminister,Regeringen Carl Bildt,Q4931118,1991-10-04,1994-10-07
Sveriges socialminister,Regeringen Branting III,Q4570928,1924-10-18,1926-06-07
Sveriges försvarsminister,Regeringen Branting III,Q53660,1924-10-18,1926-06-07
Sveriges utbildningsminister,Regeringen Palme II,Q460919,1982-10-08,1985-10-16
Sveriges utrikeshandelsminister,Regeringen Carlsson III,Q5799722,1994-10-07,1996-03-22
Sveriges miljöminister,Regeringen Carl Bildt,Q6027273,1994-10-02,1994-10-07
Sveriges invandrarminister,Regeringen Carl Bildt,Q4916267,1991-10-04,1994-10-07
Sveriges kommunikationsminister,Regeringen Branting III,Q16649624,1924-10-18,1926-06-07
Sveriges finansminister,Regeringen Branting III,Q6209474,1924-10-18,1925-05-05
Sveriges försvarsminister,Regeringen Carl Bildt,Q490785,1991-10-04,1994-10-07
Sveriges idrottsminister,Regeringen Carl Bildt,Q2448370,1991-10-04,1994-10-07
Sveriges ungdomsminister,Regeringen Carl Bildt,Q4944305,1991-10-04,1994-10-07
Sveriges handelsminister,Regeringen Branting III,Q53637,1924-10-18,1925-02-27
Sveriges minister för nordiskt samarbete,Regeringen Carl Bildt,Q2021126,1991-10-04,1994-06-16
Sveriges utrikeshandelsminister,Regeringen Carl Bildt,Q5622212,1991-10-04,1994-10-07
Statsministerns ställföretädare,Regeringen Carl Bildt,Q817241,1991-10-04,1994-10-07
Sveriges arbetsmarknadsminister,Regeringen Carlsson III,Q6196549,1994-10-07,1996-03-22
Sveriges utrikesminister,Regeringen Hansson III,Q1777531,1939-12-13,1945-07-31
Sveriges konsumentminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22
Sveriges samfundsminister,Regeringen Carl Bildt,Q4944305,1991-10-04,1994-10-07
Sveriges utrikesminister,Regeringen Carl Bildt,Q455820,1991-10-04,1994-10-07
Sveriges justitieminister,Regeringen Hansson III,Q5572966,1943-08-30,1945-07-31
Sveriges försvarsminister,Regeringen Carlsson III,Q2408431,1994-10-07,1997-02-01
Sveriges utbildningsminister,Regeringen Carl Bildt,Q1830351,1991-10-04,1994-10-07
Sveriges försvarsminister,Regeringen Hansson III,Q6180686,1938-12-16,1945-07-31
Sveriges socialminister,Regeringen Palme II,Q4978577,1985-10-16,1989-01-29
Sveriges försvarsminister,Regeringen Palme II,Q5583208,1982-12-01,1983-01-17
Sveriges idrottsminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22
Sveriges näringsminister,Regeringen Carlsson III,Q4126210,1994-10-07,1996-02-05
Sveriges arbetsmarknadsminister,Regeringen Carl Bildt,Q5005171,1991-10-04,1994-10-07
Sveriges kulturminister,Regeringen Carlsson III,Q237522,1994-10-07,1996-03-22
Sveriges sjukvårdsminister,Regeringen Palme II,Q4978577,1982-10-08,1985-10-16
Sveriges utrikesminister,Regeringen Persson,Q208591,1998-10-07,2003-09-11
Sveriges socialförsäkringsminister,Regeringen Persson,Q4959140,1996-03-22,1999-09-14
Sveriges integrationsminister,Regeringen Persson,Q6029071,2004-10-21,2006-10-06
Sveriges jämställdhetsminister,Regeringen Persson,Q6029071,2004-10-21,2006-10-06
konsultativt statsråd,Regeringen Hansson III,Q5616687,1944-01-01,1952-01-01
Sveriges näringsminister,Regeringen Persson,Q6196549,1996-03-22,1998-10-07
Sveriges sjöförsvarsminister,Regeringen Branting I,Q4894168,1920-03-10,1920-07-01
Sveriges demokratiminister,Regeringen Persson,Q4961658,1998-10-07,2002-10-15
Statsministerns ställföretädare,Regeringen Persson,Q3115681,2003-10-31,2004-05-31
Sveriges utrikesminister,Regeringen Branting I,Q1807154,1920-03-10,1920-10-27
Sveriges handelsminister,Regeringen Hansson III,Q179493,1944-09-30,1945-07-31
Sveriges jordbruksminister,Regeringen Persson,Q4991027,1996-03-22,1998-10-07
Sveriges försvarsminister,Regeringen Branting I,Q53660,1920-07-01,1920-10-27
Sveriges minister för nordiskt samarbete,Regeringen Persson,Q4891887,2002-10-21,2006-10-06
Sveriges finansmarknadsminister,Regeringen Persson,Q5619080,2002-10-21,2004-10-21
Sveriges försvarsminister,Regeringen Persson,Q2408431,1994-10-07,1997-02-01
Sveriges kommunikationsminister,Regeringen Branting I,Q20760558,1920-07-01,1920-10-27
Sveriges samordningsminister,Regeringen Persson,Q3296958,1996-03-22,1997-02-01
Sveriges jämställdhetsminister,Regeringen Persson,Q3430022,1998-10-07,2002-10-21
Statsministerns ställföretädare,Regeringen Persson,Q291648,2004-10-01,2004-11-01
Sveriges lantförsvarsminister,Regeringen Branting I,Q53660,1920-07-01,1920-07-01
Sveriges jordbruksminister,Regeringen Branting II,Q5955664,1921-10-13,1923-04-19
Sveriges migrationsminister,Regeringen Persson,Q3386964,1996-03-22,1999-09-14
Sveriges socialminister,Regeringen Persson,Q4891887,2004-10-01,2006-10-06
Sveriges kommunikationsminister,Regeringen Hansson III,Q5623378,1944-01-01,1945-01-01
Sveriges utrikesminister,Regeringen Branting II,Q53620,1921-10-13,1923-04-19
Sveriges jordbruksminister,Regeringen Hansson III,Q53701,1936-06-19,1945-07-31
Sveriges ecklesiastikminister,Regeringen Branting I,Q6027656,1919-11-28,1920-10-27
Sveriges utbildningsminister,Regeringen Persson,Q3296958,2004-10-21,2006-10-06
Sveriges ecklesiastikminister,Regeringen Branting II,Q6027656,1921-10-13,1923-04-19
Sveriges kommunikationsminister,Regeringen Hansson III,Q1555406,1939-12-13,1944-09-30
Sveriges biträdande socialminister,Regeringen Persson,Q4891887,2002-10-21,2004-10-01
Sveriges justitieminister,Regeringen Branting I,Q6255333,1920-01-01,1920-01-01
konsultativt statsråd,Regeringen Branting II,Q6018174,1921-10-13,1923-04-19
Sveriges migrationsminister,Regeringen Persson,Q1232072,2002-01-07,2003-10-10
Sveriges socialminister,Regeringen Persson,Q4959140,1998-10-26,1998-11-16
Sveriges migrationsminister,Regeringen Persson,Q4959140,1999-09-14,2001-11-16
Sveriges samordningsminister,Regeringen Persson,Q2408431,1997-02-01,1998-10-07
Sveriges energiminister,Regeringen Persson,Q3296958,2002-10-21,2004-10-21
Sveriges utrikesminister,Regeringen Persson,Q1232072,2003-09-11,2003-10-10
Sveriges näringsminister,Regeringen Persson,Q3374466,1998-10-07,2002-10-15
Sveriges arbetsmarknadsminister,Regeringen Persson,Q3374466,1998-10-06,2002-10-06
Sveriges socialförsäkringsminister,Regeringen Persson,Q4982419,1999-09-14,2002-10-10
Sveriges konsumentminister,Regeringen Persson,Q5579495,1996-03-22,1998-03-02
Sveriges inrikesminister,Regeringen Persson,Q5555093,1996-07-01,1998-10-06
Sveriges ungdomsminister,Regeringen Persson,Q3431836,2002-10-21,2006-10-06
Sveriges utrikeshandelsminister,Regeringen Persson,Q3296958,1997-02-01,2002-10-21
Sveriges handelsminister,Regeringen Branting I,Q6209474,1920-07-01,1920-10-27
Sveriges jordbruksminister,Regeringen Branting I,Q6011492,1920-03-10,1920-10-27
Sveriges samfundsminister,Regeringen Persson,Q3115681,1994-10-07,2004-09-13
Sveriges energiminister,Regeringen Persson,Q6196549,1996-03-22,1998-10-07
Sveriges finansmarknadsminister,Regeringen Persson,Q3370194,2004-10-21,2006-10-06
Sveriges miljöminister,Regeringen Persson,Q537342,2002-10-21,2006-10-06
Sveriges idrottsminister,Regeringen Persson,Q5579495,1996-03-22,1998-03-02
Sveriges justitieminister,Regeringen Branting I,Q298317,1920-03-10,1920-06-30
Sveriges kommunminister,Regeringen Persson,Q3370194,2004-10-21,2006-10-06
konsultativt statsråd,Regeringen Branting II,Q6168210,1921-10-13,1923-04-19
Sveriges skolminister,Regeringen Persson,Q3369258,1994-10-07,1998-10-06
konsultativt statsråd,Regeringen Branting I,Q6018174,1920-03-10,1920-10-27
Sveriges försvarsminister,Regeringen Branting II,Q53660,1921-10-13,1923-04-19
Sveriges socialminister,Regeringen Persson,Q6196549,1998-10-07,1998-10-26
Sveriges biståndsminister,Regeringen Persson,Q1232072,2002-01-07,2003-10-09
Sveriges biståndsminister,Regeringen Persson,Q4959140,1999-09-14,2001-11-16
Sveriges socialminister,Regeringen Branting I,Q4894168,1920-07-01,1920-10-27
Sveriges kulturminister,Regeringen Persson,Q3296958,2004-11-01,2006-10-06
Sveriges kommunikationsminister,Regeringen Persson,Q3374466,1998-10-07,2002-10-16
Sveriges demokratiminister,Regeringen Persson,Q6029071,2004-10-21,2006-10-06
Sveriges sjukvårdsminister,Regeringen Persson,Q3369258,2004-10-01,2006-10-06
Sveriges handelsminister,Regeringen Branting II,Q20760558,1921-10-13,1923-04-19
Sveriges justitieminister,Regeringen Branting II,Q6255333,1921-01-01,1923-01-01
Sveriges kulturminister,Regeringen Persson,Q3115681,1996-03-22,2004-09-13
Sveriges utrikesminister,Regeringen Persson,Q291648,2003-10-10,2006-03-21
Sveriges energiminister,Regeringen Persson,Q3374466,1998-10-07,2002-10-15
Sveriges socialminister,Regeringen Branting II,Q3893038,1921-10-13,1923-04-19
Sveriges miljöminister,Regeringen Persson,Q208591,1994-10-07,1998-10-07
Sveriges ungdomsminister,Regeringen Persson,Q5579495,1996-03-22,1998-03-02
Sveriges konsumentminister,Regeringen Persson,Q547580,2002-10-21,2006-10-06
Sveriges ungdomsminister,Regeringen Persson,Q4961658,2000-10-16,2002-10-15
Sveriges utbildningsminister,Regeringen Persson,Q6206776,1994-10-07,1998-10-06
Sveriges civilminister,Regeringen Branting I,Q20760558,1920-03-10,1920-07-01
Sveriges miljöminister,Regeringen Persson,Q5937929,1998-10-07,2002-10-21
Sveriges samfundsminister,Regeringen Persson,Q3431836,2004-09-13,2006-10-06
Sveriges jordbruksminister,Regeringen Persson,Q547580,2002-10-21,2006-10-06
Sveriges biståndsminister,Regeringen Persson,Q3386964,1994-10-07,1999-06-11
Sveriges integrationsminister,Regeringen Persson,Q5579495,1996-03-22,1998-03-02
Sveriges justitieminister,Regeringen Persson,Q291648,1994-10-07,2000-09-21
Sveriges handelsminister,Regeringen Persson,Q3296958,1997-02-01,2002-10-21
Sveriges näringsminister,Regeringen Persson,Q3296958,2002-10-21,2004-10-21
Sveriges finansminister,Regeringen Branting I,Q53637,1920-06-30,1920-10-27
Sveriges handelsminister,Regeringen Hansson III,Q5623378,1939-01-01,1941-01-01
Sveriges konsumentminister,Regeringen Persson,Q4961658,1998-10-07,2002-10-15
Sveriges skolminister,Regeringen Persson,Q4990768,1998-10-07,2002-01-16
Sveriges finansminister,Regeringen Branting II,Q6209474,1921-10-13,1923-04-19
Sveriges finansminister,Regeringen Branting I,Q6209474,1918-01-05,1920-06-30
Sveriges arbetsmarknadsminister,Regeringen Fälldin I,Q1347731,1976-10-08,1978-03-07
Sveriges försvarsminister,Regeringen Erlander I,Q4731015,1945-07-31,1951-10-01
Sveriges invandrarminister,Regeringen Fälldin I,Q53733,1977-01-11,1978-03-07
Sveriges justitieminister,Regeringen Fälldin I,Q6077653,1976-10-08,1979-10-12
Sveriges ungdomsminister,Regeringen Carlsson II,Q237522,1988-10-04,1991-10-04
Sveriges justitieminister,Regeringen Fälldin II,Q6243875,1979-10-12,1981-05-05
konsultativt statsråd,Regeringen Erlander I,Q354112,1945-07-31,1947-04-11
konsultativt statsråd,Regeringen Erlander I,Q5616687,1944-01-01,1952-01-01
Sveriges finansminister,Regeringen Edén,Q6209474,1918-01-05,1920-06-30
Sveriges socialminister,Regeringen Carlsson II,Q4982419,1990-01-11,1991-10-04
Sveriges folkhushållningsminister,Regeringen Erlander I,Q5715273,1950-01-01,1950-06-30
Sveriges budgetminister,Regeringen Fälldin II,Q6244910,1980-08-01,1982-10-08
Sveriges utbildningsminister,Regeringen Fälldin II,Q6340136,1976-10-08,1982-10-08
Sveriges samfundsminister,Regeringen Carlsson II,Q237522,1988-10-04,1991-10-04
Statsministerns ställföretädare,Regeringen Carlsson II,Q5713152,1990-02-27,1991-10-04
Sveriges jordbruksminister,Regeringen Carlsson II,Q5799722,1986-10-10,1991-10-04
Sveriges näringsminister,Regeringen Carlsson II,Q5991125,1990-01-12,1991-10-04
Sveriges energiminister,Regeringen Carlsson II,Q5991125,1990-02-27,1991-10-04
Sveriges folkhushållningsminister,Regeringen Erlander I,Q4959336,1948-10-29,1949-12-31
Sveriges handelsminister,Regeringen Fälldin I,Q5590197,1976-10-08,1978-10-18
Sveriges finansminister,Regeringen Edén,Q53620,1917-10-19,1918-01-05
Sveriges bostadsminister,Regeringen Fälldin I,Q4971112,1976-10-08,1978-10-18
Sveriges jordbruksminister,Regeringen Fälldin I,Q4753755,1976-10-08,1978-10-18
Sveriges kulturminister,Regeringen Carlsson II,Q5780291,1982-10-08,1991-10-04
Sveriges skolminister,Regeringen Fälldin I,Q4967758,1976-10-08,1978-10-18
Sveriges handelsminister,Regeringen Erlander I,Q152452,1945-07-31,1947-04-11
Sveriges handelsminister,Regeringen Fälldin II,Q6340136,1981-05-05,1981-05-22
Sveriges utrikeshandelsminister,Regeringen Erlander I,Q1267,1951-02-06,1953-04-08
Sveriges arbetsmarknadsminister,Regeringen Fälldin II,Q6244910,1978-03-07,1980-07-31
Sveriges finansminister,Regeringen Carlsson II,Q4730772,1990-02-27,1991-10-04
Sveriges socialminister,Regeringen Fälldin II,Q468538,1979-10-12,1982-10-08
Sveriges jordbruksminister,Regeringen Hansson II,Q53701,1936-06-19,1945-07-31
Sveriges invandrarminister,Regeringen Fälldin II,Q1727737,1979-10-12,1982-10-08
Sveriges folkhushållningsminister,Regeringen Erlander I,Q354112,1947-05-24,1948-10-29
Sveriges landsbygdsminister,Regeringen Edén,Q4723287,1917-10-19,1920-03-10
Sveriges samfundsminister,Regeringen Fälldin I,Q3742570,1976-10-08,1978-10-18
Sveriges jämställdhetsminister,Regeringen Fälldin II,Q1727737,1979-10-12,1982-10-08
Sveriges utrikesminister,Regeringen Edén,Q5799445,1917-10-19,1920-03-10
Sveriges utbildningsminister,Regeringen Carlsson II,Q5780291,1989-01-30,1991-10-04
Sveriges biträdande socialminister,Regeringen Erlander I,Q5995142,1945-07-31,1947-07-01
Sveriges biståndsminister,Regeringen Carlsson II,Q460919,1985-10-17,1991-10-04
Sveriges budgetminister,Regeringen Carlsson II,Q5388933,1990-02-27,1991-10-04
Statsministerns ställföretädare,Regeringen Fälldin I,Q1347731,1976-10-08,1978-03-07
statssekreterare,Regeringen Fälldin I,Q60971016,1976-01-01,1979-01-01
Sveriges bostadsminister,Regeringen Löfven I,Q4822657,2014-10-03,2016-04-18
Sveriges ecklesiastikminister,Regeringen Edén,Q6027656,1919-11-28,1920-10-27
Sveriges biträdande finansminister,Regeringen Fälldin I,Q5996964,1976-10-08,1976-11-25
Sveriges sjukvårdsminister,Regeringen Fälldin I,Q517762,1976-10-08,1978-10-18
Sveriges ecklesiastikminister,Regeringen Erlander I,Q6338909,1946-10-11,1951-03-08
Sveriges utrikesminister,Regeringen Fälldin I,Q468538,1976-10-08,1978-10-18
Sveriges energiminister,Regeringen Fälldin II,Q3658738,1979-11-06,1981-05-22
konsultativt statsråd,Regeringen Erlander I,Q4959336,1947-04-11,1948-10-28
Sveriges finansminister,Regeringen Fälldin I,Q263366,1976-10-08,1976-11-24
Sveriges civilminister,Regeringen Carlsson II,Q5885510,1988-01-01,1991-01-01
konsultativt statsråd,Regeringen Edén,Q298317,1917-10-19,1920-03-10
Sveriges kommunminister,Regeringen Fälldin I,Q3742570,1976-10-08,1978-10-18
Sveriges folkhushållningsminister,Regeringen Erlander I,Q3373681,1941-03-07,1947-05-24
Sveriges skolminister,Regeringen Fälldin II,Q4967758,1979-10-12,1981-05-05
Sveriges utbildningsminister,Regeringen Fälldin I,Q6340136,1976-10-08,1982-10-08
Sveriges bostadsminister,Regeringen Carlsson II,Q5969868,1988-10-04,1991-10-04
Sveriges justitieminister,Regeringen Fälldin II,Q3658738,1981-05-05,1982-10-08
Sveriges lantförsvarsminister,Regeringen Edén,Q6009015,1917-10-19,1920-03-10
Sveriges justitieminister,Regeringen Carlsson II,Q291648,1988-10-04,1991-10-04
Sveriges utrikeshandelsminister,Regeringen Carlsson II,Q459226,1986-10-10,1991-10-04
Sveriges civilminister,Regeringen Edén,Q5811763,1919-11-28,1920-03-10
Statsministerns ställföretädare,Regeringen Fälldin I,Q53733,1978-03-07,1978-10-18
Sveriges justitieminister,Regeringen Edén,Q5360742,1917-10-19,1920-03-10
Sveriges arbetsmarknadsminister,Regeringen Fälldin I,Q6244910,1978-03-07,1980-07-31
Sveriges miljöminister,Regeringen Carlsson II,Q4356302,1986-03-12,1991-10-04
Sveriges biträdande jordbruksminister,Regeringen Erlander I,Q354112,1946-10-11,1947-04-11
Sveriges försvarsminister,Regeringen Carlsson II,Q5603378,1985-10-14,1991-10-04
Sveriges invandrarminister,Regeringen Carlsson II,Q4964703,1989-01-29,1991-10-04
Sveriges konsumentminister,Regeringen Carlsson II,Q237522,1988-10-04,1991-10-04
Sveriges digitaliseringsminister,Regeringen Löfven I,Q4822657,2014-10-03,2016-04-18
Sveriges socialminister,Regeringen Fälldin I,Q5778433,1976-10-08,1978-10-18
Sveriges jämställdhetsminister,Regeringen Carlsson II,Q4964703,1989-01-29,1991-10-04
Sveriges budgetminister,Regeringen Fälldin I,Q5996964,1976-11-25,1980-07-31
Sveriges skolminister,Regeringen Carlsson II,Q53747,1989-01-29,1991-10-04
Sveriges utrikesminister,Regeringen Carlsson II,Q1346478,1985-10-17,1991-10-04
Sveriges biståndsminister,Regeringen Fälldin I,Q53733,1976-10-08,1978-10-18
Sveriges ecklesiastikminister,Regeringen Edén,Q6085444,1917-10-19,1919-11-28
Sveriges handelsminister,Regeringen Erlander I,Q5715273,1948-10-28,1955-09-12
Sveriges energiminister,Regeringen Fälldin I,Q2021126,1976-10-08,1978-10-18
Sveriges invandrarminister,Regeringen Fälldin I,Q1347731,1976-10-08,1977-01-11
Sveriges sjöförsvarsminister,Regeringen Edén,Q1807154,1917-10-19,1920-03-10
Sveriges kommunikationsminister,Regeringen Fälldin I,Q6216923,1976-10-08,1978-10-18
Sveriges inrikesminister,Regeringen Erlander I,Q5995142,1947-07-01,1951-10-01
Sveriges civilminister,Regeringen Edén,Q6169057,1917-10-19,1919-11-28
Sveriges idrottsminister,Regeringen Carlsson II,Q5969868,1986-10-10,1991-10-04
Sveriges handelsminister,Regeringen Erlander I,Q3373681,1947-05-24,1948-09-24
Sveriges invandrarminister,Regeringen Fälldin I,Q6244910,1978-03-07,1978-10-18
Sveriges straffrättsminister,Regeringen Fälldin II,Q3658738,1979-11-06,1981-05-22
Sveriges näringsminister,Regeringen Fälldin I,Q6255950,1976-10-08,1978-10-18
Sveriges arbetsmarknadsminister,Regeringen Carlsson II,Q231413,1990-01-11,1991-10-04
Sveriges jämställdhetsminister,Regeringen Fälldin I,Q6244910,1978-03-07,1978-10-18
Sveriges jämställdhetsminister,Regeringen Fälldin I,Q1347731,1976-10-08,1978-03-07
Sveriges minister för nordiskt samarbete,Regeringen Fälldin I,Q3742570,1976-10-08,1978-10-18
Sveriges bostadsminister,Regeringen Fälldin I,Q4916267,1978-10-18,1982-10-08
konsultativt statsråd,Regeringen Erlander I,Q5715273,1945-07-31,1948-10-28
Sveriges ekonomiminister,Regeringen Fälldin I,Q263366,1976-11-25,1978-10-18
Sveriges infrastrukturminister,Regeringen Löfven I,Q4956893,2014-10-03,2017-07-27
Sveriges utrikesminister,Regeringen Palme I,Q953952,1973-11-03,1976-10-08
Sveriges miljöminister,Regeringen Löfven I,Q271230,2014-10-03,2016-05-25
Sveriges samfundsminister,Regeringen Palme I,Q5777699,1973-11-03,1976-10-08
Sveriges samfundsminister,Regeringen Palme I,Q5777713,1973-11-03,1976-10-08
Sveriges civilminister,Regeringen Löfven II,Q4967237,2019-10-01,2021-11-30
Statsministerns ställföretädare,Regeringen Löfven I,Q237522,2014-10-03,2019-09-10
Sveriges folkhushållningsminister,Regeringen Hansson II,Q5716548,1939-10-15,1941-03-07
Sveriges kommunikationsminister,Regeringen Palme I,Q6017016,1969-07-01,1976-10-08
Sveriges utrikesminister,Regeringen Erlander I,Q298317,1945-07-31,1962-09-19
Sveriges inrikesminister,Regeringen Löfven I,Q5887217,2017-07-27,2019-01-21
Sveriges civilminister,Regeringen Erlander I,Q5959211,1950-07-01,1954-11-29
Sveriges utrikesminister,Regeringen Hansson II,Q53637,1936-09-28,1939-12-13
Sveriges justitieminister,Regeringen Erlander I,Q6252055,1945-07-31,1957-09-20
Sveriges näringsminister,Regeringen Palme I,Q3376192,1969-01-01,1971-06-30
Sveriges finansmarknadsminister,Regeringen Löfven II,Q5581337,2014-10-03,2021-02-05
Sveriges biståndsminister,Regeringen Löfven I,Q241208,2014-10-03,2019-01-21
konsultativt statsråd,Regeringen Hansson II,Q5716548,1938-09-01,1939-10-14
Sveriges kommunikationsminister,Regeringen Hansson II,Q6192576,1938-12-16,1939-12-13
Sveriges arbetsmarknadsminister,Regeringen Palme I,Q707581,1974-01-01,1976-10-08
Sveriges minister för nordiskt samarbete,Regeringen Löfven I,Q4972535,2014-10-03,2016-05-25
Sveriges migrationsminister,Regeringen Löfven I,Q4949040,2017-07-27,2019-01-21
Sveriges handelsminister,Regeringen Palme I,Q927466,1970-10-09,1975-10-27
Sveriges EU-minister,Regeringen Löfven I,Q18243775,2016-05-25,2019-01-21
Sveriges samordningsminister,Regeringen Palme I,Q5950208,1975-01-01,1975-11-01
Sveriges justitieminister,Regeringen Löfven I,Q5887217,2014-10-03,
Sveriges näringsminister,Regeringen Palme I,Q5887636,1971-06-30,1976-10-08
Sveriges kommunikationsminister,Regeringen Hansson II,Q4710223,1936-09-28,1938-12-16
Sveriges idrottsminister,Regeringen Löfven I,Q6241556,2014-10-03,2017-07-27
Sveriges inrikesminister,Regeringen Palme I,Q707581,1973-11-03,1973-12-31
Sveriges jordbruksminister,Regeringen Palme I,Q5967249,1973-11-03,1976-10-08
Sveriges jämställdhetsminister,Regeringen Löfven I,Q3431836,2018-03-08,2019-01-21
Sveriges finansminister,Regeringen Erlander I,Q6180686,1949-10-21,1955-09-12
Sveriges finansminister,Regeringen Löfven I,Q4935873,2014-10-03,2021-11-30
Sveriges löneminister,Regeringen Palme I,Q5969341,1969-10-14,1975-11-01
Statsministerns ställföretädare,Regeringen Palme I,Q354112,1975-01-01,1976-10-08
Sveriges jordbruksminister,Regeringen Erlander I,Q6180686,1945-07-31,1948-10-29
konsultativt statsråd,Regeringen Erlander I,Q953952,1948-10-28,1951-10-01
Sveriges inrikesminister,Regeringen Löfven I,Q3375050,2014-10-03,2017-07-27
Sveriges utbildningsminister,Regeringen Palme I,Q6250583,1973-11-03,1976-10-08
Sveriges civilminister,Regeringen Palme I,Q5967249,1969-07-01,1973-11-03
Sveriges minister för nordiskt samarbete,Regeringen Palme I,Q927466,1970-10-03,1976-10-08
Sveriges migrationsminister,Regeringen Löfven I,Q5887217,2014-10-03,2017-07-27
Sveriges biståndsminister,Regeringen Palme I,Q4978577,1973-11-03,1976-10-08
Sveriges samordningsminister,Regeringen Erlander I,Q6180686,1948-10-28,1949-10-21
Sveriges minister för nordiskt samarbete,Regeringen Löfven I,Q237522,2016-05-25,2019-01-21
Sveriges samordningsminister,Regeringen Löfven I,Q3055916,2016-05-25,2019-01-21
Sveriges inrikesminister,Regeringen Palme I,Q2345137,1969-01-25,1973-11-03
Sveriges socialminister,Regeringen Erlander I,Q4570928,1939-12-13,1951-10-01
Sveriges handelsminister,Regeringen Palme I,Q5950208,1975-11-10,1976-10-08
Sveriges socialminister,Regeringen Hansson II,Q4570928,1936-09-28,1938-12-16
Sveriges jordbruksminister,Regeringen Erlander I,Q354112,1948-10-30,1951-10-01
Sveriges samordningsminister,Regeringen Palme I,Q2408431,1975-11-01,1976-10-08
Sveriges ecklesiastikminister,Regeringen Erlander I,Q4970543,1951-03-17,1951-10-01
Sveriges kommunikationsminister,Regeringen Erlander I,Q241035,1945-07-31,1951-10-01
Sveriges utrikesminister,Regeringen Palme I,Q3376192,1971-06-30,1973-11-03
Sveriges näringsminister,Regeringen Löfven I,Q3372917,2014-10-03,2019-01-21
Sveriges invandrarminister,Regeringen Palme I,Q4970788,1967-01-09,1973-11-03
Sveriges kommunminister,Regeringen Palme I,Q5777699,1974-01-01,1976-10-08
Sveriges socialminister,Regeringen Hansson II,Q4710223,1938-12-16,1939-12-13
Sveriges justitieminister,Regeringen Hansson II,Q4353489,1936-09-28,1943-08-30
Sveriges handelsminister,Regeringen Hansson II,Q6180686,1936-09-28,1938-12-16
Sveriges socialförsäkringsminister,Regeringen Löfven I,Q4980750,2014-10-03,2019-10-01
Sveriges bostadsminister,Regeringen Löfven I,Q5581337,2016-04-18,2016-05-25
Sveriges finansminister,Regeringen Palme I,Q354112,1955-09-12,1976-10-08
