alias,wiki_id
Ramstedt i Stockholm,Q6062836
Rundbäck i Asmundtorp,Q6083441
Pegelow i Göteborg,Q6039625
Palme i Stockholm,Q6033580
Ploman i Nyköping,Q6051853
Svanberg i Göteborg,Q6197324
Andersson i Mamre,Q6224947
Andersson i Vigelsbo,Q6224947
Wijk i Göteborg,Q6240962
Wijkander i Göteborg,Q6241003
Wijkander i Göteborg,Q6241036
Wijkander i Karlstad,Q6241030
Zetterstrand i Norrköping,Q6252260
Zotterman i Vadstena,Q6253724
Beck-Friis i Harg,Q5568204
Ericsson i Kinna,Q5715273
Andersson i Myggenäs,Q4712369
Carlson i Karlshamn,Q99292766
Persson i Gärstad,Q105067206
Tamm i Malstanäs,Q6203659
Ekelund i Lund,Q110541107
Rosvall i Dösjebro,Q110544246
Nilsson i Stockholm,Q241035
Gripenstedt i Nynäs,Q727985
Brandt i Söderby,Q1353856
Ahlmark i Enskede,Q1347731
Alin i Uppsala,Q2485795
Bergegren i Norrköping,Q4938354
Andersson i Bråborg,Q5556212
Andersson i Resebo,Q5556217
Almgren i Stockholm,Q5547407
Kihlman i Göteborg,Q4958735
Osvald i Brogård,Q4971459
Andersson i Mosserudstorp,Q5553978
Björk i Tryde,Q5577534
Andersson i Hedensbyn,Q5555272
Nyström i Stockholm,Q6020661
Nyström i Stockholm,Q6020685
Berg i Stockholm,Q5571271
Carlsson i Gävle,Q5602997
Andersson i Lövhult,Q5555399
Andersson i Lyckorna,Q5555684
Andersson i Siggeboda,Q5555795
Andersson i Säby,Q5555861
Andersson i Mellanköpinge,Q5556244
Beckman i Linköping,Q5568440
Angel i Halmstad,Q5557028
Appelberg i Kalix,Q5558249
Appeltofft i Uddevalla,Q5558321
Arfwedson i Åstorp,Q5558924
Andersson i Ollsjö,Q5555601
Arnoldsson i Rödeby,Q5559814
Aspelin i Fagersta,Q5561342
Brandt i Aspabruk,Q5584928
Bökelund i Kalmar,Q5600385
Beck-Friis i Börringekloster,Q5568192
Lave Beck-Frii i Skövde,Q5568219
Brännberg i Lysekil,Q5588970
Bäcklund i Falköping-Ranten,Q5591597
Beskow i Stockholm,Q5574697
Carbell i Stockholm,Q5602213
Carlsson i Malmberget,Q5603467
Ekelund i Hults bruk,Q5629675
Annerstedt i Stockholm,Q5557473
Andersson i Östersund,Q5555633
Andersson i Långviksmon,Q5555696
Bager i Malmö,Q5563944
Andersson i Bussjö,Q5553840
Bager i Malmö,Q5568976
Bengtsson i Kärrsmossen,Q5570077
Bengtsson i Boberg,Q5570095
Blomberg i Uppsala,Q5579475
Burman i Haparanda,Q5590456
Bäckström i Djursholm,Q5591686
Carlsson i Västerås,Q5603080
Ericson i Stockholm,Q5714707
Ericsson i Stockholm,Q5715273
Hamilton i Ovesholm,Q5786333
Hederstierna i Halmstad,Q5795712
Jansson i Ellenö,Q5879652
Järte i Stockholm,Q5895466
Osvald i Knivsta,Q5934313
Osvald i Uppsala,Q5934313
Lenning i Norrköping,Q5946416
Sparre af Söfdeborg i Almenäs,Q5359581
Sparre af Söfdeborg i Stockholm o Mariedal,Q5359581
Lif i Hofors,Q5951035
Jansson i Aspeboda,Q5879846
Lundberg i Västerteg,Q5965896
Magni i Hunna,Q5971704
Jonsson i Mora,Q5891385
Magnusson i Tumhult,Q5971892
Lagercrantz i Stockholm,Q5930999
Nygren i Stockholm,Q6019506
Lothigius i Örserumsbrunn,Q5963832
Olsson i Kullenbergstorp,Q6027664
Nilsson i Kristianstad,Q6009920
Pettersson i Alvesta,Q6047015
Nilsson i Landskrona,Q6010824
Näsström i Bjästa,Q6021073
Nyström i Luleå,Q6020654
Nyström i Uppsala,Q6020661
Persson i Stallerhult,Q6042697
Petersson i Boestad,Q6045435
Svenning i Malmö,Q6197989
Vahlquist i Skänninge,Q6221082
Lothihius i Karlshamn,Q6150473
Sääf i Norrköping,Q6201401
Tamm i Fånö,Q6203671
Nyström i Gävle,Q6157973
Tamm i Österby,Q6203642
