year,protocol,N
1868,corpus/protocols/1868/prot-1868--ak--0310.xml,94
1868,corpus/protocols/1868/prot-1868--ak--0311.xml,84
1868,corpus/protocols/1868/prot-1868--ak--0312.xml,37
1868,corpus/protocols/1868/prot-1868--ak--0313.xml,74
1868,corpus/protocols/1868/prot-1868--ak--0314.xml,100
1868,corpus/protocols/1868/prot-1868--ak--0316.xml,102
1868,corpus/protocols/1868/prot-1868--ak--0317.xml,57
1868,corpus/protocols/1868/prot-1868--ak--0318.xml,96
1868,corpus/protocols/1868/prot-1868--ak--0321.xml,30
1868,corpus/protocols/1868/prot-1868--ak--0324.xml,1
1868,corpus/protocols/1868/prot-1868--ak--0326.xml,8
1868,corpus/protocols/1868/prot-1868--ak--0328.xml,58
1868,corpus/protocols/1868/prot-1868--ak--0401.xml,70
1868,corpus/protocols/1868/prot-1868--ak--0404.xml,41
1868,corpus/protocols/1868/prot-1868--ak--0406.xml,0
1868,corpus/protocols/1868/prot-1868--ak--0408.xml,63
1868,corpus/protocols/1868/prot-1868--ak--0411.xml,0
1868,corpus/protocols/1868/prot-1868--ak--0416.xml,81
1868,corpus/protocols/1868/prot-1868--ak--0418.xml,109
1868,corpus/protocols/1868/prot-1868--ak--0420.xml,80
1868,corpus/protocols/1868/prot-1868--ak--0422.xml,69
1868,corpus/protocols/1868/prot-1868--ak--0423.xml,53
1868,corpus/protocols/1868/prot-1868--ak--0425.xml,114
1868,corpus/protocols/1868/prot-1868--ak--0427.xml,0
1868,corpus/protocols/1868/prot-1868--ak--0429.xml,61
1868,corpus/protocols/1868/prot-1868--ak--0430.xml,28
1868,corpus/protocols/1868/prot-1868--ak--0502.xml,31
1868,corpus/protocols/1868/prot-1868--ak--0504.xml,6
1868,corpus/protocols/1868/prot-1868--ak--0505.xml,0
1868,corpus/protocols/1868/prot-1868--ak--0506.xml,67
1868,corpus/protocols/1868/prot-1868--ak--0507.xml,32
1868,corpus/protocols/1868/prot-1868--ak--0508.xml,48
1868,corpus/protocols/1868/prot-1868--ak--0509.xml,64
1868,corpus/protocols/1868/prot-1868--ak--0511.xml,30
1868,corpus/protocols/1868/prot-1868--ak--0512.xml,9
1868,corpus/protocols/1868/prot-1868--ak--0513.xml,5
1868,corpus/protocols/1868/prot-1868--ak--0514.xml,1
1868,corpus/protocols/1868/prot-1868--ak--0515.xml,18
1868,corpus/protocols/1868/prot-1868--ak--0516.xml,1
1868,corpus/protocols/1868/prot-1868--ak--0603.xml,0
1868,corpus/protocols/1868/prot-1868--fk--0116.xml,5
1868,corpus/protocols/1868/prot-1868--fk--0117.xml,0
1868,corpus/protocols/1868/prot-1868--fk--0118.xml,3
1868,corpus/protocols/1868/prot-1868--fk--0120.xml,0
1868,corpus/protocols/1868/prot-1868--fk--0121.xml,7
1868,corpus/protocols/1868/prot-1868--fk--0122.xml,1
1868,corpus/protocols/1868/prot-1868--fk--0123.xml,7
1868,corpus/protocols/1868/prot-1868--fk--0124.xml,5
1868,corpus/protocols/1868/prot-1868--fk--0125.xml,8
1868,corpus/protocols/1868/prot-1868--fk--0127.xml,5
1868,corpus/protocols/1868/prot-1868--fk--0128.xml,41
1868,corpus/protocols/1868/prot-1868--fk--0129.xml,18
1868,corpus/protocols/1868/prot-1868--fk--0201.xml,9
1868,corpus/protocols/1868/prot-1868--fk--0203.xml,13
1868,corpus/protocols/1868/prot-1868--fk--0205.xml,31
1868,corpus/protocols/1868/prot-1868--fk--0208.xml,1
1868,corpus/protocols/1868/prot-1868--fk--0212.xml,15
1868,corpus/protocols/1868/prot-1868--fk--0215.xml,1
1868,corpus/protocols/1868/prot-1868--fk--0219.xml,32
1868,corpus/protocols/1868/prot-1868--fk--0222.xml,29
1868,corpus/protocols/1868/prot-1868--fk--0226.xml,66
1868,corpus/protocols/1868/prot-1868--fk--0229.xml,74
1868,corpus/protocols/1868/prot-1868--fk--0302.xml,22
1868,corpus/protocols/1868/prot-1868--fk--0304.xml,93
1868,corpus/protocols/1868/prot-1868--fk--0306.xml,33
1868,corpus/protocols/1868/prot-1868--fk--0307.xml,81
1868,corpus/protocols/1868/prot-1868--fk--0309.xml,72
1868,corpus/protocols/1868/prot-1868--fk--0310.xml,76
1868,corpus/protocols/1868/prot-1868--fk--0311.xml,91
1868,corpus/protocols/1868/prot-1868--fk--0312.xml,37
1868,corpus/protocols/1868/prot-1868--fk--0313.xml,65
1868,corpus/protocols/1868/prot-1868--fk--0314.xml,58
1868,corpus/protocols/1868/prot-1868--fk--0318.xml,36
1868,corpus/protocols/1868/prot-1868--fk--0321.xml,18
1868,corpus/protocols/1868/prot-1868--fk--0324.xml,11
1868,corpus/protocols/1868/prot-1868--fk--0326.xml,2
1868,corpus/protocols/1868/prot-1868--fk--0328.xml,21
1868,corpus/protocols/1868/prot-1868--fk--0401.xml,72
1868,corpus/protocols/1868/prot-1868--fk--0404.xml,51
1868,corpus/protocols/1868/prot-1868--fk--0406.xml,2
1868,corpus/protocols/1868/prot-1868--fk--0408.xml,140
1868,corpus/protocols/1868/prot-1868--fk--0411.xml,7
1868,corpus/protocols/1868/prot-1868--fk--0416.xml,38
1868,corpus/protocols/1868/prot-1868--fk--0418.xml,50
1868,corpus/protocols/1868/prot-1868--fk--0422.xml,36
1868,corpus/protocols/1868/prot-1868--fk--0423.xml,24
1868,corpus/protocols/1868/prot-1868--fk--0425.xml,100
1868,corpus/protocols/1868/prot-1868--fk--0427.xml,1
1868,corpus/protocols/1868/prot-1868--fk--0429.xml,64
1868,corpus/protocols/1868/prot-1868--fk--0430.xml,22
1868,corpus/protocols/1868/prot-1868--fk--0502.xml,2
1868,corpus/protocols/1868/prot-1868--fk--0504.xml,2
1868,corpus/protocols/1868/prot-1868--fk--0505.xml,4
1868,corpus/protocols/1868/prot-1868--fk--0506.xml,94
1868,corpus/protocols/1868/prot-1868--fk--0507.xml,31
1868,corpus/protocols/1868/prot-1868--fk--0508.xml,56
1868,corpus/protocols/1868/prot-1868--fk--0509.xml,70
1868,corpus/protocols/1868/prot-1868--fk--0511.xml,33
1868,corpus/protocols/1868/prot-1868--fk--0512.xml,25
1868,corpus/protocols/1868/prot-1868--fk--0513.xml,0
1868,corpus/protocols/1868/prot-1868--fk--0514.xml,0
1868,corpus/protocols/1868/prot-1868--fk--0515.xml,11
1868,corpus/protocols/1868/prot-1868--fk--0516.xml,2
1869,corpus/protocols/1869/prot-1869--ak--0116.xml,2
1869,corpus/protocols/1869/prot-1869--ak--0118.xml,0
1869,corpus/protocols/1869/prot-1869--ak--0119.xml,0
1869,corpus/protocols/1869/prot-1869--ak--0120.xml,1
1869,corpus/protocols/1869/prot-1869--ak--0121.xml,19
1869,corpus/protocols/1869/prot-1869--ak--0123.xml,16
1869,corpus/protocols/1869/prot-1869--ak--0125.xml,45
1869,corpus/protocols/1869/prot-1869--ak--0127.xml,73
1869,corpus/protocols/1869/prot-1869--ak--0128.xml,32
1869,corpus/protocols/1869/prot-1869--ak--0130.xml,21
1869,corpus/protocols/1869/prot-1869--ak--0201.xml,6
1869,corpus/protocols/1869/prot-1869--ak--0203.xml,3
1869,corpus/protocols/1869/prot-1869--ak--0206.xml,33
1869,corpus/protocols/1869/prot-1869--ak--0210.xml,3
1869,corpus/protocols/1869/prot-1869--ak--0213.xml,8
1869,corpus/protocols/1869/prot-1869--ak--0217.xml,57
1869,corpus/protocols/1869/prot-1869--ak--0220.xml,3
1869,corpus/protocols/1869/prot-1869--ak--0224.xml,4
1869,corpus/protocols/1869/prot-1869--ak--0225.xml,2
1869,corpus/protocols/1869/prot-1869--ak--0227.xml,89
1869,corpus/protocols/1869/prot-1869--ak--0301.xml,3
1869,corpus/protocols/1869/prot-1869--ak--0303.xml,93
1869,corpus/protocols/1869/prot-1869--ak--0305.xml,94
1869,corpus/protocols/1869/prot-1869--ak--0306.xml,98
1869,corpus/protocols/1869/prot-1869--ak--0309.xml,107
1869,corpus/protocols/1869/prot-1869--ak--0310.xml,57
1869,corpus/protocols/1869/prot-1869--ak--0311.xml,96
1869,corpus/protocols/1869/prot-1869--ak--0312.xml,99
1869,corpus/protocols/1869/prot-1869--ak--0313.xml,112
1869,corpus/protocols/1869/prot-1869--ak--0316.xml,66
1869,corpus/protocols/1869/prot-1869--ak--0317.xml,97
1869,corpus/protocols/1869/prot-1869--ak--0318.xml,0
1869,corpus/protocols/1869/prot-1869--ak--0322.xml,31
1869,corpus/protocols/1869/prot-1869--ak--0323.xml,20
1869,corpus/protocols/1869/prot-1869--ak--0331.xml,0
1869,corpus/protocols/1869/prot-1869--ak--0401.xml,24
1869,corpus/protocols/1869/prot-1869--ak--0403.xml,47
1869,corpus/protocols/1869/prot-1869--ak--0405.xml,5
1869,corpus/protocols/1869/prot-1869--ak--0407.xml,18
1869,corpus/protocols/1869/prot-1869--ak--0408.xml,2
1869,corpus/protocols/1869/prot-1869--ak--0410.xml,81
1869,corpus/protocols/1869/prot-1869--ak--0412.xml,0
1869,corpus/protocols/1869/prot-1869--ak--0414.xml,69
1869,corpus/protocols/1869/prot-1869--ak--0417.xml,118
1869,corpus/protocols/1869/prot-1869--ak--0420.xml,73
1869,corpus/protocols/1869/prot-1869--ak--0421.xml,122
1869,corpus/protocols/1869/prot-1869--ak--0424.xml,73
1869,corpus/protocols/1869/prot-1869--ak--0426.xml,126
1869,corpus/protocols/1869/prot-1869--ak--0428.xml,92
1869,corpus/protocols/1869/prot-1869--ak--0430.xml,97
1869,corpus/protocols/1869/prot-1869--ak--0501.xml,72
1869,corpus/protocols/1869/prot-1869--ak--0503.xml,78
1869,corpus/protocols/1869/prot-1869--ak--0505.xml,102
1869,corpus/protocols/1869/prot-1869--ak--0507.xml,73
1869,corpus/protocols/1869/prot-1869--ak--0508.xml,92
1869,corpus/protocols/1869/prot-1869--ak--0510.xml,2
1869,corpus/protocols/1869/prot-1869--ak--0511.xml,58
1869,corpus/protocols/1869/prot-1869--ak--0512.xml,68
1869,corpus/protocols/1869/prot-1869--ak--0513.xml,26
1869,corpus/protocols/1869/prot-1869--ak--0514.xml,0
1869,corpus/protocols/1869/prot-1869--ak--0515.xml,0
1869,corpus/protocols/1869/prot-1869--ak--0605.xml,0
1869,corpus/protocols/1869/prot-1869--fk--0116.xml,2
1869,corpus/protocols/1869/prot-1869--fk--0118.xml,0
1869,corpus/protocols/1869/prot-1869--fk--0119.xml,19
1869,corpus/protocols/1869/prot-1869--fk--0120.xml,4
1869,corpus/protocols/1869/prot-1869--fk--0121.xml,7
1869,corpus/protocols/1869/prot-1869--fk--0123.xml,1
1869,corpus/protocols/1869/prot-1869--fk--0125.xml,9
1869,corpus/protocols/1869/prot-1869--fk--0127.xml,6
1869,corpus/protocols/1869/prot-1869--fk--0128.xml,8
1869,corpus/protocols/1869/prot-1869--fk--0130.xml,29
1869,corpus/protocols/1869/prot-1869--fk--0203.xml,3
1869,corpus/protocols/1869/prot-1869--fk--0206.xml,23
1869,corpus/protocols/1869/prot-1869--fk--0210.xml,7
1869,corpus/protocols/1869/prot-1869--fk--0213.xml,5
1869,corpus/protocols/1869/prot-1869--fk--0217.xml,4
1869,corpus/protocols/1869/prot-1869--fk--0220.xml,2
1869,corpus/protocols/1869/prot-1869--fk--0224.xml,4
1869,corpus/protocols/1869/prot-1869--fk--0225.xml,1
1869,corpus/protocols/1869/prot-1869--fk--0227.xml,72
1869,corpus/protocols/1869/prot-1869--fk--0301.xml,5
1869,corpus/protocols/1869/prot-1869--fk--0303.xml,90
1869,corpus/protocols/1869/prot-1869--fk--0305.xml,112
1869,corpus/protocols/1869/prot-1869--fk--0306.xml,45
