role,government,wiki_id,start,end,name,gender,born,dead,party,alias,id
finansminister,Regeringen Carlsson I,Q5713152,1990-02-16,1990-02-27,Odd Engström,man,1941-09-20,1998-05-18,Socialdemokraterna,,odd_engstrom_finansminister_w
integrationsminister,Regeringen Persson,Q4967115,1998-10-07,2000-10-21,Ulrica Messing,kvinna,1968-01-31,,Socialdemokraterna,,ulrica_messing_integrationsminister_w
socialminister,Regeringen Hansson IV,Q4570928,1939-12-13,1951-10-01,Gustav Möller,man,1884-06-06,1970-08-15,Socialdemokraterna,,gustav_moller_socialminister_w
integrationsminister,Regeringen Persson,Q5854875,1998-03-25,1998-10-06,Lars Engqvist,man,1945-08-13,,Socialdemokraterna,,lars_engqvist_integrationsminister_w
folkhushållningsminister,Regeringen Hansson IV,Q3373681,1941-03-07,1947-05-24,Axel Gjöres,man,1889-11-11,1979-03-12,Socialdemokraterna,,axel_gjores_folkhushallningsminister_w
försvarsminister,Regeringen Persson,Q879773,1997-02-01,2002-09-30,Björn von Sydow,man,1945-11-26,,Socialdemokraterna,,bjorn_von_sydow_forsvarsminister_w
försvarsminister,Regeringen Carlsson I,Q5603378,1985-10-14,1991-10-04,Roine Carlsson,man,1937-12-10,2020-08-01,Socialdemokraterna,,roine_carlsson_forsvarsminister_w
invandrarminister,Regeringen Carlsson I,Q4964703,1989-01-29,1991-10-04,Maj-Lis Lööw,kvinna,1936-08-13,,Socialdemokraterna,,maj-lis_loow_invandrarminister_w
samordningsminister,Regeringen Persson,Q321595,2005-01-01,2006-10-06,Bosse Ringholm,man,1942-08-18,,Socialdemokraterna,,bosse_ringholm_samordningsminister_w
näringsminister,Regeringen Carlsson I,Q2408431,1982-10-08,1988-09-30,Thage G. Peterson,man,1933-09-24,,Socialdemokraterna,,thage_g_peterson_naringsminister_w
idrottsminister,Regeringen Persson,Q231413,2000-10-21,2004-10-21,Mona Sahlin,kvinna,1957-03-09,,Socialdemokraterna,,mona_sahlin_idrottsminister_w
skolminister,Regeringen Persson,Q3297193,2002-01-16,2004-10-21,Thomas Östros,man,1965-01-26,,Socialdemokraterna,,thomas_ostros_skolminister_w
jämställdhetsminister,Regeringen Carlsson I,Q4964703,1989-01-29,1991-10-04,Maj-Lis Lööw,kvinna,1936-08-13,,Socialdemokraterna,,maj-lis_loow_jamstalldhetsminister_w
konsumentminister,Regeringen Carlsson I,Q5885510,1985-10-15,1988-10-04,Bengt K.Å. Johansson,man,1937-01-04,2021-09-01,Socialdemokraterna,,bengt_ka_johansson_konsumentminister_w
kommunikationsminister,Regeringen Hansson IV,Q241035,1945-07-31,1951-10-01,Torsten Nilsson,man,1905-04-01,1997-12-14,Socialdemokraterna,Nilsson i Stockholm,torsten_nilsson_kommunikationsminister_w
EU-minister,Regeringen Persson,Q321595,2005-01-01,2006-10-06,Bosse Ringholm,man,1942-08-18,,Socialdemokraterna,,bosse_ringholm_eu-minister_w
Statsministerns ställföretädare,Regeringen Persson,Q5854875,2004-06-01,2004-10-01,Lars Engqvist,man,1945-08-13,,Socialdemokraterna,,lars_engqvist_statsministerns_stallforetadare_w
utrikesminister,Regeringen Persson,Q549955,2006-04-24,2006-10-06,Jan Eliasson,man,1940-09-17,,Socialdemokraterna,,jan_eliasson_utrikesminister_w
utrikesminister,Regeringen Carlsson I,Q1346478,1985-10-17,1991-10-04,Sten Andersson,man,1923-04-20,2006-09-16,Socialdemokraterna,Andersson i Stockholm,sten_andersson_utrikesminister_w
jordbruksminister,Regeringen Persson,Q3430022,1998-10-07,2002-10-21,Margareta Winberg,kvinna,1947-08-13,,Socialdemokraterna,,margareta_winberg_jordbruksminister_w
finansminister,Regeringen Persson,Q321595,1999-04-12,2004-10-21,Bosse Ringholm,man,1942-08-18,,Socialdemokraterna,,bosse_ringholm_finansminister_w
löneminister,Regeringen Carlsson I,Q5885510,1985-10-15,1988-10-04,Bengt K.Å. Johansson,man,1937-01-04,2021-09-01,Socialdemokraterna,,bengt_ka_johansson_loneminister_w
bostadsminister,Regeringen Carlsson I,Q5777699,1982-10-08,1988-10-04,Hans Gustafsson,man,1923-12-21,1998-08-25,Socialdemokraterna,,hans_gustafsson_bostadsminister_w
skatteminister,Regeringen Persson,Q3297193,1996-03-22,1998-10-07,Thomas Östros,man,1965-01-26,,Socialdemokraterna,,thomas_ostros_skatteminister_w
kulturminister,Regeringen Persson,Q320842,2004-09-13,2004-11-01,Pär Nuder,man,1963-02-27,,Socialdemokraterna,,par_nuder_kulturminister_w
inrikesminister,Regeringen Persson,Q3218127,1998-11-16,1998-12-31,Lars-Erik Lövdén,man,1950-01-11,,Socialdemokraterna,,lars-erik_lovden_inrikesminister_w
Statsministerns ställföretädare,Regeringen Persson,Q3430022,2002-10-21,2003-10-30,Margareta Winberg,kvinna,1947-08-13,,Socialdemokraterna,,margareta_winberg_statsministerns_stallforetadare_w
Statsministerns ställföretädare,Regeringen Persson,Q321595,2004-11-01,2006-10-06,Bosse Ringholm,man,1942-08-18,,Socialdemokraterna,,bosse_ringholm_statsministerns_stallforetadare_w
kommunikationsminister,Regeringen Persson,Q4984124,1994-10-07,1998-10-07,Ines Uusmann,kvinna,1948-10-30,,Socialdemokraterna,,ines_uusmann_kommunikationsminister_w
justitieminister,Regeringen Persson,Q460919,2000-09-21,2000-10-16,Lena Hjelm-Wallén,kvinna,1943-01-14,,Socialdemokraterna,,lena_hjelm-wallen_justitieminister_w
utbildningsminister,Regeringen Persson,Q3297193,1998-10-06,2004-10-21,Thomas Östros,man,1965-01-26,,Socialdemokraterna,,thomas_ostros_utbildningsminister_w
migrationsminister,Regeringen Persson,Q3358782,2003-10-10,2006-10-06,Barbro Holmberg,kvinna,1952-04-07,,Socialdemokraterna,,barbro_holmberg_migrationsminister_w
näringsminister,Regeringen Persson,Q3297193,2004-10-21,2006-10-06,Thomas Östros,man,1965-01-26,,Socialdemokraterna,,thomas_ostros_naringsminister_w
biståndsminister,Regeringen Persson,Q2938797,2003-10-10,2006-10-06,Carin Jämtin,kvinna,1964-08-03,,Socialdemokraterna,,carin_jamtin_bistandsminister_w
arbetsmarknadsminister,Regeringen Carlsson I,Q4982419,1987-10-19,1990-01-11,Ingela Thalén,kvinna,1943-10-01,,Socialdemokraterna,,ingela_thalen_arbetsmarknadsminister_w
energiminister,Regeringen Carlsson I,Q4356302,1982-10-08,1990-02-27,Birgitta Dahl,kvinna,1937-09-20,,Socialdemokraterna,Dahl i Uppsala,birgitta_dahl_energiminister_w
utrikesminister,Regeringen Persson,Q460919,1994-10-07,1998-10-07,Lena Hjelm-Wallén,kvinna,1943-01-14,,Socialdemokraterna,,lena_hjelm-wallen_utrikesminister_w
Statsministerns ställföretädare,Regeringen Carlsson I,Q927466,1986-10-10,1990-02-16,Kjell-Olof Feldt,man,1931-08-18,,Socialdemokraterna,,kjell-olof_feldt_statsministerns_stallforetadare_w
kommunikationsminister,Regeringen Carlsson I,Q5816531,1985-10-18,1989-01-29,Sven Hulterström,man,1938-05-14,,Socialdemokraterna,,sven_hulterstrom_kommunikationsminister_w
Statsministerns ställföretädare,Regeringen Persson,Q460919,1995-11-17,2002-10-21,Lena Hjelm-Wallén,kvinna,1943-01-14,,Socialdemokraterna,,lena_hjelm-wallen_statsministerns_stallforetadare_w
arbetsrättsminister,Regeringen Persson,Q4967115,1996-03-22,1998-10-07,Ulrica Messing,kvinna,1968-01-31,,Socialdemokraterna,,ulrica_messing_arbetsrattsminister_w
arbetsmarknadsminister,Regeringen Persson,Q3430022,1996-03-22,1998-10-06,Margareta Winberg,kvinna,1947-08-13,,Socialdemokraterna,,margareta_winberg_arbetsmarknadsminister_w
kommunminister,Regeringen Persson,Q3218127,1998-11-16,2004-10-21,Lars-Erik Lövdén,man,1950-01-11,,Socialdemokraterna,,lars-erik_lovden_kommunminister_w
invandrarminister,Regeringen Carlsson III,Q5579495,1994-10-07,1996-03-22,Leif Blomberg,man,1941-02-15,1998-03-02,Socialdemokraterna,,leif_blomberg_invandrarminister_w
energiminister,Regeringen Carl Bildt,Q1375199,1991-10-04,1994-10-07,Per Westerberg,man,1951-08-02,,Moderaterna,,per_westerberg_energiminister_w
bostadsminister,Regeringen Carl Bildt,Q4916267,1991-10-04,1991-12-31,Birgit Friggebo,kvinna,1941-12-25,,Liberalerna,,birgit_friggebo_bostadsminister_w
biståndsminister,Regeringen Carl Bildt,Q944795,1991-10-04,1994-10-07,Alf Svensson,man,1938-10-01,,Kristdemokraterna,,alf_svensson_bistandsminister_w
handelsminister,Regeringen Palme II,Q4098206,1982-10-08,1982-12-31,Lennart Bodström,man,1928-04-20,2015-04-30,Socialdemokraterna,,lennart_bodstrom_handelsminister_w
socialförsäkringsminister,Regeringen Carlsson III,Q4953085,1994-10-07,1996-03-22,Anna Hedborg,kvinna,1944-09-17,,Socialdemokraterna,,anna_hedborg_socialforsakringsminister_w
utrikeshandelsminister,Regeringen Palme II,Q5799722,1983-01-01,1986-10-09,Mats Hellström,man,1942-01-12,,Socialdemokraterna,,mats_hellstrom_utrikeshandelsminister_w
socialminister,Regeringen Carl Bildt,Q817241,1991-10-04,1994-10-07,Bengt Westerberg,man,1943-08-23,,Folkpartiet,,bengt_westerberg_socialminister_w
konsultativt statsråd,Regeringen Hansson III,Q53707,1944-09-30,1945-07-31,Tage Erlander,man,1901-06-13,1985-06-21,Socialdemokraterna,Erlander i Lund,tage_erlander_konsultativt_statsrad_w
planminister,Regeringen Carl Bildt,Q4982742,1991-10-04,1994-06-16,Görel Thurdin,kvinna,1942-05-26,,Centerpartiet,,gorel_thurdin_planminister_w
jämställdhetsminister,Regeringen Carl Bildt,Q4916267,1991-12-01,1993-01-01,Birgit Friggebo,kvinna,1941-12-25,,Liberalerna,,birgit_friggebo_jamstalldhetsminister_w
folkhushållningsminister,Regeringen Hansson III,Q5716548,1939-10-15,1941-03-07,Herman Eriksson,man,1892-10-20,1949-02-18,Socialdemokraterna,,herman_eriksson_folkhushallningsminister_w
Statsministerns ställföretädare,Regeringen Carlsson III,Q231413,1994-10-07,1995-11-16,Mona Sahlin,kvinna,1957-03-09,,Socialdemokraterna,,mona_sahlin_statsministerns_stallforetadare_w
finansminister,Regeringen Carlsson III,Q53747,1994-10-07,1996-03-22,Göran Persson,man,1949-01-20,,Socialdemokraterna,Göran Persson i Stjärnhov,goran_persson_finansminister_w
biträdande justitieminister,Regeringen Carl Bildt,Q4961261,1991-10-04,1994-10-07,Reidunn Laurén,kvinna,1931-08-11,,,,reidunn_lauren_bitradande_justitieminister_w
minister för nordiskt samarbete,Regeringen Carlsson III,Q5799722,1994-10-07,1996-03-22,Mats Hellström,man,1942-01-12,,Socialdemokraterna,,mats_hellstrom_minister_for_nordiskt_samarbete_w
kommunikationsminister,Regeringen Carl Bildt,Q571725,1991-10-04,1994-10-07,Mats Odell,man,1947-04-30,,Kristdemokraterna,,mats_odell_kommunikationsminister_w
finansminister,Regeringen Carl Bildt,Q273408,1991-10-04,1994-10-07,Anne Wibble,kvinna,1943-10-13,2000-03-14,Liberalerna,,anne_wibble_finansminister_w
EU-minister,Regeringen Carlsson III,Q5799722,1994-10-07,1996-03-22,Mats Hellström,man,1942-01-12,,Socialdemokraterna,,mats_hellstrom_eu-minister_w
utbildningsminister,Regeringen Palme II,Q4098206,1985-10-17,1989-01-29,Lennart Bodström,man,1928-04-20,2015-04-30,Socialdemokraterna,,lennart_bodstrom_utbildningsminister_w
jordbruksminister,Regeringen Carl Bildt,Q6027273,1991-10-04,1994-10-07,Karl Erik Olsson,man,1938-02-23,2021-01-23,Centerpartiet,,karl_erik_olsson_jordbruksminister_w
samfundsminister,Regeringen Carlsson III,Q3115681,1994-10-07,2004-09-13,Marita Ulvskog,kvinna,1951-09-04,,Socialdemokraterna,,marita_ulvskog_samfundsminister_w
civilminister,Regeringen Carl Bildt,Q4944305,1991-10-21,1994-10-07,Inger Davidson,kvinna,1944-12-02,,Kristdemokraterna,,inger_davidson_civilminister_w
ecklesiastikminister,Regeringen Hansson III,Q5556673,1944-12-15,1945-07-31,Georg Andrén,man,1890-12-10,1969-09-01,Moderaterna,,georg_andren_ecklesiastikminister_w
skolminister,Regeringen Carl Bildt,Q297850,1991-10-04,1994-10-07,Beatrice Ask,kvinna,1956-04-20,,Moderaterna,,beatrice_ask_skolminister_w
ungdomsminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22,Marita Ulvskog,kvinna,1951-09-04,,Socialdemokraterna,,marita_ulvskog_ungdomsminister_w
jordbruksminister,Regeringen Branting III,Q5955664,1924-10-18,1926-06-07,Sven Linders,man,1873-02-14,1932-12-16,Socialdemokraterna,,sven_linders_jordbruksminister_w
miljöminister,Regeringen Carl Bildt,Q4982742,1994-06-16,1994-10-02,Görel Thurdin,kvinna,1942-05-26,,Centerpartiet,,gorel_thurdin_miljominister_w
kulturminister,Regeringen Carl Bildt,Q4916267,1991-10-04,1994-10-07,Birgit Friggebo,kvinna,1941-12-25,,Liberalerna,,birgit_friggebo_kulturminister_w
jämställdhetsminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22,Marita Ulvskog,kvinna,1951-09-04,,Socialdemokraterna,,marita_ulvskog_jamstalldhetsminister_w
justitieminister,Regeringen Carl Bildt,Q1780585,1991-10-04,1994-10-07,Gun Hellsvik,kvinna,1942-09-27,2016-11-14,Moderaterna,,gun_hellsvik_justitieminister_w
skolminister,Regeringen Carlsson III,Q3369258,1994-10-07,1998-10-06,Ylva Johansson,kvinna,1964-02-13,,,,ylva_johansson_skolminister_w
utrikesminister,Regeringen Palme II,Q4098206,1982-10-08,1985-10-17,Lennart Bodström,man,1928-04-20,2015-04-30,Socialdemokraterna,,lennart_bodstrom_utrikesminister_w
ecklesiastikminister,Regeringen Branting III,Q6027656,1924-10-18,1926-06-07,Olof Olsson,man,1872-06-18,1939-12-18,Socialdemokraterna,Olsson i Göteborg,olof_olsson_ecklesiastikminister_w
EU-minister,Regeringen Carl Bildt,Q5622212,1991-10-04,1994-10-07,Ulf Dinkelspiel,man,1939-07-04,2017-01-09,,,ulf_dinkelspiel_eu-minister_w
näringsminister,Regeringen Carlsson III,Q5555093,1996-02-05,1996-03-22,Jörgen Andersson,man,1946-08-22,,Socialdemokraterna,,jorgen_andersson_naringsminister_w
ecklesiastikminister,Regeringen Hansson III,Q5563972,1939-12-13,1944-12-15,Gösta Bagge,man,1882-05-27,1951-01-03,Moderaterna,Bagge i Stockholm,gosta_bagge_ecklesiastikminister_w
konsumentminister,Regeringen Carl Bildt,Q4944305,1991-10-04,1994-10-07,Inger Davidson,kvinna,1944-12-02,,Kristdemokraterna,,inger_davidson_konsumentminister_w
justitieminister,Regeringen Branting III,Q6018174,1924-01-01,1926-01-01,Torsten Nothin,man,1884-02-16,1972-03-01,Socialdemokraterna,,torsten_nothin_justitieminister_w
socialminister,Regeringen Carlsson III,Q4982419,1994-10-07,1996-03-22,Ingela Thalén,kvinna,1943-10-01,,Socialdemokraterna,,ingela_thalen_socialminister_w
samordningsminister,Regeringen Carlsson III,Q6019543,1994-10-07,1996-03-22,Jan Nygren,man,1950-04-15,,Socialdemokraterna,,jan_nygren_samordningsminister_w
socialminister,Regeringen Hansson III,Q4570928,1939-12-13,1951-10-01,Gustav Möller,man,1884-06-06,1970-08-15,Socialdemokraterna,,gustav_moller_socialminister_w
folkhushållningsminister,Regeringen Hansson III,Q3373681,1941-03-07,1947-05-24,Axel Gjöres,man,1889-11-11,1979-03-12,Socialdemokraterna,,axel_gjores_folkhushallningsminister_w
jordbruksminister,Regeringen Carlsson III,Q3430022,1994-10-07,1996-03-22,Margareta Winberg,kvinna,1947-08-13,,Socialdemokraterna,,margareta_winberg_jordbruksminister_w
jämställdhetsminister,Regeringen Carl Bildt,Q817241,1993-01-15,1994-10-07,Bengt Westerberg,man,1943-08-23,,Folkpartiet,,bengt_westerberg_jamstalldhetsminister_w
utrikesminister,Regeringen Branting III,Q298317,1924-10-18,1926-06-07,Östen Undén,man,1886-08-25,1974-01-14,Socialdemokraterna,,osten_unden_utrikesminister_w
miljöminister,Regeringen Carl Bildt,Q2021126,1991-10-04,1994-06-16,Olof Johansson,man,1937-07-31,,Centerpartiet,,olof_johansson_miljominister_w
handelsminister,Regeringen Hansson III,Q5716548,1941-03-07,1944-09-30,Herman Eriksson,man,1892-10-20,1949-02-18,Socialdemokraterna,,herman_eriksson_handelsminister_w
minister för nordiskt samarbete,Regeringen Carl Bildt,Q5005171,1994-06-16,1994-10-07,Börje Hörnlund,man,1935-06-17,,Centerpartiet,,borje_hornlund_minister_for_nordiskt_samarbete_w
konsultativt statsråd,Regeringen Hansson III,Q5572966,1939-12-13,1943-08-30,Thorwald Bergquist,man,1899-12-01,1972-12-03,Folkpartiet,,thorwald_bergquist_konsultativt_statsrad_w
skatteminister,Regeringen Carl Bildt,Q2448370,1991-10-04,1994-10-07,Bo Lundgren,man,1947-07-11,,Moderaterna,,bo_lundgren_skatteminister_w
energiminister,Regeringen Carlsson III,Q5555093,1994-10-07,1996-03-22,Jörgen Andersson,man,1946-08-22,,Socialdemokraterna,,jorgen_andersson_energiminister_w
civilminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22,Marita Ulvskog,kvinna,1951-09-04,,Socialdemokraterna,,marita_ulvskog_civilminister_w
sjukvårdsminister,Regeringen Carl Bildt,Q4931118,1991-10-04,1994-10-07,Bo Könberg,man,1945-10-14,,Liberalerna,,bo_konberg_sjukvardsminister_w
miljöminister,Regeringen Carlsson III,Q208591,1994-10-07,1998-10-07,Anna Lindh,kvinna,1957-06-19,2003-09-11,Socialdemokraterna,,anna_lindh_miljominister_w
biståndsminister,Regeringen Palme II,Q460919,1985-10-17,1991-10-04,Lena Hjelm-Wallén,kvinna,1943-01-14,,Socialdemokraterna,,lena_hjelm-wallen_bistandsminister_w
kommunikationsminister,Regeringen Carlsson III,Q4984124,1994-10-07,1998-10-07,Ines Uusmann,kvinna,1948-10-30,,Socialdemokraterna,,ines_uusmann_kommunikationsminister_w
arbetsrättsminister,Regeringen Carlsson III,Q5579495,1994-10-07,1996-03-22,Leif Blomberg,man,1941-02-15,1998-03-02,Socialdemokraterna,,leif_blomberg_arbetsrattsminister_w
kommunikationsminister,Regeringen Palme II,Q5583208,1982-01-01,1985-01-01,Curt Boström,man,1926-12-31,2014-03-03,Socialdemokraterna,,curt_bostrom_kommunikationsminister_w
utbildningsminister,Regeringen Carlsson III,Q6206776,1994-10-07,1998-10-06,Carl Tham,man,1939-07-05,,,,carl_tham_utbildningsminister_w
näringsminister,Regeringen Carl Bildt,Q1375199,1991-10-04,1994-10-07,Per Westerberg,man,1951-08-02,,Moderaterna,,per_westerberg_naringsminister_w
biståndsminister,Regeringen Carlsson III,Q3386964,1994-10-07,1999-06-11,Pierre Schori,man,1938-10-14,,Socialdemokraterna,,pierre_schori_bistandsminister_w
bostadsminister,Regeringen Carlsson III,Q5555093,1994-10-07,1996-03-21,Jörgen Andersson,man,1946-08-22,,Socialdemokraterna,,jorgen_andersson_bostadsminister_w
utrikesminister,Regeringen Carlsson III,Q460919,1994-10-07,1998-10-07,Lena Hjelm-Wallén,kvinna,1943-01-14,,Socialdemokraterna,,lena_hjelm-wallen_utrikesminister_w
justitieminister,Regeringen Hansson III,Q4353489,1936-09-28,1943-08-30,Karl Gustaf Westman,man,1876-08-18,1944-01-24,Centerpartiet,Westman i Stockholm,karl_gustaf_westman_justitieminister_w
justitieminister,Regeringen Hansson III,Q4353489,1936-09-28,1943-08-30,Karl Gustaf Westman,man,1876-08-18,1944-01-24,Centerpartiet,Westman i Uppsala,karl_gustaf_westman_justitieminister_w
justitieminister,Regeringen Carlsson III,Q291648,1994-10-07,2000-09-21,Laila Freivalds,kvinna,1942-06-22,,Socialdemokraterna,,laila_freivalds_justitieminister_w
socialförsäkringsminister,Regeringen Carl Bildt,Q4931118,1991-10-04,1994-10-07,Bo Könberg,man,1945-10-14,,Liberalerna,,bo_konberg_socialforsakringsminister_w
socialminister,Regeringen Branting III,Q4570928,1924-10-18,1926-06-07,Gustav Möller,man,1884-06-06,1970-08-15,Socialdemokraterna,,gustav_moller_socialminister_w
försvarsminister,Regeringen Branting III,Q53660,1924-10-18,1926-06-07,Per Albin Hansson,man,1885-10-28,1946-10-06,Socialdemokraterna,Hansson i Stockholm,per_albin_hansson_forsvarsminister_w
utbildningsminister,Regeringen Palme II,Q460919,1982-10-08,1985-10-16,Lena Hjelm-Wallén,kvinna,1943-01-14,,Socialdemokraterna,,lena_hjelm-wallen_utbildningsminister_w
utrikeshandelsminister,Regeringen Carlsson III,Q5799722,1994-10-07,1996-03-22,Mats Hellström,man,1942-01-12,,Socialdemokraterna,,mats_hellstrom_utrikeshandelsminister_w
miljöminister,Regeringen Carl Bildt,Q6027273,1994-10-02,1994-10-07,Karl Erik Olsson,man,1938-02-23,2021-01-23,Centerpartiet,,karl_erik_olsson_miljominister_w
invandrarminister,Regeringen Carl Bildt,Q4916267,1991-10-04,1994-10-07,Birgit Friggebo,kvinna,1941-12-25,,Liberalerna,,birgit_friggebo_invandrarminister_w
kommunikationsminister,Regeringen Branting III,Q16649624,1924-10-18,1926-06-07,Viktor Larsson,man,1869-06-18,1950-09-27,Socialdemokraterna,,viktor_larsson_kommunikationsminister_w
finansminister,Regeringen Branting III,Q6209474,1924-10-18,1925-05-05,Fredrik Vilhelm Thorsson,man,1865-05-30,1925-05-05,Socialdemokraterna,Thorsson i Ystad,fredrik_vilhelm_thorsson_finansminister_w
försvarsminister,Regeringen Carl Bildt,Q490785,1991-10-04,1994-10-07,Anders Björck,man,1944-09-19,,Moderaterna,Björck i Nässjö,anders_bjorck_forsvarsminister_w
idrottsminister,Regeringen Carl Bildt,Q2448370,1991-10-04,1994-10-07,Bo Lundgren,man,1947-07-11,,Moderaterna,,bo_lundgren_idrottsminister_w
ungdomsminister,Regeringen Carl Bildt,Q4944305,1991-10-04,1994-10-07,Inger Davidson,kvinna,1944-12-02,,Kristdemokraterna,,inger_davidson_ungdomsminister_w
handelsminister,Regeringen Branting III,Q53637,1924-10-18,1925-02-27,Rickard Sandler,man,1884-01-29,1964-11-12,Socialdemokraterna,,rickard_sandler_handelsminister_w
minister för nordiskt samarbete,Regeringen Carl Bildt,Q2021126,1991-10-04,1994-06-16,Olof Johansson,man,1937-07-31,,Centerpartiet,,olof_johansson_minister_for_nordiskt_samarbete_w
utrikeshandelsminister,Regeringen Carl Bildt,Q5622212,1991-10-04,1994-10-07,Ulf Dinkelspiel,man,1939-07-04,2017-01-09,,,ulf_dinkelspiel_utrikeshandelsminister_w
Statsministerns ställföretädare,Regeringen Carl Bildt,Q817241,1991-10-04,1994-10-07,Bengt Westerberg,man,1943-08-23,,Folkpartiet,,bengt_westerberg_statsministerns_stallforetadare_w
arbetsmarknadsminister,Regeringen Carlsson III,Q6196549,1994-10-07,1996-03-22,Anders Sundström,man,1952-07-26,,Socialdemokraterna,,anders_sundstrom_arbetsmarknadsminister_w
utrikesminister,Regeringen Hansson III,Q1777531,1939-12-13,1945-07-31,Christian Günther,man,1886-12-03,1966-03-06,,,christian_gunther_utrikesminister_w
konsumentminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22,Marita Ulvskog,kvinna,1951-09-04,,Socialdemokraterna,,marita_ulvskog_konsumentminister_w
samfundsminister,Regeringen Carl Bildt,Q4944305,1991-10-04,1994-10-07,Inger Davidson,kvinna,1944-12-02,,Kristdemokraterna,,inger_davidson_samfundsminister_w
utrikesminister,Regeringen Carl Bildt,Q455820,1991-10-04,1994-10-07,Margaretha af Ugglas,kvinna,1939-01-05,,Moderaterna,,margaretha_af_ugglas_utrikesminister_w
justitieminister,Regeringen Hansson III,Q5572966,1943-08-30,1945-07-31,Thorwald Bergquist,man,1899-12-01,1972-12-03,Folkpartiet,,thorwald_bergquist_justitieminister_w
försvarsminister,Regeringen Carlsson III,Q2408431,1994-10-07,1997-02-01,Thage G. Peterson,man,1933-09-24,,Socialdemokraterna,,thage_g_peterson_forsvarsminister_w
utbildningsminister,Regeringen Carl Bildt,Q1830351,1991-10-04,1994-10-07,Per Unckel,man,1948-02-24,2011-09-20,Moderaterna,,per_unckel_utbildningsminister_w
försvarsminister,Regeringen Hansson III,Q6180686,1938-12-16,1945-07-31,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Kämpinge o Toftaröd,per_edvin_skold_forsvarsminister_w
försvarsminister,Regeringen Hansson III,Q6180686,1938-12-16,1945-07-31,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Oxie,per_edvin_skold_forsvarsminister_w
socialminister,Regeringen Palme II,Q4978577,1985-10-16,1989-01-29,Gertrud Sigurdsen,kvinna,1923-01-11,2015-03-27,Socialdemokraterna,,gertrud_sigurdsen_socialminister_w
försvarsminister,Regeringen Palme II,Q5583208,1982-12-01,1983-01-17,Curt Boström,man,1926-12-31,2014-03-03,Socialdemokraterna,,curt_bostrom_forsvarsminister_w
idrottsminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22,Marita Ulvskog,kvinna,1951-09-04,,Socialdemokraterna,,marita_ulvskog_idrottsminister_w
näringsminister,Regeringen Carlsson III,Q4126210,1994-10-07,1996-02-05,Sten Heckscher,man,1942-07-29,,Socialdemokraterna,,sten_heckscher_naringsminister_w
arbetsmarknadsminister,Regeringen Carl Bildt,Q5005171,1991-10-04,1994-10-07,Börje Hörnlund,man,1935-06-17,,Centerpartiet,,borje_hornlund_arbetsmarknadsminister_w
kulturminister,Regeringen Carlsson III,Q237522,1994-10-07,1996-03-22,Margot Wallström,kvinna,1954-09-28,,Socialdemokraterna,,margot_wallstrom_kulturminister_w
sjukvårdsminister,Regeringen Palme II,Q4978577,1982-10-08,1985-10-16,Gertrud Sigurdsen,kvinna,1923-01-11,2015-03-27,Socialdemokraterna,,gertrud_sigurdsen_sjukvardsminister_w
utrikesminister,Regeringen Persson,Q208591,1998-10-07,2003-09-11,Anna Lindh,kvinna,1957-06-19,2003-09-11,Socialdemokraterna,,anna_lindh_utrikesminister_w
socialförsäkringsminister,Regeringen Persson,Q4959140,1996-03-22,1999-09-14,Maj-Inger Klingvall,kvinna,1946-05-15,,Socialdemokraterna,,maj-inger_klingvall_socialforsakringsminister_w
integrationsminister,Regeringen Persson,Q6029071,2004-10-21,2006-10-06,Jens Orback,man,1959-04-21,,Socialdemokraterna,,jens_orback_integrationsminister_w
jämställdhetsminister,Regeringen Persson,Q6029071,2004-10-21,2006-10-06,Jens Orback,man,1959-04-21,,Socialdemokraterna,,jens_orback_jamstalldhetsminister_w
konsultativt statsråd,Regeringen Hansson III,Q5616687,1944-01-01,1952-01-01,Gunnar Danielson,man,1901-08-18,1958-09-18,,,gunnar_danielson_konsultativt_statsrad_w
näringsminister,Regeringen Persson,Q6196549,1996-03-22,1998-10-07,Anders Sundström,man,1952-07-26,,Socialdemokraterna,,anders_sundstrom_naringsminister_w
sjöförsvarsminister,Regeringen Branting I,Q4894168,1920-03-10,1920-07-01,Bernhard Eriksson,man,1878-04-19,1952-04-18,Socialdemokraterna,,bernhard_eriksson_sjoforsvarsminister_w
demokratiminister,Regeringen Persson,Q4961658,1998-10-07,2002-10-15,Britta Lejon,kvinna,1964-11-02,,Socialdemokraterna,,britta_lejon_demokratiminister_w
Statsministerns ställföretädare,Regeringen Persson,Q3115681,2003-10-31,2004-05-31,Marita Ulvskog,kvinna,1951-09-04,,Socialdemokraterna,,marita_ulvskog_statsministerns_stallforetadare_w
utrikesminister,Regeringen Branting I,Q1807154,1920-03-10,1920-10-27,Erik Palmstierna,man,1877-11-10,1959-11-22,Socialdemokraterna,,erik_palmstierna_utrikesminister_w
