name,replacer,party,district,start,end,note,chamber,id
Sven-Åke Nygårds,Sten Andersson,Socialdemokraterna,Stockholms kommun,1988,1991,,Enkammarriksdagen,sven-ake_nygards_2d6628
Anneli Hulthén,Bengt Göransson,Socialdemokraterna,Göteborgs kommun,1988,1991,,Enkammarriksdagen,anneli_hulthen_1e86e4
Stig Gustafsson,Anita Gradin,Socialdemokraterna,Stockholms kommun,1988,1991,,Enkammarriksdagen,stig_gustafsson_ae548e
Barbro Andersson,Birgitta Dahl,Socialdemokraterna,Uppsala län,1988,1991,,Enkammarriksdagen,barbro_andersson_ba7444
Lisbeth Staaf-Igelström,Roine Carlsson,Socialdemokraterna,Värmlands län,1988,1991,,Enkammarriksdagen,lisbeth_staaf-igelstrom_6e6fd5
Barbro Nilsson,Bo Holmberg,Socialdemokraterna,Västernorrlands län,1988,1991,,Enkammarriksdagen,barbro_nilsson_0a6e21
Margareta Persson,Mats Hellström,Socialdemokraterna,Stockholms kommun,1988,1991,,Enkammarriksdagen,margareta_persson_36a7db
Marianne Carlström,Sven Hulterström,Socialdemokraterna,Göteborgs kommun,1988,1991,,Enkammarriksdagen,marianne_carlstrom_05c8c8
Erkki Tammenoksa,Bengt Lindqvist,Socialdemokraterna,Stockholms kommun,1988,1991,,Enkammarriksdagen,erkki_tammenoksa_d10864
Eivor Husing,Georg Andersson,Socialdemokraterna,Västerbottens län,1988,1991,,Enkammarriksdagen,eivor_husing_bdf9bc
Åke Wictorsson,Ulf Lönnqvist,Socialdemokraterna,Stockholms län,1988,1991,,Enkammarriksdagen,ake_wictorsson_012dab
Christina Pettersson,Ingela Thalén,Socialdemokraterna,Stockholms län,1988,1991,,Enkammarriksdagen,christina_pettersson_9078d1
Sylvia Pettersson,Thage G. Peterson,Socialdemokraterna,Stockholms län,1988,1991,,Enkammarriksdagen,sylvia_pettersson_bdecfb
Christina Axelsson,Pierre Schori,Socialdemokraterna,"Stockholms län, plats 45",1994,1998,,Enkammarriksdagen,christina_axelsson_c0d67a
Cinnika Beiming,Pär Nuder,Socialdemokraterna,"Stockholms län, plats 61",1994,1998,,Enkammarriksdagen,cinnika_beiming_d7fe0e
Mats Berglind,Thomas Östros,Socialdemokraterna,"Uppsala län, plats 74",1994,1998,,Enkammarriksdagen,mats_berglind_0bb48c
Agneta Brendt,Ulrica Messing,Socialdemokraterna,"Gävleborgs län, plats 307",1994,1998,,Enkammarriksdagen,agneta_brendt_324099
Björn Ericson,Ines Uusmann,Socialdemokraterna,"Stockholms län, plats 43",1994,1998,,Enkammarriksdagen,bjorn_ericson_c6b798
Christer Erlandsson,Björn von Sydow,Socialdemokraterna,"Stockholms län, plats 60",1994,1998,,Enkammarriksdagen,christer_erlandsson_ff7542
Hans Hoff,Ingegerd Sahlström,Socialdemokraterna,"Hallands län, plats 184",1994,1998,,Enkammarriksdagen,hans_hoff_76eb03
Elisebeht Markström,Göran Persson,Socialdemokraterna,"Södermanlands län, plats 79",1994,1998,,Enkammarriksdagen,elisebeht_markstrom_c10dd5
Majvi Andersson,Nalin Pekgul,Socialdemokraterna,"Stockholms kommun, plats 26",1994,1998,,Enkammarriksdagen,majvi_andersson_6e130d
Jörgen Persson,Margareta Winberg,Socialdemokraterna,"Jämtlands län, plats 323",1994,1998,,Enkammarriksdagen,jorgen_persson_818509
Marina Pettersson,Bo Finnkvist,Socialdemokraterna,"Värmlands län, plats 253",1994,1998,,Enkammarriksdagen,marina_pettersson_a5dd10
Berndt Sköldestig,Maj-Inger Klingvall,Socialdemokraterna,"Östergötlands län, plats 95",1994,1998,,Enkammarriksdagen,berndt_skoldestig_a99c6b
Åsa Stenberg,Thage G Peterson,Socialdemokraterna,"Stockholms län, plats 28",1994,1998,,Enkammarriksdagen,asa_stenberg_3922b5
Lennart Thörnlund,Eva Persson Sellin,Socialdemokraterna,"Norrbottens län, plats 346",1994,1998,,Enkammarriksdagen,lennart_thornlund_c0d285
Tone Tingsgård,Birgitta Dahl,Socialdemokraterna,"Uppsala län, plats 63",1994,1998,,Enkammarriksdagen,tone_tingsgard_3d94f0
Mariann Ytterberg,Lena Hjelm-Wallén,Socialdemokraterna,"Västmanlands län, plats 275",1994,1998,,Enkammarriksdagen,mariann_ytterberg_ccfbc6
Alexandra Anstrell,Hillevi Engström,Moderaterna,Stockholms län,2014-09-29,2014-10-03,,Enkammarriksdagen,alexandra_anstrell_9d17db
Gulan Avci,Maria Arnholm,Liberalerna,Stockholms län,2014-09-29,2014-10-03,,Enkammarriksdagen,gulan_avci_1b8bf8
Erik Bengtzboe,Ulf Kristersson,Moderaterna,Södermanlands län,2014-09-29,2014-10-03,,Enkammarriksdagen,erik_bengtzboe_a963e6
Gustav Blix,Beatrice Ask,Moderaterna,Stockholms kommun,2014-09-29,2014-10-03,,Enkammarriksdagen,gustav_blix_64ca04
Staffan Danielsson,Lena Ek,Centerpartiet,Östergötlands län,2014-09-29,2014-10-03,,Enkammarriksdagen,staffan_danielsson_66e289
Erik Ezelius,Urban Ahlin,Socialdemokraterna,Västra Götalands läns östra,2014-09-29,2015-10-11,,Enkammarriksdagen,erik_ezelius_6095da
Rene Francis,Elisabeth Svantesson,Moderaterna,Örebro län,2014-09-29,2014-10-03,,Enkammarriksdagen,rene_francis_31ca16
Carl B. Hamilton,Jan Björklund,Liberalerna,Stockholms län,2014-09-29,2014-10-03,,Enkammarriksdagen,carl_b_hamilton_f3c379
Isabella Hökmark,Karin Enström,Moderaterna,Stockholms län,2014-09-29,2014-10-03,,Enkammarriksdagen,isabella_hokmark_048e70
Karin Karlsbro,Erik Ullenhag,Liberalerna,Stockholms kommun,2014-09-29,2014-10-03,,Enkammarriksdagen,karin_karlsbro_190bdf
Dag Klackenberg,Fredrik Reinfeldt,Moderaterna,Stockholms kommun,2014-09-29,2014-10-03,,Enkammarriksdagen,dag_klackenberg_856dcd
Göran Lindell,Annie Lööf,Centerpartiet,Jönköpings län,2014-09-29,2014-10-03,,Enkammarriksdagen,goran_lindell_5999dc
Nina Lundström,Birgitta Ohlsson,Liberalerna,Stockholms kommun,2014-09-29,2014-10-03,,Enkammarriksdagen,nina_lundstrom_25ca36
Karin Nilsson,Eskil Erlandsson,Centerpartiet,Kronobergs län,2014-09-29,2014-10-03,,Enkammarriksdagen,karin_nilsson_1c1da6
Erik Ottoson,Ewa Björling,Moderaterna,Stockholms län,2014-09-29,2014-10-03,,Enkammarriksdagen,erik_ottoson_799427
Fredrik Schulte,Catharina Elmsäter-Svärd,Moderaterna,Stockholms län,2014-09-29,2014-10-03,,Enkammarriksdagen,fredrik_schulte_ffd40c
Larry Söder,Göran Hägglund,Kristdemokraterna,Hallands län,2014-09-29,2014-10-03,,Enkammarriksdagen,larry_soder_153bed
Agneta Karlsson,Ibrahim Baylan,Socialdemokraterna,Stockholms län,2014-10-03,2014-10-13,,Enkammarriksdagen,agneta_karlsson_c4638c
Patrik Engström,Peter Hultqvist,Socialdemokraterna,Dalarnas län,2014-10-03,2017-03-31,,Enkammarriksdagen,patrik_engstrom_a910e5
Sanne Lennström[n 24],Ardalan Shekarabi,Socialdemokraterna,Uppsala län,2014-10-03,2017-04-23,,Enkammarriksdagen,sanne_lennstrom[n_24]_bba31b
Shadiye Heydari,Anna Johansson,Socialdemokraterna,Göteborgs kommun,2014-10-03,2017-07-27,,Enkammarriksdagen,shadiye_heydari_7563ae
Ida Karkiainen,Sven-Erik Bucht,Socialdemokraterna,Norrbottens län,2014-10-03,2015-08-31,,Enkammarriksdagen,ida_karkiainen_4de97d
Elisabet Knutsson,Gustav Fridolin,Miljöpartiet,Skåne läns norra och östra,2014-10-03,2018-09-24,,Enkammarriksdagen,elisabet_knutsson_4a30bb
Serkan Köse,Magdalena Andersson,Socialdemokraterna,Stockholms län,2014-10-03,2017-03-31,,Enkammarriksdagen,serkan_kose_3d44f0
Teres Lindberg,Ylva Johansson,Socialdemokraterna,Stockholms kommun,2014-10-03,2015-09-30,,Enkammarriksdagen,teres_lindberg_590c93
Stefan Nilsson,Per Bolund,Miljöpartiet,Stockholms kommun,2014-10-03,2016-06-06,,Enkammarriksdagen,stefan_nilsson_eb06dd
Marianne Pettersson,Morgan Johansson,Socialdemokraterna,Skåne läns södra,2014-10-03,2018-09-24,,Enkammarriksdagen,marianne_pettersson_a7591e
Lawen Redar,Stefan Löfven,Socialdemokraterna,Stockholms kommun,2014-10-03,2015-09-30,,Enkammarriksdagen,lawen_redar_dbb8e6
Azadeh Rojhan Gustafsson,Mikael Damberg,Socialdemokraterna,Stockholms län,2014-10-03,2016-08-09,,Enkammarriksdagen,azadeh_rojhan_gustafsson_2c1e7e
Pernilla Stålhammar,Åsa Romson,Miljöpartiet,Stockholms kommun,2014-10-03,2016-06-06,,Enkammarriksdagen,pernilla_stalhammar_e5056d
Börje Vestlund,Anders Ygeman,Socialdemokraterna,Stockholms kommun,2014-10-03,2015-09-30,,Enkammarriksdagen,borje_vestlund_9e56c6
Jakop Dalunde,Per Olsson,Miljöpartiet,Stockholms kommun,2014-10-14,2015-05-17,,Enkammarriksdagen,jakop_dalunde_c2c93c
Mathias Tegnér,Ibrahim Baylan,Socialdemokraterna,Stockholms län,2014-10-14,2015-10-31,,Enkammarriksdagen,mathias_tegner_4c96fa
Fredrik Eriksson,Jimmie Åkesson,Sverigedemokraterna,Jönköpings län,2014-10-22,2014-12-21,,Enkammarriksdagen,fredrik_eriksson_09dbb4
Lars Püss,Jenny Petersson,Moderaterna,Hallands län,2014-11-03,2015-03-29,,Enkammarriksdagen,lars_puss_a07802
Nina Lundström,Birgitta Ohlsson,Liberalerna,Stockholms kommun,2014-11-17,2015-07-03,,Enkammarriksdagen,nina_lundstrom_fe0f5b
Gunnar Hedberg,Ulrika Karlsson,Moderaterna,Uppsala län,2014-12-01,2015-05-30,,Enkammarriksdagen,gunnar_hedberg_60c8a7
Heidi Karlsson[n 25],Jimmie Åkesson,Sverigedemokraterna,Jönköpings län,2014-12-22,2015-03-31,,Enkammarriksdagen,heidi_karlsson[n_25]_140ec2
Crister Spets,Jeff Ahl,Sverigedemokraterna,Hallands län,2015-02-03,2015-03-10,,Enkammarriksdagen,crister_spets_8e7da1
Monica Tedestam Berglöw,Margareta Larsson,Sverigedemokraterna,Västra Götalands läns östra,2015-02-05,2015-03-10,,Enkammarriksdagen,monica_tedestam_berglow_18284f
Crister Spets,Margareta Larsson,Sverigedemokraterna,Västra Götalands läns östra,2015-03-11,2015-03-31,,Enkammarriksdagen,crister_spets_1243c0
Heidi Karlsson,Margareta Larsson,Sverigedemokraterna,Västra Götalands läns östra,2015-04-01,2015-05-15,,Enkammarriksdagen,heidi_karlsson_6a0b2a
Torbjörn Björlund,Linda Snecker,Vänsterpartiet,Östergötlands län,2015-04-07,2015-06-21,,Enkammarriksdagen,torbjorn_bjorlund_8de3fd
Jakop Dalunde,Maria Ferm,Miljöpartiet,Stockholms kommun,2015-05-18,2015-12-17,,Enkammarriksdagen,jakop_dalunde_dc90bd
Magda Rasmusson,Per Olsson,Miljöpartiet,Stockholms kommun,2015-05-18,2015-12-17,,Enkammarriksdagen,magda_rasmusson_2c2217
Torbjörn Björlund,Linda Snecker,Vänsterpartiet,Östergötlands län,2015-08-03,2016-01-04,,Enkammarriksdagen,torbjorn_bjorlund_d4f385
Linus Sköld,Sven-Erik Bucht,Socialdemokraterna,Norrbottens län,2015-09-01,2016-04-04,,Enkammarriksdagen,linus_skold_0e3db7
Eva Lindh,Johan Löfstrand,Socialdemokraterna,Östergötlands län,2015-09-01,2015-12-31,,Enkammarriksdagen,eva_lindh_16a691
Göran Lindell,Annie Lööf,Centerpartiet,Jönköpings län,2015-09-11,2016-03-31,,Enkammarriksdagen,goran_lindell_154dbd
Ulrika Heindorff,Jonas Jacobsson Gjörtler,Moderaterna,Skåne läns västra,2015-09-28,2015-12-31,,Enkammarriksdagen,ulrika_heindorff_cee74e
Börje Vestlund,Stefan Löfven,Socialdemokraterna,Stockholms kommun,2015-10-01,2017-05-28,,Enkammarriksdagen,borje_vestlund_ed81a5
Teres Lindberg,Anders Ygeman,Socialdemokraterna,Stockholms kommun,2015-10-01,2017-05-28,,Enkammarriksdagen,teres_lindberg_6c25f2
Anders Österberg,Ylva Johansson,Socialdemokraterna,Stockholms kommun,2015-10-01,2017-05-28,,Enkammarriksdagen,anders_osterberg_d9d1b6
Ida Ekeroth,Urban Ahlin,Socialdemokraterna,Västra Götalands läns östra,2015-10-12,2015-12-31,,Enkammarriksdagen,ida_ekeroth_8f0112
Jamal Mouneimne,Katarina Köhler,Socialdemokraterna,Västerbottens län,2015-10-29,2017-09-12,,Enkammarriksdagen,jamal_mouneimne_db1e7f
John Skoglund,Peter Johnsson,Socialdemokraterna,Västra Götalands läns norra,2015-10-29,2015-12-07,,Enkammarriksdagen,john_skoglund_934a52
Anna Vikström,Ibrahim Baylan,Socialdemokraterna,Stockholms län,2015-11-01,2016-04-30,,Enkammarriksdagen,anna_vikstrom_0dbab9
Anders Lönnberg,Åsa Westlund,Socialdemokraterna,Stockholms län,2015-11-01,2016-04-30,,Enkammarriksdagen,anders_lonnberg_7b7ecc
Mats Pertoft,Annika Hirvonen Falk,Miljöpartiet,Stockholms län,2015-12-11,2016-08-06,,Enkammarriksdagen,mats_pertoft_84c0a5
Magda Rasmusson,Maria Ferm,Miljöpartiet,Stockholms kommun,2015-12-18,2015-12-31,,Enkammarriksdagen,magda_rasmusson_39c3a9
Jakop Dalunde,Per Olsson,Miljöpartiet,Stockholms kommun,2015-12-18,2016-06-06,,Enkammarriksdagen,jakop_dalunde_638386
Erik Ezelius,Urban Ahlin,Socialdemokraterna,Västra Götalands läns östra,2016-01-01,2018-09-24,,Enkammarriksdagen,erik_ezelius_b9ebad
Heidi Karlsson,Jeff Ahl,Sverigedemokraterna,Hallands län,2016-01-11,2016-07-28,,Enkammarriksdagen,heidi_karlsson_8c88f5
Rolf Åbjörnsson,Jakob Forssmed,Kristdemokraterna,Stockholms län,2016-01-14,2016-03-04,,Enkammarriksdagen,rolf_abjornsson_5ab048
Camilla Hansén,Jonas Eriksson,Miljöpartiet,Stockholms kommun,2016-01-18,2016-07-31,,Enkammarriksdagen,camilla_hansen_cf2794
Eva Wallin,Roland Utbult,Kristdemokraterna,Västra Götalands läns västra,2016-03-08,2016-05-22,,Enkammarriksdagen,eva_wallin_740ace
Ida Karkiainen,Sven-Erik Bucht,Socialdemokraterna,Norrbottens län,2016-04-05,2018-09-24,,Enkammarriksdagen,ida_karkiainen_490dde
Eva Lindh,Teresa Carvalho,Socialdemokraterna,Östergötlands län,2016-04-18,2017-01-01,,Enkammarriksdagen,eva_lindh_52e918
Mathias Tegnér,Ibrahim Baylan,Socialdemokraterna,Stockholms län,2016-05-01,2018-09-24,,Enkammarriksdagen,mathias_tegner_4e6fcd
Jenny Bengtsson,Ali Esbati,Vänsterpartiet,Stockholms län,2016-05-12,2016-07-27,,Enkammarriksdagen,jenny_bengtsson_fd4abb
Pernilla Stålhammar,Per Bolund,Miljöpartiet,Stockholms kommun,2016-06-07,2017-07-14,,Enkammarriksdagen,pernilla_stalhammar_468891
Stefan Nilsson,Per Olsson,Miljöpartiet,Stockholms kommun,2016-06-07,2017-07-14,,Enkammarriksdagen,stefan_nilsson_e9ad64
Crister Spets,Julia Kronlid,Sverigedemokraterna,Stockholms län,2016-06-14,2016-07-28,,Enkammarriksdagen,crister_spets_60ee99
Jamal El-Haj,Leif Jakobsson,Socialdemokraterna,Malmö kommun,2016-06-15,2018-09-24,,Enkammarriksdagen,jamal_el-haj_fcd74c
Christer Adelsbo,Anna Wallentheim,Socialdemokraterna,Skåne läns norra och östra,2016-07-01,2017-03-05,,Enkammarriksdagen,christer_adelsbo_a5e72b
Heidi Karlsson,Julia Kronlid,Sverigedemokraterna,Stockholms län,2016-07-29,2017-03-18,,Enkammarriksdagen,heidi_karlsson_82cb45
Alexandra Anstrell,Ida Drougge,Moderaterna,Stockholms län,2016-08-01,2017-01-31,,Enkammarriksdagen,alexandra_anstrell_1ff9a0
Anna Vikström,Mikael Damberg,Socialdemokraterna,Stockholms län,2016-08-10,2017-04-01,,Enkammarriksdagen,anna_vikstrom_c864ce
Åsa Eriksson,Olle Thorell,Socialdemokraterna,Västmanlands län,2016-08-15,2017-04-01,,Enkammarriksdagen,asa_eriksson_1c1fba
Roland Gustbée,Johan Hultberg,Moderaterna,Kronobergs län,2016-09-12,2017-02-26,,Enkammarriksdagen,roland_gustbee_447716
Pål Jonson,Pia Hallström,Moderaterna,Värmlands län,2016-09-14,2016-10-11,,Enkammarriksdagen,pal_jonson_0c3b19
Marie-Louise Rönnmark,Björn Wiechel,Socialdemokraterna,Västerbottens län,2016-10-01,2017-04-01,,Enkammarriksdagen,marie-louise_ronnmark_26ac35
Gustav Blix,Amir Adan,Moderaterna,Stockholms kommun,2016-10-03,2016-12-02,,Enkammarriksdagen,gustav_blix_934555
Stefan Svanström,Caroline Szyber,Kristdemokraterna,Stockholms kommun,2016-10-11,2017-01-01,,Enkammarriksdagen,stefan_svanstrom_044a2e
Crister Spets,Paula Bieler,Sverigedemokraterna,Kalmar län,2016-10-19,2016-12-23,,Enkammarriksdagen,crister_spets_3bd0b1
Sofia Modigh,Caroline Szyber,Kristdemokraterna,Stockholms kommun,2017-01-02,2017-04-30,,Enkammarriksdagen,sofia_modigh_a94712
Faradj Koliev,Leif Nysmed,Socialdemokraterna,Stockholms län,2017-01-09,2017-06-30,,Enkammarriksdagen,faradj_koliev_de6164
Rolf Åbjörnsson,Jakob Forssmed,Kristdemokraterna,Stockholms län,2017-01-12,2017-02-12,,Enkammarriksdagen,rolf_abjornsson_bb9492
Linus Sköld,Hannah Bergstedt,Socialdemokraterna,Norrbottens län,2017-02-01,2017-08-01,,Enkammarriksdagen,linus_skold_6603d9
Eva Lindh,Johan Löfstrand,Socialdemokraterna,Östergötlands län,2017-02-27,2017-06-30,,Enkammarriksdagen,eva_lindh_6a3233
Sultan Kayhan,Arhe Hamednaca,Socialdemokraterna,Stockholms kommun,2017-03-02,2017-05-28,,Enkammarriksdagen,sultan_kayhan_9d23af
Crister Spets,Anders Forsberg,Sverigedemokraterna,Malmö kommun,2017-03-03,2017-03-18,,Enkammarriksdagen,crister_spets_954b8a
Heidi Karlsson,Anders Forsberg,Sverigedemokraterna,Malmö kommun,2017-03-19,2017-03-20,,Enkammarriksdagen,heidi_karlsson_866960
Crister Spets,Anders Forsberg,Sverigedemokraterna,Malmö kommun,2017-03-21,2017-06-01,,Enkammarriksdagen,crister_spets_015ae2
Heidi Karlsson,Julia Kronlid,Sverigedemokraterna,Stockholms län,2017-03-21,2017-05-14,,Enkammarriksdagen,heidi_karlsson_a05432
Marie Olsson,Peter Hultqvist,Socialdemokraterna,Dalarnas län,2017-04-01,2018-09-24,,Enkammarriksdagen,marie_olsson_177528
Anders Lönnberg,Magdalena Andersson,Socialdemokraterna,Stockholms län,2017-04-01,2017-08-31,,Enkammarriksdagen,anders_lonnberg_55da54
Azadeh Rojhan Gustafsson,Mikael Damberg,Socialdemokraterna,Stockholms län,2017-04-02,2018-09-24,,Enkammarriksdagen,azadeh_rojhan_gustafsson_e8eb59
Gustaf Lantz,Ardalan Shekarabi,Socialdemokraterna,Uppsala län,2017-04-24,2017-12-31,,Enkammarriksdagen,gustaf_lantz_c7aa0d
Camilla Mårtensen,Mats Persson,Liberalerna,Skåne läns södra,2017-05-02,2017-07-02,,Enkammarriksdagen,camilla_martensen_118202
Björn Rubenson,Annika Eclund,Kristdemokraterna,Västra Götalands läns östra,2017-05-03,2017-09-30,,Enkammarriksdagen,bjorn_rubenson_4c86a4
Heidi Karlsson,Jeff Ahl,Sverigedemokraterna,Hallands län,2017-05-15,2017-06-01,,Enkammarriksdagen,heidi_karlsson_6517eb
Gunnar Hedberg,Ulrika Karlsson,Moderaterna,Uppsala län,2017-05-18,2017-06-18,,Enkammarriksdagen,gunnar_hedberg_206e7b
Teres Lindberg,Stefan Löfven,Socialdemokraterna,Stockholms kommun,2017-05-29,2017-09-24,,Enkammarriksdagen,teres_lindberg_27959c
Anders Österberg,Anders Ygeman,Socialdemokraterna,Stockholms kommun,2017-05-29,2017-07-27,,Enkammarriksdagen,anders_osterberg_6408dd
Sultan Kayhan,Ylva Johansson,Socialdemokraterna,Stockholms kommun,2017-05-29,2017-09-24,,Enkammarriksdagen,sultan_kayhan_6e4172
Mattias Vepsä,Arhe Hamednaca,Socialdemokraterna,Stockholms kommun,2017-05-29,2017-07-27,,Enkammarriksdagen,mattias_vepsa_e581c6
