role,government,wiki_id,start,end
demokratiminister,Regeringen Reinfeldt,Q429001,2010-10-05,2014-10-03
folkhälsominister,Regeringen Reinfeldt,Q447542,2006-10-06,2010-10-05
miljöminister,Regeringen Carlsson I,Q4356302,1986-03-12,1991-10-04
finansmarknadsminister,Regeringen Reinfeldt,Q571725,2006-10-06,2010-10-05
jordbruksminister,Regeringen Reinfeldt,Q3058054,2006-10-06,2010-10-05
miljöminister,Regeringen Reinfeldt,Q496604,2006-10-06,2011-09-29
samfundsminister,Regeringen Reinfeldt,Q966884,2010-10-05,2014-10-03
konsumentminister,Regeringen Carlsson I,Q237522,1988-10-04,1991-10-04
försvarsminister,Regeringen Reinfeldt,Q2941786,2012-03-29,2012-04-18
energiminister,Regeringen Reinfeldt,Q253640,2006-10-06,2011-09-29
kommunminister,Regeringen Reinfeldt,Q571725,2006-10-06,2010-10-05
ungdomsminister,Regeringen Reinfeldt,Q241851,2006-10-06,2013-01-21
socialminister,Regeringen Carlsson I,Q4978577,1985-10-16,1989-01-29
skolminister,Regeringen Carlsson I,Q53747,1989-01-29,1991-10-04
näringsminister,Regeringen Carlsson I,Q53740,1988-09-30,1988-10-04
utbildningsminister,Regeringen Reinfeldt,Q911372,2007-09-12,2014-10-03
digitaliseringsminister,Regeringen Reinfeldt,Q3562306,2010-10-05,2014-10-03
jämställdhetsminister,Regeringen Reinfeldt,Q241851,2006-10-06,2013-01-21
kulturminister,Regeringen Reinfeldt,Q946818,2006-10-16,2006-10-24
minister för nordiskt samarbete,Regeringen Carlsson I,Q5969868,1986-10-10,1988-10-04
utrikesminister,Regeringen Reinfeldt,Q52922,2006-10-06,2014-10-03
infrastrukturminister,Regeringen Reinfeldt,Q2941786,2010-10-05,2014-10-02
kommunikationsminister,Regeringen Carlsson I,Q5554537,1989-01-29,1990-02-27
högskoleminister,Regeringen Reinfeldt,Q952026,2009-06-17,2010-10-05
samfundsminister,Regeringen Reinfeldt,Q447653,2006-10-06,2006-10-16
landsbygdsminister,Regeringen Reinfeldt,Q3058054,2010-10-05,2014-10-03
näringsminister,Regeringen Reinfeldt,Q253640,2010-10-06,2011-09-29
jämställdhetsminister,Regeringen Carlsson I,Q1796120,1986-10-10,1987-10-19
ungdomsminister,Regeringen Reinfeldt,Q3540867,2013-01-21,2014-10-03
EU-minister,Regeringen Reinfeldt,Q234872,2006-10-06,2010-01-22
civilminister,Regeringen Reinfeldt,Q966884,2010-10-05,2014-10-03
utrikeshandelsminister,Regeringen Carlsson I,Q5799722,1983-01-01,1986-10-09
idrottsminister,Regeringen Carlsson I,Q5969868,1986-10-10,1991-10-04
minister för nordiskt samarbete,Regeringen Reinfeldt,Q457877,2010-10-05,2014-10-03
socialminister,Regeringen Reinfeldt,Q918261,2006-10-06,2014-10-03
EU-minister,Regeringen Reinfeldt,Q429001,2010-02-02,2014-10-03
jämställdhetsminister,Regeringen Reinfeldt,Q3540867,2013-01-21,2014-10-03
arbetsmarknadsminister,Regeringen Reinfeldt,Q4981393,2013-09-17,2014-10-03
högskoleminister,Regeringen Reinfeldt,Q911372,2010-10-05,2014-10-03
finansmarknadsminister,Regeringen Reinfeldt,Q3209237,2010-10-05,2014-10-03
arbetsmarknadsminister,Regeringen Carlsson I,Q231413,1990-01-11,1991-10-04
migrationsminister,Regeringen Reinfeldt,Q3112958,2006-10-06,2014-09-29
Statsministerns ställföretädare,Regeringen Carlsson I,Q460919,1990-02-16,1990-02-27
invandrarminister,Regeringen Carlsson I,Q5554537,1986-10-10,1989-01-29
näringsminister,Regeringen Reinfeldt,Q439393,2011-09-23,2014-10-03
handelsminister,Regeringen Reinfeldt,Q984112,2006-10-24,2007-09-12
arbetsmarknadsminister,Regeringen Reinfeldt,Q3112958,2010-07-07,2010-10-05
biståndsminister,Regeringen Reinfeldt,Q772089,2013-09-17,2014-10-03
handelsminister,Regeringen Reinfeldt,Q520223,2006-10-06,2006-10-14
socialminister,Regeringen Persson,Q5854875,1998-11-16,2004-10-01
näringsminister,Regeringen Persson,Q231413,2002-10-15,2002-10-21
integrationsminister,Regeringen Persson,Q231413,2000-10-21,2004-10-21
idrottsminister,Regeringen Persson,Q321595,2004-11-01,2006-10-06
socialminister,Regeringen Persson,Q237522,1996-03-22,1998-10-01
bostadsminister,Regeringen Persson,Q5854875,1998-10-06,1998-11-16
energiminister,Regeringen Persson,Q231413,2004-10-21,2006-10-06
konsultativt statsråd,Regeringen Hansson IV,Q5715273,1945-07-31,1948-10-28
kommunminister,Regeringen Persson,Q5854875,1998-10-07,1998-11-16
justitieminister,Regeringen Carlsson I,Q2408431,1988-07-07,1988-09-30
jämställdhetsminister,Regeringen Carlsson I,Q4982419,1987-10-19,1989-01-29
socialminister,Regeringen Carlsson I,Q4982419,1990-01-11,1991-10-04
försvarsminister,Regeringen Hansson IV,Q4731015,1945-07-31,1951-10-01
konsumentminister,Regeringen Persson,Q5854875,1998-03-25,1998-10-07
infrastrukturminister,Regeringen Persson,Q4967115,2002-10-16,2006-10-06
demokratiminister,Regeringen Persson,Q231413,2002-10-21,2004-10-21
bostadsminister,Regeringen Persson,Q3297193,1996-03-22,1998-10-07
kulturminister,Regeringen Carlsson I,Q5780291,1982-10-08,1991-10-04
utrikesminister,Regeringen Hansson IV,Q298317,1945-07-31,1962-09-19
bostadsminister,Regeringen Persson,Q231413,2004-10-21,2006-10-06
idrottsminister,Regeringen Persson,Q4967115,1998-10-07,2000-10-21
justitieminister,Regeringen Carlsson I,Q6239734,1983-01-01,1987-10-19
idrottsminister,Regeringen Persson,Q5854875,1998-03-25,1998-10-07
konsultativt statsråd,Regeringen Hansson IV,Q354112,1945-07-31,1947-04-11
konsultativt statsråd,Regeringen Hansson IV,Q5616687,1944-01-01,1952-01-01
justitieminister,Regeringen Hansson IV,Q6252055,1945-07-31,1957-09-20
invandrarminister,Regeringen Carlsson I,Q459226,1982-10-08,1986-10-10
näringsminister,Regeringen Carlsson I,Q6014287,1988-10-04,1990-01-11
skolminister,Regeringen Persson,Q3055916,2004-10-21,2006-10-06
inrikesminister,Regeringen Persson,Q5854875,1998-10-06,1998-11-16
folkhälsominister,Regeringen Persson,Q5887217,2002-10-21,2006-10-06
socialminister,Regeringen Carlsson I,Q5816531,1989-01-29,1990-01-11
utbildningsminister,Regeringen Carlsson I,Q5780291,1989-01-30,1991-10-04
budgetminister,Regeringen Carlsson I,Q5713152,1988-10-04,1990-02-16
jämställdhetsminister,Regeringen Carlsson I,Q459226,1982-10-08,1986-10-10
skolminister,Regeringen Carlsson I,Q5780291,1982-10-08,1989-01-30
handelsminister,Regeringen Hansson IV,Q152452,1945-07-31,1947-04-11
finansminister,Regeringen Persson,Q320842,2004-10-31,2006-10-06
finansminister,Regeringen Carlsson I,Q927466,1983-01-01,1990-02-16
handelsminister,Regeringen Persson,Q879773,1996-03-22,1997-01-31
justitieminister,Regeringen Persson,Q3141607,2000-10-11,2006-10-06
utrikesminister,Regeringen Persson,Q2938797,2006-03-27,2006-04-24
samordningsminister,Regeringen Persson,Q320842,2002-10-21,2004-10-21
jämställdhetsminister,Regeringen Persson,Q4967115,1996-03-22,1998-10-07
civilminister,Regeringen Carlsson I,Q5885510,1988-01-01,1991-01-01
samfundsminister,Regeringen Carlsson I,Q887398,1982-10-08,1988-10-04
biträdande socialminister,Regeringen Hansson IV,Q5995142,1945-07-31,1947-07-01
jordbruksminister,Regeringen Hansson IV,Q6180686,1945-07-31,1948-10-29
jämställdhetsminister,Regeringen Persson,Q231413,2002-10-21,2004-10-21
finansminister,Regeringen Persson,Q5388933,1996-03-22,1999-04-12
utrikesminister,Regeringen Persson,Q321595,2006-03-21,2006-03-27
justitieminister,Regeringen Carlsson I,Q291648,1988-10-04,1991-10-04
utrikeshandelsminister,Regeringen Carlsson I,Q459226,1986-10-10,1991-10-04
ecklesiastikminister,Regeringen Hansson IV,Q53707,1945-07-31,1946-10-11
bostadsminister,Regeringen Persson,Q3218127,1998-11-16,2004-10-21
ungdomsminister,Regeringen Persson,Q4967115,1998-10-07,2000-10-21
ungdomsminister,Regeringen Persson,Q5854875,1998-03-25,1998-10-07
finansminister,Regeringen Carlsson I,Q5713152,1990-02-16,1990-02-27
integrationsminister,Regeringen Persson,Q4967115,1998-10-07,2000-10-21
socialminister,Regeringen Hansson IV,Q4570928,1939-12-13,1951-10-01
integrationsminister,Regeringen Persson,Q5854875,1998-03-25,1998-10-06
folkhushållningsminister,Regeringen Hansson IV,Q3373681,1941-03-07,1947-05-24
försvarsminister,Regeringen Persson,Q879773,1997-02-01,2002-09-30
försvarsminister,Regeringen Carlsson I,Q5603378,1985-10-14,1991-10-04
invandrarminister,Regeringen Carlsson I,Q4964703,1989-01-29,1991-10-04
samordningsminister,Regeringen Persson,Q321595,2005-01-01,2006-10-06
näringsminister,Regeringen Carlsson I,Q2408431,1982-10-08,1988-09-30
idrottsminister,Regeringen Persson,Q231413,2000-10-21,2004-10-21
skolminister,Regeringen Persson,Q3297193,2002-01-16,2004-10-21
jämställdhetsminister,Regeringen Carlsson I,Q4964703,1989-01-29,1991-10-04
konsumentminister,Regeringen Carlsson I,Q5885510,1985-10-15,1988-10-04
kommunikationsminister,Regeringen Hansson IV,Q241035,1945-07-31,1951-10-01
EU-minister,Regeringen Persson,Q321595,2005-01-01,2006-10-06
Statsministerns ställföretädare,Regeringen Persson,Q5854875,2004-06-01,2004-10-01
utrikesminister,Regeringen Persson,Q549955,2006-04-24,2006-10-06
utrikesminister,Regeringen Carlsson I,Q1346478,1985-10-17,1991-10-04
jordbruksminister,Regeringen Persson,Q3430022,1998-10-07,2002-10-21
finansminister,Regeringen Persson,Q321595,1999-04-12,2004-10-21
löneminister,Regeringen Carlsson I,Q5885510,1985-10-15,1988-10-04
bostadsminister,Regeringen Carlsson I,Q5777699,1982-10-08,1988-10-04
skatteminister,Regeringen Persson,Q3297193,1996-03-22,1998-10-07
kulturminister,Regeringen Persson,Q320842,2004-09-13,2004-11-01
inrikesminister,Regeringen Persson,Q3218127,1998-11-16,1998-12-31
Statsministerns ställföretädare,Regeringen Persson,Q3430022,2002-10-21,2003-10-30
Statsministerns ställföretädare,Regeringen Persson,Q321595,2004-11-01,2006-10-06
kommunikationsminister,Regeringen Persson,Q4984124,1994-10-07,1998-10-07
justitieminister,Regeringen Persson,Q460919,2000-09-21,2000-10-16
utbildningsminister,Regeringen Persson,Q3297193,1998-10-06,2004-10-21
migrationsminister,Regeringen Persson,Q3358782,2003-10-10,2006-10-06
näringsminister,Regeringen Persson,Q3297193,2004-10-21,2006-10-06
biståndsminister,Regeringen Persson,Q2938797,2003-10-10,2006-10-06
arbetsmarknadsminister,Regeringen Carlsson I,Q4982419,1987-10-19,1990-01-11
energiminister,Regeringen Carlsson I,Q4356302,1982-10-08,1990-02-27
utrikesminister,Regeringen Persson,Q460919,1994-10-07,1998-10-07
Statsministerns ställföretädare,Regeringen Carlsson I,Q927466,1986-10-10,1990-02-16
kommunikationsminister,Regeringen Carlsson I,Q5816531,1985-10-18,1989-01-29
Statsministerns ställföretädare,Regeringen Persson,Q460919,1995-11-17,2002-10-21
arbetsrättsminister,Regeringen Persson,Q4967115,1996-03-22,1998-10-07
arbetsmarknadsminister,Regeringen Persson,Q3430022,1996-03-22,1998-10-06
kommunminister,Regeringen Persson,Q3218127,1998-11-16,2004-10-21
utrikesminister,Regeringen Persson,Q208591,1998-10-07,2003-09-11
socialförsäkringsminister,Regeringen Persson,Q4959140,1996-03-22,1999-09-14
integrationsminister,Regeringen Persson,Q6029071,2004-10-21,2006-10-06
jämställdhetsminister,Regeringen Persson,Q6029071,2004-10-21,2006-10-06
konsultativt statsråd,Regeringen Hansson III,Q5616687,1944-01-01,1952-01-01
näringsminister,Regeringen Persson,Q6196549,1996-03-22,1998-10-07
sjöförsvarsminister,Regeringen Branting I,Q4894168,1920-03-10,1920-07-01
demokratiminister,Regeringen Persson,Q4961658,1998-10-07,2002-10-15
Statsministerns ställföretädare,Regeringen Persson,Q3115681,2003-10-31,2004-05-31
utrikesminister,Regeringen Branting I,Q1807154,1920-03-10,1920-10-27
handelsminister,Regeringen Hansson III,Q179493,1944-09-30,1945-07-31
jordbruksminister,Regeringen Persson,Q4991027,1996-03-22,1998-10-07
försvarsminister,Regeringen Branting I,Q53660,1920-07-01,1920-10-27
minister för nordiskt samarbete,Regeringen Persson,Q4891887,2002-10-21,2006-10-06
finansmarknadsminister,Regeringen Persson,Q5619080,2002-10-21,2004-10-21
försvarsminister,Regeringen Persson,Q2408431,1994-10-07,1997-02-01
kommunikationsminister,Regeringen Branting I,Q20760558,1920-07-01,1920-10-27
samordningsminister,Regeringen Persson,Q3296958,1996-03-22,1997-02-01
jämställdhetsminister,Regeringen Persson,Q3430022,1998-10-07,2002-10-21
Statsministerns ställföretädare,Regeringen Persson,Q291648,2004-10-01,2004-11-01
lantförsvarsminister,Regeringen Branting I,Q53660,1920-07-01,1920-07-01
jordbruksminister,Regeringen Branting II,Q5955664,1921-10-13,1923-04-19
migrationsminister,Regeringen Persson,Q3386964,1996-03-22,1999-09-14
socialminister,Regeringen Persson,Q4891887,2004-10-01,2006-10-06
kommunikationsminister,Regeringen Hansson III,Q5623378,1944-01-01,1945-01-01
utrikesminister,Regeringen Branting II,Q53620,1921-10-13,1923-04-19
jordbruksminister,Regeringen Hansson III,Q53701,1936-06-19,1945-07-31
ecklesiastikminister,Regeringen Branting I,Q6027656,1919-11-28,1920-10-27
utbildningsminister,Regeringen Persson,Q3296958,2004-10-21,2006-10-06
ecklesiastikminister,Regeringen Branting II,Q6027656,1921-10-13,1923-04-19
kommunikationsminister,Regeringen Hansson III,Q1555406,1939-12-13,1944-09-30
biträdande socialminister,Regeringen Persson,Q4891887,2002-10-21,2004-10-01
justitieminister,Regeringen Branting I,Q6255333,1920-01-01,1920-01-01
konsultativt statsråd,Regeringen Branting II,Q6018174,1921-10-13,1923-04-19
migrationsminister,Regeringen Persson,Q1232072,2002-01-07,2003-10-10
socialminister,Regeringen Persson,Q4959140,1998-10-26,1998-11-16
migrationsminister,Regeringen Persson,Q4959140,1999-09-14,2001-11-16
samordningsminister,Regeringen Persson,Q2408431,1997-02-01,1998-10-07
energiminister,Regeringen Persson,Q3296958,2002-10-21,2004-10-21
utrikesminister,Regeringen Persson,Q1232072,2003-09-11,2003-10-10
näringsminister,Regeringen Persson,Q3374466,1998-10-07,2002-10-15
arbetsmarknadsminister,Regeringen Persson,Q3374466,1998-10-06,2002-10-06
socialförsäkringsminister,Regeringen Persson,Q4982419,1999-09-14,2002-10-10
konsumentminister,Regeringen Persson,Q5579495,1996-03-22,1998-03-02
inrikesminister,Regeringen Persson,Q5555093,1996-07-01,1998-10-06
ungdomsminister,Regeringen Persson,Q3431836,2002-10-21,2006-10-06
utrikeshandelsminister,Regeringen Persson,Q3296958,1997-02-01,2002-10-21
handelsminister,Regeringen Branting I,Q6209474,1920-07-01,1920-10-27
jordbruksminister,Regeringen Branting I,Q6011492,1920-03-10,1920-10-27
samfundsminister,Regeringen Persson,Q3115681,1994-10-07,2004-09-13
energiminister,Regeringen Persson,Q6196549,1996-03-22,1998-10-07
finansmarknadsminister,Regeringen Persson,Q3370194,2004-10-21,2006-10-06
miljöminister,Regeringen Persson,Q537342,2002-10-21,2006-10-06
idrottsminister,Regeringen Persson,Q5579495,1996-03-22,1998-03-02
justitieminister,Regeringen Branting I,Q298317,1920-03-10,1920-06-30
kommunminister,Regeringen Persson,Q3370194,2004-10-21,2006-10-06
konsultativt statsråd,Regeringen Branting II,Q6168210,1921-10-13,1923-04-19
skolminister,Regeringen Persson,Q3369258,1994-10-07,1998-10-06
konsultativt statsråd,Regeringen Branting I,Q6018174,1920-03-10,1920-10-27
försvarsminister,Regeringen Branting II,Q53660,1921-10-13,1923-04-19
socialminister,Regeringen Persson,Q6196549,1998-10-07,1998-10-26
biståndsminister,Regeringen Persson,Q1232072,2002-01-07,2003-10-09
biståndsminister,Regeringen Persson,Q4959140,1999-09-14,2001-11-16
socialminister,Regeringen Branting I,Q4894168,1920-07-01,1920-10-27
kulturminister,Regeringen Persson,Q3296958,2004-11-01,2006-10-06
kommunikationsminister,Regeringen Persson,Q3374466,1998-10-07,2002-10-16
demokratiminister,Regeringen Persson,Q6029071,2004-10-21,2006-10-06
sjukvårdsminister,Regeringen Persson,Q3369258,2004-10-01,2006-10-06
handelsminister,Regeringen Branting II,Q20760558,1921-10-13,1923-04-19
justitieminister,Regeringen Branting II,Q6255333,1921-01-01,1923-01-01
kulturminister,Regeringen Persson,Q3115681,1996-03-22,2004-09-13
utrikesminister,Regeringen Persson,Q291648,2003-10-10,2006-03-21
energiminister,Regeringen Persson,Q3374466,1998-10-07,2002-10-15
socialminister,Regeringen Branting II,Q3893038,1921-10-13,1923-04-19
miljöminister,Regeringen Persson,Q208591,1994-10-07,1998-10-07
ungdomsminister,Regeringen Persson,Q5579495,1996-03-22,1998-03-02
konsumentminister,Regeringen Persson,Q547580,2002-10-21,2006-10-06
ungdomsminister,Regeringen Persson,Q4961658,2000-10-16,2002-10-15
utbildningsminister,Regeringen Persson,Q6206776,1994-10-07,1998-10-06
civilminister,Regeringen Branting I,Q20760558,1920-03-10,1920-07-01
miljöminister,Regeringen Persson,Q5937929,1998-10-07,2002-10-21
samfundsminister,Regeringen Persson,Q3431836,2004-09-13,2006-10-06
jordbruksminister,Regeringen Persson,Q547580,2002-10-21,2006-10-06
biståndsminister,Regeringen Persson,Q3386964,1994-10-07,1999-06-11
integrationsminister,Regeringen Persson,Q5579495,1996-03-22,1998-03-02
justitieminister,Regeringen Persson,Q291648,1994-10-07,2000-09-21
handelsminister,Regeringen Persson,Q3296958,1997-02-01,2002-10-21
näringsminister,Regeringen Persson,Q3296958,2002-10-21,2004-10-21
finansminister,Regeringen Branting I,Q53637,1920-06-30,1920-10-27
handelsminister,Regeringen Hansson III,Q5623378,1939-01-01,1941-01-01
konsumentminister,Regeringen Persson,Q4961658,1998-10-07,2002-10-15
skolminister,Regeringen Persson,Q4990768,1998-10-07,2002-01-16
finansminister,Regeringen Branting II,Q6209474,1921-10-13,1923-04-19
finansminister,Regeringen Branting I,Q6209474,1918-01-05,1920-06-30
invandrarminister,Regeringen Carlsson III,Q5579495,1994-10-07,1996-03-22
energiminister,Regeringen Carl Bildt,Q1375199,1991-10-04,1994-10-07
bostadsminister,Regeringen Carl Bildt,Q4916267,1991-10-04,1991-12-31
biståndsminister,Regeringen Carl Bildt,Q944795,1991-10-04,1994-10-07
handelsminister,Regeringen Palme II,Q4098206,1982-10-08,1982-12-31
socialförsäkringsminister,Regeringen Carlsson III,Q4953085,1994-10-07,1996-03-22
utrikeshandelsminister,Regeringen Palme II,Q5799722,1983-01-01,1986-10-09
socialminister,Regeringen Carl Bildt,Q817241,1991-10-04,1994-10-07
konsultativt statsråd,Regeringen Hansson III,Q53707,1944-09-30,1945-07-31
planminister,Regeringen Carl Bildt,Q4982742,1991-10-04,1994-06-16
jämställdhetsminister,Regeringen Carl Bildt,Q4916267,1991-12-01,1993-01-01
folkhushållningsminister,Regeringen Hansson III,Q5716548,1939-10-15,1941-03-07
Statsministerns ställföretädare,Regeringen Carlsson III,Q231413,1994-10-07,1995-11-16
finansminister,Regeringen Carlsson III,Q53747,1994-10-07,1996-03-22
biträdande justitieminister,Regeringen Carl Bildt,Q4961261,1991-10-04,1994-10-07
minister för nordiskt samarbete,Regeringen Carlsson III,Q5799722,1994-10-07,1996-03-22
kommunikationsminister,Regeringen Carl Bildt,Q571725,1991-10-04,1994-10-07
finansminister,Regeringen Carl Bildt,Q273408,1991-10-04,1994-10-07
EU-minister,Regeringen Carlsson III,Q5799722,1994-10-07,1996-03-22
utbildningsminister,Regeringen Palme II,Q4098206,1985-10-17,1989-01-29
jordbruksminister,Regeringen Carl Bildt,Q6027273,1991-10-04,1994-10-07
samfundsminister,Regeringen Carlsson III,Q3115681,1994-10-07,2004-09-13
civilminister,Regeringen Carl Bildt,Q4944305,1991-10-21,1994-10-07
ecklesiastikminister,Regeringen Hansson III,Q5556673,1944-12-15,1945-07-31
skolminister,Regeringen Carl Bildt,Q297850,1991-10-04,1994-10-07
ungdomsminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22
jordbruksminister,Regeringen Branting III,Q5955664,1924-10-18,1926-06-07
miljöminister,Regeringen Carl Bildt,Q4982742,1994-06-16,1994-10-02
kulturminister,Regeringen Carl Bildt,Q4916267,1991-10-04,1994-10-07
jämställdhetsminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22
justitieminister,Regeringen Carl Bildt,Q1780585,1991-10-04,1994-10-07
skolminister,Regeringen Carlsson III,Q3369258,1994-10-07,1998-10-06
utrikesminister,Regeringen Palme II,Q4098206,1982-10-08,1985-10-17
ecklesiastikminister,Regeringen Branting III,Q6027656,1924-10-18,1926-06-07
EU-minister,Regeringen Carl Bildt,Q5622212,1991-10-04,1994-10-07
näringsminister,Regeringen Carlsson III,Q5555093,1996-02-05,1996-03-22
ecklesiastikminister,Regeringen Hansson III,Q5563972,1939-12-13,1944-12-15
konsumentminister,Regeringen Carl Bildt,Q4944305,1991-10-04,1994-10-07
justitieminister,Regeringen Branting III,Q6018174,1924-01-01,1926-01-01
socialminister,Regeringen Carlsson III,Q4982419,1994-10-07,1996-03-22
samordningsminister,Regeringen Carlsson III,Q6019543,1994-10-07,1996-03-22
socialminister,Regeringen Hansson III,Q4570928,1939-12-13,1951-10-01
folkhushållningsminister,Regeringen Hansson III,Q3373681,1941-03-07,1947-05-24
jordbruksminister,Regeringen Carlsson III,Q3430022,1994-10-07,1996-03-22
jämställdhetsminister,Regeringen Carl Bildt,Q817241,1993-01-15,1994-10-07
utrikesminister,Regeringen Branting III,Q298317,1924-10-18,1926-06-07
miljöminister,Regeringen Carl Bildt,Q2021126,1991-10-04,1994-06-16
handelsminister,Regeringen Hansson III,Q5716548,1941-03-07,1944-09-30
minister för nordiskt samarbete,Regeringen Carl Bildt,Q5005171,1994-06-16,1994-10-07
konsultativt statsråd,Regeringen Hansson III,Q5572966,1939-12-13,1943-08-30
skatteminister,Regeringen Carl Bildt,Q2448370,1991-10-04,1994-10-07
energiminister,Regeringen Carlsson III,Q5555093,1994-10-07,1996-03-22
civilminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22
sjukvårdsminister,Regeringen Carl Bildt,Q4931118,1991-10-04,1994-10-07
miljöminister,Regeringen Carlsson III,Q208591,1994-10-07,1998-10-07
biståndsminister,Regeringen Palme II,Q460919,1985-10-17,1991-10-04
kommunikationsminister,Regeringen Carlsson III,Q4984124,1994-10-07,1998-10-07
arbetsrättsminister,Regeringen Carlsson III,Q5579495,1994-10-07,1996-03-22
kommunikationsminister,Regeringen Palme II,Q5583208,1982-01-01,1985-01-01
utbildningsminister,Regeringen Carlsson III,Q6206776,1994-10-07,1998-10-06
näringsminister,Regeringen Carl Bildt,Q1375199,1991-10-04,1994-10-07
biståndsminister,Regeringen Carlsson III,Q3386964,1994-10-07,1999-06-11
bostadsminister,Regeringen Carlsson III,Q5555093,1994-10-07,1996-03-21
utrikesminister,Regeringen Carlsson III,Q460919,1994-10-07,1998-10-07
justitieminister,Regeringen Hansson III,Q4353489,1936-09-28,1943-08-30
justitieminister,Regeringen Carlsson III,Q291648,1994-10-07,2000-09-21
socialförsäkringsminister,Regeringen Carl Bildt,Q4931118,1991-10-04,1994-10-07
socialminister,Regeringen Branting III,Q4570928,1924-10-18,1926-06-07
försvarsminister,Regeringen Branting III,Q53660,1924-10-18,1926-06-07
utbildningsminister,Regeringen Palme II,Q460919,1982-10-08,1985-10-16
utrikeshandelsminister,Regeringen Carlsson III,Q5799722,1994-10-07,1996-03-22
miljöminister,Regeringen Carl Bildt,Q6027273,1994-10-02,1994-10-07
invandrarminister,Regeringen Carl Bildt,Q4916267,1991-10-04,1994-10-07
kommunikationsminister,Regeringen Branting III,Q16649624,1924-10-18,1926-06-07
finansminister,Regeringen Branting III,Q6209474,1924-10-18,1925-05-05
