name,title,start,end
Marita Ulvskog,Civil- kyrko- idrotts- jämställdhets- ungdoms- och konsumentminister,1994-10-07,1996-03-22
Carl Bildt,Statsminister,1991-10-04,1994-10-07
Gun Hellsvik,Justitieminister,1991-10-04,1994-10-07
Reidunn Laurén,Biträdande justitieminister,1991-10-04,1994-10-07
Margaretha af Ugglas,Utrikesminister,1991-10-04,1994-10-07
Alf Svensson,Biståndsminister,1991-10-04,1994-10-07
Ulf Dinkelspiel,Europa- och utrikeshandelsminister,1991-10-04,1994-10-07
Anders Björck,Försvarsminister,1991-10-04,1994-10-02
Per Unckel,Försvarsminister,1994-10-03,1994-10-07
Bengt Westerberg,Socialminister och vice statsminister,1991-10-04,1994-10-07
Bengt Westerberg,Jämställdhetsminister,1993-08-24,1994-10-07
Bo Könberg,Sjukvårds- och socialförsäkringsminister,1991-10-04,1994-10-07
Mats Odell,Kommunikationsminister,1991-10-04,1994-10-07
Anne Wibble,Finansminister,1991-10-04,1994-10-07
Bo Lundgren,Skatte- och idrottsminister,1991-10-04,1994-10-07
Per Unckel,Utbildningsminister,1991-10-04,1994-10-07
Beatrice Ask,Skolminister,1991-10-04,1994-10-07
Karl Erik Olsson,Jordbruksminister,1991-10-04,1994-10-07
Börje Hörnlund,Arbetsmarknadsminister,1991-10-04,1994-10-07
Börje Hörnlund,Minister för nordiskt samarbete,1994-06-16,1994-10-07
Per Westerberg,Industri- och energiminister,1991-10-04,1991-10-21
Per Westerberg,Närings- och energiminister,1991-10-21,1994-10-07
Inger Davidson,Civil- konsument- kyrko- och ungdomsminister,1991-10-04,1994-10-07
Olof Johansson,Miljöminister,1991-10-04,1994-06-16
Görel Thurdin,Miljöminister,1994-06-16,1994-10-03
Karl Erik Olsson,Miljöminister,1994-10-03,1994-10-07
Görel Thurdin,Planminister,1991-10-04,1994-06-16
Olof Johansson,Minister för nordiskt samarbete,1991-10-04,1994-06-16
Birgit Friggebo,Bostadsminister,1991-10-04,1991-11-30
Birgit Friggebo,Kultur- och invandrarminister,1991-12-01,1994-10-07
Birgit Friggebo,Jämställdhetsminister,1991-12-01,1993-08-24
Hjalmar Branting,Statsminister,1921-10-13,1923-04-19
Assar Åkerman,Justitieminister,1921-10-13,1923-04-19
Hjalmar Branting,Utrikesminister,1921-10-13,1923-04-19
Per Albin Hansson,Försvarsminister,1921-10-13,1923-04-19
Herman Lindqvist,Socialminister,1921-10-13,1923-04-19
Anders Örne,Kommunikationsminister,1921-10-13,1923-04-19
Fredrik Vilhelm Thorsson,Finansminister,1921-10-13,1923-04-19
Olof Olsson,Ecklesiastikminister,1921-10-13,1923-04-19
Sven Linders,Jordbruksminister,1921-10-13,1923-04-19
Carl Svensson,Handelsminister,1921-10-13,1923-04-19
Rickard Sandler,Konsultativt statsråd,1921-10-13,1923-04-19
Torsten Nothin,Konsultativt statsråd,1921-10-13,1923-04-19
Karl Schlyter,Konsultativt statsråd,1921-10-13,1923-04-19
Louis De Geer,Statsminister,1920-10-27,1921-02-23
Birger Ekeberg,Justitieminister,1920-10-27,1921-02-23
Herman Wrangel,Utrikesminister,1920-10-27,1921-02-23
Carl-Gustaf Hammarskjöld,Försvarsminister,1920-10-27,1921-02-23
Henning Elmquist,Socialminister,1920-10-27,1921-02-23
Walter Murray,Kommunikationsminister,1920-10-27,1921-02-23
Henric Tamm,Finansminister,1920-10-27,1921-02-23
Bengt Bergqvist,Ecklesiastikminister,1920-10-27,1921-02-23
Nils Hansson,Jordbruksminister,1920-10-27,1921-02-23
Gösta Malm,Handelsminister,1920-10-27,1921-02-23
Knut Dahlberg,Konsultativt statsråd,1920-10-27,1921-02-23
Emil Mårten Ericsson,Konsultativt statsråd,1920-10-27,1921-02-23
Ingvar Carlsson,Statsminister,1986-03-12,1990-02-27
Sten Wickbom,Justitieminister,1986-03-12,1987-10-19
Anna-Greta Leijon,Justitieminister,1987-10-19,1988-06-07
Thage G Peterson,Justitieminister,1988-06-07,1988-09-30
Ingvar Carlsson,Justitieminister,1988-09-30,1988-10-04
Laila Freivalds,Justitieminister,1988-10-04,1990-02-27
Sten Andersson,Utrikesminister,1986-03-12,1990-02-27
Lena Hjelm-Wallén,Biståndsminister,1986-03-12,1990-02-27
Mats Hellström,Utrikeshandelsminister,1986-03-12,1986-10-10
Anita Gradin,Utrikeshandelsminister,1986-10-10,1990-02-27
Roine Carlsson,Försvarsminister,1986-03-12,1990-02-27
Gertrud Sigurdsen,Socialminister,1986-03-12,1989-01-29
Sven Hulterström,Socialminister,1989-01-29,1990-01-11
Ingela Thalén,Socialminister,1990-01-11,1990-02-27
Bengt Lindqvist,Familje- och handikappminister,1986-03-12,1990-02-27
Kjell-Olof Feldt,Finansminister,1986-03-12,1990-02-16
Odd Engström,Finansminister,1990-02-16,1990-02-27
Bengt KÅ Johansson,Löne- och konsumentminister,1986-03-12,1988-10-04
Odd Engström,Budgetminister,1988-10-04,1990-02-16
Lennart Bodström,Utbildningsminister,1986-03-12,1989-01-29
Bengt Göransson,Utbildningsminister,1989-01-29,1990-02-27
Bengt Göransson,Skolmininster,1986-03-12,1989-01-29
Göran Persson,Skolmininster,1989-01-29,1990-02-27
Bengt Göransson,Kulturminister,1986-03-12,1990-02-27
Svante Lundkvist,Jordbruksminister,1986-03-12,1986-10-10
Mats Hellström,Jordbruksminister,1986-10-10,1990-02-27
Ulf Lönnqvist,Idrotts- turism- och ungdomsminister,1986-10-10,1988-10-04
Svante Lundkvist,Minister för nordiskt samarbete,1986-03-12,1986-10-10
Ulf Lönnqvist,Minister för nordiskt samarbete,1986-10-10,1988-10-04
Mats Hellström,Minister för nordiskt samarbete,1988-10-04,1990-02-27
Birgitta Dahl,Miljö- och energiminister,1986-03-13,1990-02-27
Thage G Peterson,Industriminister,1986-03-12,1988-09-30
Ingvar Carlsson,Industriminister,1988-09-30,1988-10-04
