name,title,start,end
Mikael Damberg,Närings- och innovationsminister,2014-10-03,2019-01-21
Mehmet Kaplan,Bostads- IT- och stadsutvecklingsminister,2014-10-03,2016-04-18
Per Bolund,Bostads- IT- och stadsutvecklingsminister,2016-04-18,2016-05-25
Peter Eriksson,Bostads- och digitaliseringsminister,2016-05-25,2019-01-21
Anna Johansson,Infrastrukturminister,2014-10-03,2017-07-27
Tomas Eneroth,Infrastrukturminister,2017-07-27,2019-01-21
Sven-Erik Bucht,Landsbygdsminister,2014-10-03,2019-01-21
Alice Bah Kuhnke,Kultur- samfunds- och demokratiminister,2014-10-03,2019-01-21
Ylva Johansson,Arbetsmarknadsminister,2014-10-03,2016-05-25
Ylva Johansson,Arbetsmarknads- och etableringsminister,2016-05-25,2019-01-21
Carl Gustaf Ekman,Statsminister,1930-06-07,1932-08-06
Felix Hamrin,Finansminister,1930-06-07,1932-08-06
Natanael Gärde,Justitieminister,1930-06-07,1932-08-06
Fredrik Ramel,Utrikesminister,1930-06-07,1932-08-06
Carl Gustaf Ekman,Försvarsminister,1930-06-07,1931-06-19
Anton Rundqvist,Försvarsminister,1931-06-19,1932-08-06
Sam Larsson,Socialminister,1930-06-07,1932-08-06
Ola Jeppsson,Kommunikationsminister,1930-06-07,1932-08-06
Samuel Stadener,Ecklesiastikminister,1930-06-07,1932-08-06
Bo von Stockenström,Jordbruksminister,1930-06-07,1932-08-06
David Hansén,Handelsminister,1930-06-07,1932-08-06
Ragnar Gyllenswärd,Konsultativt statsråd,1930-06-07,1932-08-06
Åke Holmbäck,Konsultativt statsråd,1930-06-07,1932-08-06
Erik Österberg,Konsultativt statsråd,1930-06-07,1930-12-12
Anton Rundqvist,Konsultativt statsråd,1930-12-12,1931-06-19
Stefan Löfven,Statsminister,2019-01-21,2021-07-09
Hans Dahlgren,EU-minister,2019-01-21,2021-07-09
Morgan Johansson,Justitie- och migrationsminister,2019-01-21,2021-07-09
Mikael Damberg,Inrikesminister,2019-01-21,2021-07-09
Margot Wallström,Utrikesminister,2019-01-21,2019-09-10
Ann Linde,Utrikesminister,2019-09-10,2021-07-09
Peter Eriksson,Minister för internationellt utvecklingssamarbete,2019-01-21,2020-12-17
Isabella Lövin,Minister för internationellt utvecklingssamarbete,2020-12-17,2021-02-05
Per Olsson Fridh,Minister för internationellt utvecklingssamarbete,2021-02-05,2021-07-09
Ann Linde,Utrikeshandelsminister ochminister med ansvar för nordiska frågor,2019-01-21,2019-09-10
Anna Hallberg,Utrikeshandelsminister ochminister med ansvar för nordiska frågor,2019-09-10,2021-07-09
Peter Hultqvist,Försvarsminister,2019-01-21,2021-07-09
Lena Hallengren,Socialminister,2019-01-21,2021-07-09
Annika Strandhäll,Socialförsäkringsminister,2019-01-21,2019-10-01
Ardalan Shekarabi,Socialförsäkringsminister,2019-10-01,2021-07-09
Magdalena Andersson,Finansminister,2019-01-21,2021-07-09
Per Bolund,Finansmarknads- och bostadsministerbiträdande finansminister,2019-01-21,2021-02-05
Åsa Lindhagen,Finansmarknads- och biträdande finansminister,2021-02-05,2021-07-09
Ardalan Shekarabi,Civilminister,2019-01-21,2019-10-01
Lena Micko,Civilminister,2019-10-01,2021-07-09
Anna Ekström,Utbildningsminister,2019-01-21,2021-07-09
Matilda Ernkrans,Minister för högre utbildning och forskning,2019-01-21,2021-07-09
Isabella Lövin,Miljö- och klimatminister samt vice statsminister,2019-01-21,2021-02-05
Per Bolund,Miljö- och klimatminister samt vice statsminister,2021-02-05,2021-07-09
Ibrahim Baylan,Näringsminister,2019-01-21,2021-07-09
Jennie Nilsson,Landsbygdsminister,2019-01-21,2021-06-30
Ibrahim Baylan,Landsbygdsminister,2021-06-30,2021-07-09
Tomas Eneroth,Infrastrukturminister,2019-01-21,2019-03-31
Anders Ygeman,Energi- och digitaliseringsminister,2019-01-21,2019-03-31
Amanda Lind,Kultur- och demokratiminister samtminister med ansvar för idrottsfrågorna,2019-01-21,2021-07-09
Ylva Johansson,Arbetsmarknadsminister,2019-01-21,2019-09-10
Eva Nordmark,Arbetsmarknadsminister,2019-09-10,2021-07-09
Åsa Lindhagen,Jämställdhetsminister samtminister med ansvar för arbetet motdiskriminering och segregation,2019-01-21,2021-02-05
Märta Stenevi,Jämställdhetsminister bostadsminister samtminister med ansvar för arbetet motdiskriminering och segregation,2021-02-05,2021-07-09
Tomas Eneroth,Infrastrukturminister,2019-04-01,2021-07-09
Anders Ygeman,Energi- och digitaliseringsminister,2019-04-01,2021-07-09
