role,wiki_id,start,end,name,gender,born,dead,party,alias,id
Sveriges riksdags talman,Q2408431,1988-10-03,1991-09-30,Thage G. Peterson,man,1933-09-24,,Socialdemokraterna,,talman_thage_g_peterson_w
andra kammarens talman,Q6042759,1918-01-01,1918-03-08,Daniel Persson,man,1850-03-10,1918-05-24,,Persson i Tällberg,ak_talman_daniel_persson_w
andre vice talman i första kammaren,Q5774246,1929-01-01,1939-01-01,Petrus Gränebo,man,1881-12-28,1959-10-14,Centerpartiet,Nilsson i Gränebo,fk_2_vice_talman_petrus_granebo_w
förste vice talman i första kammaren,Q4830361,1952-01-01,1970-01-01,Axel Strand,man,1893-11-13,1983-09-13,Socialdemokraterna,Strand i Stockholm,fk_1_vice_talman_axel_strand_w
första kammarens vice talman,Q5747245,1873-01-01,1874-01-01,Fredrik Alexander Funck,man,1816-12-20,1874-05-28,,Funck i Bolltorp,fk_vice_talman_fredrik_alexander_funck_w
första kammarens vice talman,Q5932922,1919-01-01,1920-01-01,Herman Lamm,man,1853-04-20,1928-07-13,,Lamm i Stockholm,fk_vice_talman_herman_lamm_w
första kammarens vice talman,Q53286,1906-01-01,1908-01-01,Christian Lundeberg,man,1842-07-14,1911-11-10,,Lundeberg i Forsbacka,fk_vice_talman_christian_lundeberg_w
första kammarens vice talman,Q53286,1906-01-01,1908-01-01,Christian Lundeberg,man,1842-07-14,1911-11-10,,Lundeberg i Stockholm,fk_vice_talman_christian_lundeberg_w
Sveriges riksdags talman,Q4755577,2018-09-24,,Andreas Norlén,man,1973-05-06,,Moderaterna,,talman_andreas_norlen_w
första kammarens vice talman,Q5547641,1867-01-01,,Ludvig Teodor Almqvist,man,1818-01-04,1884-08-26,,Almqvist i Stockholm,fk_vice_talman_ludvig_teodor_almqvist_w
förste vice talman i första kammaren,Q5932922,1921-01-01,1928-01-01,Herman Lamm,man,1853-04-20,1928-07-13,,Lamm i Stockholm,fk_1_vice_talman_herman_lamm_w
andra kammarens talman,Q6240991,1880-01-01,1890-01-01,Olof Wijk den yngre,man,1833-07-21,1901-09-17,,Wijk i Göteborg,ak_talman_olof_wijk_den_yngre_w
första kammarens talman,Q5628179,1891-01-01,1895-01-01,Pehr von Ehrenheim,man,1823-08-04,1918-03-20,,von Ehrenheim i Grönsö,fk_talman_pehr_von_ehrenheim_w
andra kammarens vice talman,Q5601098,1910-01-01,1912-01-01,Theodor af Callerholm,man,1852-07-11,1912-02-04,,af Callerholm i Hedemora,ak_vice_talman_theodor_af_callerholm_w
Sveriges riksdags talman,Q1375199,2006-10-02,2014-09-29,Per Westerberg,man,1951-08-02,,Moderaterna,,talman_per_westerberg_w
första kammarens vice talman,Q53286,1899-01-01,1905-01-01,Christian Lundeberg,man,1842-07-14,1911-11-10,,Lundeberg i Forsbacka,fk_vice_talman_christian_lundeberg_w
första kammarens vice talman,Q53286,1899-01-01,1905-01-01,Christian Lundeberg,man,1842-07-14,1911-11-10,,Lundeberg i Stockholm,fk_vice_talman_christian_lundeberg_w
andra kammarens talman,Q6085615,1890-01-01,1891-01-01,Gustaf Ryding,man,1833-09-26,1901-10-23,,,ak_talman_gustaf_ryding_w
första kammarens talman,Q5786143,1916-01-01,1928-01-01,Hugo Hamilton,man,1849-08-21,1928-01-27,,,fk_talman_hugo_hamilton_w
andra kammarens talman,Q5618809,1894-01-01,1902-01-01,Robert De la Gardie den äldre,man,1823-12-17,1916-05-19,,,ak_talman_robert_de_la_gardie_den_aldre_w
första kammarens talman,Q6195774,1959-01-01,1964-01-01,Gustaf Sundelin,man,1890-09-05,1970-08-03,Liberalerna,Sundelin i Fellingsbro,fk_talman_gustaf_sundelin_w
första kammarens talman,Q3054681,1877-01-01,1877-01-01,Henning Hamilton,man,1814-01-16,1886-01-15,,Hamilton i Hedenlunda,fk_talman_henning_hamilton_w
första kammarens talman,Q5573639,1956-01-01,1959-01-01,John Bergvall,man,1892-10-26,1959-08-11,Liberalerna,,fk_talman_john_bergvall_w
andra kammarens vice talman,Q6257544,1895-01-01,1896-01-01,Gustaf Fredrik Östberg,man,1847-05-30,1924-05-18,Moderaterna,Östberg i Brantshammar,ak_vice_talman_gustaf_fredrik_ostberg_w
andra kammarens vice talman,Q6257544,1895-01-01,1896-01-01,Gustaf Fredrik Östberg,man,1847-05-30,1924-05-18,Moderaterna,Östberg i Stockholm o Tureberg,ak_vice_talman_gustaf_fredrik_ostberg_w
andra kammarens talman,Q5561113,1873-01-01,1875-01-01,Ferdinand Asker,man,1812-06-18,1897-07-14,,Asker i Gävle,ak_talman_ferdinand_asker_w
andra kammarens talman,Q16649624,1922-01-01,1923-01-01,Viktor Larsson,man,1869-06-18,1950-09-27,Socialdemokraterna,,ak_talman_viktor_larsson_w
första kammarens talman,Q3424655,1965-01-01,1970-01-01,Erik Boheman,man,1895-01-19,1979-09-18,Liberalerna,Boheman i Gränna,fk_talman_erik_boheman_w
första kammarens vice talman,Q5744409,1913-01-01,1915-01-01,Sixten von Friesen,man,1847-12-11,1921-12-01,,von Friesen i Stockholm,fk_vice_talman_sixten_von_friesen_w
andra kammarens talman,Q6206899,1960-01-01,1968-01-01,Fridolf Thapper,man,1899-07-08,1974-03-28,Socialdemokraterna,,ak_talman_fridolf_thapper_w
andra kammarens vice talman,Q6199757,1898-01-01,1902-01-01,Axel Swartling,man,1840-03-18,1918-09-15,,Swartling i Norrköping,ak_vice_talman_axel_swartling_w
