decade,name,born,municipality,district,chamber,year,id
ea_2077_62800_1_1920,Emil Oskar Hagman,1880,,,,1920,hagman_emil_oskar_e675c7
ea_2077_62800_1_1920,Knut Erik Ossian Kjellberg,1867,,,,1920,kjellberg_knut_erik_ossian_f518c8
ea_2077_62800_1_1920,Tmo Direktör,1885,,,,1920,direktor_tmo_cb1b2e
ea_2077_62800_1_1920,Wiktor Emanuel Karlsson,1881,,,,1920,karlsson_wiktor_emanuel_ec447f
ea_2077_62800_1_1920,Karl Edvard Johansson,1919,,,,1920,johansson_karl_edvard_235106
ea_2077_62800_1_1920,Rickard Johannes Sandler,1884,,,,1920,sandler_rickard_johannes_f55ea8
ea_2077_62800_1_1920,Svante Herman Kvarnzelius,1864,,,,1920,kvarnzelius_svante_herman_2c9a98
ea_2077_62800_1_1920,Erik August Enhörning,1860,,,,1920,enhorning_erik_august_9dfad4
ea_2077_62800_1_1920,Janne Gustaf Walles,1871,,,,1920,walles_janne_gustaf_03d5a0
ea_2077_62800_1_1920,Henrik Gustaf Paulus Öhngren,1853,,,,1920,ohngren_henrik_gustaf_paulus_b08a77
ea_2077_62800_1_1920,Olof Leonard Tjällgren,1878,,,,1920,tjallgren_olof_leonard_0bff07
ea_2077_62800_1_1920,Fritz Leander Lindqvist,1865,,,,1920,lindqvist_fritz_leander_39c056
ea_2077_62800_1_1920,Erik Kule Palmstierna,1877,,,,1920,palmstierna_erik_kule_5af938
ea_2077_62800_1_1920,Per Albin Hansson,1885,,,,1920,hansson_per_albin_0ab3d8
ea_2077_62800_1_1920,Sven Edvard Julius Liibeck,1877,,,,1920,liibeck_sven_edvard_julius_df42df
ea_2077_62800_1_1920,Ernst Gustaf Eugen Eriksson,1881,,,,1920,eriksson_ernst_gustaf_eugen_70a854
ea_2077_62800_1_1920,Knut Erik Wilhelm Söderhielm,1871,,,,1920,soderhielm_knut_erik_wilhelm_a97fff
ea_2077_62800_1_1920,Ernst Valfrid Andersson,1870,,,,1920,andersson_ernst_valfrid_d11989
ea_2077_62800_1_1920,Carl Arne Forssell,1887,,Stockholms län,,1920,forssell_carl_arne_8440b6
ea_2077_62800_1_1920,Carl Walter Martin Andersson,1886,,,,1920,andersson_carl_walter_martin_93686b
ea_2077_62800_1_1920,Carl Axel Sundling,1871,,,,1920,sundling_carl_axel_42bc78
ea_2077_62800_1_1920,Jakob Gustav Pettersson,1866,,,,1920,pettersson_jakob_gustav_4a3891
ea_2077_62800_1_1920,Sven Johan Karlsson,1874,,,,1920,karlsson_sven_johan_c396c5
ea_2077_62800_1_1920,Karl Johan Söderberg,1877,,,,1920,soderberg_karl_johan_7ddcd0
ea_2077_62800_1_1920,Carl Gottfrid Jansson,1919,,,,1920,jansson_carl_gottfrid_c53263
ea_2077_62800_1_1920,Per Henning Sjöblom,1875,,,,1920,sjoblom_per_henning_f61ee1
ea_2077_62800_1_1920,Erik Gabriel Henrik Åkerlund,1853,,,,1920,akerlund_erik_gabriel_henrik_ee79be
ea_2077_62800_1_1920,Karl Verner Karlsson,1882,,Uppsala län,,1920,karlsson_karl_verner_a87b90
ea_2077_62800_1_1920,Karl August Olsson Borg,1866,,,,1920,borg_karl_august_olsson_2c5b54
ea_2077_62800_1_1920,Oscar Efraim Sjölander,1880,,,,1920,sjolander_oscar_efraim_99f3d0
ea_2077_62800_1_1920,Karl Gustaf Walter Kant,1872,,Södermanlands län,,1920,kant_karl_gustaf_walter_740750
ea_2077_62800_1_1920,Lars August Schill,1873,,,,1920,schill_lars_august_489cd9
ea_2077_62800_1_1920,Carl Johan Åhrberg,1881,,,,1920,ahrberg_carl_johan_5327fe
ea_2077_62800_1_1920,Anders Johan Bärg,1870,,,,1920,barg_anders_johan_5e60c0
ea_2077_62800_1_1920,Gustaf Olsson,1867,,,,1920,olsson_gustaf_53dba4
ea_2077_62800_1_1920,Carl Johan Johansson,1858,,,,1920,johansson_carl_johan_591023
ea_2077_62800_1_1920,Algot Emanuel Jungnell,1877,,Östergötlands län,,1920,jungnell_algot_emanuel_3d3ae1
ea_2077_62800_1_1920,Carl Sjögren,1869,,,,1920,sjogren_carl_3a8c37
ea_2077_62800_1_1920,Karl Emil Andersson,1869,,,,1920,andersson_karl_emil_97b4ce
ea_2077_62800_1_1920,Erik Gustaf Johansson,1864,,,,1920,johansson_erik_gustaf_8f0a10
ea_2077_62800_1_1920,Axel Ivar Swartling,1868,,,,1920,swartling_axel_ivar_69278e
ea_2077_62800_1_1920,Carl Gustaf Valdemar Hammarskjöld,1865,,,,1920,hammarskjold_carl_gustaf_valdemar_224e4f
ea_2077_62800_1_1920,Otto Andersson,1874,,,,1920,andersson_otto_f148fd
ea_2077_62800_1_1920,Karl Allan Westman,1883,,,,1920,westman_karl_allan_e33516
ea_2077_62800_1_1920,David Hjalmar Pettersson,1866,,,,1920,pettersson_david_hjalmar_ea3aa4
ea_2077_62800_1_1920,Oscar Gottfrid Karlsson,1882,,,,1920,karlsson_oscar_gottfrid_a083b1
ea_2077_62800_1_1920,Edvin Johanson,1889,,,,1920,johanson_edvin_32019c
ea_2077_62800_1_1920,Sven August Olsson,1870,,,,1920,olsson_sven_august_4957b5
ea_2077_62800_1_1920,Carl Oscar Erieson,1866,,,,1920,erieson_carl_oscar_302d86
ea_2077_62800_1_1920,Oscar Ludvig Carlström,1879,,,,1920,carlstrom_oscar_ludvig_5e01c6
ea_2077_62800_1_1920,Sven Petter Svanberg,1868,,,,1920,svanberg_sven_petter_357a4f
ea_2077_62800_1_1920,Johan August Jonsson,1851,,,,1920,jonsson_johan_august_64b169
