name,party,district,chamber,start,end,occupation,gender,id,party_abbrev,twittername
Malkolm Pettersson,Unknown f,Jönköpings län,Första kammaren,1918,1924,,man,malkolm_pettersson_b40c9c,,
Manne Asplund,Socialdemokraterna,Värmlands län,Första kammaren,1918,1924,,man,manne_asplund_a388b5,S,
Mauritz Hellberg,Unknown f,Värmlands län,Första kammaren,1918,1924,,man,mauritz_hellberg_f25814,,
Måns Lundberg,Socialdemokraterna,Malmö stad,Första kammaren,1918,1924,,man,mans_lundberg_7ba641,S,
Nils Alexanderson,Unknown f,Uppsala län,Första kammaren,1918,1924,,man,nils_alexanderson_1d051d,,
Nils Anton Bondeson,Unknown f,Kronobergs län,Första kammaren,1918,1924,,man,nils_anton_bondeson_df1a4c,,
Nils August Nilsson,,Malmöhus län,Första kammaren,1918,1924,,man,nils_august_nilsson_bb728f,,
Nils Sigfrid,Unknown f,Kristianstads län,Första kammaren,1918,1924,,man,nils_sigfrid_e2ae08,,
Nils Sigfrid Norling,Socialdemokraterna,Gävleborgs län,Första kammaren,1918,1924,,man,nils_sigfrid_norling_76887f,S,
Nils Wohlin,Unknown j,Malmöhus län,Första kammaren,1918,1924,,man,nils_wohlin_0d0a90,,
Olaus Pettersson,Unknown f,Älvsborgs län,Första kammaren,1918,1924,,man,olaus_pettersson_0c4c93,,
Ollas Anders Ericsson,Bondeförbundet,Hallands län,Första kammaren,1918,1924,,woman,ollas_anders_ericsson_723593,C,
Olof Bergqvist,Högerpartiet,Norrbottens län,Första kammaren,1918,1924,,man,olof_bergqvist_d9d86e,M,
Olof Lind,Unknown v-s,Kopparbergs län,Första kammaren,1918,1924,,man,olof_lind_e51a8f,,
Olof Olsson,Socialdemokraterna,Malmöhus län,Första kammaren,1918,1924,,man,olof_olsson_587237,S,
Oscar Borge,Socialdemokraterna,Stockholms stad,Första kammaren,1918,1924,,man,oscar_borge_de527d,S,
Oscar Herman August Fleming,Högerpartiet,Östergötlands län,Första kammaren,1918,1924,,man,oscar_herman_august_fleming_a56144,M,
Oscar Olsson,Socialdemokraterna,Örebro län,Första kammaren,1918,1924,,man,oscar_olsson_88c429,S,
Paul Hellström,Unknown f,Norrbottens län,Första kammaren,1918,1924,,man,paul_hellstrom_e44808,,
Paul Paulson,,Malmöhus län,Första kammaren,1918,1924,,man,paul_paulson_de09a8,,
Per Axel Viktor Schotte,Unknown f,Västerbottens län,Första kammaren,1918,1924,,man,per_axel_viktor_schotte_ec92ae,,
Per Norin,Socialdemokraterna,Gävleborgs län,Första kammaren,1918,1924,,man,per_norin_95199d,S,
Petrus Nilsson,Unknown j,"Kalmar län, södra delen",Första kammaren,1918,1924,,man,petrus_nilsson_709466,,
Ragnar Barnekow,Unknown f,Kristianstads län,Första kammaren,1918,1924,,man,ragnar_barnekow_cf0304,,
Rickard Sandler,Socialdemokraterna,Gävle stad,Första kammaren,1918,1924,,man,rickard_sandler_7ac27f,S,
Samuel Clason,,Göteborgs stad,Första kammaren,1918,1924,,man,samuel_clason_dadcf9,,
Sigfrid Hansson,Socialdemokraterna,Göteborgs och Bohus län,Första kammaren,1918,1924,,man,sigfrid_hansson_efab31,S,
Sten Stendahl,Högerpartiet,Stockholms stad,Första kammaren,1918,1924,,man,sten_stendahl_dc4663,M,
Teodor Julin,Socialdemokraterna,Gävleborgs län,Första kammaren,1918,1924,,man,teodor_julin_c94a4e,S,
Theodor Borell,Högerpartiet,Stockholms län,Första kammaren,1918,1924,,man,theodor_borell_e83bbb,M,
Uno Bernhard Steinholtz,Högerpartiet,"Kalmar län, norra delen",Första kammaren,1918,1924,,man,uno_bernhard_steinholtz_834a40,M,
Vilhelm Söderbom,Socialdemokraterna,Skaraborgs län,Första kammaren,1918,1924,,man,vilhelm_soderbom_5f82da,S,
William Linder,Socialdemokraterna,Kristianstads län,Första kammaren,1918,1924,,man,william_linder_66a221,S,
en vakant plats,,Södermanlands län,Första kammaren,1918,1924,,,en_vakant_plats_0727ed,,
Åhlmans Olof Olsson,Bondeförbundet,Kopparbergs län,Första kammaren,1918,1924,,man,ahlmans_olof_olsson_01a841,C,
Åke Ingeström,Unknown f,Värmlands län,Första kammaren,1918,1924,,man,ake_ingestrom_78995a,,
A. Östlund,Socialdemokraterna,Göteborgs stad,Första kammaren,1919,1925,,,a_ostlund_2c1880,S,
Adam Hult,Liberalerna,Södermanlands och Västmanlands län,Första kammaren,1919,1925,,man,adam_hult_5ee5dc,L,
Adolf Berge,Socialdemokraterna,Stockholms län och Uppsala län,Första kammaren,1919,1925,,man,adolf_berge_2f4bce,S,
Adolf Lindgren,Högerpartiet,Örebro län,Första kammaren,1919,1925,,man,adolf_lindgren_7aa748,M,
Albert Bergström,Socialdemokraterna,Östergötlands län med Norrköpings stad,Första kammaren,1919,1925,,man,albert_bergstrom_7e5eb4,S,
Albin Andersson,Bondeförbundet,Göteborgs och Bohus län,Första kammaren,1919,1925,,man,albin_andersson_aefc06,C,
Alexis Björkman,Socialdemokraterna,Södermanlands och Västmanlands län,Första kammaren,1919,1925,,woman,alexis_bjorkman_356a46,S,
Anders Antonsson,Högerpartiet,Malmöhus län med Malmö stad och Helsingborgs stad,Första kammaren,1919,1925,,man,anders_antonsson_e5581f,M,
Anders Elisson,Unknown j,Kronobergs och Hallands län,Första kammaren,1919,1925,,man,anders_elisson_dd9314,,
Anders Lindblad,Socialdemokraterna,Göteborgs stad,Första kammaren,1919,1925,,man,anders_lindblad_a5f431,S,
Anders Olof Frändén,Högerpartiet,Västernorrlands län och Jämtlands län,Första kammaren,1919,1925,,man,anders_olof_franden_de1ca6,M,
Anders Pers,Liberalerna,Kopparbergs län,Första kammaren,1919,1925,,man,anders_pers_d8aa16,L,
Anders Örne,Socialdemokraterna,Örebro län,Första kammaren,1919,1925,,man,anders_orne_3bd09a,S,
Anton Nilsson,Högerpartiet,Malmöhus län med Malmö stad och Helsingborgs stad,Första kammaren,1919,1925,,man,anton_nilsson_9e17e6,M,
Anton Pettersson,Bondeförbundet,Södermanlands och Västmanlands län,Första kammaren,1919,1925,,man,anton_pettersson_d30e7a,C,
Arvid Thorberg,Socialdemokraterna,Stockholms stad,Första kammaren,1919,1925,,man,arvid_thorberg_94d36f,S,
Assar Emanuel Åkerman,Socialdemokraterna,Södermanlands och Västmanlands län,Första kammaren,1919,1925,,man,assar_emanuel_akerman_460e7e,S,
August Johansson,Liberalerna,Skaraborgs län,Första kammaren,1919,1925,,man,august_johansson_fb579d,L,
August Ljunggren,Unknown f,Kronobergs och Hallands län,Första kammaren,1919,1925,,man,august_ljunggren_09f09c,,
August Nilsson,Socialdemokraterna,Malmöhus län med Malmö stad och Helsingborgs stad,Första kammaren,1919,1925,,man,august_nilsson_7f1cc8,S,
Axel Fredrik Wennersten,Högerpartiet,Älvsborgs län,Första kammaren,1919,1925,,man,axel_fredrik_wennersten_00e889,M,
Axel Hansson Wachtmeister,Högerpartiet,Blekinge län och Kristianstads län,Första kammaren,1919,1925,,man,axel_hansson_wachtmeister_8b3e9a,M,
Axel Modig,Liberalerna,Södermanlands och Västmanlands län,Första kammaren,1919,1925,,man,axel_modig_28da00,L,
Axel Olof Rune,Liberalerna,Kalmar läns norra och södra landstingsområden samt Gotlands län,Första kammaren,1919,1925,,man,axel_olof_rune_e97946,L,
Axel Rooth,Högerpartiet,Kronobergs och Hallands län,Första kammaren,1919,1925,,man,axel_rooth_0e11b8,M,
Axel Theodor Adelswärd,Unknown f,Östergötlands län med Norrköpings stad,Första kammaren,1919,1925,,man,axel_theodor_adelsward_b42841,,
Axel Vindahl,Liberalerna,Örebro län,Första kammaren,1919,1925,,man,axel_vindahl_f383a2,L,
Axel von Sneidern,Högerpartiet,Älvsborgs län,Första kammaren,1919,1925,,man,axel_von_sneidern_d4d383,M,
Bror Petrén,Liberalerna,Blekinge län och Kristianstads län,Första kammaren,1919,1925,,man,bror_petren_43b78f,L,
Carl Albert Lindhagen,Unknown v-s,Västernorrlands län och Jämtlands län,Första kammaren,1919,1925,,man,carl_albert_lindhagen_0ac9be,,
