wiki_id,alias,name
Q111448420,Carl Ivar Wittberg,Ivar Wittberg
Q111448420,Carl Wittberg,Ivar Wittberg
Q111448420,Karl Ivar Wittberg,Ivar Wittberg
Q111448420,Wittberg i Filipstad,Ivar Wittberg
Q111462343,Anders Gustaf Månsson,Gustaf Månsson
Q111462343,Månsson i Fusagården,Gustaf Månsson
Q111488695,Frost i Bodum,Henrik Frost
Q111488695,Henrik Vilhelm Frost,Henrik Frost
Q111493015,Linderoth-Andersson i Hjo,Signe Linderoth-Andersson
Q111493137,,Hulda Skoglund-Lindblom
Q111493181,Anna Elvira Ronnebäck,Anna Ronnebäck
Q111493181,Anna Lindqvist-Pettersson,Anna Ronnebäck
Q111493181,Rönnebäck i Östersund,Anna Ronnebäck
Q111543297,Robert Helmer Schött,Helmer Schött
Q111543297,Schött i Kalmar,Helmer Schött
Q111551656,Adolfsson i Bynsberg,Holger Adolfsson
Q111551656,Erik Holger Jonatan Adolfsson,Holger Adolfsson
Q111602939,Bernt Gunnar Ekwall,Bernt Ekwall
Q111602939,Ekwall i Viskafors,Bernt Ekwall
Q111610510,Alvin i Älvdalen,Lars Alvin
Q111610510,Lars Andersson Alvin,Lars Alvin
Q111633012,Beck i Bengtstorp,Wilhelm Beck
Q111633012,Johan Wilhelm Beck,Wilhelm Beck
Q111633477,Andersson i Skrädene,Rosarus Andersson
Q111645980,Nils Gustaf Åkerlindh,Gustaf Åkerlindh
Q111645980,Åkerlindh i Storhult,Gustaf Åkerlindh
Q111647422,Lundberg i Eksjö,Karl Lundberg
Q111648829,Frans Oskar Gullstrand,Oskar Gullstrand
Q111648829,Gullstrand i Öckerö,Oskar Gullstrand
Q111649364,Carl Adolf Grevesmühl,Carl Grevesmühl
Q111649364,Grevesmühl i Lycksta,Carl Grevesmühl
Q111655286,,Mubarik Mohamed Abdirahman
Q111655821,Bergström i Karlstad,Erik Bergström
Q111655821,Per Erik Bergström,Erik Bergström
Q111658849,Flognfält i Flogned,Gustaf Flognfält
Q111659395,Brandt i Sätila,Henry Brandt
Q111659395,Edvard Henry Brandt,Henry Brandt
Q111660706,August Vilhelm Söderbom,Vilhelm Söderbom
