swerik_id,authority,identifier
i-3eaJwNQpWabbVs3LUTGotQ,WiDaID,Q104869831
i-3eaJwNQpWabbVs3LUTGotQ,SwePoArID,sj9PGLAlnmUAAAAAABfimA
i-TFANmsL4hdvC2ChJP3hmyH,WiDaID,Q104873799
i-TFANmsL4hdvC2ChJP3hmyH,SwePoArID,sj9PGLAlnmUAAAAAABfPLg
i-GGQnyd4FBYAVAPfMuLn9Di,WiDaID,Q104874870
i-GGQnyd4FBYAVAPfMuLn9Di,SwePoArID,sj9PGLAlnmUAAAAAABgbGw
i-29DwTeTswrc6CZ69NFKoDy,WiDaID,Q104889010
i-29DwTeTswrc6CZ69NFKoDy,SwePoArID,sj9PGLAlnmUAAAAAABfQUA
i-88MYG9139RJrdTz4uBEUfz,WiDaID,Q104889131
i-88MYG9139RJrdTz4uBEUfz,SwePoArID,sj9PGLAlnmUAAAAAABgc0A
i-CaReJU7GckAgFwH9eRz9J,WiDaID,Q104889258
i-CaReJU7GckAgFwH9eRz9J,SwePoArID,sj9PGLAlnmUAAAAAABgSBw
i-2U4y4kpuQrcdDAWFBSNkPp,WiDaID,Q104889673
i-2U4y4kpuQrcdDAWFBSNkPp,SwePoArID,sj9PGLAlnmUAAAAAABgZgA
i-8ZNJWsBMhAczaaMoTcJqRT,WiDaID,Q104889739
i-8ZNJWsBMhAczaaMoTcJqRT,SwePoArID,sj9PGLAlnmUAAAAAABgZsA
i-CiCVc1arZNK5WGUQmfSttX,WiDaID,Q104904121
i-Bv85PfPyP6Kza9FMou862E,WiDaID,Q104904307
i-Bv85PfPyP6Kza9FMou862E,SwePoArID,sj9PGLAlnmUAAAAAABgbqQ
i-92j4c5FkzDFwghYzLG8fVq,WiDaID,Q104905221
i-92j4c5FkzDFwghYzLG8fVq,SwePoArID,sj9PGLAlnmUAAAAAABfPFg
i-UAK3AB1CjWSo8XH9S5ZhDk,WiDaID,Q104918428
i-UAK3AB1CjWSo8XH9S5ZhDk,SwePoArID,sj9PGLAlnmUAAAAAABgZog
i-QmLKNXtwqmNui98eTHpcAk,WiDaID,Q104919050
i-QmLKNXtwqmNui98eTHpcAk,SwePoArID,sj9PGLAlnmUAAAAAABgZhw
i-FCx1vSp3maaCJRjsYNbHqo,WiDaID,Q104919428
i-RgWU8wCMwYhCpZW9xhMn6,WiDaID,Q104922412
i-RgWU8wCMwYhCpZW9xhMn6,SwePoArID,sj9PGLAlnmUAAAAAAA6Seg
i-RgWU8wCMwYhCpZW9xhMn6,SwePoArID,sj9PGLAlnmUAAAAAABfPKQ
i-9kQEhG7b4RhJm3feAQj7DQ,WiDaID,Q104923362
i-9kQEhG7b4RhJm3feAQj7DQ,SwePoArID,sj9PGLAlnmUAAAAAABgfSw
i-WQdu6MraZKg46K4qVrG243,WiDaID,Q105025768
i-WQdu6MraZKg46K4qVrG243,SwePoArID,sj9PGLAlnmUAAAAAABgfOA
i-Md4cSDKT7AbTr7UiRi7rkw,WiDaID,Q105026351
i-Md4cSDKT7AbTr7UiRi7rkw,SwePoArID,sj9PGLAlnmUAAAAAABgZdQ
i-WRT4V5yeETPopk8dVbR6JH,WiDaID,Q105037888
i-WRT4V5yeETPopk8dVbR6JH,SwePoArID,ciLMGSqrYjAAAAAAAABBtA
i-WRT4V5yeETPopk8dVbR6JH,SwePoArID,sj9PGLAlnmUAAAAAABfQMw
i-Ghdk27PPLqvrzeJCpZR1f6,WiDaID,Q105038114
i-Ghdk27PPLqvrzeJCpZR1f6,SwePoArID,sj9PGLAlnmUAAAAAABfpww
i-Sov3qVGpNxDDTnN6woghFD,WiDaID,Q105044672
i-Sov3qVGpNxDDTnN6woghFD,SwePoArID,sj9PGLAlnmUAAAAAABfSFw
i-5Ub3LuYesBZ5wA22h31n8L,WiDaID,Q105044768
i-5Ub3LuYesBZ5wA22h31n8L,SwePoArID,sj9PGLAlnmUAAAAAABfr_g
i-DALrnQJRfAh9VdHWZSTBni,WiDaID,Q105044852
i-DALrnQJRfAh9VdHWZSTBni,SwePoArID,sj9PGLAlnmUAAAAAABfUlg
i-SmonGw3sJUAmDrU7PPrmf7,WiDaID,Q105045448
i-SmonGw3sJUAmDrU7PPrmf7,SwePoArID,9Y5iReTPHdAAAAAAAAAh5Q
i-SmonGw3sJUAmDrU7PPrmf7,SwePoArID,sj9PGLAlnmUAAAAAABgaqQ
i-8WGMX6q7rMnCgERJgAW1Cm,WiDaID,Q105045554
i-8WGMX6q7rMnCgERJgAW1Cm,SwePoArID,sj9PGLAlnmUAAAAAABfQGw
i-MeTcF5dmvAAc3N7VgFXtPs,WiDaID,Q105045781
i-Xe7y1HUKo3cwvjoGKibVwZ,WiDaID,Q105046298
i-Xe7y1HUKo3cwvjoGKibVwZ,SwePoArID,sj9PGLAlnmUAAAAAABgb_w
i-HbEYktmpx71DfmfVouRDm7,WiDaID,Q105046520
i-HbEYktmpx71DfmfVouRDm7,SwePoArID,sj9PGLAlnmUAAAAAABgZQQ
i-KtBJxJTsknBxjfYvZybGqj,WiDaID,Q105046846
i-KtBJxJTsknBxjfYvZybGqj,SwePoArID,sj9PGLAlnmUAAAAAABgZaQ
i-PL9foi7u1XAv2BD9jUwAWg,WiDaID,Q105046913
i-PL9foi7u1XAv2BD9jUwAWg,SwePoArID,sj9PGLAlnmUAAAAAABfQHw
i-DtUBL4PhS8MGp9QnAiAJc7,WiDaID,Q105046955
i-DtUBL4PhS8MGp9QnAiAJc7,SwePoArID,sj9PGLAlnmUAAAAAABgcGQ
i-FMF8HQuCkg6coFTxRQFae3,WiDaID,Q105062126
i-FMF8HQuCkg6coFTxRQFae3,SwePoArID,sj9PGLAlnmUAAAAAABgZyw
i-6nnq6i6hYmHD6etGxdm9Wy,WiDaID,Q105063875
i-6nnq6i6hYmHD6etGxdm9Wy,SwePoArID,sj9PGLAlnmUAAAAAABfTdw
i-C1fZBCKUGy1gZCDs8Cfrc6,WiDaID,Q105065199
i-C1fZBCKUGy1gZCDs8Cfrc6,SwePoArID,TNQaWo324IAAAAAAAADAUw
i-C1fZBCKUGy1gZCDs8Cfrc6,SwePoArID,sj9PGLAlnmUAAAAAABgfLQ
i-78qJKK1mayw2kRfm6StDVV,WiDaID,Q105066959
i-78qJKK1mayw2kRfm6StDVV,SwePoArID,NhqpvvI9tpAAAAAAAAAmTg
i-78qJKK1mayw2kRfm6StDVV,SwePoArID,sj9PGLAlnmUAAAAAABfijQ
i-YWq3i8pzd2ek446XvasGri,WiDaID,Q105067206
i-YWq3i8pzd2ek446XvasGri,SwePoArID,sj9PGLAlnmUAAAAAABgatQ
i-7N9FrSsejFdgtBz9LsadDe,WiDaID,Q105072405
i-7N9FrSsejFdgtBz9LsadDe,SwePoArID,sj9PGLAlnmUAAAAAABfQEg
i-LvjhuKYbMmHcis45oX7W1G,WiDaID,Q105072927
i-LvjhuKYbMmHcis45oX7W1G,SwePoArID,9fCwuOWMwGAAAAAAAAAD4Q
i-LvjhuKYbMmHcis45oX7W1G,SwePoArID,sj9PGLAlnmUAAAAAABfkRA
i-5u9D97HkMoFCMxfWkAsxz3,WiDaID,Q105086267
i-Wt1hk6ZngbTgyJCGcHAvrf,WiDaID,Q105086918
i-Wt1hk6ZngbTgyJCGcHAvrf,SwePoArID,1ha4xkDj-uAAAAAAAAArNg
i-Wt1hk6ZngbTgyJCGcHAvrf,SwePoArID,sj9PGLAlnmUAAAAAABgbCg
i-BrjASYwo9T62jMPhtH59Zh,WiDaID,Q105097094
i-BrjASYwo9T62jMPhtH59Zh,SwePoArID,sj9PGLAlnmUAAAAAABgcgg
i-7UsBEyMpFeJWgxAYKRQiVz,WiDaID,Q105098800
i-7UsBEyMpFeJWgxAYKRQiVz,SwePoArID,sj9PGLAlnmUAAAAAABfpPg
i-GmVk7Pj9JRW6GYkwiSkryS,WiDaID,Q105104304
i-GmVk7Pj9JRW6GYkwiSkryS,SwePoArID,sj9PGLAlnmUAAAAAABgRVw
i-2VJazsFcETvv2ViUi5KBHJ,WiDaID,Q105105468
i-2VJazsFcETvv2ViUi5KBHJ,SwePoArID,sj9PGLAlnmUAAAAAABgRYQ
i-KG3rFkQMhAaivps4bxsdN6,WiDaID,Q105114671
i-9wF1b38LpGCCCg2P4b8nS1,WiDaID,Q105115301
i-9wF1b38LpGCCCg2P4b8nS1,SwePoArID,sj9PGLAlnmUAAAAAABfNFw
i-SzGpydBwUGiTw3GWcPrafZ,WiDaID,Q105162147
i-SzGpydBwUGiTw3GWcPrafZ,SwePoArID,sj9PGLAlnmUAAAAAABfPww
i-3DCxazQKgys5aVEbkoNgyR,WiDaID,Q105162968
i-3DCxazQKgys5aVEbkoNgyR,SwePoArID,sj9PGLAlnmUAAAAAABfijw
i-62dMvJyvF5SY1VwxM1mokE,WiDaID,Q105163872
i-62dMvJyvF5SY1VwxM1mokE,SwePoArID,sj9PGLAlnmUAAAAAABgfQA
i-MmmeadtFjSdRUyPkMZX2Xo,WiDaID,Q105200990
i-MmmeadtFjSdRUyPkMZX2Xo,SwePoArID,sj9PGLAlnmUAAAAAABgbBw
i-Ev2bAyMrQ6WFtkDbPD2E9z,WiDaID,Q105371172
i-Ev2bAyMrQ6WFtkDbPD2E9z,RiPeID,0584506101017
i-Ev2bAyMrQ6WFtkDbPD2E9z,SwePaPeGUID,60c72b3b-16de-4faf-b388-23947e62e933
i-DMfacrypLeyVdkQkWWN8F4,WiDaID,Q10540434
i-DMfacrypLeyVdkQkWWN8F4,SwePoArID,sj9PGLAlnmUAAAAAABgegA
i-XSnuDBHTtWXrXVybtzD9Qx,WiDaID,Q105414501
i-XSnuDBHTtWXrXVybtzD9Qx,RiPeID,0965245623824
i-XSnuDBHTtWXrXVybtzD9Qx,SwePaPeGUID,dcb6381a-3e44-4efa-9a47-1303b691a7e7
i-8LJVWsrLxj2JJda6Pj67gs,WiDaID,Q105604453
i-8LJVWsrLxj2JJda6Pj67gs,SwePaPeGUID,df9d157c-fdf1-4c0d-b090-9af53a2edd52
i-PjV5Vqo4cAe2QPui6MKgGm,WiDaID,Q105675478
i-PjV5Vqo4cAe2QPui6MKgGm,RiPeID,0136268785826
i-PjV5Vqo4cAe2QPui6MKgGm,SwePaPeGUID,43254ea9-ce3e-4cd4-a60c-c6216027d61b
i-HqYF5EJZmVtB1uhgi1UT96,WiDaID,Q105679831
i-HqYF5EJZmVtB1uhgi1UT96,RiPeID,05634168328
i-HqYF5EJZmVtB1uhgi1UT96,SwePaPeGUID,092136fc-b02d-44d5-b12c-15fcb7360cdf
i-C3g8qo8CaLkaffDmgmdDBY,WiDaID,Q105714624
i-C3g8qo8CaLkaffDmgmdDBY,SwePoArID,sj9PGLAlnmUAAAAAABfQOg
i-T8Rg3jWpwbaD2AL9KBwWw3,WiDaID,Q10575345
i-T8Rg3jWpwbaD2AL9KBwWw3,RiPeID,0534948028412
i-T8Rg3jWpwbaD2AL9KBwWw3,SwePaPeGUID,95b85019-4add-44a4-98c1-7a0b8a25812e
i-XNhzoo8e4qc1cM8U6t4ep8,WiDaID,Q10578332
i-XNhzoo8e4qc1cM8U6t4ep8,RiPeID,0456066032422
i-XNhzoo8e4qc1cM8U6t4ep8,SwePaPeGUID,63b23510-15af-4cc9-b54a-3d8b01c212d0
i-MeFCbDpKPnR5B8CQwp68xh,WiDaID,Q105928301
i-MeFCbDpKPnR5B8CQwp68xh,RiPeID,0283284978818
i-MeFCbDpKPnR5B8CQwp68xh,SwePaPeGUID,cf706551-1349-419e-bae8-c9947f280868
i-NtHFSRzQp57LWBaPAdpLPR,WiDaID,Q106349346
i-QK1WZxNsuG22i18C6LGyZq,WiDaID,Q106350110
i-SysvMFbvkEhmXkBp2SQyKp,WiDaID,Q106350428
i-JuX7y2SthgRtcLd223USxD,WiDaID,Q106559819
i-C8AtWSyu9UUdjr3d1wvyNs,WiDaID,Q106560063
i-C8AtWSyu9UUdjr3d1wvyNs,RiPeID,0261479148307
i-C8AtWSyu9UUdjr3d1wvyNs,SwePaPeGUID,4ecfbfb0-7c7f-4ac5-b6f0-e53d7c8ac311
i-MiczxjfgYvit6y2gXXcUZd,WiDaID,Q106582866
i-MR5nEFZEYYC856HM8uwmGL,WiDaID,Q106602523
i-2BomLucSUhUFGdLZdLWiCx,WiDaID,Q106625850
i-2BomLucSUhUFGdLZdLWiCx,RiPeID,0393820702706
i-5BAuoreWuHEDmfStAQQoco,WiDaID,Q10667542
i-5BAuoreWuHEDmfStAQQoco,RiPeID,0108070243108
i-5BAuoreWuHEDmfStAQQoco,SwePaPeGUID,8941e3ce-60af-41d6-b4cb-9fa5a55d2561
i-JBVSfKE7t4J1BPobU1RX2o,WiDaID,Q10678024
i-JBVSfKE7t4J1BPobU1RX2o,RiPeID,0668060748617
i-JBVSfKE7t4J1BPobU1RX2o,SwePaPeGUID,e0413b38-5264-401d-88d5-2dce49fe77b5
i-DhKcHWipWA2w7meLAwkbAA,WiDaID,Q106783058
i-DhKcHWipWA2w7meLAwkbAA,RiPeID,0515213566019
i-DhKcHWipWA2w7meLAwkbAA,SwePaPeGUID,2db22586-e7ae-4d0a-ac59-6a3a99b8e364
i-Sd7FDtWJYrvkDTQPMyAyS,WiDaID,Q106785041
i-Sd7FDtWJYrvkDTQPMyAyS,SwePaPeGUID,d84aaf87-cab8-479d-8a1a-c80937189baf
i-U1y3evwTTrkjYao8Gey5r6,WiDaID,Q106862214
i-U1y3evwTTrkjYao8Gey5r6,RiPeID,0410231576416
i-U1y3evwTTrkjYao8Gey5r6,SwePaPeGUID,e4e65a06-a65b-43d5-9ce1-f2d8a8f2cc37
i-HDUKWMEPpUMUK3MxQXxnpZ,WiDaID,Q106862781
i-HDUKWMEPpUMUK3MxQXxnpZ,RiPeID,0855286184126
i-HDUKWMEPpUMUK3MxQXxnpZ,SwePaPeGUID,86ae6051-9a2a-46a7-8a37-730918cdc428
i-9SqyWHQCE2TQTMebB2Em3P,WiDaID,Q10720409
i-9SqyWHQCE2TQTMebB2Em3P,RiPeID,0150538503507
i-9SqyWHQCE2TQTMebB2Em3P,SwePaPeGUID,2289b9e6-208b-43b7-b932-98846bc37cc8
i-6yui9XVQ1pQ2iQUn1YQhom,WiDaID,Q107364088
i-6yui9XVQ1pQ2iQUn1YQhom,RiPeID,0910587614018
i-6yui9XVQ1pQ2iQUn1YQhom,SwePaPeGUID,b65eac72-9f2b-4ee6-a92a-d6ab1a2bd993
i-MwYUykigjM7wMSKMB4PTP7,WiDaID,Q107364890
i-MwYUykigjM7wMSKMB4PTP7,RiPeID,0932188207010
i-MwYUykigjM7wMSKMB4PTP7,SwePaPeGUID,ab82f5d0-f3d4-4509-aba5-e0f89476bf24
i-Qc7Lq2YYet5P7L5vhHiC2K,WiDaID,Q107364915
i-Qc7Lq2YYet5P7L5vhHiC2K,RiPeID,0977557986415
i-Qc7Lq2YYet5P7L5vhHiC2K,SwePaPeGUID,d9e2e13d-8482-4ebb-ae1f-5211d7c87f88
i-MsDcNy8xgNwkrzcAPLvtsA,WiDaID,Q107378685
i-MsDcNy8xgNwkrzcAPLvtsA,RiPeID,0965607699115
i-MsDcNy8xgNwkrzcAPLvtsA,SwePaPeGUID,82d598e8-4335-11d7-ae5b-0004755038ce
i-3p872RqbGTybi4KXxUzDSo,WiDaID,Q107389974
i-3p872RqbGTybi4KXxUzDSo,RiPeID,0829600202519
i-3p872RqbGTybi4KXxUzDSo,SwePaPeGUID,efe11633-2205-4f47-a9eb-6707b60d86e1
i-8tybgmERR4BQLDYZ1Bgnm9,WiDaID,Q107395700
i-8tybgmERR4BQLDYZ1Bgnm9,RiPeID,0924240425218
i-8tybgmERR4BQLDYZ1Bgnm9,SwePaPeGUID,a1a608d9-0d74-11d5-ae53-0050040ca7ae
i-L7jHcteMMoWakzuR5vkPeP,WiDaID,Q107413452
i-L7jHcteMMoWakzuR5vkPeP,RiPeID,044562190409
i-L7jHcteMMoWakzuR5vkPeP,SwePaPeGUID,7d8da3e3-a63e-49b1-a38e-384a962e03d2
i-GQsM6A57gu76kXrUXejTNb,WiDaID,Q107419934
i-GQsM6A57gu76kXrUXejTNb,RiPeID,0823220795415
i-GQsM6A57gu76kXrUXejTNb,SwePaPeGUID,31deeaa3-5ff4-446e-b4b0-10216a228ecd
i-9YvP6nuaPe1iEBtBxdhhWi,WiDaID,Q107420069
i-9YvP6nuaPe1iEBtBxdhhWi,RiPeID,0632149550015
i-9YvP6nuaPe1iEBtBxdhhWi,SwePaPeGUID,f769467f-335b-4ef1-80da-52264774bb3e
i-LDPXw5SQr3f7FNNWYq86wJ,WiDaID,Q107485113
i-LDPXw5SQr3f7FNNWYq86wJ,RiPeID,025211285108
i-LDPXw5SQr3f7FNNWYq86wJ,SwePaPeGUID,d1a413e9-aa6b-4b2f-96b3-8f891155924f
i-Up1YbZAD1m2spR51D47co6,WiDaID,Q107639258
i-Up1YbZAD1m2spR51D47co6,SwePoArID,sj9PGLAlnmUAAAAAABgfnQ
i-3N8PrwPitEAyTqU29LRaim,WiDaID,Q108059200
i-3N8PrwPitEAyTqU29LRaim,RiPeID,0409655917321
i-3N8PrwPitEAyTqU29LRaim,SwePaPeGUID,cf93a30c-7563-418e-a111-60d31ad24bcc
i-AyLtPYUtfuc83nLoJEwQj4,WiDaID,Q108219916
i-AyLtPYUtfuc83nLoJEwQj4,SwePoArID,sj9PGLAlnmUAAAAAABfMiw
i-X24CbizesfxM3nuznxPzAc,WiDaID,Q108420017
i-X24CbizesfxM3nuznxPzAc,RiPeID,0770363683317
i-X24CbizesfxM3nuznxPzAc,SwePaPeGUID,02b66d05-3a6a-4bdc-9f6b-b938c7cf24b0
i-LWXeJPQ2MpxrTu8AJ6h5JK,WiDaID,Q108525852
i-LWXeJPQ2MpxrTu8AJ6h5JK,RiPeID,0521260619925
i-LWXeJPQ2MpxrTu8AJ6h5JK,SwePaPeGUID,359e75f3-519e-49d7-b155-ada488e621ea
i-6QRZCXV1gpE5LaD6mKZ5GR,WiDaID,Q108525972
i-6QRZCXV1gpE5LaD6mKZ5GR,RiPeID,07921826010
i-6QRZCXV1gpE5LaD6mKZ5GR,SwePaPeGUID,0a614b1d-8d24-4794-838d-8fbed7b503c5
i-XLHgMviLWvZePVW618wm98,WiDaID,Q108598507
i-XLHgMviLWvZePVW618wm98,RiPeID,0694273653613
