wiki_id,location,person_id
Q5887630,Norrköping,Q5887630
Q5963832,Örserumsbrunn,Q5963832
Q6045525,Gäddvik,Q6045525
Q6241320,Bromma,Q6241320
Q5953373,Kalix,Q5953373
Q5892602,Arrie,Q5892602
Q5954195,Gävle,Q5954195
Q4966043,Kiruna,Q4966043
Q6237330,Hofors,Q6237330
Q6043780,Appuna,Q6043780
Q6046890,Kvänum,Q6046890
Q58837098,Linköping,Q58837098
Q58837098,Linghem,Q58837098
Q5600489,Glömminge,Q5600489
Q16165766,Hjärtum,Q16165766
Q5570267,Varberg,Q5570267
Q441891,Stockholm,Q441891
Q5819505,Malmberget,Q5819505
Q5789497,Ronneby,Q5789497
Q5554599,Gustavsberg,Q5554599
Q5553501,Stockholm,Q5553501
Q5554640,Sundsvall,Q5554640
Q5555601,Ollsjö,Q5555601
Q5575914,Stockholm,Q5575914
Q5591660,Uttersberg,Q5591660
Q5820037,Viskafors,Q5820037
Q5542896,Arvika,Q5542896
Q5542896,Gustafsvik,Q5542896
Q5553493,Hägelåkra,Q5553493
Q5554402,Bollnäs,Q5554402
Q5554402,Gävle,Q5554402
Q5554624,Kolstad,Q5554624
Q5555130,Eliantorp,Q5555130
Q5555272,Hedensbyn,Q5555272
Q5568204,Harg,Q5568204
Q5573763,Stockholm,Q5573763
Q5573763,Umeå,Q5573763
Q5574112,Stockholm,Q5574112
Q5578043,Visby,Q5578043
Q5579458,Stockholm,Q5579458
Q5602498,Abrahamsgård,Q5602498
Q5602498,Stockholm,Q5602498
Q5614977,Filipstad,Q5614977
Q5627420,Nordmaling,Q5627420
Q5629675,Hults bruk,Q5629675
Q5714670,Boxholm,Q5714670
Q5733290,Ronneby,Q5733290
Q5757569,Falun,Q5757569
Q5798361,Nyköping,Q5798361
Q5803936,Åmål,Q5803936
Q5080263,Stockholm,Q5080263
Q97119947,Visby,Q97119947
Q109500713,Tranås,Q109500713
Q4830309,Harplinge,Q4830309
Q110057464,Vännäs,Q110057464
Q5901060,Hallsberg,Q5901060
Q5901468,Ronneby,Q5901468
Q4887786,Falköping,Q4887786
Q6072728,Åsandby,Q6072728
Q6178706,Helsingborg,Q6178706
Q6228020,Wambåsa,Q6228020
Q6009356,Kristinehamn,Q6009356
Q6037950,Ekeberga,Q6037950
Q6058750,Anderslöv,Q6058750
Q6063614,Jätsberg,Q6063614
Q6077520,Skanderåsen,Q6077520
Q6207127,Växjö,Q6207127
Q5914280,Linköping,Q5914280
Q5937799,Jonsjö,Q5937799
Q5937799,Brålanda,Q5937799
Q5954341,Falun,Q5954341
Q5968645,Wilhemsdal,Q5968645
Q5972055,Kalmar,Q5972055
Q6009800,Södra Landeryd,Q6009800
Q6045861,Stockholm,Q6045861
Q6068620,Gävle,Q6068620
Q6068634,Gävle,Q6068634
Q6193200,Lidköping,Q6193200
Q6200366,Stockholm,Q6200366
Q6206830,Stockholm,Q6206830
Q6213725,Helsingborg,Q6213725
Q6213725,Vrams Gunnarstorp,Q6213725
Q6227918,Vanås,Q6227918
Q6231275,Sätra bruk,Q6231275
Q4938354,Norrköping,Q4938354
Q21544248,Hallstahammar,Q21544248
Q6256938,Bergnäset,Q6256938
Q3374305,Stockholm,Q3374305
Q728197,Vaxholm,Q728197
Q4547462,Stockholm,Q4547462
Q18245538,Barkaby,Q18245538
Q6256046,Hagalund,Q6256046
Q6255268,Lidingö,Q6255268
Q6256712,Stockholm,Q6256712
Q5564148,Uppsala,Q5564148
Q5580341,Trangärd,Q5580341
Q5714844,Oberga,Q5714844
Q5554616,Eskilstuna,Q5554616
Q5555633,Östersund,Q5555633
Q5602997,Gävle,Q5602997
Q18237396,Storbrohyttan,Q18237396
Q6257968,Härnösand,Q6257968
Q1511698,Djursholm,Q1511698
Q1511698,Stockholm,Q1511698
Q5571206,Karlskrona,Q5571206
Q5542625,Stockholm,Q5542625
Q5555060,Hedsta,Q5555060
Q5568434,Djursholm,Q5568434
Q5568434,Stockholm,Q5568434
Q5572872,Alingsås,Q5572872
Q5573351,Bubbetorp,Q5573351
Q5577444,Djursholm,Q5577444
Q5577444,Jönköping,Q5577444
Q5580827,Hjälmarsnäs,Q5580827
Q5583226,Tynnelsö,Q5583226
Q5588185,Fröllinge,Q5588185
Q5614967,Sölvesborg,Q5614967
Q5621628,Jönköping,Q5621628
Q5621628,Malmö,Q5621628
Q5630690,Göteborg,Q5630690
Q5723186,Dynäs,Q5723186
Q5723186,Hullsta,Q5723186
Q1797996,Djursholm,Q1797996
Q5765303,Helsingborg,Q5765303
Q5891714,Fjäle,Q5891714
Q5789245,Kristianstad,Q5789245
Q5991033,Södertälje,Q5991033
Q6000837,Skottorp,Q6000837
Q6096462,Stockholm,Q6096462
Q6170278,Skarhult,Q6170278
Q6172244,Gävle,Q6172244
Q6020574,Stockholm,Q6020574
Q5798883,Karlstad,Q5798883
Q5855197,Sandgärde,Q5855197
Q5855197,Nygård,Q5855197
Q5855197,Östersund,Q5855197
Q5893939,Stockholm,Q5893939
Q5937830,Presstorp,Q5937830
Q5954175,Närlunda,Q5954175
Q5975035,Värnanäs,Q5975035
Q6014635,Stockholm,Q6014635
Q6068605,Hemstanäs,Q6068605
Q6093015,Hudiksvall,Q6093015
Q6147346,Örbyhus,Q6147346
Q6161282,Österhaninge,Q6161282
Q6170273,Skarhult,Q6170273
Q6178284,Kalmar,Q6178284
Q6178284,Linköping,Q6178284
Q6197769,Örebro,Q6197769
Q6197769,Uddeholm,Q6197769
Q6201926,Långvind,Q6201926
Q5937992,Bredsjö,Q5937992
Q5983870,Djursholm,Q5983870
Q5983870,Göteborg,Q5983870
Q5906261,Råbelöv,Q5906261
Q5618647,Mariestad,Q5618647
Q5628172,Falkenberg,Q5628172
Q5816342,Kolbäck,Q5816342
Q5943976,Stockholm,Q5943976
Q5716008,Undrom,Q5716008
Q5886578,Hornsberg,Q5886578
Q5973411,Ängesta,Q5973411
Q6026465,Bågeholm,Q6026465
Q5715170,Ramsberg,Q5715170
Q5618652,Lesjöfors,Q5618652
Q5618783,Borrestad,Q5618783
Q5749448,Kåfalla,Q5749448
Q6045329,Karlskrona,Q6045329
Q5955831,Örebro,Q5955831
Q5616432,Domnarvet,Q5616432
Q5715406,Ovanmyra,Q5715406
Q5937937,Borgviksbruk,Q5937937
Q5937937,Kyrkebyn,Q5937937
Q5954133,Göteborg,Q5954133
Q5938681,Svalöv,Q5938681
Q5985507,Kristdala,Q5985507
Q5617030,Halmstad,Q5617030
Q5785420,Hamra,Q5785420
Q5882474,Åsum,Q5882474
Q5946416,Norrköping,Q5946416
Q6042371,Västerås,Q6042371
Q5930999,Stockholm,Q5930999
Q5585390,Rydaholm,Q5585390
Q5588146,Skepparslöv,Q5588146
Q5588689,Gyllerup,Q5588689
Q5629781,Ulricehamn,Q5629781
Q5956347,Kil,Q5956347
Q5713371,Kubikenborg,Q5713371
Q5716147,Ljusdal,Q5716147
Q5724207,Gravendal,Q5724207
Q5901397,Munkedal,Q5901397
Q5916602,Augerum,Q5916602
Q6022275,Gustavsberg,Q6022275
Q6026814,Krokom,Q6026814
Q6027369,Vallsta,Q6027369
Q6027578,Rödningsberg,Q6027578
Q5810812,Växjö,Q5810812
Q5725116,Södertälje,Q5725116
Q5945805,Göteborg,Q5945805
Q5591597,Falköping-Ranten,Q5591597
Q5605319,Timrå,Q5605319
Q5603283,Fittja,Q5603283
Q4994566,Stockholm,Q4994566
Q5555074,Ovanmyra,Q5555074
Q5588048,Stockholm,Q5588048
Q5577408,Göteborg,Q5577408
Q5581369,Göteborg,Q5581369
Q5581410,Kieryd,Q5581410
Q5616960,Edsbyn,Q5616960
Q5615773,Knäppinge,Q5615773
Q5746318,Härnösand,Q5746318
Q5547719,Stockholm,Q5547719
Q5571280,Luleå,Q5571280
Q4979011,Göteborg,Q4979011
Q96097384,Högnalöv,Q96097384
Q4712369,Myggenäs,Q4712369
Q6228008,Johannishus,Q6228008
Q5545566,Tenhult,Q5545566
Q5548860,Everöd,Q5548860
Q5553840,Bussjö,Q5553840
Q5554662,Löbbo,Q5554662
Q5561482,Kiruna,Q5561482
Q5561482,Luleå,Q5561482
Q5566549,Halnatorp,Q5566549
Q5569486,Göteborg,Q5569486
Q5569486,Slutarp  Sveneby,Q5569486
Q5571534,Ryholm,Q5571534
Q5572363,Strömnäs,Q5572363
Q5572792,Luleå,Q5572792
Q5573792,Helsingborg,Q5573792
Q5577306,Hedemora,Q5577306
Q5577709,Stora Perstorp,Q5577709
Q5585861,Mårdnäs,Q5585861
Q5585861,Nynäs,Q5585861
Q5585861,Södertälje,Q5585861
Q5602664,Vallen,Q5602664
Q5603032,Ullvi,Q5603032
Q5603128,Tibro,Q5603128
Q5613442,Sjöberg,Q5613442
Q5613568,Västerås,Q5613568
Q5618788,Maltesholm,Q5618788
Q5627413,Jönköping,Q5627413
Q5629773,Näsbyholm,Q5629773
Q5718128,Björka,Q5718128
Q5716315,Böleå,Q5716315
Q6000296,Erlandsro,Q6000296
Q6027585,Rösta,Q6027585
Q6013906,Funäsdalen,Q6013906
Q6016437,Örslösa,Q6016437
Q6043627,Tofta,Q6043627
Q5937861,Nordmarkshyttan,Q5937861
Q5938434,Bratteberg,Q5938434
Q5994972,Lidingö,Q5994972
Q6020589,Stockholm,Q6020589
Q6025646,Åvik,Q6025646
Q6039789,Barkö,Q6039789
Q6042697,Stallerhult,Q6042697
Q6043605,Norrby,Q6043605
Q6043613,Trången,Q6043613
Q6011556,Vittjärv,Q6011556
Q6010704,Skravelsjö,Q6010704
Q6043528,Killebäckstorp,Q6043528
Q6011480,Brattby,Q6011480
Q6011501,Örebro,Q6011501
Q6046755,Tjärsta,Q6046755
Q6178244,Norrtälje,Q6178244
Q6200318,Halmstad,Q6200318
Q4830232,Österfärnebo,Q4830232
Q6078640,Stockholm,Q6078640
Q5546274,Stockholm,Q5546274
Q5547532,Umeå,Q5547532
Q5552501,Östad,Q5552501
Q5555069,Trossnäs,Q5555069
Q5555135,Rixö,Q5555135
Q5558134,Halmstad,Q5558134
Q5568192,Börringekloster,Q5568192
Q5573088,Skrukorp,Q5573088
Q5575104,Torstorp,Q5575104
Q5577366,Falkenberg,Q5577366
Q5582439,Stockholm,Q5582439
Q6206835,Stockholm,Q6206835
Q6206835,Söderhamn,Q6206835
Q6198520,Tomelilla,Q6198520
Q5573026,Luleå,Q5573026
Q2485795,Uppsala,Q2485795
Q1037569,Finspång,Q1037569
Q5571900,Gammelstad,Q5571900
Q5554399,Fältenborg,Q5554399
Q5554960,Sjöberg,Q5554960
Q5559022,Sundsvall,Q5559022
Q5581611,Strömsnäsbruk,Q5581611
Q5560552,Hög,Q5560552
