wiki_id,start,end,party,party_id
Q109937599,1986-11-07,1986-12-22,Liberalerna,Q110857
Q109942678,1988-04-25,1988-05-26,Socialdemokraterna,Q105112
Q109943905,1985-01-07,1985-01-09,Moderaterna,Q110843
Q109969433,1983-03-01,1983-04-09,Centerpartiet,Q110832
Q109971639,1982-10-08,1985-01-20,Socialdemokraterna,Q105112
Q109971639,1985-01-21,1985-09-30,Socialdemokraterna,Q105112
Q109971901,1985-04-02,1985-09-30,Socialdemokraterna,Q105112
Q110034198,1980-05-12,1980-06-11,Socialdemokraterna,Q105112
Q110056640,1981-03-11,1981-04-10,Socialdemokraterna,Q105112
Q110057464,1981-05-10,1981-06-10,Centerpartiet,Q110832
Q110070382,1981-10-17,1981-11-16,Centerpartiet,Q110832
Q110070765,1981-11-16,1981-12-15,Centerpartiet,Q110832
Q110089098,1976-10-11,1978-10-17,Centerpartiet,Q110832
Q110129747,1973-10-16,1974-01-10,Socialdemokraterna,Q105112
Q110540198,2022-01-11,2022-09-26,Miljöpartiet,Q213451
Q110635584,2022-01-10,2022-09-26,Socialdemokraterna,Q105112
Q110635584,2022-09-26,,Socialdemokraterna,Q105112
Q110642946,2022-09-26,,Socialdemokraterna,Q105112
Q110776549,2022-02-01,2022-06-08,Socialdemokraterna,Q105112
Q110776549,2022-06-08,2022-09-26,Socialdemokraterna,Q105112
Q110793990,2022-09-26,,Kristdemokraterna,Q213654
Q110793999,2022-09-26,,Sverigedemokraterna,Q504069
Q111342604,2022-03-23,2022-08-01,Moderaterna,Q110843
Q111655286,2022-04-19,2022-05-22,Socialdemokraterna,Q105112
Q112075255,2022-09-26,,Centerpartiet,Q110832
Q112318519,2022-06-13,2022-09-26,Socialdemokraterna,Q105112
Q112970856,1985-01-28,1985-02-28,Moderaterna,Q110843
Q113847323,2022-09-26,,Socialdemokraterna,Q105112
Q114029317,2022-09-26,,Socialdemokraterna,Q105112
Q114030385,2022-09-26,,Socialdemokraterna,Q105112
Q114030387,2022-09-26,2022-10-12,Sverigedemokraterna,Q504069
Q114031212,2022-09-26,,Centerpartiet,Q110832
Q114031213,2022-09-26,,Vänsterpartiet,Q110837
Q114031215,2022-09-26,,Sverigedemokraterna,Q504069
Q114031216,2022-09-26,,Sverigedemokraterna,Q504069
Q114031217,2022-09-26,,Sverigedemokraterna,Q504069
Q114031218,2022-09-26,,Miljöpartiet,Q213451
Q114031219,2022-09-26,,Sverigedemokraterna,Q504069
Q114031222,2022-09-26,,Socialdemokraterna,Q105112
Q114031224,2022-09-26,,Moderaterna,Q110843
Q114031225,2022-09-26,,Moderaterna,Q110843
Q114031228,2022-09-26,,Sverigedemokraterna,Q504069
Q114031230,2022-09-26,,Moderaterna,Q110843
Q114031231,2022-09-26,,Liberalerna,Q110857
Q114031232,2022-09-26,,Sverigedemokraterna,Q504069
Q114031233,2022-09-26,,Kristdemokraterna,Q213654
Q114031234,2022-09-26,,Socialdemokraterna,Q105112
Q114031236,2022-09-26,,Liberalerna,Q110857
Q114031237,2022-09-26,,Socialdemokraterna,Q105112
Q114031238,2022-09-26,,Sverigedemokraterna,Q504069
Q114031240,2022-09-26,,Sverigedemokraterna,Q504069
Q114031241,2022-09-26,,Socialdemokraterna,Q105112
Q114031243,2022-09-26,,Socialdemokraterna,Q105112
Q114031244,2022-09-26,,Sverigedemokraterna,Q504069
Q114031247,2022-09-26,,Centerpartiet,Q110832
Q114031248,2022-09-26,,Sverigedemokraterna,Q504069
Q114031249,2022-09-26,,Socialdemokraterna,Q105112
Q114031250,2022-09-26,,Sverigedemokraterna,Q504069
Q114031254,2022-09-26,,Socialdemokraterna,Q105112
Q114031255,2022-09-26,,Vänsterpartiet,Q110837
Q114031256,2022-09-26,,Moderaterna,Q110843
Q114031259,2022-09-26,,Socialdemokraterna,Q105112
Q114031261,2022-09-26,,Vänsterpartiet,Q110837
Q114031262,2022-09-26,,Sverigedemokraterna,Q504069
Q114031263,2022-09-26,,Socialdemokraterna,Q105112
Q114031264,2022-09-26,,Socialdemokraterna,Q105112
Q114031265,2022-09-26,,Vänsterpartiet,Q110837
Q114031267,2022-09-26,,Sverigedemokraterna,Q504069
Q114031268,2022-09-26,,Socialdemokraterna,Q105112
Q114031270,2022-09-26,,Vänsterpartiet,Q110837
Q114031271,2022-09-26,,Sverigedemokraterna,Q504069
Q114031273,2022-09-26,,Socialdemokraterna,Q105112
Q114031274,2022-09-26,,Sverigedemokraterna,Q504069
Q114133361,2022-09-26,,Socialdemokraterna,Q105112
Q114141183,2022-09-26,,Kristdemokraterna,Q213654
Q114198430,2022-09-26,,Moderaterna,Q110843
Q114239740,2022-09-26,2022-10-18,Socialdemokraterna,Q105112
Q114239865,2022-09-26,2022-10-18,Socialdemokraterna,Q105112
Q114239963,2022-09-26,2022-10-18,Socialdemokraterna,Q105112
Q114239963,2023-01-15,2023-02-24,Socialdemokraterna,Q105112
Q114239981,2022-09-26,2022-10-18,Socialdemokraterna,Q105112
Q114240008,2022-09-26,2023-01-17,Sverigedemokraterna,Q504069
Q114240008,2023-01-17,,Sverigedemokraterna,Q504069
Q114240056,2022-09-26,,Moderaterna,Q110843
Q114244604,2022-09-26,2022-10-17,Socialdemokraterna,Q105112
Q114630146,2022-10-05,,Socialdemokraterna,Q105112
Q114659286,2022-10-12,,Sverigedemokraterna,Q504069
Q114772305,2022-10-18,,Moderaterna,Q110843
Q114772318,2022-10-18,,Moderaterna,Q110843
Q114772325,2022-10-18,,Kristdemokraterna,Q213654
Q114772424,2022-10-18,,Liberalerna,Q110857
Q114772436,2022-10-18,,Moderaterna,Q110843
Q114772470,2022-10-18,,Moderaterna,Q110843
Q114772526,2022-10-24,,Kristdemokraterna,Q213654
Q114772539,2022-10-18,,Moderaterna,Q110843
Q114772553,2022-10-18,,Moderaterna,Q110843
Q114867560,2022-10-25,,Moderaterna,Q110843
Q114965635,2022-11-01,,Miljöpartiet,Q213451
Q114965717,2022-11-01,,Sverigedemokraterna,Q504069
Q115110453,2022-11-07,,Miljöpartiet,Q213451
Q115170015,2022-11-08,,Kristdemokraterna,Q213654
Q115190201,2022-11-12,2022-12-12,Sverigedemokraterna,Q504069
