swerik_id,bibtex_key,wiki_id,page
i-3KFK3oZcYcWrbWnvXSk8NY,NorbergEA1992v5,Q110346241,316
i-3KTrvYeUfwgpZ5rnmnx64a,NorbergEA1988v1,Q110346241,451
i-3kVCtR7mCK6mW2F6oaBMR5,AskerNorberg1996v1,Q111443541,258
i-3kYRS5UMVgExXVqJbzvp7a,NorbergEA1988v1,Q110346241,73
i-3LADpippuGsVzASZffPQLR,NorbergEA1990v4,Q110346241,410
i-3LfcdjHPZXD1zBe99n8YMX,NorbergEA1986v3,Q110346241,277
i-3LnTV9Mo4yi9Ugf3TVHQ14,NorbergEA1992v5,Q110346241,181
i-3M1s36ECJm8aj113TDC85w,NorbergAsker1996v2,Q111443541,398
i-3MH73DLbrRLp6rCtZUN7xj,NorbergEA1992v5,Q110346241,253
i-3mjJ8NdxxhyYGThn9tEjji,NorbergEA1988v1,Q110346241,136
i-3MpAwjWDid9XkrwtsazNoj,NorbergTjerneld1985v2,Q110346241,178
i-3MuEs2XfJdL7dc1ejaB7XH,NorbergTjerneld1985v2,Q110346241,141
i-3MvaWwGAEPFswCdnQqXjYX,NorbergEA1990v4,Q110346241,174
i-3NbGNP9YEc8pT9LWALZDW6,NorbergTjerneld1985v2,Q110346241,216
i-3NBw8ikngc89zrUXJBCx5D,NorbergEA1992v5,Q110346241,64
i-3NCXBeA2vK1pZneiUEQzVr,NorbergEA1990v4,Q110346241,254
i-3NpPy7cWbyt37LTiEpxrRp,NorbergEA1992v5,Q110346241,82
i-3NQwgepQf2vTwvJTrqaMfi,AskerNorberg1996v1,Q111443541,476
i-3okN64m9y63KYdwdoN53t3,NorbergEA1992v5,Q110346241,338
i-3oxHos89DLWxgit8emnuRm,NorbergEA1992v5,Q110346241,148
i-3PaU5JJkcCnHdn6JLYUvSY,NorbergEA1986v3,Q110346241,47
i-3pe1JKqvmq7PaBnw7PEhXT,NorbergTjerneld1985v2,Q110346241,64
i-3PjfUR5TydqjrerGmDeu2F,NorbergEA1986v3,Q110346241,225
i-3pPDWXfF3wxyAxqygpDKiJ,NorbergTjerneld1985v2,Q110346241,152
i-3pPfeGUusb4ERp1374sefF,NorbergEA1990v4,Q110346241,502
i-3PzFp3p87PfdaGcb8Fch7G,NorbergTjerneld1985v2,Q110346241,293
i-3QAhVH5wpKkQj8omxN4FJe,NorbergEA1992v5,Q110346241,76
i-3QwyfkM9UveqvAVHUKwzFh,NorbergEA1988v1,Q110346241,253
i-3Qz6CXUz6kGGCR1aT9MZrB,AskerNorberg1996v1,Q111443541,216
i-3R2qbKpVQbNv7BvXe7jvcr,AskerNorberg1996v1,Q111443541,279
i-3R2qbKpVQbNv7BvXe7jvcr,NorbergTjerneld1985v2,Q110346241,268
i-3R5C8vQo1FXLQaqX7yYqq8,NorbergEA1990v4,Q110346241,394
i-3R7qLxY2CURc4oEqo2xMKC,NorbergEA1990v4,Q110346241,428
i-3RKCrkKntDoTBLCqiaT4UX,NorbergEA1986v3,Q110346241,52
i-3RnD8T9ms8CZMMrYjFAoRU,NorbergEA1990v4,Q110346241,61
i-3rpFH7pwksmss9zuWEK82p,AskerNorberg1996v1,Q111443541,465
i-3rpFH7pwksmss9zuWEK82p,NorbergEA1986v3,Q110346241,218
i-3RSVJAAkDP1YSFPJLfhRrR,NorbergEA1988v1,Q110346241,139
i-3rTesHxYLCdQMkEcpGXuvM,NorbergEA1988v1,Q110346241,421
i-3S6o68jd39fc6D1XBHSFHf,NorbergTjerneld1985v2,Q110346241,388
i-3s7ZpN6C8k2wv11aTaQxhj,NorbergEA1988v1,Q110346241,332
i-3sd3coveTcEfybUorJpXWf,AskerNorberg1996v1,Q111443541,320
i-3sd3coveTcEfybUorJpXWf,NorbergTjerneld1985v2,Q110346241,156
i-3sN9DMuKUv4qbPVAGpgpoG,NorbergEA1988v1,Q110346241,54
i-3sPbyicZy7gfbq8RdVTQMb,AskerNorberg1996v1,Q111443541,192
i-3sSCP4SpHEXgVm8b7P6qGE,NorbergEA1990v4,Q110346241,102
i-3stc3EB4Ftxe7oRQtxvBCm,NorbergEA1988v1,Q110346241,160
i-3stc3EB4Ftxe7oRQtxvBCm,NorbergTjerneld1985v2,Q110346241,175
i-3StoCMLrfUPWDrtLhXAkg1,AskerNorberg1996v1,Q111443541,352
i-3StoCMLrfUPWDrtLhXAkg1,NorbergTjerneld1985v2,Q110346241,216
i-3SzNCmPN5gfHT4ruyysd67,NorbergTjerneld1985v2,Q110346241,400
i-3THUqWbMwdy7tkFXgmRNEz,NorbergEA1986v3,Q110346241,146
i-3toFMBiRANr5twVQs1zfyQ,NorbergTjerneld1985v2,Q110346241,238
i-3tSjG8xn8oFwrNxgnNCH2t,NorbergEA1992v5,Q110346241,133
i-3tTabFqwkvahS47o9jHYvh,NorbergEA1988v1,Q110346241,301
i-3TvBf7WWysNpBVYf3bsL5D,NorbergEA1990v4,Q110346241,382
i-3tySdMLWgx6XVcAbtPdsgP,NorbergEA1992v5,Q110346241,153
i-3U9RnYcSyZvRj3JXwbjv5k,NorbergEA1986v3,Q110346241,265
i-3uaN5fvSUmBMXgqnzrb6Yb,AskerNorberg1996v1,Q111443541,140
i-3uf3tNhszfDyAkexnBY8X9,NorbergEA1992v5,Q110346241,93
i-3urySgCAk2SuFz1BB8TX5x,NorbergEA1990v4,Q110346241,274
i-3urySgCAk2SuFz1BB8TX5x,NorbergTjerneld1985v2,Q110346241,195
i-3vCZZGnD5Z8hMVsHEQnrmE,NorbergEA1988v1,Q110346241,94
i-3vmL5fhhYQEqZsPyUJFmjy,NorbergEA1990v4,Q110346241,170
i-3Vt59Mph8bZHW3Yk38AtwE,NorbergTjerneld1985v2,Q110346241,383
i-3VwqEFFacV4zXmNXTSMhSz,NorbergEA1990v4,Q110346241,63
i-3wgYCYs9BqQDCNxys6iyoE,NorbergEA1990v4,Q110346241,488
i-3wLRiGfY1M7dyUZ4aGiwUV,AskerNorberg1996v1,Q111443541,213
i-3WPAoJ5CXMR9smqz76LSLc,NorbergTjerneld1985v2,Q110346241,154
i-3wt6e9H35eunbwvbgJcZYQ,NorbergEA1992v5,Q110346241,233
i-3wVE19WEnkoueWU41a2FfR,AskerNorberg1996v1,Q111443541,444
i-3WVkodXJ6Fkc2QvQJm6LSM,NorbergEA1990v4,Q110346241,491
i-3x2Ux4KHuhYBW2eWArsQNW,NorbergEA1986v3,Q110346241,78
i-3XFieHvCxpEc9aqT4qbsAD,NorbergEA1986v3,Q110346241,80
i-3XFieHvCxpEc9aqT4qbsAD,NorbergEA1990v4,Q110346241,164
i-3y52vXfXcmS5WTo3fZpGkT,NorbergTjerneld1985v2,Q110346241,106
i-3ykbHssXLi4NNLwsnFwbvc,NorbergEA1990v4,Q110346241,225
i-3YuWGKxprnXUh4GQ5Ai2yJ,AskerNorberg1996v1,Q111443541,147
i-3yWrDERMu1skzYoVxEZJcz,NorbergEA1990v4,Q110346241,474
i-3z5QgX8Q2XCayRRfyLgVy2,NorbergEA1992v5,Q110346241,136
i-3ZsQkLHxLMgAvADqNo2APr,NorbergEA1990v4,Q110346241,308
i-3zzz13sYF8R3yasCzbSJXe,AskerNorberg1996v1,Q111443541,435
i-41TCwkGDT2KvCUxDff5nPS,NorbergEA1988v1,Q110346241,385
i-41U85NpCtLzodB8GxLpNNW,NorbergEA1990v4,Q110346241,166
i-41UKhfCfhsFVWQiH8A1X8v,NorbergAsker1996v2,Q111443541,238
