wiki_id,alias
Q384847,Adelsköld i Nolhaga
Q384847,Adelsköld i Stockholm
Q3893038,Lindqvist i Stockholm
Q3893945,Ström i Göteborg
Q3916765,Wachtmeister af Johannishus i Tistad
Q406161,Ljungberg i Uppsala
Q4069879,Arrhenius i Stockholm
Q4162652,Hildebrand i Stockholm
Q4218935,Key i Stockholm
Q4346188,Broström i Göteborg
Q4352320,Elmstedt i Ronneby
Q4353489,Westman i Stockholm
Q4353489,Westman i Uppsala
Q4355601,Björnstjerna i Stockholm
Q4356302,Dahl i Uppsala
Q441891,Hermansson i Stockholm
Q4547462,Nordström i Stockholm
Q455088,Kjellén i Göteborg
Q455088,Kjellén i Uppsala
Q4570723,Vennerström i Sollefteå
Q4570723,Vennerström i Ålsten
Q4570928,Möller i Stockholm
Q4582704,Hedin i Stockholm
Q45896660,Branting-Westerståhl i Stockholm
Q4606585,Dahlén i Kiruna
Q4691677,Östlund i Stockholm
Q4709637,Andersson i Valnäs
Q4710223,Forslund i Spånga
Q4712369,Andersson i Myggenäs
Q4723287,Petersson i Påboda
Q4731015,Vougt i Malmö
Q4737866,Andersson i Knäred
Q4753719,Aronsson i Vallentuna
Q4753755,Dahlgren i Valdemarsvik
Q4753813,Henrikson i Lomma
Q4820820,Spångberg i Charlottenberg
Q4830232,Andersson i Österfärnebo
Q4830309,Kristiansson i Harplinge
Q4830361,Strand i Stockholm
Q4830390,Örbom I Stockholm
Q4887786,Börjesson i Falköping
Q4894168,Eriksson i Falun
Q4894168,Eriksson i Grängesberg
Q4895524,Wellin i Stockholm
Q4895712,von Friesen i Göteborg
Q490785,Björck i Nässjö
Q4934282,Ager i Ulvsunda
Q4935327,Alvén i Borlänge
Q4935502,Amundson i Ödsmål
Q4935783,Andersson i Stockholm
Q4935917,Andersson i Strängnäs
Q4935919,Anderson i Lerum
Q4936029,Andrén i Västerås
Q4936057,Anér i Bromma
Q4938333,Bergander i Nynäshamn
Q4938354,Bergegren i Norrköping
Q4938512,Berglund i Luleå
Q4938559,Bergman i Svärdsjö
Q4939247,Björck i Tomelilla
Q4939940,Boman i Flatenberg
Q4941887,Carlqvist i Helsingborg
Q4946028,Ekberg i Huvudsta
Q4946184,Ekroth i Huskvarna
Q4946953,Ericsson i Luleå
Q4947351,Ewerlöf i Stockholm
Q4948342,Flood i Stockholm
Q4951427,Gunne i Göteborg
Q4951481,Gustafson i Stockholm
Q4953217,Hegardt i Halmstad
Q4953217,Hegardt i Östersund
Q4953847,Hesselgren i Stockholm
Q4955074,Humla i Munkfors
Q4956953,Johanson i Pryssgården
Q4957618,Jäderberg i Kiruna
Q4958735,Kihlman i Göteborg
Q4962561,Lindekvist i Skellefteå
Q4962663,Linderot i Stockholm
Q4963023,Alm i Stockholm
Q4963832,Ludvigsson i Torshälla
Q4966043,Marklund i Kiruna
Q4969234,Nettelbrandt i Solna
Q4969559,Nilsson i Hammarslund
Q4969559,Nilsson i Kristianstad
Q4970543,Nygren i Gävle
Q4970543,Nygren i Stockholm
Q4971112,Olsson i Hölö
Q4971133,Olsson i Åkersberga
Q4971459,Osvald i Brogård
Q4974518,Renström i Kumla
Q4976132,Ryding i Göteborg
Q4978983,Sjöstrand i Eksjö
Q4979011,Sjöström-Bengtsson i Göteborg
Q4980249,Stenberg i Umeå
Q4981537,Svensson i Kungsör
Q4981979,Tamm i Fogelstad
Q4982739,Thunvall i Ramsjö
Q4982770,Thüring i Göteborg
Q4983117,Torbrink i Kalmar
Q4984496,Vessman i Stockholm
Q4984675,Vinge i Nacka
Q4984930,Västberg i Stockholm
Q4988501,Fraenkel i Göteborg
Q4989071,Lindberg i Frövi
Q4989732,Skantz i Malmö
Q4990681,Wohlin i Stocksund
Q4991077,Åsbrink i Skara
Q4991099,Öberg i Göteborg
Q4993034,Manderström i Stockholm
Q4994566,Branting i Stockholm
Q5039896,Berglund i Gimmene
Q5040976,Winberg i Stockholm
Q5080263,Lindley i Stockholm
Q5080263,Lindley i Äppelviken
Q520594,Agardh i Lund
Q522153,Wallenberg i Stockholm
Q5231532,Boman i Stafsund
Q525663,Sundberg i Karlstad
Q525663,Sundberg i Uppsala
Q52950,De Geer af Finspång i Stockholm
Q52951,Posse i Charlottenlund
Q52956,Thyselius i Stockholm
Q52958,Themptander i Stockholm
Q52960,Bildt i Stockholm
Q52964,Åkerhielm af Margretelund i Margretelund
Q52968,Boström i Östanå
Q52969,von Otter i Karlskrona
Q53286,Lundeberg i Forsbacka
Q53286,Lundeberg i Stockholm
Q53292,Staaff i Stockholm
Q53294,Lindman i Stockholm
Q53305,Swartz i Norrköping
Q53305,Swartz i Stockholm
Q53310,Edén i Uppsala
Q5340170,Andersson i Stockholm
Q5341366,Johanson i Stockholm
Q5348198,Andreasson i Östra Ljungby
Q5359581,Sparre af Söfdeborg i Almenäs
Q5359581,Sparre af Söfdeborg i Mariedal
Q5359581,Sparre af Söfdeborg i Stockholm
Q5359589,von Krusenstjerna i Stockholm
Q5360742,Löfgren i Stockholm
Q53620,Branting i Stockholm
Q53626,De Geer af Finnspång i Hanaskog
Q53633,Trygger i Stockholm
Q53633,Trygger i Uppsala
Q53637,Sandler i Brunnsvik
Q53637,Sandler i Gävle
Q53637,Sandler i Göteborg
Q53637,Sandler i Stockholm
Q53642,Ekman i Eskilstuna
Q53650,Hamrin i Jönköping
Q53660,Hansson i Stockholm
Q53701,Pehrsson i Bramstorp
Q53707,Erlander i Lund
Q5371267,Gustafson i Vimmerby
Q53713,Palme i Vällingby
Q53740,Carlsson i Tyresö
Q53747,Göran Persson i Stjärnhov
Q538109,Nerman i Stockholm
Q5388930,von Heland i Arhammar
Q5394979,Svensson i Eskhult
Q5410165,Adolfsson i Göteborg
Q5410165,Adolfsson i Malmö
Q5411103,Ericsson i Näs
Q543409,Flyg i Saltsjö-Nacka
Q5477483,Lindström i Göteborg
Q5477483,Lindström i Stockholm
Q5499548,von Essen i Kavlås
Q5503582,Jansson i Benestad
Q5504808,Lager i Stockholm
Q5535667,Carlsson i Stora Arla
Q5540544,Aaby-Ericsson i Dansjö
Q5540672,Aarnseth i Malung
Q5540748,Aastrup i Stockholm
Q5541257,Abelin i Kvillinge
Q5541307,Abenius i Västerås
Q5542625,Adelswärd i Stockholm
Q5542641,Adelswärd i Åtvidaberg
Q5542875,Adlersparre i Stockholm
Q5542896,Adlersparre i Arvika
Q5542896,Adlersparre i Gustafsvik
Q5543002,Adolfsson i Västerås
Q5543430,Agerberg i Frösön
Q5543430,Agerberg i Östersund
Q5543777,Ahl i Norrtälje
Q5543827,Ahlberg i Lidingö
Q5543827,Ahlberg i Stockholm
Q5543988,Ahlfvengren i Halmstad
Q5543988,Ahlfvengren i Stockholm
Q5544009,Ahlgren i Ala
Q5544085,Ahlkvist i Jordholmen
Q5544228,Ahlsten i Alva
Q5544228,Ahlsten i Hemse
Q5544237,Ahlstrand i Umeå
Q5544294,Ahlström i Malmö
Q5544520,Ahrenberg i Göteborg
Q5545566,Albertsson i Tenhult
Q5545831,Aldén i Degerfors
Q5546036,Alemyr i Vimmerby
Q5546257,Alexanderson i Lidingö
Q5546265,Alexanderson i Ekensholm
Q5546274,Alexanderson i Stockholm
Q5547309,Almén i Stockholm
Q5547315,Almén i Göteborg
Q5547336,Almer i Varberg
Q5547372,Almgren i Stockholm
Q5547383,Almgren i Norrahammar
Q5547407,Almgren i Stockholm
Q5547436,Almkvist i Skellefteå
Q5547436,Almkvist i Äppelviken
Q5547532,Almqvist i Umeå
Q5547542,Almqvist i Jönköping
Q5547561,Almqvist i Janslunda
Q5547623,Almqvist i Bladviken
Q5547641,Almqvist i Stockholm
Q5547719,Almström i Stockholm
Q5548000,Alströmer i Halmstad
Q5548010,Alströmer i Östad
Q5548121,Altin i Västerås
Q5548860,Amilon i Everöd
Q5549004,Amnéus i Mariestad
Q5551491,Adamsson i Malmö
Q5552169,Alexandersson i Öckerö
Q5552279,Alkman i Göteborg
Q5552279,Alkman i Stenkullen
Q5552429,Almqvist i Stockholm
Q5552491,Alsterlund i Luleå
Q5552501,Alströmer i Östad
Q5552957,Ander i Hårsbäck
Q5553053,Anderberg i Vollsjö
Q5553428,Anderson i Västanå
Q5553446,Anderson i Bromma
Q5553446,Anderson i Stockholm
Q5553482,Ander i Hårsbäck
Q5553493,Anderson i Hägelåkra
Q5553501,Anderson i Stockholm
Q5553524,Anderson i Himmelsby
Q5553542,Anderson i Linköping
Q5553550,Anderson i Arboga
Q5553568,Anderson i Hälla
Q5553576,Anderson i Säby
Q5553580,Anderson i Tenhult
Q5553616,Anderson i Sundsvall
Q5553680,Anderson i Hasselbol
Q5553830,Andersson i Essvik
Q5553840,Andersson i Bussjö
Q5553846,Andersson i Fallsberg
Q5553850,Andersson i Munka-Ljungby
Q5553863,Andersson i Tungelsta
Q5553903,Andersson i Backgården
Q5553911,Andersson i Hakarp
Q5553920,Andersson i Lund
Q5553924,Andersson i Olsbenning
Q5553930,Andersson i Smedbyn
Q5553934,Andersson i Torp
Q5553942,Andersson i Falkenberg
Q5553949,Andersson i Greby
Q5553950,Andersson i Intagan
Q5553954,Andersson i Markaryd
Q5553957,Andersson i Nyckelby
Q5553964,Andersson i Helgesta
Q5553974,Andersson i Gisselås
Q5553978,Andersson i Mosserudstorp
Q5554025,Andersson i Ryggestad
Q5554055,Andersson i Kroken
Q5554059,Andersson i Örnsköldsvik
Q5554157,Andersson i Surahammar
Q5554162,Andersson i Tidaholm
Q5554264,Andersson i Skeenda
Q5554268,Andersson i Hamra
Q5554283,Andersson i Malmö
Q5554287,Andersson i Vallby
Q5554375,Andersson i Höckerum
Q5554384,Andersson i Hyssna
Q5554399,Andersson i Fältenborg
Q5554402,Andersson i Bollnäs
Q5554402,Andersson i Gävle
Q5554417,Andersson i Prästbol
Q5554421,Andersson i Jäger
Q5554430,Andersson i Basterås
Q5554461,Andersson i Uppsala
Q5554485,Andersson i Helgesta
Q5554595,Andersson i Djursholm
Q5554599,Andersson i Gustavsberg
Q5554604,Andersson i Rossvik
Q5554616,Andersson i Eskilstuna
Q5554616,Andersson i Nyköping
Q5554624,Andersson i Kolstad
Q5554629,Andersson i Källstad
Q5554635,Andersson i Sollebrunn
Q5554640,Andersson i Sundsvall
Q5554662,Andersson i Löbbo
Q5554662,Andersson i Södergården
Q5554683,Andersson i Mölndal
Q5554686,Andersson i Luleå
Q5554710,Andersson i Skivarp
Q5554710,Andersson i Västra Nöbbelöv
Q5554713,Andersson i Saleby
Q5554719,Andersson i Bringåsen
Q5554733,Andersson i Dunker
Q5554779,Andersson i Boda
Q5554793,Andersson i Grimbo
Q5554817,Andersson i Linköping
Q5554851,Andersson i Jönvik
Q5554945,Andersson i Altofta
Q5554949,Andersson i Baggböle
Q5554953,Andersson i Gävle
Q5554956,Andersson i Raklösen
Q5554960,Andersson i Sjöberg
Q5554970,Andersson i Baltorp
Q5554975,Andersson i Grude
Q5554980,Andersson i Knarrevik
Q5554984,Andersson i Lysvik
Q5554987,Andersson i Ryssby
Q5555007,Andersson i Alfredshem
Q5555055,Andersson i Hoberg
Q5555060,Andersson i Hedsta
Q5555065,Andersson i Häckenäs
Q5555069,Andersson i Varpnäs
Q5555073,Andersson i Ölsund
Q5555074,Andersson i Ovanmyra
Q5555087,Andersson i Fränninge
Q5555091,Andersson i Örstorp
Q5555123,Andersson i Djursholm
Q5555123,Andersson i Fiskebäckskil
Q5555123,Andersson i Stockholm
Q5555123,Andersson i Stocksund
Q5555130,Andersson i Eliantorp
Q5555135,Andersson i Rixö
Q5555145,Andersson i Milsmaden
Q5555156,Andersson i Storfors
Q5555255,Andersson i Utterud
Q5555267,Andersson i Halmstad
Q5555272,Andersson i Hedensbyn
Q5555276,Andersson i Nora
Q5555287,Anderson i Landa
Q5555345,Andersson i Södertälje
Q5555349,Andersson i Lindome
Q5555392,Andersson i Gripenberg
Q5555399,Andersson i Lövhult
Q5555405,Andersson i Stigen
Q5555443,Andersson i Igelboda
Q5555601,Andersson i Öllsjö gård
Q5555625,Andersson i Bävik
Q5555625,Andersson i Prästbol
Q5555629,Andersson i Pettersborg
Q5555633,Andersson i Östersund
Q5555650,Andersson  i Burlöv
Q5555650,Andersson i Malmö
Q5555650,Andersson i Nordanå
Q5555674,Andersson i Höör
Q5555679,Andersson i Malmö
Q5555684,Andersson i Lyckorna
Q5555696,Andersson i Långviksmon
Q5555763,Anderson i Arvika
Q5555784,Andersson i Fragg
Q5555795,Andersson i Siggeboda
Q5555799,Andersson i Koldemo
Q5555809,Andersson i Torsbo
Q5555843,Andersson i Högkil
Q5555851,Andersson i Vistena
Q5555861,Andersson i Säby
Q5556026,Andersson i Enskede
Q5556063,Andersson i Billingsfors
Q5556070,Andersson i Örebro
Q5556075,Andersson i Plöninge
Q5556080,Andersson i Sveneby
Q5556133,Andersson i Ronneby
Q5556188,Andersson i Köpinge
Q5556212,Andersson i Bråborg
Q5556217,Andersson i Resebo
Q5556244,Andersson i Mellanköpinge
Q5556529,Andreasson i Göteborg
Q5556551,Andreasson i Tunge
Q5556596,Andrée i Lund
Q5556673,Andrén i Uppsala
Q5556691,Andrén i Göteborg
Q5557028,Angel i Halmstad
Q5557228,Angur i Saltsjö-Duvnäs
Q5557308,Anjou i Linköping
Q5557444,Annér i Borås
Q5557444,Annér i Östersund
Q5557460,Anners i Uppsala
Q5557473,Annerstedt i Stockholm
Q5557484,Annerås i Lindome
Q5557659,Antby i Långared
Q5557933,Antonsson i Malmö
Q5558126,Apelqvist i Gunnebo
Q5558134,Apelstam i Halmstad
Q5558249,Appelberg i Kalix
Q5558321,Appeltofft i Uddevalla
Q5558924,Arfwedson i Åstorp
Q5559022,Magnus Arhusiander
Q5559814,Arnoldsson i Rödeby
Q5559921,Aronsson i Nibble
Q5560111,Arrhén i Herrestad
Q5560111,Arrhén i Uddevalla
Q5560482,Arvidson i Stockholm
Q5560552,Arvidson i Hög
Q5560626,Arweson i Gothem
Q5560646,Arwidsson i Stockholm
Q5561102,Asker i Halmstad
Q5561113,Asker i Gävle
Q5561242,Asp i Kilafors
Q5561342,Aspelin i Fagersta
Q5561426,Aspling i Sundbyberg
Q5561482,Asplund i Kiruna
Q5561482,Asplund i Luleå
Q5561545,Assarsson i Rönneberga
Q5562416,Augustsson i Boxholm
Q5562915,Axell i Sundsvall
Q5562937,Axelson i Fagerås
Q5563376,Baaz i Åby
Q5563536,Back i Råsunda
Q5563858,Baeckman i Stockholm
Q5563860,Bæckström i Grytsäter
Q5563860,Bæckström i Örebro
Q5563944,Bager i Malmö
Q5563972,Bagge i Stockholm
Q5564148,von Bahr i Uppsala
Q5565912,Bark i Riddarhyttan
Q5566039,Barnekow i Åraslöv
Q5566043,Barnekow i Sörbytorp
Q5566549,Barthelson i Halnatorp
Q5567413,von Baumgarten i Orraryd
Q5568189,Beck-Friis i Harg
Q5568192,Beck-Friis i Börringekloster
Q5568204,Beck-Friis i Harg
Q5568208,Beck-Friis i Harg
Q5568216,Beck-Friis i Söderö
Q5568219,Lave Beck-Frii i Skövde
Q5568408,Beckman i Härnösand
Q5568428,Beckman i Brandstad
Q5568434,Beckman i Djursholm
Q5568434,Beckman i Stockholm
Q5568440,Beckman i Linköping
Q5568838,Behm i Sickelsjö
Q5568860,Behmer i Norrtälje
Q5568965,Beijer i Malmö
Q5568976,Beijer i Malmö
Q5569486,Bellinder i Göteborg
Q5569486,Bellinder i Slutarp
Q5569486,Bellinder i Sveneby
Q5569835,Benedicks i Gysinge
Q5569846,Benedicks i Gysinge
Q5570010,Bengtson i Solna
Q5570050,Bengtson i Glösbo
Q5570062,Bengtson i Danderyd
Q5570062,Bengtson i Jönköping
Q5570077,Bengtsson i Kärrsmossen
Q5570092,Bengtsson i Gunneby
Q5570095,Bengtsson i Boberg
Q5570120,Bengtsson i Örby Bosgård
Q5570127,Bengtsson i Össlöv Nästagård
Q5570145,Bengtsson i Kullen
Q5570215,Bengtsson i Landskrona
Q5570240,Bengtsson i Bjärnalt
Q5570243,Bengtsson i Öxared
Q5570257,Bengtsson i Gullåkra
Q5570288,Bengtsson i Göteborg
Q5570343,Bengtsson i Borås
Q5570408,Bengtsson i Norup
Q5570422,Bengtsson i Halmstad
Q5570446,Bengtsson i Häradsköp
Q5570504,Benjaminsson i Tämta
Q5570669,Bennich i Stockholm
Q5571128,Berg i Staby
Q5571158,Berg i Karlshamn
Q5571164,Berg i Stockholm
Q5571192,Berg i Eriksdal
Q5571192,Berg i Haga
Q5571206,Berg i Karlskrona
Q5571210,Berg i Eksjö
Q5571231,Berg i Nyköping
Q5571271,Berg i Stockholm
Q5571280,Berg i Luleå
Q5571280,Berg i Stockholm
Q5571323,Berg i Göteborg
Q5571357,Berg i Eksjö
Q5571360,Berg i Karlskrona
Q5571405,Berg i Nääs
Q5571424,Berg i Ekudden
Q5571488,Berge i Hagalund
Q5571534,Bergendahl i Ryholm
Q5571545,Bergendahl i Växjö
Q5571682,Berger i Håkanbol
Q5571772,Berger i Stockholm
Q5571772,Berget i Klippan
Q5571894,Berggren i Östmark
Q5571900,Berggren i Gammelstad
Q5571910,Berggren i Nora
Q5571913,Berggren i Sundsvall
Q5571916,Berggren i Växjö
Q5571938,Berggren i Karlskrona
Q5572108,Bergh i Luleå
Q5572222,Bergius i Jönköping
Q5572363,Berglund i Strömnäs
Q5572383,Berglund i Linköping
Q5572383,Berglund i Luleå
Q5572396,Berglund i Stockholm
Q5572406,Berglund i Enskede
Q5572436,Berglund i Askersund
Q5572477,Berglund i Forsed
Q5572503,Berglund i Arvidsjaur
Q5572511,Berglöf i Ovansjö
Q5572519,Berglöf i Söderhamn
Q5572576,Bergman i Visby
Q5572579,Bergman i Bodträskfors
Q5572579,Bergman i Gällivare
Q5572642,Bergman i Stockholm
Q5572670,Bergman i Tännäs
Q5572691,Bergman i Stockholm
Q5572766,Bergman i Göteborg
Q5572792,Bergman i Luleå
Q5572843,Bergmanson i Sundsvall
Q5572863,Bergmark i Hedåker
Q5572872,Bergmark i Alingsås
Q5573006,Bergqvist i Västra Frölunda
Q5573026,Bergqvist i Luleå
Q5573088,Bergstedt i Skrukorp
Q5573237,Bergström i Bosjön
Q5573244,Bergström i Norrköping
Q5573272,Bergström i Kristianstad
Q5573272,Bergström i Stockholm
Q5573272,Bergström i Örebro
Q5573288,Bergström i Skidsta
Q5573300,Bergström i Djursholm
