swerik_id,link,place
i-2ZcLNQ889BCYDFJuLZT77S,http://www.wikidata.org/entity/Q10601900,Nora församling
i-2a9yXCcfoERLmntQKS8293,http://www.wikidata.org/entity/Q10632414,Piteå landsförsamling
i-2aLsMrZn1hqtCu1i2qehWZ,http://www.wikidata.org/entity/Q10682170,Strö församling
i-2aZQBvMx8o6ihusfvExbt8,http://www.wikidata.org/entity/Q26345,Kalmar
i-2ajxL1uZzxQsvJXngW96hD,http://www.wikidata.org/entity/Q10595108,Naverstads församling
i-2b1P9oc6jJ6GnNxViy4qgD,http://www.wikidata.org/entity/Q10436974,Brännkyrka församling
i-2bEkAbRqkiPnYQgPpHXARx,http://www.wikidata.org/entity/Q10688935,Södra Ljunga församling
i-2bU177zRXqttE4vR8aEJ97,http://www.wikidata.org/entity/Q10411692,Anga församling
i-2bVVLzWvNsURiiwq5jSQS9,http://www.wikidata.org/entity/Q10669760,Skara landsförsamling
i-2c9rVAoZGjLhTDcwaorNo9,http://www.wikidata.org/entity/Q10553938,Landskrona församling
i-2cLoxXq5VAxu3RYfzsD3qx,http://www.wikidata.org/entity/Q10667766,Silbodals församling
i-2cnJx4mhacW8chNFTQpsG2,http://www.wikidata.org/entity/Q10572724,Låstads församling
i-2cpV6hJCWGQCKgBk3DdpjN,http://www.wikidata.org/entity/Q10541836,Järns församling
i-2dY1SGv8Hf9ixu6QkJdDsP,http://www.wikidata.org/entity/Q10508518,Grebo församling
i-2df2xZBhrGFQtv1eBMHDtu,http://www.wikidata.org/entity/Q10613018,Oskarshamns församling
i-2drk6Ji3xqAraxv3JSzgNa,http://www.wikidata.org/entity/Q26268,Luleå
i-2dwC5U2RuvHwfhzcwB91oo,http://www.wikidata.org/entity/Q10512441,Gävle församling
i-2eSXk1Vkv7uy5sKwa29vbf,http://www.wikidata.org/entity/Q10493877,Falu Kristine församling
i-2ecW5cyGVGYBknd3U9yN1Y,http://www.wikidata.org/entity/Q10541845,Järnskogs församling
i-2ehtmACUZPNJMNnS5o3dYB,http://www.wikidata.org/entity/Q7374365,Karlskrona amiralitetsförsamling
i-2erDJuffjtgN8bt6dbUTTo,http://www.wikidata.org/entity/Q10501385,Förlösa församling
i-2f68PZTku6uz8VKADy2Dk9,http://www.wikidata.org/entity/Q10433723,Botkyrka församling
i-2fr3vB32hz5Z6xAxeRqads,http://www.wikidata.org/entity/Q10519255,Hedvig Eleonora församling
i-2gBVxM8igvS4RQ1T5GE8Qp,http://www.wikidata.org/entity/Q31930802,Åmåls landsförsamling
i-2gFz918CyUZkTuGwyS9VJt,http://www.wikidata.org/entity/Q1754,Stockholm
i-2gVYhZWa58g5m2RXWT7M2K,http://www.wikidata.org/entity/Q10512824,Göteborgs Kristine församling
i-2gvrXtH5sAT9PgXsCVpQSW,http://www.wikidata.org/entity/Q25411,Helsingborg
i-2hfMSTsSUKSgHWaXH2bxMc,http://www.wikidata.org/entity/Q10500089,Funbo församling
i-2idvkVsaizPjHffjy7Fqpg,http://www.wikidata.org/entity/Q10595637,Nederluleå församling
i-2iv2nn2jyQ2zuGPcP4w62p,http://www.wikidata.org/entity/Q10725685,Älvdalens församling
i-2jDQuhvFoLEMg5TXt8wPgR,http://www.wikidata.org/entity/Q10697641,Tibro församling
i-2jDvJSMx2FdCk8pZegcj1o,http://www.wikidata.org/entity/Q10520535,Helsingborgs Maria församling
i-2kBxj9K56e436Bc1ZLBqtp,http://www.wikidata.org/entity/Q10661257,Sandvikens församling
i-2kLR1QFBRK4TzA8EaYwdB4,http://www.wikidata.org/entity/Q25789,Karlskrona
i-2kXWA54DYtEaQ9G6hutqL8,http://www.wikidata.org/entity/Q10710237,Uppsala domkyrkoförsamling
i-2mWi9vtkPfa94zF2iziK1h,http://www.wikidata.org/entity/Q10659410,Sankt Matteus församling
i-2myDq8jven5AQJys1pxuxQ,http://www.wikidata.org/entity/Q10713940,Vendels församling
i-2p8ymXYjHPTSuKVZSU7E3o,http://www.wikidata.org/entity/Q10531768,Härslövs församling
i-2pEgGvjfozTyRxyzmLZFo2,http://www.wikidata.org/entity/Q26498,Eskilstuna
i-2pS6NnNWBF8o836MN5u48Z,http://www.wikidata.org/entity/Q10682819,Styrsö församling
i-2pSu5RxcjvCMDWHtdu6yGh,http://www.wikidata.org/entity/Q10684655,Svegs församling
i-2phsMxb358E6BizcJsgiPa,http://www.wikidata.org/entity/Q10509643,Gryta församling
i-2qpXYDWyLKFhrmxJnaW7rv,http://www.wikidata.org/entity/Q10601918,Nora stadsförsamling
i-2s4LCeKYMJUyy8FKE3ewMN,http://www.wikidata.org/entity/Q1754,Stockholm
i-2sXH8re5NKjPFTXLjjke7b,http://www.wikidata.org/entity/Q10728262,Östra Eds församling
i-2t9Vp7JX4pqR6fx9wurVt3,http://www.wikidata.org/entity/Q10571633,Lyrestads församling
i-2tbdBcby74PFaeUyCBPwWD,http://www.wikidata.org/entity/Q10723853,Ytterlännäs församling
i-2uUNwmjsyRbGEqGQmTMGoq,http://www.wikidata.org/entity/Q10540703,Jokkmokks församling
i-2ugyM6pSMg5iuEaP9k2J9q,http://www.wikidata.org/entity/Q794,Iran
i-2vPqRXUJK7sLEawPeFYaLa,http://www.wikidata.org/entity/Q10655757,Risinge församling
i-2vQMFNG74R6NrMhiffezmV,http://www.wikidata.org/entity/Q10525333,Holms säteri
i-2vSoREUgDMM9du3oZhTyJR,http://www.wikidata.org/entity/Q26345,Kalmar
i-2vgVV6cyMz23oX8PyzP8Cm,http://www.wikidata.org/entity/Q1754,Stockholm
i-2vjWAoBmHUpzL6KdsLKNbq,http://www.wikidata.org/entity/Q10546754,Knutby församling
i-2wqSLYX3KMpYHr9NReDRzj,http://www.wikidata.org/entity/Q10723793,Ystads församling
i-2x28CSiBB3LbhjSkT1J5Jb,http://www.wikidata.org/entity/Q10559565,Lerbäcks församling
i-2xzcr3nLPgka3s5j7pZ98N,http://www.wikidata.org/entity/Q58455502,Halmstads församling
i-2y76R6jyD6SNKpRXZGGxYL,http://www.wikidata.org/entity/Q10553938,Landskrona församling
i-2ya2ujgKEjMbhqb1vJagr2,http://www.wikidata.org/entity/Q10562508,Linderås församling
i-2yc9m3kiBMJuGQ8cRJzAWw,http://www.wikidata.org/entity/Q10570835,Lunds domkyrkoförsamling
i-2ymTc21Xu4T5EN7ZiCzTEX,http://www.wikidata.org/entity/Q10567892,Lits församling
i-2ysacPjk4irxFEiH5eaGGj,http://www.wikidata.org/entity/Q10484135,Engelbrekts församling
i-2zEBLdA13fEczHCzcwgZnm,http://www.wikidata.org/entity/Q10658435,Rämmens församling
i-2ze5QGGJAsCoqCn8nthhnj,http://www.wikidata.org/entity/Q10662267,Saxtorps församling
i-2znEKaD4eMJ4P3uwZJCRrN,http://www.wikidata.org/entity/Q10718570,Växjö församling
i-3139LqaoEDPArxpLRyxXT8,http://www.wikidata.org/entity/Q10543880,Karlskrona stadsförsamling
i-316hzMDj6JzHA4r8GYm381,http://www.wikidata.org/entity/Q10550317,Kungsholms församling
i-31Q457DWEnbThb8ttXTacq,http://www.wikidata.org/entity/Q10432594,Bollnäs församling
i-31sonYbqDRNDqVat7sRoJx,http://www.wikidata.org/entity/Q10683798,Sunds församling
i-31zN39xumu2faEuBMxwB3B,http://www.wikidata.org/entity/Q10667766,Silbodals församling
i-3239bKsvfTAEYyph4128h5,http://www.wikidata.org/entity/Q10405126,Alfta församling
i-328U5PMXTxVANgAj6PLmnT,http://www.wikidata.org/entity/Q10700251,Torps församling
i-33FPZeFzgAhBMq7wzR6Vq9,http://www.wikidata.org/entity/Q10681131,Stora Tuna församling
i-33NyqMNjzDHeZyWFbFruFj,http://www.wikidata.org/entity/Q10671006,Skärkinds församling
i-33ptDVYeHudF86ka8rpjpy,http://www.wikidata.org/entity/Q25789,Karlskrona
i-34ChUtN9THfcprDiXTTCyF,http://www.wikidata.org/entity/Q10604970,Nysunds församling
i-34FRvyXQKUigF3Qr9AwKJe,http://www.wikidata.org/entity/Q10568302,Ljungarums församling
i-34rT6BP1drc785SNXKKW3g,http://www.wikidata.org/entity/Q10649159,Ramsbergs församling
i-35UuBmVbY5NHVF9pkhut8B,http://www.wikidata.org/entity/Q10435858,Bro församling
i-35gSvZSnGVngdKy4MQKZtS,http://www.wikidata.org/entity/Q54352,Landskrona
i-35xJbKo6VkrJQSnGvrd9Vj,http://www.wikidata.org/entity/Q111224,Holstein
i-3696oVKriehw68Akbp9JnA,http://www.wikidata.org/entity/Q25287,Göteborg
i-36hvfXkssW8r8Ucv2BZUPd,http://www.wikidata.org/entity/Q29988,Lidköping
i-36nyxqA7w17acL7s97ha3p,http://www.wikidata.org/entity/Q10515992,Hagfors församling
i-37qgHWj8Zd858MSWDhN8Zo,http://www.wikidata.org/entity/Q10556731,Leksands församling
i-386LRWBHC98Hi4hRApYcfb,http://www.wikidata.org/entity/Q10494562,Fellingsbro församling
i-38NLUUM7XqaztjyKDJ2d1D,http://www.wikidata.org/entity/Q1144285,Långsele
i-38fof3HHcr7gkdu1y3sCPK,http://www.wikidata.org/entity/Q10562793,Linköpings domkyrkoförsamling
i-38jBhirK3Q2WpsVMafAn24,http://www.wikidata.org/entity/Q10602683,Norrahammars församling
i-39LDPyv9DGid3mVz3CfdDJ,http://www.wikidata.org/entity/Q10524192,Himmeta församling
i-3AJzwm9j6UU8XMvjBy9XjF,http://www.wikidata.org/entity/Q57407324,Borås församling
i-3BxiLA2EHsxhAJCbe4ow2J,http://www.wikidata.org/entity/Q10550390,Kungsängens församling
i-3BzZTfoTmKWciTnZwiHZVs,http://www.wikidata.org/entity/Q10498116,Forsheda församling
i-3C2pZzS1wYjgNMiss84Dyp,http://www.wikidata.org/entity/Q10712689,Vanstads församling
i-3ChvFB2zr9iHy1ZRMn1Ban,http://www.wikidata.org/entity/Q10572531,Långasjö församling
i-3D7Cfk47LUcjbeGff3k8fV,http://www.wikidata.org/entity/Q10593574,Mönsterås församling
i-3DCxazQKgys5aVEbkoNgyR,http://www.wikidata.org/entity/Q10709189,Umeå landsförsamling
i-3DDoYTCpo7HVFudY6xvwJu,http://www.wikidata.org/entity/Q10512805,Göteborgs Carl Johans församling
i-3DJPoU6X43Z3gZwYQ5mZfw,http://www.wikidata.org/entity/Q10717398,Vännäs församling
i-3DJzbhf3kpR3QgMGxxJp5p,http://www.wikidata.org/entity/Q10612957,Oscar Fredriks församling
i-3DKytmgpnLCJYb8hSjHGUm,http://www.wikidata.org/entity/Q10570835,Lunds domkyrkoförsamling
i-3DLEKns8xgJB66t2ZrR5T6,http://www.wikidata.org/entity/Q10501349,Förkärla församling
i-3DLisaaacX2hPraEjPVMsW,http://www.wikidata.org/entity/Q1754,Stockholm
i-3DWSnpybmuEV7TrhwjK4Sm,http://www.wikidata.org/entity/Q10438435,Bäckseda församling
i-3ESxygPf8xSDBdUjnTaZ9K,http://www.wikidata.org/entity/Q10718954,Våxtorps församling
i-3EUWtiFaSbYYtaTDEAR9RS,http://www.wikidata.org/entity/Q10559571,Lerdala församling
i-3F1eUNkWXaMuYwB6Z4eGSH,http://www.wikidata.org/entity/Q10478554,Dädesjö församling
i-3FEh1q844FM3qRDgqmfWSF,http://www.wikidata.org/entity/Q642964,Hudiksvall
i-3FKCQLWhQSy2w2ni3aTU9M,http://www.wikidata.org/entity/Q10572531,Långasjö församling
i-3FSs4wVDP5BUGhdcBZEhUo,http://www.wikidata.org/entity/Q10475816,Domkyrkoförsamlingen i Göteborg
i-3FUZpwdM2vfsfx1xv9BrMk,http://www.wikidata.org/entity/Q10728127,Östersunds församling
i-3FXDiNFhMaD2xtLwqRVLbs,http://www.wikidata.org/entity/Q10682108,Strängsereds församling
i-3FZHxgo9GniUc1FF973iHh,http://www.wikidata.org/entity/Q1425428,Newcastle upon Tyne
i-3G3HSvSLDH6Z2Spw8nAwav,http://www.wikidata.org/entity/Q10531768,Härslövs församling
i-3GrPnM5KDKuSxfWxymYNoC,http://www.wikidata.org/entity/Q108321296,Krylbo kyrkobokföringsdistrikt
i-3Grh8TCtLTMtZdMgN1X5RJ,http://www.wikidata.org/entity/Q18335247,Älgå-Glava församling
i-3H2mSG9968n2w3bGtREUma,http://www.wikidata.org/entity/Q10475816,Domkyrkoförsamlingen i Göteborg
i-3HJF6zzUs5UZcMmqFhWRsY,http://www.wikidata.org/entity/Q10700251,Torps församling
i-3HxEFXDaBqsMwwWWabybdY,http://www.wikidata.org/entity/Q25457,Karlstad
i-3J7gReC5w7NtoncLZdAwSc,http://www.wikidata.org/entity/Q10710237,Uppsala domkyrkoförsamling
i-3JGVZ8RbAGoVe6Y71J9Pvd,http://www.wikidata.org/entity/Q10601458,Njurunda församling
i-3JecSyBEVBAAoLDbynKGW6,http://www.wikidata.org/entity/Q43,Turkiet
i-3K1ZGtYnJEg1E9AoTGFkNj,http://www.wikidata.org/entity/Q10717095,Vä församling
i-3KFK3oZcYcWrbWnvXSk8NY,http://www.wikidata.org/entity/Q10512441,Gävle församling
i-3KTrvYeUfwgpZ5rnmnx64a,http://www.wikidata.org/entity/Q10536815,Irsta församling
i-3L2NmwsjEcuGo8fdwvHsQi,http://www.wikidata.org/entity/Q7374365,Karlskrona amiralitetsförsamling
i-3LADpippuGsVzASZffPQLR,http://www.wikidata.org/entity/Q10500877,Färnebo församling
i-3LfcdjHPZXD1zBe99n8YMX,http://www.wikidata.org/entity/Q10475816,Domkyrkoförsamlingen i Göteborg
i-3LnTV9Mo4yi9Ugf3TVHQ14,http://www.wikidata.org/entity/Q10677908,Stavnäs församling
i-3M1s36ECJm8aj113TDC85w,http://www.wikidata.org/entity/Q10531743,Härnösands domkyrkoförsamling
i-3MH73DLbrRLp6rCtZUN7xj,http://www.wikidata.org/entity/Q10601458,Njurunda församling
i-3MpAwjWDid9XkrwtsazNoj,http://www.wikidata.org/entity/Q1754,Stockholm
i-3MuEs2XfJdL7dc1ejaB7XH,http://www.wikidata.org/entity/Q18333982,Tofteryds församling
i-3MvaWwGAEPFswCdnQqXjYX,http://www.wikidata.org/entity/Q10551097,Kville församling
i-3MwbJPjHpsScrukDj5ohhN,http://www.wikidata.org/entity/Q1754,Stockholm
i-3N8PrwPitEAyTqU29LRaim,http://www.wikidata.org/entity/Q10716979,Vrigstads församling
i-3NBw8ikngc89zrUXJBCx5D,http://www.wikidata.org/entity/Q10497509,Folkärna församling
i-3NCXBeA2vK1pZneiUEQzVr,http://www.wikidata.org/entity/Q10500807,Färgelanda församling
i-3NbGNP9YEc8pT9LWALZDW6,http://www.wikidata.org/entity/Q10587481,Moheda församling
i-3NpPy7cWbyt37LTiEpxrRp,http://www.wikidata.org/entity/Q10605503,Nås församling
i-3PaU5JJkcCnHdn6JLYUvSY,http://www.wikidata.org/entity/Q10480523,Ekeby församling
i-3PjfUR5TydqjrerGmDeu2F,http://www.wikidata.org/entity/Q10651544,Revinge församling
i-3PzFp3p87PfdaGcb8Fch7G,http://www.wikidata.org/entity/Q10516102,Hakarps församling
i-3QAhVH5wpKkQj8omxN4FJe,http://www.wikidata.org/entity/Q10717797,Väse församling
i-3QJB8TPpzWzbukAybvx5SF,http://www.wikidata.org/entity/Q10543924,Karlstads domkyrkoförsamling
i-3QwyfkM9UveqvAVHUKwzFh,http://www.wikidata.org/entity/Q3088799,Västerfärnebo
i-3R1heWHR7nC9dtoPHWSMdB,http://www.wikidata.org/entity/Q10602799,Norrköpings Hedvigs församling
i-3R2qbKpVQbNv7BvXe7jvcr,http://www.wikidata.org/entity/Q10728262,Östra Eds församling
i-3R5C8vQo1FXLQaqX7yYqq8,http://www.wikidata.org/entity/Q990076,Djursholm
i-3R7qLxY2CURc4oEqo2xMKC,http://www.wikidata.org/entity/Q18289947,Fryksände församling
i-3RKCrkKntDoTBLCqiaT4UX,http://www.wikidata.org/entity/Q7374365,Karlskrona amiralitetsförsamling
i-3RSVJAAkDP1YSFPJLfhRrR,http://www.wikidata.org/entity/Q10561745,Lilla Malma församling
i-3RnD8T9ms8CZMMrYjFAoRU,http://www.wikidata.org/entity/Q10671963,Smedstorps församling
i-3S4u3rsmsb3bjgrsrZUU6Q,http://www.wikidata.org/entity/Q54352,Landskrona
i-3S6o68jd39fc6D1XBHSFHf,http://www.wikidata.org/entity/Q10531271,Häggdångers församling
i-3SiHjpmKqDX1ahURx9ZWt3,http://www.wikidata.org/entity/Q10515876,Haga församling
i-3StoCMLrfUPWDrtLhXAkg1,http://www.wikidata.org/entity/Q10718572,Växjö landsförsamling
i-3Su8RZSRu3defRTgsQprqZ,http://www.wikidata.org/entity/Q10718075,Västerås Lundby församling
i-3SzNCmPN5gfHT4ruyysd67,http://www.wikidata.org/entity/Q10481143,Eldsberga församling
i-3THUqWbMwdy7tkFXgmRNEz,http://www.wikidata.org/entity/Q10655527,Rinkaby församling
i-3TvBf7WWysNpBVYf3bsL5D,http://www.wikidata.org/entity/Q18290665,Holmedals församling
i-3U9RnYcSyZvRj3JXwbjv5k,http://www.wikidata.org/entity/Q10728536,Öveds församling
i-3Vt59Mph8bZHW3Yk38AtwE,http://www.wikidata.org/entity/Q10705682,Trönninge församling
i-3VwqEFFacV4zXmNXTSMhSz,http://www.wikidata.org/entity/Q10543859,Karlskoga församling
i-3VxwEBzyEfCdex2ZrmdQru,http://www.wikidata.org/entity/Q10424136,Backa församling
i-3WPAoJ5CXMR9smqz76LSLc,http://www.wikidata.org/entity/Q194353,Gränna
i-3WVkodXJ6Fkc2QvQJm6LSM,http://www.wikidata.org/entity/Q10512441,Gävle församling
i-3XFieHvCxpEc9aqT4qbsAD,http://www.wikidata.org/entity/Q10656780,Ronneby församling
i-3YAEMbZXswzuyekFnSxXSF,http://www.wikidata.org/entity/Q10681131,Stora Tuna församling
i-3YBav2r8YXZiNoQkfb1bUy,http://www.wikidata.org/entity/Q54339,Trollhättan
i-3YXCipudYA4N8ZNFk2PrxQ,http://www.wikidata.org/entity/Q5511485,Fässbergs församling
i-3YuWGKxprnXUh4GQ5Ai2yJ,http://www.wikidata.org/entity/Q1754,Stockholm
i-3ZsQkLHxLMgAvADqNo2APr,http://www.wikidata.org/entity/Q10433202,Borgunda församling
i-3asFRi1hxBaTgEJJqDe2MX,http://www.wikidata.org/entity/Q10559569,Lerbäcks socken
i-3bA9tDXsd3tKsh85jQ2Mes,http://www.wikidata.org/entity/Q10672797,Snöstorps församling
i-3bYbkhkAHcQj5bXNNkvUpQ,http://www.wikidata.org/entity/Q10549143,Kristdala församling
i-3be6RBChcyBubPmFEyzLuZ,http://www.wikidata.org/entity/Q90,Paris
