wiki_id,start,end,district,role,party,source,chamber,government,born,dead,gender,riksdagen_id,location,name,primary_name,party_abbrev,person_id
Q53286,1899-01-01,1905-12-31,,vice talman,högervilde,speaker,1,,1842-07-14,1911-11-10,man,,Stockholm,lundeberg,False,,Q53286
Q53286,1899-01-01,1905-12-31,,vice talman,,speaker,1,,1842-07-14,1911-11-10,man,,Forsbacka,christian lundeberg,True,,Q53286
Q53286,1899-01-01,1905-12-31,,vice talman,,speaker,1,,1842-07-14,1911-11-10,man,,Forsbacka,lundeberg,False,,Q53286
Q53286,1899-01-01,1905-12-31,,vice talman,,speaker,1,,1842-07-14,1911-11-10,man,,Stockholm,christian lundeberg,True,,Q53286
Q53286,1899-01-01,1905-12-31,,vice talman,,speaker,1,,1842-07-14,1911-11-10,man,,Stockholm,lundeberg,False,,Q53286
Q53286,1906-01-01,1908-12-31,,vice talman,högervilde,speaker,1,,1842-07-14,1911-11-10,man,,Forsbacka,christian lundeberg,True,,Q53286
Q53286,1906-01-01,1908-12-31,,vice talman,högervilde,speaker,1,,1842-07-14,1911-11-10,man,,Forsbacka,lundeberg,False,,Q53286
Q53286,1906-01-01,1908-12-31,,vice talman,högervilde,speaker,1,,1842-07-14,1911-11-10,man,,Stockholm,christian lundeberg,True,,Q53286
Q53286,1906-01-01,1908-12-31,,vice talman,högervilde,speaker,1,,1842-07-14,1911-11-10,man,,Stockholm,lundeberg,False,,Q53286
Q53286,1906-01-01,1908-12-31,,vice talman,,speaker,1,,1842-07-14,1911-11-10,man,,Forsbacka,christian lundeberg,True,,Q53286
Q53286,1906-01-01,1908-12-31,,vice talman,,speaker,1,,1842-07-14,1911-11-10,man,,Forsbacka,lundeberg,False,,Q53286
Q53286,1906-01-01,1908-12-31,,vice talman,,speaker,1,,1842-07-14,1911-11-10,man,,Stockholm,christian lundeberg,True,,Q53286
Q53286,1906-01-01,1908-12-31,,vice talman,,speaker,1,,1842-07-14,1911-11-10,man,,Stockholm,lundeberg,False,,Q53286
Q53286,1909-01-01,1911-12-31,,talman,,speaker,1,,1842-07-14,1911-11-10,man,,Forsbacka,christian lundeberg,True,,Q53286
Q53286,1909-01-01,1911-12-31,,talman,,speaker,1,,1842-07-14,1911-11-10,man,,Forsbacka,lundeberg,False,,Q53286
Q53286,1909-01-01,1911-12-31,,talman,,speaker,1,,1842-07-14,1911-11-10,man,,Stockholm,christian lundeberg,True,,Q53286
Q53286,1909-01-01,1911-12-31,,talman,,speaker,1,,1842-07-14,1911-11-10,man,,Stockholm,lundeberg,False,,Q53286
Q53292,1909-01-01,1910-12-31,,vice talman,,speaker,2,,1860-01-21,1915-10-04,man,,Stockholm,karl albert staaff,False,,Q53292
Q53292,1909-01-01,1910-12-31,,vice talman,,speaker,2,,1860-01-21,1915-10-04,man,,Stockholm,karl staaff,True,,Q53292
Q53292,1909-01-01,1910-12-31,,vice talman,,speaker,2,,1860-01-21,1915-10-04,man,,Stockholm,staaff,False,,Q53292
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Almenäs,gustaf sparre,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Almenäs,gustaf sparre,True,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Almenäs,nils gustaf alexander sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Almenäs,sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Almnäs,gustaf sparre,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Almnäs,gustaf sparre,True,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Almnäs,nils gustaf alexander sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Almnäs,sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Mariedal,gustaf sparre,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Mariedal,gustaf sparre,True,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Mariedal,nils gustaf alexander sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Mariedal,sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Stockholm,gustaf sparre,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Stockholm,gustaf sparre,True,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Stockholm,nils gustaf alexander sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,politisk vilde,speaker,1,,1834-05-31,1914-09-04,man,,Stockholm,sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almenäs,gustaf sparre,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almenäs,gustaf sparre,True,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almenäs,nils gustaf alexander sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almenäs,sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almnäs,gustaf sparre,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almnäs,gustaf sparre,True,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almnäs,nils gustaf alexander sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almnäs,sparre af söfdeborg,False,,Q5359581
