year,wikidata,known,unknown,accuracy upper bound,wikidata upper bound
1979,20664,2462,863,0.9640251782066781,0.8613948059527283
1980,20514,2239,1571,0.9354135832922217,0.8433645781943759
1981,16593,2223,1485,0.9268508940446284,0.8173488990690114
1982,17405,2158,1052,0.9489691971865146,0.844288139704099
1983,20084,2156,1251,0.9467455621301775,0.8549657315567665
1984,19648,2318,1363,0.9415748639032964,0.8422135539457328
1985,18276,2501,1568,0.9298277019467442,0.817901096442157
1986,17902,2370,1423,0.9344088499654298,0.8251670891910579
1987,18504,2158,1602,0.9280452748832195,0.8311174991016889
1988,18860,2384,1417,0.9374696615330304,0.8322668902519748
1989,19230,1942,1649,0.9277419920248894,0.8426449322991981
1990,22251,2532,3407,0.879141539553033,0.7893224547711954
1991,9894,1081,3510,0.7576803589920608,0.6830514325163962
1992,10489,2351,2383,0.843460553110425,0.6890231885962032
1993,10521,1899,1749,0.876561507516409,0.7425365233961465
1994,65451,3209,4842,0.9341242415172376,0.8904655655628418
1995,77771,4585,4257,0.9508503342454366,0.8979137081038643
1996,10996,1870,3299,0.7959171048561707,0.6802350757810084
1997,10955,1879,1707,0.8826077986383329,0.7533869747610206
1998,9714,1102,1683,0.8653492279382351,0.7771821745739659
1999,10996,1499,1963,0.8642274173467976,0.7605477936090745
2000,11537,1526,1902,0.8729034413631808,0.7709321750751754
2001,11022,1401,2013,0.8605569409808811,0.7635078969243557
2002,10339,978,1433,0.8876078431372549,0.8109019607843138
2003,11747,1536,624,0.955130509815201,0.8446825339756957
2004,13727,1947,600,0.963131375199705,0.843492687722748
2005,12301,1670,289,0.9797335203366059,0.8626227208976157
2006,10166,1210,3020,0.7902195054181718,0.7061683801055849
2007,14523,1345,440,0.9730193769928869,0.8905445180279618
2008,12801,1243,157,0.9889444405323569,0.9014153932821632
2009,10863,1168,264,0.978527856852379,0.883529890199268
2010,9688,1288,795,0.9324611332936878,0.8230396737745306
2011,9797,1253,443,0.9614547985730445,0.8524319150787436
2012,10357,1487,254,0.9790047941808563,0.8560919160191767
2013,12113,1616,329,0.9765969554701949,0.861644615165742
2014,9009,681,3793,0.7186827857301787,0.6681747385596677
2015,12731,1344,241,0.9831656887398714,0.8892847164012294
2016,11705,1179,328,0.9751740841659098,0.8859370269452014
2017,11213,1114,755,0.9422871120623758,0.8571319370126892
2018,8349,970,472,0.9517924624655296,0.852721887447656
2019,9151,1407,407,0.9628818969448244,0.8345645234838122
2020,1813,475,11,0.9952153110047847,0.7886037407568508
