Location, Year
Grönvik, 1946
Gävle, 1946
Göingegården, 1946
Göteborg, 1946
Haverö, 1946
Hedensbyn, 1946
Igelsbo, 1946
Kalix, 1946
Kalmar, 1946
Karlstad, 1946
Kastanjegården, 1946
Kieryd, 1946
Kramfors, 1946
Kristinehamn, 1946
Landafors, 1946
Landskrona, 1946
Lekåsa, 1946
Ljungskile, 1946
Luleå, 1946
Luttra, 1946
Löbbo, 1946
Malmgrava, 1946
Malmö, 1946
Mellerud, 1946
Mysinge, 1946
Mölndal, 1946
Norregård, 1946
Norrfors, 1946
Norrköping, 1946
Oskarshamn, 1946
Rossbol, 1946
Rosta, 1946
Rådom, 1946
Sandby, 1946
Skediga, 1946
Skedsbygd, 1946
Skegrie, 1946
Skoglösa, 1946
Skutskär, 1946
Skövde, 1946
Spånstad, 1946
Stenkyrka, 1946
Stockholm, 1946
Stuvsta, 1946
Svensköp, 1946
Sörsjön, 1946
Torp, 1946
Torsby, 1946
Tuleå, 1946
Tungelsta, 1946
Umeå, 1946
Varuträsk, 1946
Vilhelmina, 1946
Vimmerby, 1946
Vinberg, 1946
Västerås, 1946
Örebro, 1946
Östersund, 1946
Bakeröd, 1947
Bogla, 1947
Dahl, 1947
Degerfors, 1947
Doverstorp, 1947
Dunker, 1947
Ersbacken, 1947
Falun, 1947
Granebo, 1947
Grängesberg, 1947
Grönvik, 1947
Gävle, 1947
Göingegården, 1947
Göteborg, 1947
Igelsbo, 1947
Järvsand, 1947
Kalix, 1947
Karlstad, 1947
Kastanjegården, 1947
Kramfors, 1947
Kristinehamn, 1947
Landafors, 1947
Lekåsa, 1947
Ljungskile, 1947
Luleå, 1947
Luttra, 1947
Löbbo, 1947
Malmgrava, 1947
Malmö, 1947
Mellerud, 1947
Munkaljungby, 1947
Mysinge, 1947
Mölndal, 1947
Norköping, 1947
Norrby, 1947
Norregård, 1947
Norrfors, 1947
Norrköping, 1947
Oskarshamn, 1947
Rossbol, 1947
Rådom, 1947
Skediga, 1947
Skedsbyg, 1947
Skedsbygd, 1947
Skegrie, 1947
Skoglösa, 1947
Skutskär, 1947
Skövde, 1947
Spånstad, 1947
Stafsund, 1947
Stenkyrka, 1947
Stockholm, 1947
Stuvsta, 1947
Svensköp, 1947
Sörsjön, 1947
Torp, 1947
Tungelsta, 1947
Umeå, 1947
Varuträsk, 1947
Vilhelmina, 1947
Vimmerby, 1947
Västerås, 1947
Växjö, 1947
Örebro, 1947
Östersund, 1947
Gustafs, 1981
Huskvarna, 1981
Kumla, 1981
Ljung, 1981
Lunds, 1981
Röstånga, 1981
Smedjebacken, 1981
Stockholm, 1981
Värmdö, 1981
Östersjön, 1981
Antnäs, 1930
Arkösund, 1930
Berg, 1930
Bjälbo, 1930
Boa, 1930
Bonarp, 1930
Boxholm, 1930
Bramstorp, 1930
Brattfors, 1930
Bro, 1930
Broaryd, 1930
Broberg, 1930
Brånalt, 1930
Byske, 1930
Bäckland, 1930
Digernäs, 1930
Dunker, 1930
Edsbyn, 1930
Edsbäcken, 1930
Erlandsro, 1930
Eskilstuna, 1930
Falkenberg, 1930
Falla, 1930
Falun, 1930
Fritorp, 1930
Furuvik, 1930
Fårekulla, 1930
Gans, 1930
Golvvasta, 1930
Grimbo, 1930
Grängesberg, 1930
Grönvik, 1930
Gävle, 1930
Göteborg, 1930
Hallagården, 1930
Halmstad, 1930
Huskvarna, 1930
Hällbacken, 1930
Hälsingborg, 1930
Häste, 1930
Hörby, 1930
Höör, 1930
Igelboda, 1930
Kalmar, 1930
Karlskrona, 1930
Kasenberg, 1930
Katrineholm, 1930
Kristianstad, 1930
Kullen, 1930
Kullenbergstorp, 1930
Kullenborgstorp, 1930
Lerbäcksbyn, 1930
Lindome, 1930
Linköping, 1930
Löbbo, 1930
Malmö, 1930
Mellerud, 1930
Mora, 1930
Munkedal, 1930
Norup, 1930
Nyborg, 1930
Ovanmyra, 1930
Ramsta, 1930
Rasjön, 1930
Raästock, 1930
Revinge, 1930
Rimforsa, 1930
Risinge, 1930
Rotebro, 1930
Råstock, 1930
Skövde, 1930
Stenstu, 1930
Stockholm, 1930
Storegården, 1930
Storgården, 1930
Sörsjön, 1930
Toftered, 1930
Trollhättan, 1930
Tryde, 1930
Trången, 1930
Tungelsta, 1930
Tönnersa, 1930
Uppmälby, 1930
Vadstena, 1930
Vimmerby, 1930
Väby, 1930
Västerås, 1930
Örebro, 1930
Österbo, 1930
Östersund, 1930
Malmö, 1949
Osby, 1949
Luttra, 1963
Gävle, 1985
Halland, 1985
Helsingfors, 1985
Kisa, 1985
