swerik_id;surname;first_name;iort
i-TQpKzRtTSVD5vxcwQhuewR;Andersson;G Arvid;Saxtorp
i-N99FycafN3xo972gXj5TKd;Andersson;N Arvid;Ryggestad
i-BYffGRDNfByecyMpUbbDdF;Andersson;Axel;Kroken
i-XnQDSX294nH3szRa45nm6F;Andersson;Axel E;Österfärnebo
i-4QfyCDnkQC2ymGgn7VCEBm;Andersson;Axel K;Härrklättan
i-JtHPAcaKYioyUpUog1T7v6;Andersson;M Axel J;Örnsköldsvik
i-3rTesHxYLCdQMkEcpGXuvM;Andersson;K Bertil;Surahammar
i-U6ifRiR8jKa4cStAnitbxA;Andersson;A G Birger;Tidaholm
i-KEdq6yVXrLdahHdSbVheQv;Andersson;Birger M G;Mejstad
i-B4nc1rYu6gqhHmUqKRJTib;Andersson;Carl;Vallby
i-Jj3ryptdhhgokhyY4kvYCn;Andersson;Carl August;Malmö
i-Lw4gLz6r653vCudGthQP19;Andersson;Carl G;Skeenda
i-8nKxVvm6yCoGDbkYmHrjBg;Andersson;Carl J;Hamra
i-76SNFscuEcje1Vek94C3va;Andersson;Ebon M I;Stockholm
i-AWLNBm49upAvWc2G2jYeiD;Andersson;Ebon O B;Malmö
i-FXLEj98MEhXCxuiihroJSv;Andersson;Edoff E;Stockholm
i-558Me9ABiARG2bVyqeBiLC;Andersson;A Edvard;Höckerum
i-HXgGEamkDznsHzKJJyjsRS;Andersson;Einar S;Hyssna
i-PCzyK8veSHLeYJrKiYmXGZ;Andersson;Elof B;Fältenborg
i-GZhoFvTfhRXJNWt7FFbiuE;Andersson;J Elon;Bollnäs
i-GZhoFvTfhRXJNWt7FFbiuE;Andersson;J Elon;Gävle
i-CL9JxBMKYKcePiYAowsQyH;Andersson;Emil;Prästbol
i-44Z592MNuSA3T2e2FTSqff;Andersson;O Emil;Jäger
i-8YUu6FdSHbMaWxHkRan8Va;Andersson;Eric;Basterås
i-3TvBf7WWysNpBVYf3bsL5D;Andersson;Erik;Uppsala
i-B8y96mdDcSM76tgEwwEPsz;Andersson;Ernst G;Bjertorp
i-81nJZ9adiSkpQWjb3dwe3v;Andersson;Ernst V;Värtan
i-JRYArNufMq8Drn1ggSzm25;Andersson;Folke;Helgesta
i-SpE4p6y5t2Rpicx6uK8qTp;Andersson;Fredrik;Saleby
i-BvW79W4WsVDaDHA2t5P9cQ;Andersson;Gunnar A;Rossvik
i-7g9Kh6qPpSFyyYgrWimtEm;Andersson;C F Gunnar;Djursholm
i-TetqqngpveTfXZ2QJT2S6o;Andersson;Gunnar S;Gustavsberg
i-6oRamg3DcU6q3ybLVDX2pR;Andersson;Gustaf;Kolstad
i-YXxhr3tCC3W3FsmnrRDwqv;Andersson;Gustaf;Källstad
i-LfLGkLjh2Uo92JoPR3j5qT;Andersson;Gustaf;Sollebrunn
i-Qhg4pgs4CkWDsyz8PNMACG;Andersson;A Gustaf;Sundsvall
