wiki_id;surname_iort;first_name;born;references
Q5928413;Källqvist i Kristinehamn; Eric V;1898-04-14; 4:415
Q5931318;Lagerkvist i Skellefteå; J Emil T;1876-09-10; 5:360
Q29034014;Lamberg i Ystad; Peter C;1926-07-14; 3:228
Q5933698;Landgren i Bjäresjö; Axel H;1898-07-12; 3:229
Q5933728;Landgren i Delsbo; Lars;1810-04-14; 5:147
Q5936890;Larsson i Karlstad; J Albert;1888-09-21; 4:416
Q5937501;Larsson i Julita; Gustafs;1896-02-15; 1:379
Q5938523;Larsson i Öjersbyn; Per Adolf;1872-01-14; 4:249
Q5939021;Larsson i Halmstad; I Viktor K;1863-05-05; 2:390
Q1368035;Larsson i Stockholm; G R Yngve;1881-12-13; 1:128
Q5939069;Larsson i Uppsala; P Zakarias;1828-09-06; 1:319
Q5939506;Lasson i Östra Hoby; Ola;1818-06-23; 3:132
Q5940236;Laurell i Lundsholm; C Edward;1842-03-28; 4:418
Q5940255;Laurell i Skredsvik; Johannes D;1852-02-14; 4:111
Q5940582;Laurin i Sandarve; Arvid V T;1860-09-29; 2:341
Q5943948;Leffler i Kinna; J Edvin;1875-08-23; 4:249
Q5944910;Leijer i Visby; J G Ernst;1823-08-06; 2:341
Q5945889;Lemchen i Jönköping; J Åke;1808-06-16; 2:167
Q5945931;Lemke i Malmö; Harald;1855-05-28; 3:231
Q5948542;Levin i Kämpinge; Hans S;1899-07-15; 3:232
Q4962025;Lidman-Frostenson i Drottningholm; Ulla E C;1910-11-20; 1:248
Q5950466;Lidskog i Vallentuna; C Ingvar G;1919-09-12; 1:248
Q5950810;Liedberg i Assmåsa; C Gösta;1893-06-11; 3:232
Q5950822;Liedberg i Oja; Pehr O;1857-05-09; 3:233
Q5952082;Lilliecreutz i Jönköping; S H Fabian;1866-04-08; 2:168
Q5952182;Lilliehöök af Fårdala i Sällerhög; Erik G;1807-06-27; 4:250
Q5952215;Lilliehöök af Gälared o Kolbäck i Karlskrona; H Hugo;1845-03-13; 3:63
Q5952301;Lilliesköld i Värnamo; J Arvid;1849-12-26; 2:168
Q5956013;Lindgren i Lund; Hjalmar O;1837-05-17; 3:234
Q5956096;Lindgren i Vilske-Kleva; Justus H;1896-11-26; 4:336
Q5956442;Lindh i Västanvik; Johan W;1831-09-10; 5:425
Q5956515;Lindh i Säffle; Oscar W;1847-05-18; 4:419
Q5956828;Lindholm i Sandviken; P Sigurd;1904-05-20; 5:150
Q6149669;Lindqvist i Örnsköldsvik; John;1845-06-08; 5:238
Q5958215;Lindstedt i Öregrund; Magnus;1813-05-25; 1:249
Q5958354;Lindström i Råneå; Axel;1859-02-11; 5:426
Q6150867;Lundberg i Sala; Otto V ;1842-05-06; 1:444
Q5966031;Lundberg i Malmö; L E Roland;1919-04-16; 3:237
Q4964561;Lundberg-Löfqvist i Mörrum; Thyra C;1905-06-14; 3:65
Q5966083;Lundblad i Eskilstuna; E Albert;1836-05-13; 1:382
Q4964018;Lundblad i Malmö; Margit A A;1906-10-16; 3:238
Q5966463;Lunderqvist i Bolstad; Anders M;1848-01-25; 4:254
Q6150973;Lundgren i Umeå; Per G;1890-08-02; 5:363
Q5966767;Lundgren i Göteborg senare Strömsbro; Sven J;1888-08-16; 4:120
Q5966794;Lundgren i Göteborg; Wilhelm R B;1856-05-24; 4:121
Q5966845;Lundh i Uppsala; Herbert T;1901-02-05; 1:321
Q5967062;Lundin i Karby; Johan;1823-06-23; 1:251
Q5967130;Lundin i Los; D Sigurd;1908-03-24; 5:153
Q5967169;Lundin i Karby; J Wilhelm;1846-09-16; 1:252
Q5967294;Lundmark i Lycksele; J Gunnar;1907-02-27; 5:364
Q5967484;Lundqvist i Trollhättan; Artur E;1894-06-08; 4:255
Q5967695;Lundsten i Åkarp; Per;1845-04-24; 3:239
Q5967728;Lundström i Piteå; Axel;1815-11-02; 5:426
Q5967746;Lundström i Bromma; N Birger;1904-02-22; 1:139
Q5967755;Lundström i Filipstad; Carl H;1828-11-18; 4:420
Q5967804;Lundström i Boden; G Harald;1890-10-20; 5:427
Q5969026;Lyth i Burs; Anton Julius;1816-02-29; 2:342
Q105114671;Lyth i Stockholm; G Wilhelm;1834-01-05; 1:141
Q5969081;Lyttkens i Skedala; Ivar;1823-01-22; 2:391
Q5969231;Låftman i Billingsfors; J J August;1841-02-13; 4:255
Q5969413;Löfgren i Äppelviken; Axel;1880-03-23; 1:141
Q4964561;Löfqvist i Mörrum; Thyra C;1905-06-14; 3:65
Q6151403;Löfroth i Kiruna senare Luleå; John G;1896-06-14; 5:427
Q5969775;Lönnberg i Linköping; Lars Johan;1816-03-11; 2:92
Q5969949;Löthner i Jönköping; Olof A;1885-10-24; 2:169
Q5970114;Löwegren i Malmö; A Gunnar H;1881-09-24; 3:240
Q4964665;Löwenhielm i Härnösand; Brita;1904-01-01; 5:241
Q5971868;Magnuson i Sandviken; Tord A;1851-11-25; 5:154
Q5973785;Malmborg i Ljungby; Klas A;1865-07-23; 2:294
Q5974194;Malmström i Vissefjärda; P Alfred L;1846-12-11; 2:294
Q5974292;Malmström i Vissefjärda; T Alfred;1821-08-18; 2:294
Q5975085;Mannheimer i Göteborg; Otto S;1860-09-12; 4:123
Q5976864;Markgren i Burträsk; O Richard;1858-06-19; 5:364
Q5977028;Markstedt i Skellefteå; Anton;1836-11-12; 5:365
Q5977741;Martin i Hillebola; T Bernhard A;1840-09-03; 1:323
Q5980048;Mattsson i Näsinge; Oscar E;1896-03-01; 4:125
Q5980083;Mattsson i Eneryda; Torsten A V;1915-06-15; 2:225
Q5983334;Meijerberg i Stockholm; Carl J;1816-10-07; 1:145
Q5983491;Mejenqvist i Mejensjö; Carl J;1823-01-14; 2:171
Q5984018;Mellén i Åmål; Karl F;1869-08-11; 4:256
Q5984055;Mellin i Hälle; Gustaf H;1840-07-30; 4:126
Q5985831;Meyerhöffer i Boden; Alf R D;1891-12-16; 5:429
Q5990547;Mogren i Bollstabruk; Sixten J A;1876-07-12; 5:242
Q5990557;Mogård i Karlskoga senare Stockholm o Vällingby; J A Bertil;1892-08-18; 1:145,  4:501
Q105045781;Molander i Staberg; Nicolaus A;1839-01-16; 4:257
Q5990940;Molander i Stockholm; Seth;1893-05-13; 1:146
Q5992284;Montgomery i Stocksund; William C;1859-03-21; 1:255
Q108333808;Montgomery-Cederhielm i Segersjö; Robert N G;1851-05-08; 4:502
Q5993615;Morfeldt i Eda glasbruk; Hans;1879-05-18; 4:424
Q5996870;Munck af Rosenschöld i Kristianstad; Thomas;1813-06-28; 3:135
Q5997101;Munktell i Uppsala; A Henrik;1903-12-01; 1:324
Q5997281;Munthe i Växjö; Gösta L;1809-05-05; 2:226
Q5999756;Myrtin i Älvsbacka senare Norra Råda; Anders Melcher;1816-07-05; 4:424
Q6000319;Månsson i Jämshög; Ola;1821-08-29; 3:67
Q6000547;Mårtensson i Smedstorp; M Edvard;1892-12-15; 3:135
Q5999973;Mäler i Sollefteå; Karl M;1893-03-07; 5:244
Q6001218;von Möller i Skottorp; Peter;1809-05-20; 2:393
Q6001713;Mörtsell i Mörttjärn; Frans Oskar;1861-05-12; 5:365
Q6001723;Mörtsell i Malå senare Stensele; Johannes;1824-12-04; 5:365
Q6021068;Naesström i Ramsele; N August;1842-08-24; 5:244
Q6003493;Natt och Dag i Stockholm; Svante A K:son;1861-12-31; 1:148
Q6156866;Nilsson i Borås; Bror A;1888-05-01; 4:257
Q6010180;Nilsson i Kungsängen; O Ferdinand;1896-10-29; 1:324
Q4969616;Nilsson i Gävle; Gerda M;1914-01-08; 5:156
Q6156904;Nilsson i Gävle; G Gerhard;1895-03-06; 5:156
Q6010461;Nilsson i Gävle; Henning F;1908-06-15; 5:156
Q6010507;Nilsson i Alnarp; Hjalmar;1886-06-06; 3:245
Q6010532;Nilsson i Kramfors; E Hjalmar;1904-04-07; 5:244
Q6010583;Nilsson i Grova; N Jacob;1834-08-11; 1:385
Q6011123;Nilsson i Varuträsk; J Magnus;1891-10-01; 5:367
Q4969697;Nilsson i Långshyttan; H Maja;1903-10-23; 5:78
Q4969705;Nilsson i Tjusebotorp; G Margret;1903-09-18; 4:503
Q6011403;Nilsson i Bläsinge; Nils Peter;1844-06-06; 3:139
Q6013531;Nolin i Iremåla; C Oscar;1883-11-02; 2:227
Q6014058;Nord i Noleby; Josef;1894-03-16; 4:341
Q6014382;Nordborg i Göteborg; O Anshelm;1875-08-09; 4:128
Q6014571;Nordenfalk i Halmstad; Carl O C J;1833-02-15; 2:395
Q6014586;Nordenfalk i Lövsta; Johan;1830-09-02; 1:385,  2:297
Q6014594;Nordenfeldt i Björneborg; Olof;1826-09-26; 4:427
Q98393527;Nordenskjöld i Sjögelö; O Gustaf;1831-06-09; 2:172
Q5653897;Nordenson i Stockholm; Harald;1886-08-10; 1:150
Q6014827;Nordenson i Saltsjöbaden; Jonas W;1920-01-12; 1:150
Q4970006;Nordgren i Trelleborg; Olivia L;1880-02-27; 3:249
Q6019306;Nyblom i Hudiksvall; C Georg A;1900-06-07; 5:158
Q6020187;Nyman i Västerås; Sven A;1910-04-24; 1:446
Q6020295;Nyqvist i Umeå; Johannes;1835-07-31; 5:369
Q6020566;Nyström i Norrtälje; Bror E;1916-09-16; 1:258
Q6020634;Nyström i Kiruna; E Hjalmar;1908-01-15; 5:431
Q6020993;Näslund i Hagaris; Per Gustaf;1827-06-17; 5:247
Q6021033;Näsman i Näs; Petter;1833-04-18; 5:247
Q6028214;Olsson i Holen; Åhlmans Olof;1866-05-12; 5:83
Q104842277;Orre i Stora Boserup; Carl M;1820-06-01; 2:173
Q6030511;Osterman i Sundsvall; Einar G E;1902-06-20; 5:249
Q104839950;Palmgren i Eskilstuna; Sven;1821-08-30; 1:388
Q6039767;Pehrsson i Nordanå; Ola;1818-04-06; 3:145
Q6041862;Perman i Fränsta; Olof;1844-05-22; 5:250
Q6042682;Persson i Halmstad; Bror W;1891-01-10; 2:398
Q6042858;Persson i Växjö senare Stockholm; Fritz J H;1904-06-09; 2:229
Q6043091;Persson i Östervåla; Johan G;1895-04-06; 1:449
Q4574312;Persson i Stockholm; Set E;1897-03-05; 1:161
Q6046697;Pettersson i Åby; Carl Johan;1815-01-04; 2:98
Q6046823;Pettersson i Kungälv; Gunnar;1899-04-15; 4:507
Q6047023;Pettersson i Stora Kil; Johannes;1882-10-17; 4:433
Q6048296;Philipsson i Göteborg; Aron;1826-01-12; 4:138
Q6050329;Piper i Krageholm; C G Fritz;1807-10-03; 3:262
Q6051420;von Platen i Kristinelund; Carl B E;1833-07-08; 3:262
Q2086269;von Platen i Vettinge; Philip B;1732-03-14; 3:148
Q6054467;Posse i Vreten; Gösta M;1823-12-12; 3:148,  4:345
Q6054541;Posse i Vreten; Nils F;1853-06-11; 4:346
Q6054616;von Post i Hagbyholm; J Ludvig;1839-08-15; 1:451
Q6056573;Printzensköld i Jönköping; Axel;1828-08-03; 2:178
Q4919764;Prytz i Göteborg; Björn G;1887-04-02; 4:138
Q6058758;Pålsson i Hemmesdynge; Lars;1833-05-09; 3:264
Q6060127;Raab i Åkerholm; Carl A J;1815-12-18; 2:304
Q6060314;Rabe i Stockholm; Pehr R;1858-05-03; 1:163
Q6061452;Rahmn i Göteborg; Gösta E A;1882-06-06; 4:139
Q6062153;Ramberg i Glava glasbruk; Albert;1885-01-21; 4:433
Q6070963;Richert i Stockholm; J Gustaf;1857-05-16; 1:163
Q6071198;Richter i Stockholm; J Fredrick M;1819-10-04; 2:234
Q6072689;Rimmerfors i Bromma senare Vällingby; A Einar;1900-06-10; 1:164
Q114729447;Risberg i Kållered; Bo H;1912-08-26; 4:140
Q6075255;Robson i Aspa bruk; O Albert;1821-10-25; 4:509
Q6077630;Romanus i Stockholm; Carl B;1876-11-22; 1:165
Q105045554;Romberg i Karlskrona; Peter A;1845-04-21; 3:74
Q6078242;Roos i Växjö senare Djursnäs; C J Adolf;1858-07-22; 2:234
Q6078545;Rooth i Helsingborg; C J Fritz;1816-07-15; 3:266
Q6078673;Ros i Leksand; J Gustaf;1852-09-19; 5:89
Q6078720;Rosander i Målerås senare Växjö; P Gustaf;1882-09-17; 2:235
Q6165648;von Rosen i Stockholm; Gustaf P A;1849-10-25; 1:165
Q4975451;Rosén i Örebro senare Stockholm; Göta M;1904-10-10; 4:509
Q6079586;Rosenberg i Hässleholm; N Ragnar W;1897-11-14; 3:149
Q6079600;Rosenberg i Östra Ljungby; Sven;1811-01-16; 3:149
Q105045448;Rosengren i Norrköping; Nils;1853-07-28; 2:102
Q6080404;Rosling i Stockholm; Karl G;1868-07-16; 2:179
Q6081130;Roth i Sunnansjö; C Ehrenfried R;1842-03-12; 5:89
Q6082121;Rubbestad i Vrine; Axel L;1888-10-02; 4:230
Q6082237;Rubin i Malmö; G Bertil;1922-10-09; 3:267
Q6082517;Rudberg i Halltorp; Erik J;1821-06-05; 2:306
Q6083434;Rundbäck i Växjö; Abraham;1827-01-30; 2:236,  4:141
Q6083461;Rundgren i Norrköping senare Karlstad; C Herman;1819-08-12; 2:102,  4:436
Q6084460;Rutensköld i Olstorp; A Axel;1820-05-29; 4:266
Q6084488;Ruthberg i Grisbacka; Johan Olof;1824-02-11; 5:372
Q6084587;Rutqvist i Vittjärv; Bernhard E;1879-11-05; 5:435
Q6084977;Ryberg i Lindås senare Dalum; K Arthur;1882-02-04; 4:266
Q6085142;Rydberg i Korsgården; N August;1824-03-12; 4:347
Q6085150;Rydberg i Eksund; Carl G;1844-05-16; 2:103
Q6085353;Rydén i Örebro; S E Ebbe;1907-03-07; 4:510
Q517947;Rydh Munck af Rosenschöld i Stockholm; Hanna A;1891-02-12; 1:166
Q6085536;Rydholm i Göteborg; Peter M;1853-01-17; 4:143
Q6085615;Ryding i Härnösand; B T Gustaf;1833-09-26; 5:252
Q6085702;Rydqvist i Stockholm; Carl M;1806-05-12; 4:267
Q6085938;Rylander i Önnarp; Johan O;1851-02-11; 4:267
Q6086334;Rääf i Forsnäs; Bengt L;1842-12-02; 2:103
Q6086648;Röhss i Munkeberg; Harald F C;1838-09-09; 4:348
Q6166587;Rönblad i Härnösand; Georg Peter;1812-08-29; 5:253
Q1448829;Rönn-Christiansson i Göteborg; Solveig A O;1902-11-11; 4:144
Q6086765;Rönnberg i Rundviksverken senare Umeå; S Gunnar;1909-01-30; 5:373
Q6086793;Rönnberg i Stocked; Olof;1837-01-26; 5:253
Q6166851;Sahlström i Utterbyn; Per;1834-10-05; 4:437
Q6090945;Samuelsson i Eke; Jonas;1816-09-30; 2:236
Q6091726;Sandberg i Böleå; O Evert;1886-04-07; 5:374
Q6171696;Segerlind i Uddersrud; Carl Fedrik;1829-02-02; 4:440
Q3379728;Segerstedt Wiberg i Göteborg; Ingrid;1911-06-18; 4:148
Q6173400;Setterberg i Göteborg; C Hjalmar;1857-10-02; 4:149
Q6173558;Severin i Gävle; Erik J;1909-02-22; 5:171
Q6178262;Sjöblom i Göteborg; Sven L;1838-09-07; 4:150
Q6177454;Sjöcrona i Helsingborg; H Aron;1825-10-28; 3:269
Q6092931;Sandorf i Göteborg; C Martin;1880-08-12; 4:145
Q6093079;Sandstedt i Knävelsby; Anders Johan;1803-02-09; 2:181
Q6093087;Sandstedt i Eknaholm; Johan;1831-10-29; 2:237
Q6093095;Sandstedt i Malmberget; Karl Ludvig;1861-03-10; 5:436
Q4976961;Sandström i Teg; Ragnhild M A;1901-08-14; 5:374
Q6167502;Sandwall i Jönköping; Frans G;1823-09-05; 2:181
Q6093739;Sanne i Morlanda; Gunnar T;1879-10-05; 4:145
Q6093946;Santesson i Varberg; Bernhard T;1813-07-26; 2:400
Q6168430;Schmidt i Göteborg; Carl S;1894-12-21; 4:146
Q6168498;Schmidt i Partille; Herrman;1811; 4:147
Q6168490;af Schmidt i Hovra; C J Georg;1813-10-31; 1:390
Q6169091;von Schoultz i Göteborg; H O Edvard;1815-05-06; 4:147
Q6169356;Schröder i Ringaby; C Hildebrand;1839-06-30; 4:511
Q6169762;von Schulzenheim i Ekebyhammar; Carl W;1833-04-25; 4:512
Q6178389;Sjögreen i Eksjö; Axel P;1836-05-15; 2:183
Q6178395;Sjögreen i Mariannelund; Christian W;1830; 2:183
Q6178481;Sjögren i Ultuna; C Einar;1887-11-21; 1:331
Q6178560;Sjögren i Asarum; Johan P;1820; 3:76
Q61868125;Sjöholm i Kvillebäcken; Johan;1851-01-29; 4:151
Q6178806;Sjölin i Trollhättan; Bengt J O;1886-03-01; 4:270
Q6178842;Sjölin i Trelleborg; J Åke;1842-06-22; 3:270
Q4979018;Sjövall i Göteborg; Elisabet;1915-03-06; 4:152
Q6179348;Skagerberg i Annefors; Gustaf;1889-01-21; 5:91
Q6179354;Skagerlund i Sörängen; Carl-David;1890-12-09; 4:512
Q6179361;Skagerlund i Dyltabruk; N C Gunnar;1921-10-08; 4:512
Q111493137;Skoglund-Lindblom i Sundsvall; Hulda O;1896-01-29; 5:256
Q6180045;Skogman i Stockholm; Carl J A;1820-08-03; 3:76
Q6180594;Skårman i Alingsås; Bo A W;1908-09-19; 4:271
Q6328264;Sköldberg i Säby; Adolf;1821-04-02; 4:350
Q6180759;Sköldén i Sköldunga; K Ivar;1880-08-12; 4:152
Q6180767;Sköldin i Sundbyberg; P Arthur;1898-11-04; 1:266
Q6186071;Spånberg i Norrahammar; C Emil B;1852-04-22; 2:184
Q6186078;Spånberg i Spånhult; J Wilhelm;1843-08-31; 2:185
Q6188043;Stefanson i Ludvika; R Stig S;1909-11-29; 5:93
Q1555424;Steffen i Göteborg; Gustaf F;1864-05-04; 1:267
Q6188574;Sten i Gävle; Hemming;1895-12-23; 5:173
Q6188698;Stenberg i Brännan; Johan Algot;1868-11-02; 5:377
Q6188713;Stenberg i Edsbyn; Nils G;1915-03-23; 5:173
Q6188899;Stenbäck i Kullinge; C Bleckert;1836-08-06; 1:454
Q6188940;Stendahl i Stockholm; Lars;1852-03-22; 2:400
Q6188945;Stendahl i Eldsberga; Lars O;1811-10-05; 2:401
Q6189790;Sternhagen i Göteborg; Harald F E;1846-05-01; 4:154
Q6190376;Stiernstedt i Risberga; Lennart J V;1904-06-28; 1:267
Q6190438;Stigmarker i Mullsjö; Stig L;1919-04-19; 4:351
Q6190864;Stockenberg i Halmstad; P Thure G;1826-07-30; 2:401,  3:151
Q6191918;Strandberg i Boden; Bertil L;1920-04-23; 5:438
Q6192045;Strandh i Växjö; S Erik;1908-10-25; 2:238
Q6192056;Strandler i Mjölby; Nils G;1892-08-14; 2:107
Q6193517;Strömfelt i Hylinge; F Knut H;1831-07-08; 2:108
Q6194030;Styffe i Stockholm; Knut;1824-01-13; 1:175
Q6194302;Ståhle i Fagersta; Nils A;1901-04-26; 1:455
Q6194361;Stålberg i Eskilstuna; C August;1852; 1:395
Q6194416;Stålhammar i Salshult; Jon A;1811-01-10; 2:186
Q6194477;Stånggren i Linköping; M Fredrik;1829-08-19; 2:108
Q6195368;Sundberg i Göteborg; Abel G L;1893-01-02; 4:155
Q6195378;Sundberg i Lysekil; Axel L;1869-11-11; 4:155
Q6195389;Sundberg i Överum; Carl G;1884-09-07; 2:310
Q6195465;Sundberg i Norra Bredåker; Hugo;1890-08-22; 5:441
Q6195597;Sundblad i Barlingbo; August;1851-02-07; 2:345
Q6195850;Sundell i Falun; Erik Mauritz;1819-11-25; 5:94
Q6196196;Sundin i Alkvettern; J C Nils;1828-06-14; 4:514
Q6196226;Sundin i Nordingrå; Sven E;1915-12-05; 5:259
Q6196554;Sundström i Hämra; Anders;1832-05-28; 5:260
Q6196603;Sundström i Luleå; Henrik Johan;1838-10-02; 5:441
Q6196655;Sundström i Charlottenberg; J Oscar;1826; 4:442
Q6196632;Sundström i Brunne senare Boda; J Rudolf;1874-10-20; 5:260
Q6196822;Sunne i Mjölby; Johan A;1890-12-09; 2:108
Q6199804;Swartz i Norrköping; J Erik;1817-05-17; 2:110
Q4981411;Svedberg i Eskilstuna; Ellen S A;1891-05-19; 1:396
Q6197680;Svedberg i Mo; Jonas Nikolaus;1881-05-13; 5:174
Q6197685;Svedberg i Burträsk; A Lage;1901-02-12; 5:377
Q6197962;Sveningsson i Hässelås; N Ragnar;1906-08-10; 4:275
Q6198510;Svensson i Rydaholm; Gustaf W;1840-08-23; 2:187
Q4981510;Svensson i Långås; Gärda S;1895-08-30; 2:402
Q6198648;Svensson i Göteborg; Jerker U;1897-07-18; 4:158
Q6203631;Tamm i Fogelstad; C August;1840-06-08; 1:398
Q6205904;Tenger i Västervik; Carl F R;1827-10-20; 2:312
Q6205950;Tengström i Göteborg; Carl F Gustav;1886-01-26; 4:160
Q6208845;Thomson i Lund senare Stockholm; Arthur N;1891-11-06; 3:278
Q6208993;Thorburn i Uddevalla; Robert M;1828-04-27; 4:160
Q6209126;Thorén i Växjö; Carl A;1874-02-10; 2:241
Q6209757;Thun i Åkersberga; Fritiof V;1887-03-15; 1:271
Q6213805;Torpadie i Kalmar; A Ludvig F;1827-12-16; 2:313
Q6214643;af Trampe i Mjölkeröd; J D Carl W;1841-09-02; 4:163
Q6214979;Treffenberg i Västerås senare Härnösand, Falun o Stockholm; N Curry E;1825-03-01; 1:459,  5:262
Q6215529;Troilius i Stockholm; Carl Oscar;1813-01-26; 4:518
Q48704901;af Trolle i Karlskrona; Georg;1834-12-17; 3:80
Q6215672;Trolle-Wachtmeister i Trolle-Ljungby; Axel K;1812-03-13; 3:154
Q6215894;Truedsson i Haganäs; Per;1832-10-11; 3:153
Q6216004;Trybom i Skara; Anders Peter;1827-03-21; 4:355
Q6216064;Träff i Mjölby; J Axel;1875-09-21; 2:113
Q6216079;Trägårdh i Stockholm; Henning;1849-05-04; 4:518
Q6216096;Trägårdh i Ystad; Sven;1814-08-13; 3:284
Q6216492;Tufwesson i Lur; Tufwe;1827-09-15; 3:153
Q105066959;Tundal i Robertsfors; G Oscar;1825-01-01; 5:378
Q6217636;Tynell i Trelleborg; Janne P:son;1875-07-01; 3:285
Q6217733;Tysk i Mora; Mats;1841-12-13; 5:98
Q6217739;Tysk i Färnäs; Per;1874-09-30; 5:98
Q6217831;Täcklind i Alingsås; Magnus J;1860-08-24; 4:278
Q6218168;Törner i Växjö; Axel G G;1837-07-18; 2:242
Q6218627;Uddenberg i Karlskoga; Edvard J:son;1870-10-03; 4:518
Q6218798;Uggla i Svaneholm; Carl G;1808-07-14; 4:445
Q6218813;Uggla i Stockholm; Gustaf F O;1846-01-22; 4:445
Q6218905;Uhlén i Malmö; Axel;1885-04-08; 3:285
Q105072927;Ullman i Foss; M Wilfrid;1854-05-21; 4:164
