Unnamed: 0;wiki_id;surname_iort;first_name;page_ref;page_ref2;iort;born
1703;Q6140081;Johnsson i Norr-Kärra; Johan Petter; 4:101;;i Norr-Kärra;1838-10-08
1707;Q5889587;Johnsson i Remmarlöv; Pehr; 3:224;;i Remmarlöv;1818-01-05
1710;Q117222503;Jonasson i Gullaboås; Jonas; 2:285;;i Gullaboås;1817-05-12
1716;Q5891393;Jonsson i Sundsbyn; Anders; 4:412;;i Sundsbyn;1807-08-06
1747;Q5892646);Josefsson i Halmstad; H Gösta A; 2:387;;i Halmstad;
1889;Q5926472;Kunze i Göteborg; Herman G E; 4:107;;i Göteborg;1863-09-27
1916;Q29034014;Lamberg i Ystad; Peter C; 3:228;;i Ystad;1926-07-14
1918;Q40759724;von der Lancken i Kristianstad; C Ehrenfried; 3:131;;i Kristianstad;1770-08-20
1953;Q5937483;Larsson i Rönnsbol; Gustaf; 1:246;;i Rönnsbol;1813-11-24
2102;Q5956515;Lindh i Säffle; Oscar W; 4:419;;i Säffle;1847-05-18
2120;Q111916168;Lindskog i Billinge; C J Fritiof; 3:235;;i Billinge;
2188;Q5966083;Lundblad i Eskilstuna; E Albert; 1:382;;i Eskilstuna;1836-05-13
2209;Q5966794;Lundgren i Göteborg; Wilhelm R B; 4:121;;i Göteborg;1856-05-24
2225;Q5967728;Lundström i Piteå; Axel; 5:426;;i Piteå;1815-11-02
2243;Q5969231;Låftman i Billingsfors; J J August; 4:255;;i Billingsfors;1841-02-13
2253;Q5969775;Lönnberg i Linköping; Lars Johan; 2:92;;i Linköping;1816-03-11
2325;Q5985428;Metzén i Skänninge; F Wilhelm; 2:92;;i Skänninge;1832-05-12
2345;Q108333808;Montgomery-Cederhielm i Segersjö; Robert N G; 4:502;;i Segersjö;1851-05-08
2443;Q6010969;Nilsson i Viby; Lars; 1:446;;i Viby;1818-12-12
2498;Q98393527;Nordenskjöld i Sjögelö; O Gustaf; 2:172;;i Sjögelö;
2534;Q112036699;Norrby i Åkersberga; J Sören; 1:258;;i Åkersberga;1937-04-12
2591;Q111728193;Ohlsson i Järrestad senare Gladsax o Simrishamn; A William; 3:144;;i Järrestad senare Gladsax o Simrishamn;1895-06-02
2731;Q6042591;Persson i Tofta; Anders; 2:397;;i Tofta;1829
2732;Q6160772;Persson i Vä; Anders; 3:145;;i Vä;1816-11-07
2752;Q6043249;Persson i Häljebol; Lars; 4:432;;i Häljebol;1833-11-28
2781;Q117039047;Petersson i Gärestad; H Alfred; 3:72;;i Gärestad;1870-12-09
2795;Q6161303;Petersson i Möllstorp; O Fredrik; 2:302;;i Möllstorp;1828-06-17
2857;Q2086269;von Platen i Vettinge; Philip B; 3:148;;i Vettinge;1732-03-14
2869;Q6056573;Printzensköld i Jönköping; Axel; 2:178;;i Jönköping;1828-08-03
2917;Q114729447;Risberg i Kållered; Bo H; 4:140;;i Kållered;
2935;Q6078545;Rooth i Helsingborg; C J Fritz; 3:266;;i Helsingborg;1816-07-15
2962;Q6082517;Rudberg i Halltorp; Erik J; 2:306;;i Halltorp;1821-06-05
2974;Q6084488;Ruthberg i Grisbacka; Johan Olof; 5:372;;i Grisbacka;1824-02-11
2977;Q6085142;Rydberg i Korsgården; N August; 4:347;;i Korsgården;1824-03-12
3002;Q6166587;Rönblad i Härnösand; Georg Peter; 5:253;;i Härnösand;1812-08-29
3005;Q6086793;Rönnberg i Stocked; Olof; 5:253;;i Stocked;1837-01-26
3009;Q6166851;Sahlström i Utterbyn; Per; 4:437;;i Utterbyn;1834-10-05
3039;Q6171696;Segerlind i Uddersrud; Carl Fedrik; 4:440;;i Uddersrud;1829-02-02
3075;Q6177454;Sjöcrona i Helsingborg; H Aron; 3:269;;i Helsingborg;1825-10-28
3107;Q6168498;Schmidt i Partille; Herrman; 4:147;;i Partille;1811
3112;Q6169091;von Schoultz i Göteborg; H O Edvard; 4:147;;i Göteborg;1815-05-06
3121;Q6178395;Sjögreen i Mariannelund; Christian W; 2:183;;i Mariannelund;1830
3124;Q6178565;Sjögren i Lund; Johan M; 3:270;;i Lund;1826-09-24
3125;Q6178560;Sjögren i Asarum; Johan P; 3:76;;i Asarum;1820
3140;Q6179348;Skagerberg i Annefors; Gustaf; 5:91;;i Annefors;1889-01-21
3162;Q117018060;Smedh i Bergkarlås; Herman D; 5:92;;i Bergkarlås;1891-09-05
3201;Q6188899;Stenbäck i Kullinge; C Bleckert; 1:454;;i Kullinge;1836-08-06
3203;Q6188945;Stendahl i Eldsberga; Lars O; 2:401;;i Eldsberga;1811-10-05
3218;Q6190734;Stjernstedt i Tisslinge; Johan L W; 1:268;;i Tisslinge;1865-07-25
3220;Q6190864;Stockenberg i Halmstad; P Thure G; 2:401; 3:151;i Halmstad;1826-07-30
3249;Q6194030;Styffe i Stockholm; Knut; 1:175;;i Stockholm;1824-01-13
3255;Q6194477;Stånggren i Linköping; M Fredrik; 2:108;;i Linköping;1829-08-19
3261;Q6331198;Sundberg i Haparanda; Gustaf; 5:441;;i Haparanda;1845-02-17
3299;Q6199804;Swartz i Norrköping; J Erik; 2:110;;i Norrköping;1817-05-17
3370;Q6201341;Säve i Karlstad; Teofron A; 4:443;;i Karlstad;1842-07-24
3402;Q6205904;Tenger i Västervik; Carl F R; 2:312;;i Västervik;1827-10-20
3423;Q6208993;Thorburn i Uddevalla; Robert M; 4:160;;i Uddevalla;1828-04-27
3442;Q116146163;Thörnberg i Ronneby; R Wiktor; 3:80;;i Ronneby;1879-08-29
3471;Q48704901;af Trolle i Karlskrona; Georg; 3:80;;i Karlskrona;1834-12-17
3480;Q6216096;Trägårdh i Ystad; Sven; 3:284;;i Ystad;1814-08-13
3481;Q6216492;Tufwesson i Lur; Tufwe; 3:153;;i Lur;1827-09-15
3503;Q6218905;Uhlén i Malmö; Axel; 3:285;;i Malmö;1885-04-08
3532;Q6228885;Wahlgren i Stora Dicka; Johan; 5:98;;i Stora Dicka;1854-10-06
3541;Q6229360;Walberg i Alingsås; S Peter; 4:279;;i Alingsås;1826-09-24
3552;Q6230443;Wallén i Nyebro; A M Gullick; 2:405;;i Nyebro;1805-08-08
3594;Q27996966;Welin i Herrljunga; K Sanfrid V; 4:280;;i Herrljunga;1855-12-11
3616;Q6237369;Westblad i Husby; Lars Erik; 1:338 A:son; 3:83;i Husby;1811-02-08
3620;Q6237483;Westerberg i Falköping; A Peter; 4:358;;i Falköping;1828-11-30
3678;Q94645211;Wikström i Karlskrona; Helmer L; 3:84;;i Karlskrona;1898
3687;Q6243918;Winborg i Stockholm; J Theodor; 1:192;;i Stockholm;1832-02-04
3702;Q6245359;Witt i Helsingborg; Holjer A; 3:289;;i Helsingborg;1818-02-17
3763;Q112133202;Åkerström i Clemensnäs; E Oskar; 5:381;;i Clemensnäs;1896-10-15
4556;Q26211952;Persson i Bromma; E Margareta; 1:101;;i Bromma;1950-12-28
4623;Q117426463;Rydén i Växjö; N Rune G; 1:355;;i Växjö;1924-09-11
