protocol,xml_id1,xml_id2
corpus/protocols/199091/prot-199091--102.xml,i-Fm9QW6daNCGHKUe4YM6pwB,i-QCpZmjYLRVXfb5KModLHxo
corpus/protocols/199091/prot-199091--102.xml,i-H1MRgDCCbHvmPvePL3rTy6,i-4QekLYc4wAsM2jDzVFqWuN
corpus/protocols/199091/prot-199091--102.xml,i-VAdWPD1JLdgtsodS3Subop,i-6yLAcCthyZHY4b2Dh9yuWp
corpus/protocols/199091/prot-199091--102.xml,i-DJnFEeZfDpn18nPqDt7hnU,i-BVzrLpYh4AhzzJaoLTAXrE
corpus/protocols/199091/prot-199091--102.xml,i-Lo4iSoa9V5A5ZKy9qsNSu7,i-TqG1AbTKrdMxWWTyrm56mt
corpus/protocols/199091/prot-199091--102.xml,i-4SyPRdzKEsoc8YFS2rbcyp,i-DNJ1hVmTNSyGF1LLDw2xdX
corpus/protocols/199091/prot-199091--102.xml,i-FtPmybotgPLZFt3nhZN7pe,i-RRW5jNK2XTv8WtrHAJ91wX
corpus/protocols/199091/prot-199091--102.xml,i-NKJZt6uzupWwR6K9U5oNG7,i-PaJbk5nSkhmJR3S3bGLTQG
corpus/protocols/199091/prot-199091--102.xml,i-4YvoUMJVXYwveY1DoQ72yM,i-Bjf2x4PPVi4JeUhASHQWqc
corpus/protocols/199091/prot-199091--102.xml,i-SHQiK8eKggN7PMzT5vSMXc,i-GMf1XrEw9BaCLkvkEeS5iF
corpus/protocols/199091/prot-199091--102.xml,i-26b8tppKFV2MxtspCz4w1V,i-zHJGQhRemZRtU2NB7nXC5
corpus/protocols/199091/prot-199091--102.xml,i-23Kip7NcNp6QTgSD8jpxiE,i-6ckUoxrmEDdzcjxz9K2q7z
corpus/protocols/199091/prot-199091--102.xml,i-VTmUZkL9QjuSZqpvHgedCk,i-DpL7bq22MRHZ5feKcxSLKV
