file,url,year,decade,correct
corpus/protocols/1957/prot-1957--fk--22.xml,https://betalab.kb.se/prot-1957--fk--22/prot_1957__fk__22-100.jp2/_view,1957,1950,True
corpus/protocols/1967/prot-1967--fk--24.xml,https://betalab.kb.se/prot-1967--fk--24/prot_1967__fk__24-042.jp2/_view,1967,1960,True
corpus/protocols/1961/prot-1961--ak--15.xml,https://betalab.kb.se/prot-1961--ak--15/prot_1961__ak__15-118.jp2/_view,1961,1960,True
corpus/protocols/1966/prot-1966--ak--27.xml,https://betalab.kb.se/prot-1966--ak--27/prot_1966__ak__27-163.jp2/_view,1966,1960,True
corpus/protocols/1965/prot-1965--ak--12.xml,https://betalab.kb.se/prot-1965--ak--12/prot_1965__ak__12-116.jp2/_view,1965,1960,True
corpus/protocols/1961/prot-1961-höst-ak--30.xml,https://betalab.kb.se/prot-1961-höst-ak--30/prot_1961_höst_ak__30-035.jp2/_view,1961,1960,True
corpus/protocols/197778/prot-197778--29.xml,https://betalab.kb.se/prot-197778--29/prot_197778__29-032.jp2/_view,1977,1970,True
corpus/protocols/1970/prot-1970-höst-ak--39.xml,https://betalab.kb.se/prot-1970-höst-ak--39/prot_1970_höst_ak__39-013.jp2/_view,1970,1970,True
corpus/protocols/1972/prot-1972--135.xml,https://betalab.kb.se/prot-1972--135/prot_1972__135-040.jp2/_view,1972,1970,True
corpus/protocols/1970/prot-1970--ak--2.xml,https://betalab.kb.se/prot-1970--ak--2/prot_1970__ak__2-013.jp2/_view,1970,1970,True
corpus/protocols/197778/prot-197778--145.xml,https://betalab.kb.se/prot-197778--145/prot_197778__145-076.jp2/_view,1977,1970,True
corpus/protocols/198687/prot-198687--113.xml,https://betalab.kb.se/prot-198687--113/prot_198687__113-034.jp2/_view,1986,1980,True
corpus/protocols/198889/prot-198889--44.xml,https://betalab.kb.se/prot-198889--44/prot_198889__44-121.jp2/_view,1988,1980,True
corpus/protocols/198485/prot-198485--163.xml,https://betalab.kb.se/prot-198485--163/prot_198485__163-120.jp2/_view,1984,1980,True
corpus/protocols/198687/prot-198687--49.xml,https://betalab.kb.se/prot-198687--49/prot_198687__49-034.jp2/_view,1986,1980,True
corpus/protocols/198384/prot-198384--156.xml,https://betalab.kb.se/prot-198384--156/prot_198384__156-080.jp2/_view,1983,1980,True
corpus/protocols/1920/prot-1920--fk--41.xml,https://betalab.kb.se/prot-1920--fk--41/prot_1920__fk__41-082.jp2/_view,1920,1920,True
corpus/protocols/1925/prot-1925--ak--25.xml,https://betalab.kb.se/prot-1925--ak--25/prot_1925__ak__25-084.jp2/_view,1925,1920,True
corpus/protocols/1921/prot-1921--ak--29.xml,https://betalab.kb.se/prot-1921--ak--29/prot_1921__ak__29-013.jp2/_view,1921,1920,True
corpus/protocols/1928/prot-1928--fk--34.xml,https://betalab.kb.se/prot-1928--fk--34/prot_1928__fk__34-037.jp2/_view,1928,1920,True
corpus/protocols/1920/prot-1920--fk--56.xml,https://betalab.kb.se/prot-1920--fk--56/prot_1920__fk__56-027.jp2/_view,1920,1920,True
corpus/protocols/1932/prot-1932--fk--29.xml,https://betalab.kb.se/prot-1932--fk--29/prot_1932__fk__29-083.jp2/_view,1932,1930,True
corpus/protocols/1931/prot-1931--ak--5.xml,https://betalab.kb.se/prot-1931--ak--5/prot_1931__ak__5-003.jp2/_view,1931,1930,True
corpus/protocols/1934/prot-1934--fk--28.xml,https://betalab.kb.se/prot-1934--fk--28/prot_1934__fk__28-050.jp2/_view,1934,1930,True
corpus/protocols/1933/prot-1933--fk--47.xml,https://betalab.kb.se/prot-1933--fk--47/prot_1933__fk__47-072.jp2/_view,1933,1930,True
corpus/protocols/1931/prot-1931--ak--33.xml,https://betalab.kb.se/prot-1931--ak--33/prot_1931__ak__33-069.jp2/_view,1931,1930,True
corpus/protocols/1940/prot-1940-urtima-ak--14.xml,https://betalab.kb.se/prot-1940-urtima-ak--14/prot_1940_urtima_ak__14-016.jp2/_view,1940,1940,True
corpus/protocols/1949/prot-1949-höst-ak--32.xml,https://betalab.kb.se/prot-1949-höst-ak--32/prot_1949_höst_ak__32-058.jp2/_view,1949,1940,True
corpus/protocols/1945/prot-1945--ak--10.xml,https://betalab.kb.se/prot-1945--ak--10/prot_1945__ak__10-021.jp2/_view,1945,1940,True
corpus/protocols/1948/prot-1948--fk--24.xml,https://betalab.kb.se/prot-1948--fk--24/prot_1948__fk__24-075.jp2/_view,1948,1940,True
corpus/protocols/1945/prot-1945--fk--4.xml,https://betalab.kb.se/prot-1945--fk--4/prot_1945__fk__4-008.jp2/_view,1945,1940,True
corpus/protocols/1950/prot-1950--ak--10.xml,https://betalab.kb.se/prot-1950--ak--10/prot_1950__ak__10-009.jp2/_view,1950,1950,True
corpus/protocols/1955/prot-1955--fk--15.xml,https://betalab.kb.se/prot-1955--fk--15/prot_1955__fk__15-088.jp2/_view,1955,1950,True
corpus/protocols/1950/prot-1950--fk--21.xml,https://betalab.kb.se/prot-1950--fk--21/prot_1950__fk__21-002.jp2/_view,1950,1950,True
corpus/protocols/1956/prot-1956--fk--23.xml,https://betalab.kb.se/prot-1956--fk--23/prot_1956__fk__23-014.jp2/_view,1956,1950,True
corpus/protocols/1954/prot-1954-höst-ak--30.xml,https://betalab.kb.se/prot-1954-höst-ak--30/prot_1954_höst_ak__30-088.jp2/_view,1954,1950,True
corpus/protocols/1967/prot-1967--fk--27.xml,https://betalab.kb.se/prot-1967--fk--27/prot_1967__fk__27-096.jp2/_view,1967,1960,True
corpus/protocols/1962/prot-1962--ak--23.xml,https://betalab.kb.se/prot-1962--ak--23/prot_1962__ak__23-138.jp2/_view,1962,1960,True
corpus/protocols/1964/prot-1964--fk--26.xml,https://betalab.kb.se/prot-1964--fk--26/prot_1964__fk__26-023.jp2/_view,1964,1960,True
corpus/protocols/1968/prot-1968--ak--16.xml,https://betalab.kb.se/prot-1968--ak--16/prot_1968__ak__16-101.jp2/_view,1968,1960,True
corpus/protocols/1969/prot-1969--ak--11.xml,https://betalab.kb.se/prot-1969--ak--11/prot_1969__ak__11-117.jp2/_view,1969,1960,True
corpus/protocols/197778/prot-197778--59.xml,https://betalab.kb.se/prot-197778--59/prot_197778__59-042.jp2/_view,1977,1970,True
corpus/protocols/197576/prot-197576--115.xml,https://betalab.kb.se/prot-197576--115/prot_197576__115-008.jp2/_view,1975,1970,True
corpus/protocols/1971/prot-1971--86.xml,https://betalab.kb.se/prot-1971--86/prot_1971__86-011.jp2/_view,1971,1970,True
corpus/protocols/197879/prot-197879--52.xml,https://betalab.kb.se/prot-197879--52/prot_197879__52-003.jp2/_view,1978,1970,True
corpus/protocols/197879/prot-197879--174.xml,https://betalab.kb.se/prot-197879--174/prot_197879__174-039.jp2/_view,1978,1970,True
corpus/protocols/198990/prot-198990--61.xml,https://betalab.kb.se/prot-198990--61/prot_198990__61-122.jp2/_view,1989,1980,False
corpus/protocols/198586/prot-198586--105.xml,https://betalab.kb.se/prot-198586--105/prot_198586__105-046.jp2/_view,1985,1980,True
corpus/protocols/198283/prot-198283--160.xml,https://betalab.kb.se/prot-198283--160/prot_198283__160-095.jp2/_view,1982,1980,True
corpus/protocols/198990/prot-198990--130.xml,https://betalab.kb.se/prot-198990--130/prot_198990__130-018.jp2/_view,1989,1980,True
corpus/protocols/198990/prot-198990--2.xml,https://betalab.kb.se/prot-198990--2/prot_198990__2-005.jp2/_view,1989,1980,True
