date,type,swerik_id
1911-04-19,START,i-GP1vZchc4gSFqrkD9KxNno
1943-10-29,END,i-36hvfXkssW8r8Ucv2BZUPd
1887-07-01,START,i-9wuGFV27d4wT614qHyapco
1970-11-01,END,i-DDRRE6ii74yxfPP37w7AD6
1908-05-19,END,i-9wYeeuP3RWB6bA1svcTBE
1970-05-02,END,i-XRp7QdikWCma15LZRVtY8b
1928-03-30,START,i-oVwJWpLBEMSJ3qucVYsKL
1887-07-01,END,i-XtxigUdK1MbGs1wWJAVxP4
1940-04-30,START,i-LmdCbMYkV8p7fJzSqZgyek
1882-04-30,END,i-7WZCoVwVTaE6GTdTUNGtzh
1965-01-01,START,i-7NY6bNiHjw7ozokGgFydkR
1965-12-31,END,i-7NY6bNiHjw7ozokGgFydkR
1940-07-03,END,i-TxRCzzgetP7718TE7usGwh
1894-02-05,END,i-5bGKNjnEqDoRd1UNtS66p8
1871-09-14,END,i-34rT6BP1drc785SNXKKW3g
1867-04-24,END,i-SHW87cHVMCQaaznoE9ZBmu
1958-12-05,END,i-VBCs6AeZSaH6nSiSSYe6iN
1887-06-17,END,i-EBJajA8LzwBaLyBVQxuFTz
1888-01-01,END,i-EBJajA8LzwBaLyBVQxuFTz
1902-12-31,END,i-EBJajA8LzwBaLyBVQxuFTz
1954-11-13,END,i-MgzDufhZfCxfGge5T9Gycu
1964-05-11,START,i-JPcMnktADiVLFCozHa7Fnc
1929-04-05,START,i-7NooNyWKJ33i7YNm5KahRn
1888-04-20,END,i-FBqnnZt6zvmwFVLD1bjimL
1894-03-19,START,i-99ornwsfDdeiuFqfTPvwWz
1950-08-30,END,i-NwFsYdDsyNBsSsUhXsXfnr
1898-07-17,END,i-AAqwCtq1uiCsRVNQ99pvu2
1916-01-24,START,i-KWrhxZryozrMbUBwynBzA4
1953-06-29,END,i-MHwzHx2BRZmuZPpg2gHYPQ
1877-01-01,START,i-Akp6TAGeiXLBcodZf8itDp
1877-05-26,END,i-Akp6TAGeiXLBcodZf8itDp
1879-12-25,END,i-PqmcVRtJmAcDnyfsoss1EQ
1899-09-07,END,i-NiA1dyx2BSWz4KdDJzotg9
1880-03-30,START,i-QNz9Kdo9STo5KMqBdfTsFc
1880-02-12,END,i-8VMVm6rDXcdZ4KeTzeZfrG
1953-10-19,START,i-JLY3p26xejRyBbJ4nnCgae
1943-10-06,START,i-WVwj2Ez8Vuor2QWmUFXfh9
1943-10-06,END,i-JnuZjJswUM4d7eeyfhSVGt
