wiki_id,author,date,subject,title,url
Q107065574,http://www.wikidata.org/entity/Q4940303,2021-05-26,jämställdhet,Ekonomisk jämställdhet,http://data.riksdagen.se/dokument/H810768
Q107065574,http://www.wikidata.org/entity/Q4940303,2021-05-26,jämställdhet,Ekonomisk jämställdhet,http://data.riksdagen.se/dokumentstatus/H810768
Q107065574,http://www.wikidata.org/entity/Q4940303,2021-05-26,jämställdhet,Ekonomisk jämställdhet,http://data.riksdagen.se/fil/6B52F8FA-6892-4DAE-8A54-0A9567D70586
Q107065579,http://www.wikidata.org/entity/Q70529257,2021-05-25,förskola,Språkförskola,http://data.riksdagen.se/dokument/H810758
Q107065579,http://www.wikidata.org/entity/Q70529257,2021-05-25,förskola,Språkförskola,http://data.riksdagen.se/dokumentstatus/H810758
Q107065579,http://www.wikidata.org/entity/Q70529257,2021-05-25,förskola,Språkförskola,http://data.riksdagen.se/fil/07E00E8F-275D-4FD6-95FD-C0E70D1C4C39
Q107065588,http://www.wikidata.org/entity/Q1681740,2021-05-21,arbetslöshet,Arbetslösheten i Sverige,http://data.riksdagen.se/dokument/H810753
Q107065588,http://www.wikidata.org/entity/Q1681740,2021-05-21,arbetslöshet,Arbetslösheten i Sverige,http://data.riksdagen.se/dokumentstatus/H810753
Q107065588,http://www.wikidata.org/entity/Q1681740,2021-05-21,arbetslöshet,Arbetslösheten i Sverige,http://data.riksdagen.se/fil/1E07D2A0-A4CD-4978-805A-F5E0EA085551
Q107065590,http://www.wikidata.org/entity/Q6030080,2021-05-20,Estoniakatastrofen,Ny utredning om militärtransporter på Estonia,http://data.riksdagen.se/dokument/H810750
Q107065590,http://www.wikidata.org/entity/Q6030080,2021-05-20,Estoniakatastrofen,Ny utredning om militärtransporter på Estonia,http://data.riksdagen.se/dokumentstatus/H810750
Q107065590,http://www.wikidata.org/entity/Q6030080,2021-05-20,Estoniakatastrofen,Ny utredning om militärtransporter på Estonia,http://data.riksdagen.se/fil/8F7E9D89-27C8-47BB-BCD2-D09102919F9C
Q107065593,http://www.wikidata.org/entity/Q30035697,2021-05-20,vindkraft,Buller från vindkraftverk,http://data.riksdagen.se/dokument/H810752
