titel,name,party,start,end,chamber,id,loc,start_manual,end_manual
talman,Gustaf Nilsson,s,1953-01-01,1956-12-31,Andra kammaren,gustaf_nilsson_talman,,False,False
talman,Patrik Svensson,s,1958-06-18,1960-07-17,Andra kammaren,patrik_svensson_talman,,True,True
talman,Fridolf Thapper,s,1960-10-19,1968-12-31,Andra kammaren,fridolf_thapper_talman,,True,False
talman,Henry Allard,s,1969-01-01,1970-12-31,Andra kammaren,henry_allard_talman,,False,False
talman,Henry Allard,s,1971-01-15,1979-10-30,Enkammarriksdagen,henry_allard_talman,,True,True
talman,Ingemund Bengtsson,s,1979-10-01,1988-10-02,Enkammarriksdagen,ingemund_bengtsson_talman,,True,True
talman,Thage G. Peterson,s,1988-10-03,1991-09-29,Enkammarriksdagen,thage_g_peterson_talman,,True,True
talman,Ingegerd Troedsson,m,1991-09-30,1994-10-02,Enkammarriksdagen,ingegerd_troedsson_talman,,True,True
talman,Birgitta Dahl,s,1994-10-03,2002-09-29,Enkammarriksdagen,birgitta_dahl_talman,,True,True
talman,Björn von Sydow,s,2002-09-30,2006-10-01,Enkammarriksdagen,bjorn_von_sydow_talman,,True,True
talman,Per Westerberg,m,2006-10-02,2014-09-28,Enkammarriksdagen,per_westerberg_talman,,True,True
talman,Urban Ahlin,s,2014-09-29,2018-09-23,Enkammarriksdagen,urban_ahlin_talman,,True,True
talman,Andreas Norlén,m,2018-09-24,2022-09-11,Enkammarriksdagen,andreas_norlen_talman,,True,True
