name,replacer,party,district,start,end,note,chamber,id,party_abbrev,gender
Åke Wictorsson,Ingvar Carlsson,Socialdemokraterna,Stockholms län,1985,1988,,Enkammarriksdagen,ake_wictorsson_c86538,S,man
Reynoldh Furustrand,Svante Lundkvist,Socialdemokraterna,Södermanlands län,1985,1988,,Enkammarriksdagen,reynoldh_furustrand_f19808,S,man
Bengt-Ola Ryttar,Kjell-Olof Feldt,Socialdemokraterna,Kopparbergs län,1985,1988,,Enkammarriksdagen,bengt-ola_ryttar_679411,S,man
Stig Gustafsson,Gertrud Sigurdsen,Socialdemokraterna,Stockholms kommun,1985,1988,,Enkammarriksdagen,stig_gustafsson_2c8390,S,man
Christer Skoog,Hans Gustafsson,Socialdemokraterna,Blekinge län,1985,1988,,Enkammarriksdagen,christer_skoog_6a387a,S,man
Hans-Eric Andersson,Anna-Greta Leijon,Socialdemokraterna,Stockholms län,1985,1988,,Enkammarriksdagen,hans-eric_andersson_30f458,S,man
Yngve Wernersson,Lena Hjelm-Wallén,Socialdemokraterna,Västmanlands län,1985,1988,,Enkammarriksdagen,yngve_wernersson_a385a8,S,man
Eva Johansson,Thage G. Peterson,Socialdemokraterna,Stockholms län,1985,1988,,Enkammarriksdagen,eva_johansson_e679c5,S,woman
Margareta Persson,Sten Andersson,Socialdemokraterna,Stockholms kommun,1985,1988,,Enkammarriksdagen,margareta_persson_cb2d91,S,woman
Torgny Larsson,Bengt Göransson,Socialdemokraterna,Göteborgs kommun,1985,1988,,Enkammarriksdagen,torgny_larsson_e14d63,S,man
Bengt Lindqvist,Anita Gradin,Socialdemokraterna,Stockholms kommun,1985,1988,,Enkammarriksdagen,bengt_lindqvist_fc9b2e,S,man
Mats O. Karlsson,Birgitta Dahl,Socialdemokraterna,Uppsala län,1985,1988,,Enkammarriksdagen,mats_o_karlsson_5b999f,S,man
Jarl Lander,Roine Carlsson,Socialdemokraterna,Värmlands län,1985,1988,,Enkammarriksdagen,jarl_lander_6905c2,S,man
Barbro Nilsson,Bo Holmberg,Socialdemokraterna,Västernorrlands län,1985,1988,,Enkammarriksdagen,barbro_nilsson_fa468c,S,woman
Gerd Engman,Mats Hellström,Socialdemokraterna,Stockholms kommun,1985,1988,,Enkammarriksdagen,gerd_engman_d16a14,S,man
Lars Gustafsson,Ingvar Carlsson,Socialdemokraterna,Stockholms län,1988,1991,,Enkammarriksdagen,lars_gustafsson_5cf37e,S,man
Leo Persson,Kjell-Olof Feldt,Socialdemokraterna,Kopparbergs län,1988,1991,,Enkammarriksdagen,leo_persson_f59abe,S,man
Barbro Evermo Palmerlund,Gertrud Sigurdsen,Socialdemokraterna,Stockholms kommun,1988,1991,,Enkammarriksdagen,barbro_evermo_palmerlund_88af25,S,woman
