decade,name,born,municipality,district,chamber,year,id,gender,party,start,end
ea_2077_59618_1_1976,Per-Axel Emanuel Nilsson,1920,,Gotlands län,,1976,per-axel_emanuel_nilsson_a56517,man,,1976,1976
ea_2077_59618_1_1976,Kurt Ingemar Hugosson,1931,,,,1976,kurt_ingemar_hugosson_699572,man,,1976,1976
ea_2077_59618_1_1976,Anna Christina Rogestam,1943,,,,1976,anna_christina_rogestam_8d29d5,woman,,1976,1976
ea_2077_59618_1_1976,Sven Erik Axel Ekström,1912,,,,1976,sven_erik_axel_ekstrom_80d65c,man,,1976,1976
ea_2077_59618_1_1976,Rolf Odar Mauritz Sellgren,1919,,,,1976,rolf_odar_mauritz_sellgren_97c8c4,man,,1976,1976
ea_2077_59619_1_1974,Oskar William Lindkvist,1921,,,,1974,oskar_william_lindkvist_5a8a07,man,,1974,1974
ea_2077_59619_1_1974,Alf Wemnnerfors,1928,,,,1974,alf_wemnnerfors_9eff22,man,,1974,1974
ea_2077_59619_1_1974,Åke Valfrid Wictorsson,1932,,,,1974,ake_valfrid_wictorsson_a90479,man,,1974,1974
ea_2077_59619_1_1974,Per-Axel Emanuel Nilsson,1920,,Blekinge län,,1974,per-axel_emanuel_nilsson_6b7789,man,,1974,1974
ea_2077_59619_1_1974,Kurt Ingemar Hugosson,1931,,,,1974,kurt_ingemar_hugosson_c746cd,man,,1974,1974
ea_2077_59619_1_1974,Gustaf Anders Rune Torwald,1924,,,,1974,gustaf_anders_rune_torwald_308699,man,,1974,1974
ea_2077_59619_1_1974,Anna Christina Rogestam,1943,,,,1974,anna_christina_rogestam_ec07e5,woman,,1974,1974
ea_2077_59619_1_1974,Sven Erik Axel Ekström,1912,,,,1974,sven_erik_axel_ekstrom_dacd15,man,,1974,1974
ea_2077_59619_1_1974,Rolf Odar Mauritz Sellgren,1919,,,,1974,rolf_odar_mauritz_sellgren_2afb14,man,,1974,1974
ea_2077_59621_1_1977,Oskar William Lindkvist,1921,,,,1977,oskar_william_lindkvist_01a13b,man,,1977,1977
ea_2077_59621_1_1977,Alf Wennerfors,1928,,,,1977,alf_wennerfors_73ddfe,man,,1977,1977
ea_2077_59621_1_1977,Åke Valfrid Wictorsson,1932,,,,1977,ake_valfrid_wictorsson_cf638e,man,,1977,1977
ea_2077_59621_1_1977,Sven Lennart Börje Stensson,1925,,,,1977,sven_lennart_borje_stensson_86218a,man,,1977,1977
ea_2077_59621_1_1977,Per-Axel Emanuel Nilsson,1920,,Blekinge län,,1977,per-axel_emanuel_nilsson_10591e,man,,1977,1977
ea_2077_59621_1_1977,Kurt Ingemar Hugosson,1931,,,,1977,kurt_ingemar_hugosson_485ce6,man,,1977,1977
ea_2077_59621_1_1977,Sten Ivan Svensson,1937,,,,1977,sten_ivan_svensson_464e74,man,,1977,1977
ea_2077_59621_1_1977,John Rolf Lennart Örjes,1932,,,,1977,john_rolf_lennart_orjes_40423d,man,,1977,1977
ea_2077_59621_1_1977,Lars Folke Ahlmark,1935,,Östergötlands län,,1977,lars_folke_ahlmark_27f064,man,,1977,1977
ea_2077_59622_1_1978,Oskar William Lindkvist,1921,,,,1978,oskar_william_lindkvist_abd7e2,man,,1978,1978
ea_2077_59622_1_1978,Alf Wennerfors,1928,,,,1978,alf_wennerfors_61b195,man,,1978,1978
ea_2077_59622_1_1978,Arne Alvar Enar Fransson,1938,,,,1978,arne_alvar_enar_fransson_99fe9b,man,,1978,1978
ea_2077_59622_1_1978,Per-Axel Emanuel Nilsson,1920,,Gotlands län,,1978,per-axel_emanuel_nilsson_ee1be8,man,,1978,1978
ea_2077_59622_1_1978,Kurt Ingemar Hugosson,1931,,,,1978,kurt_ingemar_hugosson_b99c94,man,,1978,1978
ea_2077_59622_1_1978,Avd Socionom,1920,,,,1978,avd_socionom_97dd5d,,,1978,1978
ea_2077_59622_1_1978,Sten Ivan Svensson,1937,,,,1978,sten_ivan_svensson_aa6ec3,man,,1978,1978
ea_2077_59622_1_1978,Rolf Odar Mauritz Sellgren,1919,,,,1978,rolf_odar_mauritz_sellgren_865066,man,,1978,1978
ea_2077_59622_1_1978,John Rolf Lennart Örjes,1932,,,,1978,john_rolf_lennart_orjes_748a5a,man,,1978,1978
ea_2077_59622_1_1978,Lars Folke Ahlmark,1935,,Östergötlands län,,1978,lars_folke_ahlmark_89654e,man,,1978,1978
ea_2077_59641_1_1979,Arne Lennart Inspektör John,1920,,Kristianstads län,,1979,arne_lennart_inspektor_john_55badc,man,,1979,1979
ea_2077_62800_1_1920,Gustaf Gerhard Magnusson,1872,,,,1920,gustaf_gerhard_magnusson_16f70f,man,,1920,1920
ea_2077_62800_1_1920,Ernst Trygger,1857,,,,1920,ernst_trygger_7b57cf,man,,1920,1920
ea_2077_62800_1_1920,Ernst Alarik Klefbeck,1866,,,,1920,ernst_alarik_klefbeck_d731e7,man,,1920,1920
ea_2077_62800_1_1920,Carl Gustaf Lindley,1865,,,,1920,carl_gustaf_lindley_cc937b,man,,1920,1920
ea_2077_62800_1_1920,Jan Erik Berglund,1864,,,,1920,jan_erik_berglund_c80268,man,,1920,1920
ea_2077_62800_1_1920,Johan Östberg,1855,,,,1920,johan_ostberg_501936,man,,1920,1920
ea_2077_62800_1_1920,Carl Romanus,1876,,,,1920,carl_romanus_b810c2,man,,1920,1920
ea_2077_62800_1_1920,Herman Fredrik Lamm,1853,,,,1920,herman_fredrik_lamm_78b786,man,,1920,1920
ea_2077_62800_1_1920,Oscar Edvin Larsson,1880,,Stockholms län,,1920,oscar_edvin_larsson_6ad7ea,man,,1920,1920
ea_2077_62800_1_1920,Fritz Gustav Möller,1884,,,,1920,fritz_gustav_moller_884153,man,,1920,1920
ea_2077_62800_1_1920,Byråchef Greve,1860,,,,1920,byrachef_greve_460dd0,,,1920,1920
ea_2077_62800_1_1920,Nils Adolf Berge,1869,,,,1920,nils_adolf_berge_411572,man,,1920,1920
ea_2077_62800_1_1920,Karl Gustaf Theodor Borell,1869,,,,1920,karl_gustaf_theodor_borell_f22923,man,,1920,1920
ea_2077_62800_1_1920,Per Alfred Petersson,1860,,,,1920,per_alfred_petersson_73356f,man,,1920,1920
ea_2077_62800_1_1920,Helge Mattias Bäckström,1865,,Uppsala län,,1920,helge_mattias_backstrom_aaade0,man,,1920,1920
ea_2077_62800_1_1920,Pro- Axel,1870,,,,1920,pro-_axel_a47519,,,1920,1920
ea_2077_62800_1_1920,Nils Erik Alexanderson,1875,,Södermanlands län,,1920,nils_erik_alexanderson_b340ed,man,,1920,1920
ea_2077_62800_1_1920,Carl Emil Svensson,1879,,,,1920,carl_emil_svensson_3a8250,man,,1920,1920
ea_2077_62800_1_1920,Assar Emanuel Åkerman,1860,,,,1920,assar_emanuel_akerman_a0f227,man,,1920,1920
ea_2077_62800_1_1920,Axel Modig,1859,,,,1920,axel_modig_64d379,man,,1920,1920
ea_2077_62800_1_1920,Gustaf Robert Sederholm,1868,,,,1920,gustaf_robert_sederholm_aab8c3,man,,1920,1920
ea_2077_62800_1_1920,Johan Malcolm Juhlin,1859,,,,1920,johan_malcolm_juhlin_cb1ba7,man,,1920,1920
ea_2077_62800_1_1920,Johan Axel Träff,1875,,,,1920,johan_axel_traff_cea7a2,man,,1920,1920
ea_2077_62800_1_1920,Karl Gustaf Westman,1876,,,,1920,karl_gustaf_westman_8a95b6,man,,1920,1920
ea_2077_62800_1_1920,Oscar Herman August Fleming,1859,,,,1920,oscar_herman_august_fleming_673aa8,man,,1920,1920
ea_2077_62800_1_1920,Johan Einar Thulin,1883,,,,1920,johan_einar_thulin_0b18f4,man,,1920,1920
ea_2077_62800_1_1920,Axel Theodor Adelswärd,1860,,,,1920,axel_theodor_adelsward_7d7d46,man,,1920,1920
ea_2077_62800_1_1920,Albert Bergström,1919,,,,1920,albert_bergstrom_2c4da4,man,,1920,1920
ea_2077_62800_1_1920,Henning Gösta Andersson,1877,,,,1920,henning_gosta_andersson_bf2391,man,,1920,1920
ea_2077_62800_1_1920,Carl Johan Gustaf Swartz,1858,,Jönköpings län,,1920,carl_johan_gustaf_swartz_e5e942,man,,1920,1920
ea_2077_62800_1_1920,Karl Johan Alfred Gustafsson,1862,,,,1920,karl_johan_alfred_gustafsson_711cec,man,,1920,1920
ea_2077_62800_1_1920,Landssekrete- Greve,1861,,,,1920,landssekrete-_greve_7e4386,,,1920,1920
ea_2077_62800_1_1920,Salomon Malkolm Petterson,1919,,,,1920,salomon_malkolm_petterson_e88025,man,,1920,1920
ea_2077_62800_1_1920,Karl Gustav Rosling,1868,,,,1920,karl_gustav_rosling_3bf86e,man,,1920,1920
ea_2077_62800_1_1920,Karl Johan Ekman,1863,,Kronobergs län,,1920,karl_johan_ekman_29807b,man,,1920,1920
ea_2077_62800_1_1920,Aaby Arvid Wilhelm Eriesson,1859,,,,1920,aaby_arvid_wilhelm_eriesson_5de0e0,,,1920,1920
ea_2077_62800_1_1920,August Ljunggren,1874,,,,1920,august_ljunggren_c4c491,man,,1920,1920
ea_2077_62800_1_1920,Hemmansägare Magnus,1857,,,,1920,hemmansagare_magnus_90533a,,,1920,1920
ea_2077_62800_1_1920,Nils Anton Bondeson,1919,,Kalmar län,,1920,nils_anton_bondeson_20db35,man,,1920,1920
ea_2077_62800_1_1920,Uno Bernhard Steinholtz,1872,,,,1920,uno_bernhard_steinholtz_4c6c98,man,,1920,1920
ea_2077_62800_1_1920,Axel Olof Rune,1866,,Kalmar län,,1920,axel_olof_rune_29dceb,man,,1920,1920
ea_2077_62800_1_1920,Carl Petrus Valdemar Nilsson,1881,,,,1920,carl_petrus_valdemar_nilsson_d958af,man,,1920,1920
ea_2077_62800_1_1920,Gustaf Henrik Malmberg,1869,,,,1920,gustaf_henrik_malmberg_a20384,man,,1920,1920
ea_2077_62800_1_1920,John Jeansson,1865,,,,1920,john_jeansson_59dc36,man,,1920,1920
ea_2077_62800_1_1920,Carl Gustaf Boberg,1859,,,,1920,carl_gustaf_boberg_e4735d,man,,1920,1920
ea_2077_62800_1_1920,Lands- Greve,1855,,,,1920,lands-_greve_5413c3,,,1920,1920
ea_2077_62800_1_1920,Karl Johan Daniel Schlyter,1879,,,,1920,karl_johan_daniel_schlyter_f474e5,man,,1920,1920
ea_2077_62800_1_1920,Gustaf Albin Bergström,1864,,,,1920,gustaf_albin_bergstrom_e0643f,man,,1920,1920
ea_2077_62800_1_1920,John Ingmansson,1845,,Kristianstads län,,1920,john_ingmansson_f18257,man,,1920,1920
ea_2077_62800_1_1920,Gustaf Nilsson,1880,,,,1920,gustaf_nilsson_03382f,man,,1920,1920
ea_2077_62800_1_1920,Johan Nilsson,1874,,,,1920,johan_nilsson_74e18e,man,,1920,1920
ea_2077_62800_1_1920,Fredrik William Linder,1876,,,,1920,fredrik_william_linder_89f54d,man,,1920,1920
ea_2077_62800_1_1920,Nils August Nilsson,1867,,,,1920,nils_august_nilsson_2cf7f1,man,,1920,1920
ea_2077_62800_1_1920,Knut Ebbe Geijer,1864,,,,1920,knut_ebbe_geijer_c6ac3b,man,,1920,1920
ea_2077_62800_1_1920,Olof Olsson,1862,,,,1920,olof_olsson_9802cb,man,,1920,1920
ea_2077_62800_1_1920,Nils Richard Wohlin,1881,,,,1920,nils_richard_wohlin_cd0eab,man,,1920,1920
ea_2077_62800_1_1920,Carl Johan Fritiof Lindskog,1879,,,,1920,carl_johan_fritiof_lindskog_59a8ba,man,,1920,1920
ea_2077_62800_1_1920,Carl Johansson,1856,,,,1920,carl_johansson_7c7ee1,man,,1920,1920
ea_2077_62800_1_1920,Jacob Timoteus Larsson,1851,,,,1920,jacob_timoteus_larsson_650b2f,man,,1920,1920
ea_2077_62800_1_1920,Anders Antonsson,1856,,,,1920,anders_antonsson_38af92,man,,1920,1920
ea_2077_62800_1_1920,Carl Filip Gunnar Andersson,1865,,Hallands län,,1920,carl_filip_gunnar_andersson_a54b2b,man,,1920,1920
ea_2077_62800_1_1920,Johan Bernhard Johansson,1877,,,,1920,johan_bernhard_johansson_5c5a88,man,,1920,1920
ea_2077_62800_1_1920,Ollas Anders Eriesson,1858,,Göteborgs och Bohus län,,1920,ollas_anders_eriesson_d4c0d1,,,1920,1920
ea_2077_62800_1_1920,Eric Adolf Hallin,1870,,,,1920,eric_adolf_hallin_208602,man,,1920,1920
ea_2077_62800_1_1920,Karl Andreas Andersson,1875,,,,1920,karl_andreas_andersson_70fbfe,man,,1920,1920
ea_2077_62800_1_1920,Sigfrid Hansson,1884,,,,1920,sigfrid_hansson_30a9c8,,,1920,1920
ea_2077_62800_1_1920,Ernst Jönsson,1866,,,,1920,ernst_jonsson_ad3130,man,,1920,1920
ea_2077_62800_1_1920,Isak Svensson,1864,,,,1920,isak_svensson_b19e4a,man,,1920,1920
ea_2077_62800_1_1920,Anders Christenson Lindblad,1866,,,,1920,anders_christenson_lindblad_7d200e,man,,1920,1920
ea_2077_62800_1_1920,Gustaf Boman,1861,,,,1920,gustaf_boman_837d63,man,,1920,1920
ea_2077_62800_1_1920,Samuel Clason,1867,,,,1920,samuel_clason_bfd687,man,,1920,1920
ea_2077_62800_1_1920,Hugo Erik Gustaf Hamilton,1849,,,,1920,hugo_erik_gustaf_hamilton_4a21b6,man,,1920,1920
ea_2077_62800_1_1920,Olaus Pettersson,1859,,,,1920,olaus_pettersson_46249f,man,,1920,1920
ea_2077_62800_1_1920,Karl Johan Sandegård,1880,,,,1920,karl_johan_sandegard_b1dffb,man,,1920,1920
ea_2077_62800_1_1920,Johan Johansson,1868,,,,1920,johan_johansson_fd5ee0,man,,1920,1920
ea_2077_62800_1_1920,Sixten Oskar Nylander,1853,,,,1920,sixten_oskar_nylander_9b21cf,man,,1920,1920
ea_2077_62800_1_1920,Gustaf Kobb,1863,,,,1920,gustaf_kobb_68ad8f,man,,1920,1920
ea_2077_62800_1_1920,Lektor Edvard,1878,,,,1920,lektor_edvard_f7e32c,,,1920,1920
ea_2077_62800_1_1920,Disponent Aron,1870,,Skaraborgs län,,1920,disponent_aron_2b6b45,,,1920,1920
ea_2077_62800_1_1920,Clemens Gustaf Barthelson,1854,,,,1920,clemens_gustaf_barthelson_6735ac,man,,1920,1920
ea_2077_62800_1_1920,August Vilhelm Söderbom,1861,,,,1920,august_vilhelm_soderbom_9b642a,man,,1920,1920
ea_2077_62800_1_1920,Carl Adolf Erland Hofsten,1870,,,,1920,carl_adolf_erland_hofsten_f7d8ab,man,,1920,1920
ea_2077_62800_1_1920,Viktor Edward Larson,1867,,,,1920,viktor_edward_larson_4e5b67,man,,1920,1920
ea_2077_62800_1_1920,Ernst Wilhelm Svensson,1880,,,,1920,ernst_wilhelm_svensson_2a8557,man,,1920,1920
ea_2077_62800_1_1920,Knut Abel Tengdahl,1867,,,,1920,knut_abel_tengdahl_aff472,man,,1920,1920
ea_2077_62800_1_1920,Karl Mauritz Bernhard Hellberg,1859,,,,1920,karl_mauritz_bernhard_hellberg_0d824a,man,,1920,1920
ea_2077_62800_1_1920,Gustaf Alfred Strömberg,1880,,,,1920,gustaf_alfred_stromberg_dbf5c7,man,,1920,1920
ea_2077_62800_1_1920,Karl August Nilson,1864,,,,1920,karl_august_nilson_276ac9,man,,1920,1920
ea_2077_62800_1_1920,Johan Carlsson,1864,,,,1920,johan_carlsson_6667aa,man,,1920,1920
ea_2077_62800_1_1920,Åke Ingeström,1867,,,,1920,ake_ingestrom_4921ce,man,,1920,1920
ea_2077_62800_1_1920,Carl Immanuel Asplund,1872,,Örebro län,,1920,carl_immanuel_asplund_6b6258,man,,1920,1920
