Plats,Ledamot,Parti,Parti,Valkrets
336,Sofia Westergren,,Moderaterna,Västra Götalands läns västra
197,Cecilia Widegren[n 1],,Moderaterna,Västra Götalands läns östra
144,Niklas Wykman,,Moderaterna,Stockholms län
347,Viktor Wärnick,,Moderaterna,Gävleborgs län
38,Boriana Åberg,,Moderaterna,Skåne läns södra
236,Ann-Britt Åsebol,,Moderaterna,Dalarnas län
285,Alireza Akhondi,,Centerpartiet,Värmlands län
46,Daniel Bäckström[n 1],,Centerpartiet,Värmlands län
330,Jonny Cato[n 3],,Centerpartiet,Skåne läns västra
194,Fredrik Christensson[n 1],,Centerpartiet,Västra Götalands läns norra
216,Magnus Ek,,Centerpartiet,Östergötlands län
90,Eskil Erlandsson[n 1],,Centerpartiet,Kronobergs län
172,Johan Hedin,,Centerpartiet,Stockholms kommun
233,Ulrika Heie[n 1],,Centerpartiet,Västra Götalands läns östra
309,Peter Helander,,Centerpartiet,Dalarnas län
325,Martina Johansson,,Centerpartiet,Södermanlands län
39,Ola Johansson[n 1],,Centerpartiet,Hallands län
239,Anders W. Jonsson[n 1],,Centerpartiet,Gävleborgs län
206,Johanna Jönsson,,Centerpartiet,Stockholms kommun
136,Emil Källström[n 1],,Centerpartiet,Västernorrlands län
101,Mikael Larsson[n 1],,Centerpartiet,Västra Götalands läns södra
168,Helena Lindahl[n 1],,Centerpartiet,Västerbottens län
29,Per Lodenius,,Centerpartiet,Stockholms län
3,Kerstin Lundgren[n 4],,Centerpartiet,Stockholms län
218,Annie Lööf[n 1],,Centerpartiet,Jönköpings län
349,Linda Modig[n 1][n 5],,Centerpartiet,Norrbottens län
333,Sofia Nilsson[n 1],,Centerpartiet,Skåne läns norra och östra
157,Rickard Nordin,,Centerpartiet,Göteborgs kommun
221,Niels Paarup-Petersen,,Centerpartiet,Malmö kommun
228,Annika Qarlsson,,Centerpartiet,Västra Götalands läns västra
14,Lars Thomsson[n 1],,Centerpartiet,Gotlands län
306,Helena Vilhelmsson[n 1],,Centerpartiet,Örebro län
124,Kristina Yngwe[n 1],,Centerpartiet,Skåne läns södra
30,Solveig Zander,,Centerpartiet,Uppsala län
278,Martin Ådahl,,Centerpartiet,Stockholms kommun
11,Anders Åkesson[n 1],,Centerpartiet,Kalmar län
48,Per Åsling[n 1],,Centerpartiet,Jämtlands län
112,Maria Arnholm,,Liberalerna,Stockholms län
242,Gulan Avci,,Liberalerna,Stockholms län
28,Jan Björklund[n 1],,Liberalerna,Stockholms län
149,Juno Blom[n 1],,Liberalerna,Östergötlands län
219,Emma Carlsson Löfdahl[n 1] [n 6],,Liberalerna,Jönköpings län
41,Bengt Eliasson,,Liberalerna,Hallands län
317,Joar Forssell,,Liberalerna,Stockholms kommun
302,Helena Gellerman,,Liberalerna,Västra Götalands läns västra
75,Roger Haddad[n 1],,Liberalerna,Västmanlands län
191,Robert Hannah[n 1],,Liberalerna,Göteborgs kommun
51,Fredrik Malm,,Liberalerna,Stockholms kommun
262,Maria Nilsson,,Liberalerna,Göteborgs kommun
179,Lina Nordquist[n 1],,Liberalerna,Uppsala län
188,Christer Nylander[n 1],,Liberalerna,Skåne läns norra och östra
163,Johan Pehrson[n 1],,Liberalerna,Örebro län
95,Mats Persson,,Liberalerna,Skåne läns södra
259,Torkild Strandberg[n 1],,Liberalerna,Skåne läns västra
162,Arman Teimouri[n 1],,Liberalerna,Värmlands län
6,Barbro Westerholm,,Liberalerna,Stockholms län
122,Allan Widman,,Liberalerna,Malmö kommun
344,Lars Adaktusson[n 1],,Kristdemokraterna,Dalarnas län
294,Michael Anefur,,Kristdemokraterna,Skåne läns västra
291,Acko Ankarberg Johansson,,Kristdemokraterna,Jönköpings län
284,Camilla Brodin,,Kristdemokraterna,Stockholms län
340,Ebba Busch[n 1][n 7],,Kristdemokraterna,Uppsala län
254,Andreas Carlson[n 1],,Kristdemokraterna,Jönköpings län
94,Sofia Damm,,Kristdemokraterna,Skåne läns södra
307,Hans Eklind[n 1],,Kristdemokraterna,Örebro län
85,Jakob Forssmed,,Kristdemokraterna,Stockholms län
299,Hampus Hagman,,Kristdemokraterna,Göteborgs kommun
82,Robert Halef,,Kristdemokraterna,Stockholms län
131,Magnus Jacobsson,,Kristdemokraterna,Västra Götalands läns norra
70,Ingemar Kihlström,,Kristdemokraterna,Västra Götalands läns södra
91,Jimmy Loord,,Kristdemokraterna,Kalmar län
59,Magnus Oscarsson[n 1],,Kristdemokraterna,Östergötlands län
8,Mikael Oscarsson[n 1],,Kristdemokraterna,Uppsala län
133,Kjell-Arne Ottosson[n 1],,Kristdemokraterna,Värmlands län
156,Tuve Skånberg,,Kristdemokraterna,Skåne läns norra och östra
324,Pia Steensland,,Kristdemokraterna,Södermanlands län
111,Caroline Szyber,,Kristdemokraterna,Stockholms kommun
67,Larry Söder,,Kristdemokraterna,Hallands län
265,Roland Utbult,,Kristdemokraterna,Västra Götalands läns västra
19,Ann-Christin Ahlberg,,Socialdemokraterna,Västra Götalands läns södra
32,Johan Andersson,,Socialdemokraterna,Östergötlands län
114,Magdalena Andersson[n 1],,Socialdemokraterna,Stockholms län
52,Ibrahim Baylan,,Socialdemokraterna,Stockholms län
342,Denis Begic,,Socialdemokraterna,Örebro län
232,Patrik Björck,,Socialdemokraterna,Västra Götalands läns östra
93,Heléne Björklund[n 1],,Socialdemokraterna,Blekinge län
293,Yasmine Bladelius[n 8],,Socialdemokraterna,Skåne läns västra
241,Sven-Erik Bucht[n 1],,Socialdemokraterna,Norrbottens län
178,Marlene Burwick,,Socialdemokraterna,Uppsala län
190,Johan Büser,,Socialdemokraterna,Göteborgs kommun
98,Gunilla Carlsson,,Socialdemokraterna,Göteborgs kommun
118,Teresa Carvalho,,Socialdemokraterna,Östergötlands län
73,Mikael Dahlqvist,,Socialdemokraterna,Värmlands län
26,Mikael Damberg,,Socialdemokraterna,Stockholms län
40,Adnan Dibrani[n 1],,Socialdemokraterna,Hallands län
251,Hans Ekström,,Socialdemokraterna,Södermanlands län
184,Jamal El-Haj[n 1],,Socialdemokraterna,Malmö kommun
120,Tomas Eneroth[n 1],,Socialdemokraterna,Kronobergs län
308,Patrik Engström,,Socialdemokraterna,Dalarnas län
134,Åsa Eriksson,,Socialdemokraterna,Västmanlands län
164,Matilda Ernkrans,,Socialdemokraterna,Örebro län
304,Erik Ezelius,,Socialdemokraterna,Västra Götalands läns östra
339,Aylin Fazelian,,Socialdemokraterna,Västra Götalands läns västra
264,Kenneth G. Forslund,,Socialdemokraterna,Västra Götalands läns västra
139,Isak From,,Socialdemokraterna,Västerbottens län
182,Monica Haider,,Socialdemokraterna,Kronobergs län
33,Lena Hallengren[n 1],,Socialdemokraterna,Kalmar län
288,Johanna Haraldsson,,Socialdemokraterna,Jönköpings län
100,Jörgen Hellman,,Socialdemokraterna,Västra Götalands läns norra
248,Helene Hellmark Knutsson,,Socialdemokraterna,Stockholms län
250,Caroline Helmersson Olsson,,Socialdemokraterna,Södermanlands län
17,Hans Hoff,,Socialdemokraterna,Hallands län
160,Paula Holmqvist,,Socialdemokraterna,Västra Götalands läns norra
200,Peter Hultqvist[n 1],,Socialdemokraterna,Dalarnas län
260,Per-Arne Håkansson,,Socialdemokraterna,Skåne läns norra och östra
158,Anna Johansson[n 1],,Socialdemokraterna,Göteborgs kommun
15,Morgan Johansson[n 1],,Socialdemokraterna,Skåne läns södra
24,Ylva Johansson,,Socialdemokraterna,Stockholms kommun
129,Mattias Jonsson,,Socialdemokraterna,Göteborgs kommun
337,Joakim Järrebring,,Socialdemokraterna,Västra Götalands läns västra
312,Ida Karkiainen,,Socialdemokraterna,Norrbottens län
224,Annelie Karlsson,,Socialdemokraterna,Skåne läns norra och östra
292,Niklas Karlsson[n 1],,Socialdemokraterna,Skåne läns västra
205,Åsa Karlsson,,Socialdemokraterna,Västerbottens län
280,Kadir Kasirga,,Socialdemokraterna,Stockholms kommun
61,Tomas Kronståhl,,Socialdemokraterna,Kalmar län
177,Serkan Köse,,Socialdemokraterna,Stockholms län
243,Dag Larsson,,Socialdemokraterna,Stockholms kommun
92,Hillevi Larsson,,Socialdemokraterna,Malmö kommun
21,Lars Mejern Larsson[n 1],,Socialdemokraterna,Värmlands län
167,Malin Larsson,,Socialdemokraterna,Västernorrlands län
64,Rikard Larsson,,Socialdemokraterna,Skåne läns södra
117,Sanne Lennström,,Socialdemokraterna,Uppsala län
170,Teres Lindberg,,Socialdemokraterna,Stockholms kommun
1,Åsa Lindestam[n 9],,Socialdemokraterna,Gävleborgs län
119,Eva Lindh,,Socialdemokraterna,Östergötlands län
274,Elin Lundgren,,Socialdemokraterna,Gävleborgs län
240,Fredrik Lundh Sammeli,,Socialdemokraterna,Norrbottens län
311,Patrik Lundqvist,,Socialdemokraterna,Gävleborgs län
43,Petter Löberg,,Socialdemokraterna,Västra Götalands läns södra
9,Johan Löfstrand,,Socialdemokraterna,Östergötlands län
137,Stefan Löfven[n 1],,Socialdemokraterna,Västernorrlands län
62,Magnus Manhammar[n 1],,Socialdemokraterna,Blekinge län
329,Ola Möller,,Socialdemokraterna,Skåne läns västra
35,Laila Naraghi,,Socialdemokraterna,Kalmar län
56,Pyry Niemi,,Socialdemokraterna,Uppsala län
76,Ingemar Nilsson,,Socialdemokraterna,Västernorrlands län
18,Jennie Nilsson,,Socialdemokraterna,Hallands län
77,Kristina Nilsson,,Socialdemokraterna,Västernorrlands län
23,Pia Nilsson,,Socialdemokraterna,Västmanlands län
55,Ingela Nylund Watz,,Socialdemokraterna,Stockholms län
115,Leif Nysmed,,Socialdemokraterna,Stockholms län
196,Carina Ohlsson,,Socialdemokraterna,Västra Götalands läns östra
215,Fredrik Olovsson,,Socialdemokraterna,Södermanlands län
79,Kalle Olsson[n 1],,Socialdemokraterna,Jämtlands län
88,Mattias Ottosson,,Socialdemokraterna,Östergötlands län
252,Peter Persson,,Socialdemokraterna,Jönköpings län
109,Helén Pettersson,,Socialdemokraterna,Västerbottens län
125,Marianne Pettersson,,Socialdemokraterna,Skåne läns södra
208,Lawen Redar,,Socialdemokraterna,Stockholms kommun
343,Lena Rådström Baastad[n 1],,Socialdemokraterna,Örebro län
220,Joakim Sandell,,Socialdemokraterna,Malmö kommun
87,Ardalan Shekarabi,,Socialdemokraterna,Uppsala län
281,Annika Strandhäll,,Socialdemokraterna,Stockholms kommun
237,Maria Strömkvist,,Socialdemokraterna,Dalarnas län
22,Gunilla Svantorp,,Socialdemokraterna,Värmlands län
78,Anna-Caren Sätherberg,,Socialdemokraterna,Jämtlands län
210,Mathias Tegnér,,Socialdemokraterna,Stockholms län
47,Olle Thorell,,Socialdemokraterna,Västmanlands län
277,Emilia Töyrä,,Socialdemokraterna,Norrbottens län
174,Alexandra Völker,,Socialdemokraterna,Stockholms län
332,Anna Wallentheim,,Socialdemokraterna,Skåne läns norra och östra
13,Hanna Westerén[n 1],,Socialdemokraterna,Gotlands län
143,Åsa Westlund,,Socialdemokraterna,Stockholms län
203,Björn Wiechel,,Socialdemokraterna,Västerbottens län
195,Mats Wiking,,Socialdemokraterna,Västra Götalands läns norra
5,Anders Ygeman[n 1],,Socialdemokraterna,Stockholms kommun
290,Carina Ödebrink,,Socialdemokraterna,Jönköpings län
209,Anders Österberg,,Socialdemokraterna,Stockholms kommun
238,Ulla Andersson[n 1],,Vänsterpartiet,Gävleborgs län
207,Nooshi Dadgostar,,Vänsterpartiet,Stockholms kommun
282,Lorena Delgado Varas,,Vänsterpartiet,Stockholms län
171,Ali Esbati,,Vänsterpartiet,Stockholms kommun
318,Ida Gabrielsson,,Vänsterpartiet,Stockholms län
155,Hanna Gunnarsson[n 1],,Vänsterpartiet,Skåne läns södra
335,Tony Haddou,,Vänsterpartiet,Göteborgs kommun
110,Jens Holm,,Vänsterpartiet,Stockholms kommun
106,Christina Höj Larsen,,Vänsterpartiet,Västernorrlands län
185,Momodou Malcolm Jallow[n 1],,Vänsterpartiet,Malmö kommun
2,Lotta Johnsson Fornarve[n 10],,Vänsterpartiet,Södermanlands län
54,Amineh Kakabaveh[n 1] [n 11],,Vänsterpartiet,Stockholms län
159,Maj Karlsson[n 1],,Vänsterpartiet,Göteborgs kommun
276,Birger Lahti,,Vänsterpartiet,Norrbottens län
193,Yasmine Posio,,Vänsterpartiet,Göteborgs kommun
273,Daniel Riazat[n 1],,Vänsterpartiet,Dalarnas län
173,Karin Rågsjö,,Vänsterpartiet,Stockholms kommun
231,Elin Segerlind,,Vänsterpartiet,Västra Götalands läns norra
138,Jonas Sjöstedt[n 1],,Vänsterpartiet,Västerbottens län
102,Håkan Svenneling[n 1],,Vänsterpartiet,Värmlands län
199,Mia Sydow Mölleby,,Vänsterpartiet,Örebro län
146,Ilona Szatmari Waldau[n 1],,Vänsterpartiet,Uppsala län
127,Jon Thorbjörnson,,Vänsterpartiet,Hallands län
305,Jessica Thunander[n 1],,Vänsterpartiet,Västra Götalands läns östra
135,Vasiliki Tsouplaki[n 1],,Vänsterpartiet,Västmanlands län
326,Ciczie Weidby[n 1],,Vänsterpartiet,Jönköpings län
89,Linda Westerlund Snecker[n 1],,Vänsterpartiet,Östergötlands län
338,Jessica Wetterling[n 1],,Vänsterpartiet,Västra Götalands läns västra
334,Leila Ali Elmi[n 1],,Miljöpartiet,Göteborgs kommun
300,Janine Alm Ericson,,Miljöpartiet,Västra Götalands läns västra
249,Alice Bah Kuhnke[n 1],,Miljöpartiet,Stockholms län
186,Emma Berginger[n 1],,Miljöpartiet,Skåne läns södra
80,Per Bolund,,Miljöpartiet,Stockholms kommun
234,Jonas Eriksson,,Miljöpartiet,Örebro län
69,Elisabeth Falkhaven,,Miljöpartiet,Hallands län
140,Maria Ferm,,Miljöpartiet,Stockholms kommun
27,Gustav Fridolin[n 1],,Miljöpartiet,Stockholms län
147,Maria Gardfjell[n 1],,Miljöpartiet,Uppsala län
289,Emma Hult[n 1],,Miljöpartiet,Jönköpings län
181,Rebecka Le Moine[n 1],,Miljöpartiet,Östergötlands län
153,Rasmus Ling,,Miljöpartiet,Malmö kommun
245,Isabella Lövin[n 1],,Miljöpartiet,Stockholms kommun
226,Anna Sibinska,,Miljöpartiet,Göteborgs kommun
283,Karolina Skog,,Miljöpartiet,Stockholms län
180,Jonas Andersson i Linköping,,Sverigedemokraterna,Östergötlands län
204,Jonas Andersson i Skellefteå,,Sverigedemokraterna,Västerbottens län
154,Lars Andersson,,Sverigedemokraterna,Skåne läns södra
341,Tobias Andersson,,Sverigedemokraterna,Västra Götalands läns östra
187,Clara Aranda,,Sverigedemokraterna,Skåne läns södra
319,Ludvig Aspling,,Sverigedemokraterna,Stockholms län
63,Angelika Bengtsson,,Sverigedemokraterna,Blekinge län
116,Paula Bieler,,Sverigedemokraterna,Uppsala län
247,Bo Broman,,Sverigedemokraterna,Stockholms län
34,Mattias Bäckström Johansson,,Sverigedemokraterna,Kalmar län
263,Alexander Christiansson,,Sverigedemokraterna,Göteborgs kommun
192,Dennis Dioukarev,,Sverigedemokraterna,Göteborgs kommun
96,Staffan Eklöf,,Sverigedemokraterna,Hallands län
301,Aron Emilsson,,Sverigedemokraterna,Västra Götalands läns västra
230,Matheus Enholm,,Sverigedemokraterna,Västra Götalands läns norra
316,Yasmine Eriksson,,Sverigedemokraterna,Stockholms kommun
296,Mikael Eskilandersson,,Sverigedemokraterna,Skåne läns norra och östra
72,Runar Filper,,Sverigedemokraterna,Värmlands län
269,Josef Fransson,,Sverigedemokraterna,Västra Götalands läns östra
165,Ann-Christine From Utterstedt,,Sverigedemokraterna,Västmanlands län
256,Sara Gille[n 12],,Sverigedemokraterna,Malmö kommun
148,Jörgen Grubb,,Sverigedemokraterna,Östergötlands län
310,Roger Hedlund,,Sverigedemokraterna,Gävleborgs län
331,Ebba Hermansson,,Sverigedemokraterna,Skåne läns västra
37,Richard Jomshof,,Sverigedemokraterna,Blekinge län
44,Patrik Jönsson,,Sverigedemokraterna,Västra Götalands läns södra
151,Mattias Karlsson,,Sverigedemokraterna,Kronobergs län
145,Martin Kinnunen,,Sverigedemokraterna,Stockholms län
83,Julia Kronlid,,Sverigedemokraterna,Stockholms län
321,Fredrik Lindahl,,Sverigedemokraterna,Stockholms län
328,Linda Lindberg,,Sverigedemokraterna,Skåne läns västra
327,Angelica Lundberg,,Sverigedemokraterna,Jönköpings län
235,David Lång,,Sverigedemokraterna,Örebro län
287,Adam Marttinen,,Sverigedemokraterna,Södermanlands län
271,Jonas Millard,,Sverigedemokraterna,Örebro län
346,Thomas Morell,,Sverigedemokraterna,Gävleborgs län
345,Mats Nordberg,,Sverigedemokraterna,Gävleborgs län
71,Caroline Nordengrip,,Sverigedemokraterna,Västra Götalands läns södra
279,Katja Nyberg,,Sverigedemokraterna,Stockholms kommun
60,Anne Oskarsson,,Sverigedemokraterna,Kalmar län
313,Eric Palmqvist,,Sverigedemokraterna,Norrbottens län
272,Magnus Persson,,Sverigedemokraterna,Dalarnas län
303,Charlotte Quensel,,Sverigedemokraterna,Västra Götalands läns västra
152,Per Ramhorn,,Sverigedemokraterna,Malmö kommun
45,Patrick Reslow,,Sverigedemokraterna,Värmlands län
323,Roger Richtoff,,Sverigedemokraterna,Södermanlands län
214,Michael Rubbestad,,Sverigedemokraterna,Uppsala län
105,Oscar Sjöstedt,,Sverigedemokraterna,Västmanlands län
107,Johnny Skalin,,Sverigedemokraterna,Västernorrlands län
176,Robert Stenkvist,,Sverigedemokraterna,Stockholms län
246,Mikael Strandman,,Sverigedemokraterna,Stockholms län
161,Jimmy Ståhl,,Sverigedemokraterna,Västra Götalands läns norra
258,Carina Ståhl Herrstedt,,Sverigedemokraterna,Skåne läns västra
108,Cassandra Sundin,,Sverigedemokraterna,Jämtlands län
150,Sven-Olof Sällström,,Sverigedemokraterna,Kronobergs län
225,Björn Söder,,Sverigedemokraterna,Skåne läns norra och östra
315,Henrik Vinge,,Sverigedemokraterna,Stockholms kommun
126,Eric Westroth,,Sverigedemokraterna,Hallands län
58,Markus Wiechel,,Sverigedemokraterna,Östergötlands län
65,Jennie Åfeldt,,Sverigedemokraterna,Skåne läns södra
253,Jimmie Åkesson[n 1],,Sverigedemokraterna,Jönköpings län
261,Christina Östberg,,Sverigedemokraterna,Skåne läns norra och östra

