Namn,Namn,Parti,"Valkrets, plats"
,Kerstin Heinemann,Folkpartiet liberalerna,"Västmanlands län, plats 280"
,Chris Heister,Moderata samlingspartiet,"Stockholms län, plats 52"
,Owe Hellberg,Vänsterpartiet,"Gävleborgs län, plats 310"
,Gun Hellsvik,Moderata samlingspartiet,"Malmöhus läns södra, plats 180"
,Tom Heyman,Moderata samlingspartiet,"Göteborgs kommun, plats 198"
,Barbro Hietala Nordlund,Socialdemokraterna,"Kopparbergs län, plats 297"
,Lena Hjelm-Wallén,Socialdemokraterna,"Västmanlands län, plats 275"
,Lars Hjertén,Moderata samlingspartiet,"Skaraborgs län, plats 242"
,Hans Hjortzberg-Nordlund,Moderata samlingspartiet,"Hallands län, plats 188"
,Ulla Hoffmann,Vänsterpartiet,"Stockholms län, plats 56"
,Håkan Holmberg,Folkpartiet liberalerna,"Uppsala län, plats 65"
,Nils-Göran Holmqvist,Socialdemokraterna,"Örebro län, plats 270"
,Sven Hulterström,Socialdemokraterna,"Göteborgs kommun, plats 197"
,Bengt Hurtig,Vänsterpartiet,"Norrbottens län, plats 342"
,Per Olof Håkansson,Socialdemokraterna,"Malmöhus läns södra, plats 170"
,Carina Hägg,Socialdemokraterna,"Jönköpings län, plats 110"
,Göran Hägglund,Kristdemokraterna,"Jönköpings län, plats 111"
,Anders G Högmark,Moderata samlingspartiet,"Kronobergs län, plats 116"
,Tomas Högström,Moderata samlingspartiet,"Västmanlands län, plats 283"
,Gunnar Hökmark,Moderata samlingspartiet,"Stockholms län, plats 32"
,Ingbritt Irhammar,Centerpartiet,"Kristianstads län, plats 144"
,Karin Israelsson,Centerpartiet,"Västerbottens län, plats 329"
,Margareta Israelsson,Socialdemokraterna,"Västmanlands län, plats 277"
,Jan Jennehag,Vänsterpartiet,"Västernorrlands län, plats 317"
,Anita Johansson,Socialdemokraterna,"Stockholms län, plats 31"
,Ann-Kristine Johansson,Socialdemokraterna,"Värmlands län, plats 261"
,Barbro Johansson,Miljöpartiet de Gröna,"Älvsborgs läns norra, plats 231"
,Birgitta Johansson,Socialdemokraterna,"Skaraborgs län, plats 240"
,Eva Johansson,Socialdemokraterna,"Stockholms län, plats 37"
,Inga-Britt Johansson,Socialdemokraterna,"Göteborgs kommun, plats 193"
,Kurt Ove Johansson,Socialdemokraterna,"Malmö kommun, plats 152"
,Magnus Johansson,Socialdemokraterna,"Blekinge län, plats 135"
,Märta Johansson,Socialdemokraterna,"Bohuslän, plats 218"
,Olof Johansson,Centerpartiet,"Stockholms kommun, plats 3"
,Ingvar Johnsson,Socialdemokraterna,"Älvsborgs läns norra, plats 224"
,Jeppe Johnsson,Moderata samlingspartiet,"Blekinge län, plats 139"
,Annika Jonsell,Moderata samlingspartiet,"Malmöhus läns södra, plats 172"
