Plats,Ledamot,Parti,Valkrets
286,Ulrika Karlsson i Uppsala,Moderata samlingspartiet,Uppsala län
287,Jacob Johnson,Vänsterpartiet,Uppsala län
288,Bengt-Anders Johansson,Moderata samlingspartiet,Jönköpings län
289,Helene Petersson i Stockaryd,Socialdemokraterna,Jönköpings län
290,Tobias Krantz(ersatt av Emma Löfdahl Landberg),Folkpartiet liberalerna,Jönköpings län
291,Anna Tenje,Moderata samlingspartiet,Kronobergs län
292,Sven Yngve Persson,Moderata samlingspartiet,Skåne läns västra
293,Lennart Pettersson,Centerpartiet,Skåne läns västra
294,Inger Jarl Beck,Socialdemokraterna,Skåne läns södra
295,Christine Jönsson,Moderata samlingspartiet,Skåne läns södra
296,Eva Selin Lindgren,Centerpartiet,Göteborgs kommun
297,Lisbeth Grönfeldt Bergman,Moderata samlingspartiet,Göteborgs kommun
298,Eva Olofsson,Vänsterpartiet,Göteborgs kommun
299,Hans Rothenberg,Moderata samlingspartiet,Göteborgs kommun
300,Annika Qarlsson,Centerpartiet,Västra Götalands läns norra
301,Björn Leivik,Moderata samlingspartiet,Västra Götalands läns norra
302,Hans Olsson,Socialdemokraterna,Västra Götalands läns södra
303,Phia Andersson,Socialdemokraterna,Västra Götalands läns södra
304,Matilda Ernkrans,Socialdemokraterna,Örebro län
305,Ameer Sachet,Socialdemokraterna,Örebro län
306,Kent Persson,Vänsterpartiet,Västmanlands län
307,Agneta Berliner,Folkpartiet liberalerna,Västmanlands län
308,Gunilla Wahlén,Vänsterpartiet,Västernorrlands län
309,Liza-Maria Norlin,Kristdemokraterna,Västernorrlands län
310,Solveig Hellquist,Folkpartiet liberalerna,Västernorrlands län
311,Per Åsling,Centerpartiet,Jämtlands län
312,Karin Åström,Socialdemokraterna,Norrbottens län
313,Leif Pettersson,Socialdemokraterna,Norrbottens län
314,Gustav Blix,Moderata samlingspartiet,Stockholms kommun
315,Fredrick Federley,Centerpartiet,Stockholms kommun
316,Anna König Jerlmyr,Moderata samlingspartiet,Stockholms kommun
317,Helena Rivière,Moderata samlingspartiet,Stockholms kommun
315,Per Lodenius,Centerpartiet,Stockholms län
319,Josefin Brink,Vänsterpartiet,Stockholms län
320,Karl Sigfrid,Moderata samlingspartiet,Stockholms län
321,Fredrik Schulte,Moderata samlingspartiet,Stockholms län
322,Solveig Zander,Centerpartiet,Uppsala län
323,Helena Leander,Miljöpartiet de Gröna,Uppsala län
324,Magdalena Andersson,Moderata samlingspartiet,Jönköpings län
325,Thomas Strand,Socialdemokraterna,Jönköpings län
326,Helena Bouveng,Moderata samlingspartiet,Jönköpings län
327,Annie Johansson,Centerpartiet,Jönköpings län
328,Ann Arleklo,Socialdemokraterna,Skåne läns västra
329,Marie Weibull Kornias,Moderata samlingspartiet,Skåne läns västra
330,Mats Sander,Moderata samlingspartiet,Skåne läns västra
331,Anders Hansson,Moderata samlingspartiet,Skåne läns södra
332,Max Andersson,Miljöpartiet de Gröna,Göteborgs kommun
333,Lage Rahm,Miljöpartiet de Gröna,Göteborgs kommun
334,Lars Hjälmered,Moderata samlingspartiet,Göteborgs kommun
335,Hans Linde,Vänsterpartiet,Göteborgs kommun
336,Peter Rådberg,Miljöpartiet de Gröna,Västra Götalands läns norra
337,Mikael Cederbratt,Moderata samlingspartiet,Västra Götalands läns norra
338,Jörgen Hellman,Socialdemokraterna,Västra Götalands läns norra
339,Jan Ericson,Moderata samlingspartiet,Västra Götalands läns södra
340,Eva-Lena Jansson,Socialdemokraterna,Örebro län
341,Elisabeth Svantesson,Moderata samlingspartiet,Örebro län
342,Olle Thorell,Socialdemokraterna,Västmanlands län
343,Jessica Polfjärd,Moderata samlingspartiet,Västmanlands län
344,Bertil Kjellberg,Moderata samlingspartiet,Västernorrlands län
345,Eva Sonidsson,Socialdemokraterna,Västernorrlands län
346,Lena Asplund,Moderata samlingspartiet,Västernorrlands län
347,Jasenko Omanović,Socialdemokraterna,Västernorrlands län
348,Stefan Tornberg,Centerpartiet,Norrbottens län
349,Fredrik Lundh,Socialdemokraterna,Norrbottens län

