Plats,Ledamot,Anmärkning,Parti,Valkrets
291,Eskil Erlandsson(ersatt av Karin Nilsson),Personvald,C,Kronobergs län
242,Fredrick Federley,,C,Stockholms kommun
78,Helena Lindahl,Fr.o.m. 30 september 2011,C,Västerbottens län
188,Johan Linander,,C,Skåne läns södra
83,Kerstin Lundgren,,C,Stockholms län
157,Ola Johansson,,C,Hallands län
212,Per Lodenius,,C,Stockholms län
274,Per Åsling,Personvald,C,Jämtlands län
94,Per-Ingvar Johnsson,Personvald,C,Skåne läns norra och östra
179,Roger Tiefensee,,C,Södermanlands län
86,Solveig Zander,,C,Uppsala län
58,Staffan Danielsson,Personvald,C,Östergötlands län
131,Ulrika Carlsson,Personvald,C,Västra Götalands läns östra
18,Åsa Torstensson,PersonvaldStatsråd t.o.m. 5 oktober 2010(ersatt av Maria Kornevik Jakobsson),C,Västra Götalands läns västra
301,Anna Hagwall,Fr.o.m. 21 februari 2013,SD,Västra Götalands läns norra
285,Björn Söder,,SD,Stockholms län
320,Carina Herrstedt,,SD,Södermanlands län
317,David Lång,,SD,Stockholms kommun
327,Jimmie Åkesson,Personvald,SD,Jönköpings län
192,Johnny Skalin,,SD,Västra Götalands läns västra
90,Jonas Åkerlund,,SD,Blekinge län
92,Josef Fransson,,SD,Malmö kommun
331,Julia Kronlid,,SD,Skåne läns södra
318,Kent Ekeroth,,SD,Stockholms län
27,Markus Wiechel,Fr.o.m. 3 december 2012,SD,Uppsala län
271,Margareta Larsson,Tidigare efternamn: Sandstedt[3],SD,Västmanlands län
125,Mattias Karlsson,,SD,Skåne läns norra och östra
189,Mikael Jansson,,SD,Hallands län
343,Per Ramhorn,,SD,Örebro län
200,Richard Jomshof,,SD,Gävleborgs län
165,Stellan Bojerud,Fr.o.m. 4 september 2012,SD,Dalarnas län
335,Sven-Olof Sällström,,SD,Göteborgs kommun
119,Thoralf Alfsson,,SD,Östergötlands län
220,Tony Wiklander,,SD,Skåne läns västra
282,Amineh Kakabaveh,,V,Stockholms län
