Plats,Ledamot,Parti,Parti,Valkrets
171,Johan Forssell,,Moderaterna,Stockholms kommun
254,Johan Hultberg[n 1],,Moderaterna,Kronobergs län
256,Jonas Jacobsson Gjörtler,,Moderaterna,Skåne läns västra
121,Jörgen Andersson,,Moderaterna,Kalmar län
332,Jörgen Warborn[n 1],,Moderaterna,Hallands län
26,Karin Enström,,Moderaterna,Stockholms län
218,Katarina Brännström,,Moderaterna,Kronobergs län
240,Krister Hammarbergh[n 1],,Moderaterna,Norrbottens län
227,Lars Hjälmered,,Moderaterna,Göteborgs kommun
128,Lars-Arne Staxäng,,Moderaterna,Västra Götalands läns västra
200,Lena Asplund,,Moderaterna,Västernorrlands län
298,Lisbeth Sundén Andersson,,Moderaterna,Göteborgs kommun
250,Lotta Finstorp,,Moderaterna,Södermanlands län
306,Lotta Olsson,,Moderaterna,Örebro län
47,Margareta Berg Kjellin,,Moderaterna,Gävleborgs län
110,Margareta Cederfelt,,Moderaterna,Stockholms kommun
206,Maria Abrahamsson,,Moderaterna,Stockholms kommun
97,Maria Malmer Stenergard,,Moderaterna,Skåne läns norra och östra
99,Maria Plass,,Moderaterna,Västra Götalands läns västra
246,Maria Stockhaus,,Moderaterna,Stockholms län
325,Mats Green[n 1],,Moderaterna,Jönköpings län
189,Michael Svensson,,Moderaterna,Hallands län
194,Mikael Cederbratt,,Moderaterna,Västra Götalands läns norra
285,Niklas Wykman,,Moderaterna,Stockholms län
63,Olof Lavesson,,Moderaterna,Malmö kommun
92,Patrick Reslow[n 5],,Moderaterna,Malmö kommun
6,Per Bill,,Moderaterna,Uppsala län
147,Per Westerberg[n 1],,Moderaterna,Södermanlands län
73,Pia Hallström,,Moderaterna,Värmlands län
311,Saila Quicklund[n 1],,Moderaterna,Jämtlands län
140,Sofia Arkelsten,,Moderaterna,Stockholms kommun
321,Sofia Fölster,,Moderaterna,Stockholms län
324,Sotiris Delis,,Moderaterna,Jönköpings län
71,Sten Bergheden[n 1],,Moderaterna,Västra Götalands läns östra
221,Thomas Finnborg,,Moderaterna,Skåne läns västra
316,Tina Ghasemi,,Moderaterna,Stockholms kommun
1,Tobias Billström[n 6],,Moderaterna,Malmö kommun
49,Tomas Tobé[n 1],,Moderaterna,Gävleborgs län
45,Ulf Berg,,Moderaterna,Dalarnas län
179,Ulf Kristersson,,Moderaterna,Södermanlands län
28,Ulrika Karlsson,,Moderaterna,Uppsala län
309,Åsa Coenraads,,Moderaterna,Västmanlands län
134,Anders Ahlgren[n 1],,Centerpartiet,Dalarnas län
76,Anders W. Jonsson[n 1],,Centerpartiet,Gävleborgs län
90,Anders Åkesson[n 1],,Centerpartiet,Kalmar län
253,Annie Lööf[n 1],,Centerpartiet,Jönköpings län
161,Annika Qarlsson[n 1],,Centerpartiet,Västra Götalands läns norra
133,Daniel Bäckström[n 1],,Centerpartiet,Värmlands län
274,Emil Källström[n 1],,Centerpartiet,Västernorrlands län
182,Eskil Erlandsson[n 1],,Centerpartiet,Kronobergs län
193,Fredrik Christensson[n 1],,Centerpartiet,Västra Götalands läns västra
139,Helena Lindahl[n 1],,Centerpartiet,Västerbottens län
244,Johan Hedin,,Centerpartiet,Stockholms kommun
315,Johanna Jönsson,,Centerpartiet,Stockholms kommun
53,Kerstin Lundgren,,Centerpartiet,Stockholms län
294,Kristina Yngwe[n 1],,Centerpartiet,Skåne läns södra
32,Lena Ek[n 1],,Centerpartiet,Östergötlands län
225,Ola Johansson[n 1],,Centerpartiet,Hallands län
114,Per Lodenius,,Centerpartiet,Stockholms län
310,Per Åsling[n 1],,Centerpartiet,Jämtlands län
65,Per-Ingvar Johnsson[n 1],,Centerpartiet,Skåne läns norra och östra
265,Rickard Nordin,,Centerpartiet,Göteborgs kommun
29,Solveig Zander[n 1],,Centerpartiet,Uppsala län
70,Ulrika Carlsson[n 1],,Centerpartiet,Västra Götalands läns östra
62,Allan Widman[n 1],,Liberalerna,Malmö kommun
25,Barbro Westerholm,,Liberalerna,Stockholms län
297,Bengt Eliasson,,Liberalerna,Hallands län
80,Birgitta Ohlsson[n 1],,Liberalerna,Stockholms kommun
38,Christer Nylander[n 1],,Liberalerna,Skåne läns norra och östra
288,Emma Carlsson Löfdahl[n 1],,Liberalerna,Jönköpings län
143,Erik Ullenhag,,Liberalerna,Stockholms kommun
141,Fredrik Malm,,Liberalerna,Stockholms kommun
113,Jan Björklund[n 1],,Liberalerna,Stockholms län
196,Johan Pehrson[n 1],,Liberalerna,Örebro län
40,Lars Tysklind,,Liberalerna,Västra Götalands läns västra
213,Maria Arnholm,,Liberalerna,Stockholms län
146,Maria Weimer[n 1],,Liberalerna,Uppsala län
89,Mathias Sundin[n 1],,Liberalerna,Östergötlands län
259,Mats Persson[n 1],,Liberalerna,Skåne läns södra
337,Robert Hannah[n 1],,Liberalerna,Göteborgs kommun
308,Roger Haddad[n 1],,Liberalerna,Västmanlands län
339,Said Abdu[n 1],,Liberalerna,Västra Götalands läns norra
220,Torkild Strandberg[n 1],,Liberalerna,Skåne läns västra
291,Andreas Carlson[n 1],,Kristdemokraterna,Jönköpings län
100,Annika Eclund[n 1],,Kristdemokraterna,Västra Götalands läns östra
336,Aron Modig,,Kristdemokraterna,Göteborgs kommun
208,Caroline Szyber,,Kristdemokraterna,Stockholms kommun
111,Désirée Pethrus,,Kristdemokraterna,Stockholms kommun
144,Emma Henriksson,,Kristdemokraterna,Stockholms län
156,Göran Hägglund[n 1],,Kristdemokraterna,Hallands län
212,Jakob Forssmed,,Kristdemokraterna,Stockholms län
233,Lars-Axel Nordell[n 1],,Kristdemokraterna,Örebro län
119,Magnus Oscarsson[n 1],,Kristdemokraterna,Östergötlands län
7,Mikael Oscarsson[n 1],,Kristdemokraterna,Uppsala län
230,Penilla Gunther[n 1],,Kristdemokraterna,Västra Götalands läns norra
174,Robert Halef[n 1],,Kristdemokraterna,Stockholms län
158,Roland Utbult[n 1],,Kristdemokraterna,Västra Götalands läns västra
258,Sofia Damm,,Kristdemokraterna,Skåne läns södra
15,Tuve Skånberg[n 1],,Kristdemokraterna,Skåne läns norra och östra
296,Adnan Dibrani[n 1],,Socialdemokraterna,Hallands län
27,Agneta Gille,,Socialdemokraterna,Uppsala län
319,Alexandra Völker,,Socialdemokraterna,Stockholms län
50,Anders Ygeman,,Socialdemokraterna,Stockholms kommun
299,Anna Johansson[n 1],,Socialdemokraterna,Göteborgs kommun
342,Anna Wallén,,Socialdemokraterna,Västmanlands län
126,Anna Wallentheim,,Socialdemokraterna,Skåne läns norra och östra
346,Anna-Caren Sätherberg[n 1],,Socialdemokraterna,Jämtlands län
58,Anna-Lena Sörenson,,Socialdemokraterna,Östergötlands län
268,Ann-Christin Ahlberg,,Socialdemokraterna,Västra Götalands läns södra
66,Annelie Karlsson,,Socialdemokraterna,Skåne läns norra och östra
87,Ardalan Shekarabi,,Socialdemokraterna,Uppsala län
173,Arhe Hamednaca,,Socialdemokraterna,Stockholms kommun
19,Berit Högman,,Socialdemokraterna,Värmlands län
5,Björn von Sydow,,Socialdemokraterna,Stockholms län
204,Björn Wiechel,,Socialdemokraterna,Västerbottens län
278,Carin Jämtin,,Socialdemokraterna,Stockholms kommun
41,Carina Ohlsson,,Socialdemokraterna,Västra Götalands läns östra
214,Caroline Helmersson Olsson,,Socialdemokraterna,Södermanlands län
68,Catharina Bråkenhielm,,Socialdemokraterna,Västra Götalands läns västra
33,Christer Engelhardt[n 1],,Socialdemokraterna,Gotlands län
106,Elin Lundgren,,Socialdemokraterna,Gävleborgs län
281,Emanuel Öz,,Socialdemokraterna,Stockholms kommun
348,Emilia Töyrä,,Socialdemokraterna,Norrbottens län
167,Eva Sonidsson,,Socialdemokraterna,Västernorrlands län
199,Eva-Lena Jansson,,Socialdemokraterna,Örebro län
276,Fredrik Lundh Sammeli,,Socialdemokraterna,Norrbottens län
178,Fredrik Olovsson,,Socialdemokraterna,Södermanlands län
191,Gunilla Carlsson,,Socialdemokraterna,Göteborgs kommun
102,Gunilla Svantorp,,Socialdemokraterna,Värmlands län
277,Hannah Bergstedt,,Socialdemokraterna,Norrbottens län
215,Hans Ekström,,Socialdemokraterna,Södermanlands län
157,Hans Hoff,,Socialdemokraterna,Hallands län
74,Hans Unander,,Socialdemokraterna,Dalarnas län
78,Helén Pettersson,,Socialdemokraterna,Västerbottens län
216,Helene Petersson,,Socialdemokraterna,Jönköpings län
37,Hillevi Larsson,,Socialdemokraterna,Malmö kommun
234,Håkan Bergman,,Socialdemokraterna,Örebro län
61,Håkan Juholt[n 1],,Socialdemokraterna,Kalmar län
115,Ibrahim Baylan,,Socialdemokraterna,Stockholms län
145,Ingela Nylund Watz,,Socialdemokraterna,Stockholms län
203,Ingemar Nilsson,,Socialdemokraterna,Västernorrlands län
138,Isak From,,Socialdemokraterna,Västerbottens län
16,Jan-Olof Larsson,,Socialdemokraterna,Västra Götalands läns västra
201,Jasenko Omanovic,,Socialdemokraterna,Västernorrlands län
188,Jennie Nilsson,,Socialdemokraterna,Hallands län
59,Johan Andersson,,Socialdemokraterna,Östergötlands län
335,Johan Büser,,Socialdemokraterna,Göteborgs kommun
8,Johan Löfstrand,,Socialdemokraterna,Östergötlands län
326,Johanna Haraldsson,,Socialdemokraterna,Jönköpings län
132,Jonas Gunnarsson,,Socialdemokraterna,Värmlands län
195,Jörgen Hellman,,Socialdemokraterna,Västra Götalands läns norra
347,Kalle Olsson[n 1],,Socialdemokraterna,Jämtlands län
79,Katarina Köhler,,Socialdemokraterna,Västerbottens län
69,Kenneth G. Forslund,,Socialdemokraterna,Västra Götalands läns västra
184,Kent Härstedt[n 1],,Socialdemokraterna,Skåne läns västra
186,Kerstin Nilsson,,Socialdemokraterna,Skåne läns södra
60,Krister Örnfjäder,,Socialdemokraterna,Kalmar län
238,Kristina Nilsson,,Socialdemokraterna,Västernorrlands län
343,Lars Eriksson,,Socialdemokraterna,Västmanlands län
20,Lars Mejern Larsson[n 1],,Socialdemokraterna,Värmlands län
36,Leif Jakobsson,,Socialdemokraterna,Malmö kommun
249,Leif Nysmed,,Socialdemokraterna,Stockholms län
241,Leif Pettersson,,Socialdemokraterna,Norrbottens län
292,Lena Emilsson,,Socialdemokraterna,Skåne läns västra
120,Lena Hallengren[n 1],,Socialdemokraterna,Kalmar län
197,Lennart Axelsson,,Socialdemokraterna,Örebro län
247,Magdalena Andersson,,Socialdemokraterna,Stockholms län
14,Magnus Manhammar[n 1],,Socialdemokraterna,Blekinge län
303,Maria Andersson Willner,,Socialdemokraterna,Västra Götalands läns norra
135,Maria Strömkvist,,Socialdemokraterna,Dalarnas län
35,Marie Granlund,,Socialdemokraterna,Malmö kommun
198,Matilda Ernkrans,,Socialdemokraterna,Örebro län
263,Mattias Jonsson,,Socialdemokraterna,Göteborgs kommun
148,Mattias Ottosson,,Socialdemokraterna,Östergötlands län
162,Mikael Dahlqvist,,Socialdemokraterna,Värmlands län
82,Mikael Damberg,,Socialdemokraterna,Stockholms län
17,Monica Green,,Socialdemokraterna,Västra Götalands läns östra
255,Monica Haider,,Socialdemokraterna,Kronobergs län
124,Morgan Johansson,,Socialdemokraterna,Skåne läns södra
329,Niklas Karlsson[n 1],,Socialdemokraterna,Skåne läns västra
237,Olle Thorell,,Socialdemokraterna,Västmanlands län
43,Patrik Björck,,Socialdemokraterna,Västra Götalands läns östra
136,Patrik Lundqvist,,Socialdemokraterna,Gävleborgs län
267,Paula Holmqvist,,Socialdemokraterna,Västra Götalands läns norra
95,Per-Arne Håkansson,,Socialdemokraterna,Skåne läns norra och östra
46,Peter Hultqvist[n 1],,Socialdemokraterna,Dalarnas län
11,Peter Jeppsson,,Socialdemokraterna,Blekinge län
160,Peter Johnsson,,Socialdemokraterna,Västra Götalands läns norra
289,Peter Persson[n 1],,Socialdemokraterna,Jönköpings län
340,Petter Löberg,,Socialdemokraterna,Västra Götalands läns södra
269,Phia Andersson,,Socialdemokraterna,Västra Götalands läns södra
236,Pia Nilsson,,Socialdemokraterna,Västmanlands län
56,Pyry Niemi,,Socialdemokraterna,Uppsala län
22,Raimo Pärssinen,,Socialdemokraterna,Gävleborgs län
222,Rikard Larsson,,Socialdemokraterna,Skåne läns södra
104,Roza Güclü Hedin,,Socialdemokraterna,Dalarnas län
251,Sara Karlsson,,Socialdemokraterna,Södermanlands län
280,Stefan Löfven[n 1],,Socialdemokraterna,Västernorrlands län
166,Susanne Eberstein,,Socialdemokraterna,Västernorrlands län
12,Suzanne Svensson,,Socialdemokraterna,Blekinge län
312,Sven-Erik Bucht[n 1],,Socialdemokraterna,Norrbottens län
180,Teresa Carvalho,,Socialdemokraterna,Östergötlands län
217,Thomas Strand,,Socialdemokraterna,Jönköpings län
183,Tomas Eneroth[n 1],,Socialdemokraterna,Kronobergs län
18,Urban Ahlin[n 7][n 1],,Socialdemokraterna,Västra Götalands läns östra
205,Veronica Lindholm,,Socialdemokraterna,Västerbottens län
51,Veronica Palm,,Socialdemokraterna,Stockholms kommun
330,Yasmine Larsson,,Socialdemokraterna,Skåne läns västra
52,Yilmaz Kerimo,,Socialdemokraterna,Stockholms län
81,Ylva Johansson,,Socialdemokraterna,Stockholms kommun
23,Åsa Lindestam,,Socialdemokraterna,Gävleborgs län
283,Åsa Westlund,,Socialdemokraterna,Stockholms län
210,Ali Esbati,,Vänsterpartiet,Stockholms län
170,Amineh Kakabaveh,,Vänsterpartiet,Stockholms kommun
313,Birger Lahti,,Vänsterpartiet,Norrbottens län
239,Christina Höj Larsen,,Vänsterpartiet,Västernorrlands län
165,Daniel Riazat[n 1],,Vänsterpartiet,Dalarnas län
123,Daniel Sestrajcic[n 1],,Vänsterpartiet,Malmö kommun
116,Emma Wallrup[n 1],,Vänsterpartiet,Uppsala län
228,Hans Linde[n 1],,Vänsterpartiet,Göteborgs kommun
163,Håkan Svenneling[n 1],,Vänsterpartiet,Värmlands län
207,Jens Holm,,Vänsterpartiet,Stockholms kommun
109,Jonas Sjöstedt[n 1],,Vänsterpartiet,Västerbottens län
279,Karin Rågsjö,,Vänsterpartiet,Stockholms kommun
149,Linda Snecker[n 1],,Vänsterpartiet,Östergötlands län
287,Lotta Johnsson Fornarve,,Vänsterpartiet,Södermanlands län
301,Maj Karlsson,,Vänsterpartiet,Göteborgs kommun
235,Mia Sydow Mölleby[n 1],,Vänsterpartiet,Örebro län
318,Nooshi Dadgostar,,Vänsterpartiet,Stockholms län
130,Rossana Dinamarca[n 1],,Vänsterpartiet,Västra Götalands läns norra
344,Stig Henriksson[n 1],,Vänsterpartiet,Västmanlands län
48,Ulla Andersson[n 1],,Vänsterpartiet,Gävleborgs län
98,Wiwi-Anne Johansson,,Vänsterpartiet,Västra Götalands läns västra
224,Agneta Börjesson,,Miljöpartiet,Hallands län
137,Anders Schröder,,Miljöpartiet,Gävleborgs län
211,Annika Hirvonen Falk[n 8],,Miljöpartiet,Stockholms län
88,Annika Lillemets,,Miljöpartiet,Östergötlands län
248,Carl Schlyter,,Miljöpartiet,Stockholms län
327,Emma Hult[n 1],,Miljöpartiet,Jönköpings län
192,Emma Nohrén[n 1],,Miljöpartiet,Västra Götalands läns västra
3,Esabelle Dingizian[n 9],,Miljöpartiet,Stockholms län
39,Gustav Fridolin[n 1],,Miljöpartiet,Skåne läns norra och östra
108,Jabar Amin[n 1],,Miljöpartiet,Västerbottens län
21,Jan Lindholm,,Miljöpartiet,Dalarnas län
302,Janine Alm Ericson[n 1],,Miljöpartiet,Västra Götalands läns norra
270,Jonas Eriksson,,Miljöpartiet,Örebro län
153,Karin Svensson Smith[n 1],,Miljöpartiet,Skåne läns södra
264,Lise Nordin[n 1],,Miljöpartiet,Göteborgs kommun
322,Marco Venegas[n 1],,Miljöpartiet,Södermanlands län
242,Maria Ferm,,Miljöpartiet,Stockholms kommun
117,Niclas Malmberg,,Miljöpartiet,Uppsala län
142,Per Bolund,,Miljöpartiet,Stockholms kommun
314,Per Olsson,,Miljöpartiet,Stockholms kommun
152,Rasmus Ling,,Miljöpartiet,Malmö kommun
293,Rickard Persson,,Miljöpartiet,Skåne läns västra
72,Stina Bergström[n 1],,Miljöpartiet,Värmlands län
262,Valter Mutt,,Miljöpartiet,Göteborgs kommun
172,Åsa Romson[n 1],,Miljöpartiet,Stockholms kommun
245,Adam Marttinen,,Sverigedemokraterna,Stockholms kommun
93,Anders Forsberg,,Sverigedemokraterna,Malmö kommun
317,Angelika Bengtsson,,Sverigedemokraterna,Stockholms kommun
169,Anna Hagwall[n 10],,Sverigedemokraterna,Västerbottens län
331,Aron Emilsson,,Sverigedemokraterna,Skåne läns västra
2,Björn Söder[n 11],,Sverigedemokraterna,Stockholms län
175,Carina Ståhl Herrstedt[n 12],,Sverigedemokraterna,Stockholms län
150,Christina Östberg[n 13],,Sverigedemokraterna,Kalmar län
181,Christoffer Dulny,,Sverigedemokraterna,Västra Götalands läns östra
271,David Lång,,Sverigedemokraterna,Örebro län
328,Dennis Dioukarev,,Sverigedemokraterna,Jönköpings län
349,Hanna Wigh[n 14],,Sverigedemokraterna,Norrbottens län
333,Jeff Ahl[n 15],,Sverigedemokraterna,Hallands län
122,Jennie Åfeldt,,Sverigedemokraterna,Malmö kommun
290,Jimmie Åkesson[n 1],,Sverigedemokraterna,Jönköpings län
300,Jimmy Ståhl,,Sverigedemokraterna,Göteborgs kommun
127,Johan Nissinen,,Sverigedemokraterna,Skåne läns norra och östra
260,Johnny Skalin,,Sverigedemokraterna,Hallands län
338,Jonas Millard,,Sverigedemokraterna,Västra Götalands läns norra
273,Jonas Åkerlund,,Sverigedemokraterna,Västmanlands län
86,Josef Fransson,,Sverigedemokraterna,Uppsala län
176,Julia Kronlid,,Sverigedemokraterna,Stockholms län
67,Kent Ekeroth,,Sverigedemokraterna,Skåne läns norra och östra
131,Kristina Winberg,,Sverigedemokraterna,Västra Götalands läns södra
96,Linus Bylund,,Sverigedemokraterna,Skåne läns norra och östra
164,Magnus Persson,,Sverigedemokraterna,Dalarnas län
101,Margareta Larsson[n 16],,Sverigedemokraterna,Västra Götalands läns östra
266,Markus Wiechel,,Sverigedemokraterna,Västra Götalands läns norra
334,Martin Kinnunen,,Sverigedemokraterna,Göteborgs kommun
275,Mattias Bäckström Johansson,,Sverigedemokraterna,Västernorrlands län
103,Mattias Karlsson,,Sverigedemokraterna,Värmlands län
107,Mikael Eskilandersson,,Sverigedemokraterna,Gävleborgs län
77,Mikael Jansson[n 17],,Sverigedemokraterna,Gävleborgs län
286,Olle Felten[n 18],,Sverigedemokraterna,Södermanlands län
323,Oscar Sjöstedt,,Sverigedemokraterna,Södermanlands län
223,Patrik Jönsson,,Sverigedemokraterna,Skåne läns södra
151,Paula Bieler,,Sverigedemokraterna,Kalmar län
295,Pavel Gamov[n 19],,Sverigedemokraterna,Skåne läns södra
159,Per Klarberg,,Sverigedemokraterna,Västra Götalands läns västra
219,Per Ramhorn,,Sverigedemokraterna,Kronobergs län
341,Peter Lundgren,,Sverigedemokraterna,Östergötlands län
13,Richard Jomshof,,Sverigedemokraterna,Blekinge län
284,Roger Hedlund,,Sverigedemokraterna,Stockholms län
257,Roger Richtoff,,Sverigedemokraterna,Skåne läns västra
118,Runar Filper,,Sverigedemokraterna,Östergötlands län
307,Sara-Lena Bjälkö,,Sverigedemokraterna,Örebro län
345,Stefan Jakobsson,,Sverigedemokraterna,Västmanlands län
75,Sven-Olof Sällström,,Sverigedemokraterna,Dalarnas län
129,Tony Wiklander,,Sverigedemokraterna,Västra Götalands läns västra

