Nr,Namn,Namn,Parti,Valkrets
312,,Hans Stenberg,Socialdemokraterna,Västernorrlands län
313,,Agneta Lundberg,Socialdemokraterna,Västernorrlands län
314,,Susanne Eberstein,Socialdemokraterna,Västernorrlands län
315,,Kerstin Kristiansson Karlstedt,Socialdemokraterna,Västernorrlands län
316,,Göran Norlander,Socialdemokraterna,Västernorrlands län
317,,Birgitta Sellén,Centerpartiet,Västernorrlands län
318,,Gunilla Wahlén,Vänsterpartiet,Västernorrlands län
319,,Lars Lindén,Kristdemokraterna,Västernorrlands län
320,,Solveig Hellquist,Folkpartiet liberalerna,Västernorrlands län
321,,Bertil Kjellberg,Moderata samlingspartiet,Västernorrlands län
322,,Gunnar Sandberg,Socialdemokraterna,Jämtlands län
323,,Rune Berglund,Socialdemokraterna,Jämtlands län
324,,Berit Andnor (ersättare: Marie Nordén),Socialdemokraterna,Jämtlands län
325,,Ola Sundell,Moderata samlingspartiet,Jämtlands län
326,,Camilla Sköld Jansson,Vänsterpartiet,Jämtlands län
327,,Håkan Larsson,Centerpartiet,Jämtlands län
328,,Carin Lundberg,Socialdemokraterna,Västerbottens län
329,,Britta Rådström,Socialdemokraterna,Västerbottens län
330,,Lars Lilja,Socialdemokraterna,Västerbottens län
331,,Lennart Gustavsson,Vänsterpartiet,Västerbottens län
332,,Yvonne Ångström,Folkpartiet liberalerna,Västerbottens län
333,,Karl Gustav Abrahamsson,Socialdemokraterna,Västerbottens län
334,,Gunilla Tjernberg,Kristdemokraterna,Västerbottens län
335,,Ulla Löfgren,Moderata samlingspartiet,Västerbottens län
336,,Ingegerd Saarinen,Miljöpartiet de Gröna,Västerbottens län
337,,Sören Wibe,Socialdemokraterna,Västerbottens län
338,,Maud Olofsson,Centerpartiet,Västerbottens län
339,,Lennart Klockare,Socialdemokraterna,Norrbottens län
340,,Kristina Zakrisson,Socialdemokraterna,Norrbottens län
341,,Birgitta Ahlqvist,Socialdemokraterna,Norrbottens län
342,,Siv Holma,Vänsterpartiet,Norrbottens län
343,,Peter Eriksson,Miljöpartiet de Gröna,Norrbottens län
344,,Erling Wälivaara,Kristdemokraterna,Norrbottens län
345,,Karin Åström,Socialdemokraterna,Norrbottens län
346,,Lars U. Granberg,Socialdemokraterna,Norrbottens län
347,,Maria Öberg,Socialdemokraterna,Norrbottens län
348,,Krister Hammarbergh,Moderata samlingspartiet,Norrbottens län
349,,Anna Grönlund Krantz,Folkpartiet liberalerna,Norrbottens län

