Plats,Namn,Namn,Parti,Valkrets
257,,Lars Elinderson,Moderata samlingspartiet,Västra Götalands läns östra
49,,Catharina Elmsäter-Svärd,Moderata samlingspartiet,Stockholms län
124,,Tomas Eneroth,Socialdemokraterna,Kronobergs län
260,,Marie Engström,Vänsterpartiet,Värmlands län
57,,Karin Enström,Moderata samlingspartiet,Stockholms län
96,,Dan Ericsson,Kristdemokraterna,Östergötlands län
190,,Alf Eriksson,Socialdemokraterna,Hallands län
175,,Ingvar Eriksson,Moderata samlingspartiet,Skåne läns norra och östra
343,,Peter Eriksson,Miljöpartiet de Gröna,Norrbottens län
348,,Stig Eriksson,Vänsterpartiet,Norrbottens län
123,,Eskil Erlandsson,Centerpartiet,Kronobergs län
86,,Björn von der Esch,Kristdemokraterna,Södermanlands län
68,,Gustaf von Essen,Moderata samlingspartiet,Uppsala län
135,,Ann-Marie Fagerström,Socialdemokraterna,Kalmar län
284,,Karin Falkmer,Moderata samlingspartiet,Västmanlands län
233,,Barbro Feltzing,Miljöpartiet de Gröna,Västra Götalands läns norra
1,,Elisabeth Fleetwood,Moderata samlingspartiet,Stockholms kommun
205,,Eva Flyborg,Folkpartiet liberalerna,Göteborgs kommun
244,,Sonja Fransson,Socialdemokraterna,Västra Götalands läns södra
270,,Rose-Marie Frebran,Kristdemokraterna,Örebro län
204,,Lennart Fridén,Moderata samlingspartiet,Göteborgs kommun
271,,Helena Frisk,Socialdemokraterna,Örebro län
92,,Viola Furubjelke,Socialdemokraterna,Östergötlands län
82,,Reynoldh Furustrand,Socialdemokraterna,Södermanlands län
144,,Margit Gennser,Moderata samlingspartiet,Malmö kommun
262,,Viviann Gerdin,Centerpartiet,Värmlands län
77,,Gunnar Goude,Miljöpartiet de Gröna,Uppsala län
188,,Carl Fredrik Graf,Moderata samlingspartiet,Hallands län
346,,Lars U. Granberg,Socialdemokraterna,Norrbottens län
148,,Marie Granlund,Socialdemokraterna,Malmö kommun
290,,Per Erik Granström,Socialdemokraterna,Dalarnas län
253,,Monica Green,Socialdemokraterna,Västra Götalands läns östra
292,,Rolf Gunnarsson,Moderata samlingspartiet,Dalarnas län
251,,Holger Gustafsson,Kristdemokraterna,Västra Götalands läns östra
196,,Lars Gustafsson,Kristdemokraterna,Hallands län
331,,Lennart Gustavsson,Vänsterpartiet,Västerbottens län
106,,Åke Gustavsson,Socialdemokraterna,Jönköpings län
143,,Johnny Gylling,Kristdemokraterna,Blekinge län
83,,Michael Hagberg,Socialdemokraterna,Södermanlands län
61,,Catharina Hagen,Moderata samlingspartiet,Stockholms län
92,,Stefan Hagfeldt,Moderata samlingspartiet,Östergötlands län
171,,Caroline Hagström,Kristdemokraterna,Skåne läns södra
253,,Ulla-Britt Hagström,Kristdemokraterna,Västra Götalands läns östra
58,,Carl B. Hamilton,Folkpartiet liberalerna,Stockholms län
170,,Matz Hammarström,Miljöpartiet de Gröna,Skåne läns södra
129,,Agne Hansson,Centerpartiet,Kalmar län
136,,Roy Hansson,Moderata samlingspartiet,Gotlands län
19,,Carl Erik Hedlund,Moderata samlingspartiet,Stockholms kommun
69,,Lennart Hedquist,Moderata samlingspartiet,Uppsala län
282,,Kerstin Heinemann,Folkpartiet liberalerna,Västmanlands län
38,,Chris Heister,Moderata samlingspartiet,Stockholms län
304,,Owe Hellberg,Vänsterpartiet,Gävleborgs län
164,,Gun Hellsvik,Moderata samlingspartiet,Skåne läns södra
201,,Tom Heyman,Moderata samlingspartiet,Göteborgs kommun
97,,Helena Hillar Rosenqvist,Miljöpartiet de Gröna,Östergötlands län
281,,Lena Hjelm-Wallén,Socialdemokraterna,Västmanlands län
247,,Lars Hjertén,Moderata samlingspartiet,Västra Götalands läns östra
191,,Hans Hjortzberg-Nordlund,Moderata samlingspartiet,Hallands län
7,,Ulla Hoffmann,Vänsterpartiet,Stockholms kommun
342,,Siv Holma,Vänsterpartiet,Norrbottens län
270,,Nils-Göran Holmqvist,Socialdemokraterna,Örebro län
200,,Sven Hulterström,Socialdemokraterna,Göteborgs kommun
157,,Cristina Husmark Pehrsson,Moderata samlingspartiet,Skåne läns västra
115,,Carina Hägg,Socialdemokraterna,Jönköpings län
111,,Göran Hägglund,Kristdemokraterna,Jönköpings län
159,,Kent Härstedt,Socialdemokraterna,Skåne läns västra
122,,Anders G. Högmark,Moderata samlingspartiet,Kronobergs län
283,,Tomas Högström,Moderata samlingspartiet,Västmanlands län
16,,Helena Höij,Kristdemokraterna,Stockholms kommun
1,,Gunnar Hökmark,Moderata samlingspartiet,Stockholms kommun
281,,Margareta Israelsson,Socialdemokraterna,Västmanlands län
290,,Magnus Jacobsson,Kristdemokraterna,Västmanlands län
139,,Karin Jeppsson,Socialdemokraterna,Blekinge län
209,,Berit Jóhannesson,Vänsterpartiet,Göteborgs kommun
30,,Anita Johansson,Socialdemokraterna,Stockholms län
259,,Ann-Kristine Johansson,Socialdemokraterna,Värmlands län
36,,Eva Johansson,Socialdemokraterna,Stockholms län
294,,Kenneth Johansson,Centerpartiet,Dalarnas län
274,,Mikael Johansson,Miljöpartiet de Gröna,Örebro län
171,,Morgan Johansson,Socialdemokraterna,Skåne läns södra
223,,Märta Johansson,Socialdemokraterna,Västra Götalands läns västra
229,,Ingvar Johnsson,Socialdemokraterna,Västra Götalands läns norra
142,,Jeppe Johnsson,Moderata samlingspartiet,Blekinge län
228,,Elver Jonsson,Folkpartiet liberalerna,Västra Götalands läns norra
108,,Göte Jonsson,Moderata samlingspartiet,Jönköpings län
13,,Ingemar Josefsson,Socialdemokraterna,Stockholms kommun
136,,Håkan Juholt,Socialdemokraterna,Kalmar län
305,,Thomas Julin,Miljöpartiet de Gröna,Gävleborgs län
4,,Henrik S. Järrel,Moderata samlingspartiet,Stockholms kommun
165,,Anita Jönsson,Socialdemokraterna,Skåne läns södra
158,,Anders Karlsson,Socialdemokraterna,Skåne läns västra
271,,Hans Karlsson,Socialdemokraterna,Örebro län
195,,Kjell-Erik Karlsson,Vänsterpartiet,Hallands län
272,,Ola Karlsson,Moderata samlingspartiet,Örebro län
330,,Rinaldo Karlsson,Socialdemokraterna,Västerbottens län
93,,Sonia Karlsson,Socialdemokraterna,Östergötlands län
186,,Rolf Kenneryd,Centerpartiet,Hallands län
264,,Dan Kihlström,Kristdemokraterna,Värmlands län
242,,Arne Kjörnsberg,Socialdemokraterna,Västra Götalands läns södra
95,,Maj-Inger Klingvall,Socialdemokraterna,Östergötlands län
339,,Lennart Klockare,Socialdemokraterna,Norrbottens län
194,,Lennart Kollmats,Folkpartiet liberalerna,Hallands län
11,,Ulf Kristersson,Moderata samlingspartiet,Stockholms kommun
315,,Kerstin Kristiansson Karlstedt,Socialdemokraterna,Västernorrlands län
60,,Kenneth Kvist,Vänsterpartiet,Stockholms län
10,,Bo Könberg,Folkpartiet liberalerna,Stockholms kommun
224,,Per Lager,Miljöpartiet de Gröna,Västra Götalands läns västra
258,,Jarl Lander,Socialdemokraterna,Värmlands län
81,,Henrik Landerholm,Moderata samlingspartiet,Södermanlands län
210,,Per Landgren,Kristdemokraterna,Göteborgs kommun
156,,Kenneth Lantz,Kristdemokraterna,Skåne läns västra
276,,Sofia Larsen,Centerpartiet,Örebro län
9,,Ewa Larsson,Miljöpartiet de Gröna,Stockholms kommun
176,,Kaj Larsson,Socialdemokraterna,Skåne läns norra och östra
17,,Kalle Larsson,Vänsterpartiet,Stockholms kommun
118,,Maria Larsson,Kristdemokraterna,Jönköpings län
24,,Roland Larsson,Socialdemokraterna,Stockholms kommun
31,,Lars Leijonborg,Folkpartiet liberalerna,Stockholms län
238,,Björn Leivik,Moderata samlingspartiet,Västra Götalands läns norra
33,,Sören Lekberg,Socialdemokraterna,Stockholms län
36,,Göran Lennmarker,Moderata samlingspartiet,Stockholms län
14,,Anna Lilliehöök,Moderata samlingspartiet,Stockholms kommun
329,,Mats Lindberg,Socialdemokraterna,Västerbottens län
207,,Göran Lindblad,Moderata samlingspartiet,Göteborgs kommun
172,,Lars Lindblad,Moderata samlingspartiet,Skåne läns södra
287,,Tanja Linderborg,Vänsterpartiet,Västmanlands län
5,,Sylvia Lindgren,Socialdemokraterna,Stockholms kommun
87,,Anna Lindh,Socialdemokraterna,Södermanlands län
149,,Britt-Marie Lindkvist,Socialdemokraterna,Malmö kommun
194,,Ester Lindstedt-Staaf,Kristdemokraterna,Hallands län
342,,Olle Lindström,Moderata samlingspartiet,Norrbottens län
48,,Gudrun Lindvall,Miljöpartiet de Gröna,Stockholms län
313,,Agneta Lundberg,Socialdemokraterna,Västernorrlands län
328,,Carin Lundberg,Socialdemokraterna,Västerbottens län
269,,Inger Lundberg,Socialdemokraterna,Örebro län
179,,Bo Lundgren,Moderata samlingspartiet,Skåne läns norra och östra
150,,Sten Lundström,Vänsterpartiet,Malmö kommun
203,,Johan Lönnroth,Vänsterpartiet,Göteborgs kommun
146,,Lars-Erik Lövdén,Socialdemokraterna,Malmö kommun
211,,Cecilia Magnusson,Moderata samlingspartiet,Göteborgs kommun
280,,Göran Magnusson,Socialdemokraterna,Västmanlands län
308,,Ragnwi Marcelind,Kristdemokraterna,Gävleborgs län
85,,Elisebeht Markström,Socialdemokraterna,Södermanlands län
35,,Jerry Martinger,Moderata samlingspartiet,Stockholms län
303,,Ulrica Messing,Socialdemokraterna,Gävleborgs län
332,,Maggi Mikaelsson,Vänsterpartiet,Västerbottens län
45,,Carina Moberg,Socialdemokraterna,Stockholms län
314,,Per-Richard Molén,Moderata samlingspartiet,Västernorrlands län
237,,Christina Oskarsson,Socialdemokraterna,Västra Götalands läns norra
155,,Annika Nilsson,Socialdemokraterna,Skåne läns västra
93,,Carl G. Nilsson,Moderata samlingspartiet,Östergötlands län
219,,Lennart Nilsson,Socialdemokraterna,Västra Götalands läns västra
112,,Martin Nilsson,Socialdemokraterna,Jönköpings län
169,,Ulf Nilsson,Folkpartiet liberalerna,Skåne läns södra
266,,Per-Samuel Nisser,Moderata samlingspartiet,Värmlands län
276,,Elise Norberg,Vänsterpartiet,Örebro län
80,,Harald Nordlund,Folkpartiet liberalerna,Uppsala län
249,,Kjell Nordström,Socialdemokraterna,Västra Götalands läns östra
302,,Patrik Norinder,Moderata samlingspartiet,Gävleborgs län
316,,Göran Norlander,Socialdemokraterna,Västernorrlands län
44,,Pär Nuder,Socialdemokraterna,Stockholms län
235,,Elizabeth Nyström,Moderata samlingspartiet,Västra Götalands läns norra
202,,Ingrid Näslund,Kristdemokraterna,Göteborgs kommun
35,,Mats Odell,Kristdemokraterna,Stockholms län
3,,Mikael Odenberg,Moderata samlingspartiet,Stockholms kommun
255,,Carina Ohlsson,Socialdemokraterna,Västra Götalands läns östra
15,,Lars Ohly,Vänsterpartiet,Stockholms kommun
166,,Ronny Olander,Socialdemokraterna,Skåne läns södra
222,,Kent Olsson,Moderata samlingspartiet,Västra Götalands läns västra
301,,Lena Olsson,Vänsterpartiet,Dalarnas län
203,,Rolf Olsson,Vänsterpartiet,Göteborgs kommun
76,,Mikael Oscarsson,Kristdemokraterna,Uppsala län
313,,Yvonne Oscarsson,Vänsterpartiet,Gävleborgs län
263,,Runar Patriksson,Folkpartiet liberalerna,Värmlands län
273,,Peter Pedersen,Vänsterpartiet,Örebro län
275,,Johan Pehrson,Folkpartiet liberalerna,Örebro län
16,,Nalin Pekgul,Socialdemokraterna,Stockholms kommun
147,,Bertil Persson,Moderata samlingspartiet,Malmö kommun
167,,Catherine Persson,Socialdemokraterna,Skåne läns södra
147,,Göran Persson,Socialdemokraterna,Malmö kommun
113,,Margareta Persson,Socialdemokraterna,Jönköpings län
177,,Siw Persson,oberoende[2],Skåne läns norra och östra
261,,Marina Pettersson,Socialdemokraterna,Värmlands län
40,,Karin Pilsäter,Folkpartiet liberalerna,Stockholms län
47,,Marietta de Pourbaix-Lundin,Moderata samlingspartiet,Stockholms län
130,,Chatrine Pålsson Ahlgren,Kristdemokraterna,Kalmar län
306,,Raimo Pärssinen,Socialdemokraterna,Gävleborgs län
