Riksdagsledamot,Yrke,Parti,Parti,Valkrets,Anmärkningar
Alfred Håkansson,lantbrukare,,Centerpartiet,Fyrstadskretsen,
Sten Sjöholm,kronofogde,,Folkpartiet,Fyrstadskretsen,
Sigfrid Löfgren,disponent,,Folkpartiet,Fyrstadskretsen,
Karl Axel Levin,direktör,,Folkpartiet,Fyrstadskretsen,
Britta Bergström,e. universitetslektor,,Folkpartiet,Fyrstadskretsen,
Eric Holmqvist,statsråd,,Socialdemokraterna,Fyrstadskretsen,
Erik Adamsson,expeditör,,Socialdemokraterna,Fyrstadskretsen,
Anna-Greta Skantz,ombudsman,,Socialdemokraterna,Fyrstadskretsen,
Einar Henningsson,ombudsman,,Socialdemokraterna,Fyrstadskretsen,
Lennart Pettersson,universitetslärare,,Socialdemokraterna,Fyrstadskretsen,
Hugo Bengtsson,plåtslagare,,Socialdemokraterna,Fyrstadskretsen,
Eric Jönsson,ombudsman,,Socialdemokraterna,Fyrstadskretsen,
Grethe Lundblad,socialvårdsinspektör,,Socialdemokraterna,Fyrstadskretsen,
Arne Pettersson,sekreterare,,Socialdemokraterna,Fyrstadskretsen,
Alf Pettersson,ombudsman,,Socialdemokraterna,Fyrstadskretsen,
Jörn Svensson,planeringsdirektör,,Vänsterpartiet kommunisterna,Fyrstadskretsen,
Ingrid Sundberg,fru,,Moderata samlingspartiet,Malmöhus län,
Nils G. Hansson i Skegrie,lantbrukare,,Centerpartiet,Malmöhus län,
Thorsten Larsson,lantbrukare,,Centerpartiet,Malmöhus län,
Stig Josefson,lantbrukare,,Centerpartiet,Malmöhus län,
Eric Nelander,underinspektör,,Folkpartiet,Malmöhus län,
Hans Pettersson,folkskollärare,,Folkpartiet,Malmöhus län,
Gunnar Lange,statsråd,,Socialdemokraterna,Malmöhus län,
Mary Holmqvist,fru,,Socialdemokraterna,Malmöhus län,
Alvar Mårtensson,telearbetare,,Socialdemokraterna,Malmöhus län,
Hans Jönsson,ombudsman,,Socialdemokraterna,Malmöhus län,
