year,v0.10.0,v0.12.0,v0.13.0,v0.13.1,v0.14.0
1906,4524.0,4524.0,4524.0,4524.0,4524.0
1907,5192.0,5192.0,5192.0,5192.0,5192.0
1908,5674.0,5674.0,5674.0,5674.0,5674.0
1909,5892.0,5892.0,5892.0,5892.0,5892.0
1910,6088.0,6088.0,6088.0,6088.0,6088.0
1911,6163.0,6163.0,6163.0,6163.0,6163.0
1912,6307.0,6307.0,6307.0,6307.0,6307.0
1913,6562.0,6562.0,6562.0,6562.0,6562.0
1914,5789.0,5789.0,5789.0,5789.0,5789.0
1915,5094.0,5094.0,5094.0,5094.0,5094.0
1916,5117.0,5117.0,5117.0,5117.0,5117.0
1917,6925.0,6925.0,6925.0,6925.0,6925.0
1918,8148.0,8148.0,8148.0,8148.0,8148.0
1919,7803.0,7803.0,7803.0,7803.0,7803.0
1920,8071.0,8071.0,8071.0,8071.0,8071.0
1921,8722.0,8722.0,8722.0,8722.0,8722.0
1922,6818.0,6818.0,6818.0,6818.0,6818.0
1923,5843.0,5843.0,5843.0,5843.0,5843.0
1924,5029.0,5029.0,5029.0,5029.0,5029.0
1925,4918.0,4918.0,4918.0,4918.0,4918.0
1926,5683.0,5683.0,5683.0,5683.0,5683.0
1927,5593.0,5593.0,5593.0,5593.0,5593.0
1928,5847.0,5847.0,5847.0,5847.0,5847.0
1929,5847.0,5847.0,5847.0,5847.0,5847.0
1930,6349.0,6349.0,6349.0,6349.0,6349.0
1931,5543.0,5543.0,5543.0,5543.0,5543.0
1932,7295.0,7295.0,7295.0,7295.0,7295.0
1933,5842.0,5842.0,5842.0,5842.0,5842.0
1934,5742.0,5742.0,5742.0,5742.0,5742.0
1935,4641.0,4641.0,4641.0,4641.0,4641.0
1936,5757.0,5757.0,5757.0,5757.0,5757.0
1937,4793.0,4793.0,4793.0,4793.0,4793.0
1938,4492.0,4492.0,4492.0,4492.0,4492.0
1939,5555.0,5555.0,5555.0,5555.0,5555.0
1940,4632.0,4632.0,4632.0,4632.0,4632.0
1941,4401.0,4401.0,4401.0,4401.0,4401.0
1942,5003.0,5003.0,5003.0,5003.0,5003.0
1943,5161.0,5161.0,5161.0,5161.0,5161.0
1944,4906.0,4906.0,4906.0,4906.0,4906.0
1945,6669.0,6669.0,6669.0,6669.0,6669.0
1946,6384.0,6384.0,6384.0,6384.0,6384.0
1947,5023.0,5023.0,5023.0,5023.0,5023.0
1948,6723.0,6723.0,6723.0,6723.0,6723.0
1949,5417.0,5417.0,5417.0,5417.0,5417.0
1950,5831.0,5831.0,5831.0,5831.0,5831.0
1951,6306.0,6306.0,6306.0,6306.0,6306.0
1952,5886.0,5886.0,5886.0,5886.0,5886.0
1953,5643.0,5643.0,5643.0,5643.0,5643.0
1954,6259.0,6259.0,6259.0,6259.0,6259.0
1955,5976.0,5976.0,5976.0,5976.0,5976.0
1956,6553.0,6553.0,6553.0,6553.0,6553.0
1957,5880.0,5880.0,5880.0,5880.0,5880.0
1958,6504.0,6504.0,6504.0,6504.0,6504.0
1959,6661.0,6661.0,6661.0,6661.0,6661.0
1960,6761.0,6761.0,6761.0,6761.0,6761.0
1961,6268.0,6268.0,6268.0,6268.0,6268.0
1962,7028.0,7028.0,7028.0,7028.0,7028.0
1963,7231.0,7231.0,7231.0,7231.0,7231.0
1964,8230.0,8230.0,8230.0,8230.0,8230.0
1965,7912.0,7912.0,7912.0,7912.0,7912.0
1966,8285.0,8285.0,8285.0,8285.0,8285.0
1967,9909.0,9909.0,9909.0,9909.0,9909.0
1968,9042.0,9042.0,9042.0,9042.0,9042.0
1969,9304.0,9304.0,9304.0,9304.0,9304.0
1970,9882.0,9882.0,9882.0,9882.0,9882.0
1971,9790.0,9790.0,9790.0,9790.0,9790.0
1972,10703.0,10703.0,10703.0,10703.0,10703.0
1973,10732.0,10732.0,10732.0,10732.0,10732.0
1974,9502.0,9502.0,9502.0,9502.0,9502.0
1975,14658.0,14658.0,14658.0,14658.0,14658.0
1976,5050.0,5050.0,5050.0,5050.0,5050.0
1977,8963.0,8963.0,8963.0,8963.0,8963.0
1978,12278.0,12278.0,12278.0,12278.0,12278.0
1979,11316.0,11316.0,11316.0,11316.0,11316.0
1980,10097.0,10097.0,10097.0,10097.0,10097.0
1981,11092.0,11092.0,11092.0,11092.0,11092.0
1982,10165.0,10165.0,10165.0,10165.0,10165.0
1983,10743.0,10743.0,10743.0,10743.0,10743.0
1984,10767.0,10767.0,10767.0,10767.0,10767.0
1985,9558.0,9558.0,9558.0,9558.0,9558.0
1986,9867.0,9867.0,9867.0,9867.0,9867.0
1987,10343.0,10343.0,10343.0,10343.0,10343.0
1988,10049.0,10049.0,10049.0,10049.0,10049.0
1989,10905.0,10905.0,10905.0,10905.0,10905.0
1990,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0
1994,8491.0,8491.0,8491.0,8491.0,8491.0
1995,7778.0,7778.0,7778.0,7778.0,7778.0
1996,9495.0,9495.0,9495.0,9495.0,9495.0
1997,9845.0,9845.0,9845.0,9845.0,9845.0
1998,7975.0,7975.0,7975.0,7975.0,7975.0
1999,9779.0,9779.0,9779.0,9779.0,9779.0
2000,10389.0,10389.0,10389.0,10389.0,10389.0
2001,10524.0,10524.0,10524.0,10524.0,10524.0
2002,9275.0,9275.0,9275.0,9275.0,9275.0
2003,10047.0,10047.0,10047.0,10047.0,10047.0
2004,11747.0,11747.0,11747.0,11747.0,11747.0
2005,10858.0,10858.0,10858.0,10858.0,10858.0
2006,10730.0,10730.0,10730.0,10730.0,10730.0
2007,12489.0,12489.0,12489.0,12489.0,12489.0
2008,11254.0,11254.0,11254.0,11254.0,11254.0
2009,10338.0,10338.0,10338.0,10338.0,10338.0
2010,9249.0,9249.0,9249.0,9249.0,9249.0
2011,9711.0,9711.0,9711.0,9711.0,9711.0
2012,10337.0,10337.0,10337.0,10337.0,10337.0
2013,11567.0,11567.0,11567.0,11567.0,11567.0
2014,10435.0,10435.0,10435.0,10435.0,10435.0
2015,10784.0,10784.0,10784.0,10784.0,10784.0
2016,10041.0,10041.0,10041.0,10041.0,10041.0
2017,10539.0,10539.0,10539.0,10539.0,10539.0
2018,7384.0,7384.0,7384.0,7384.0,7384.0
2019,8538.0,8538.0,8538.0,8538.0,8538.0
2020,12981.0,12981.0,12981.0,12981.0,12981.0
2021,7989.0,11640.0,11640.0,11640.0,11640.0
2022,,,,,
